protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",2.31240369696443,3.53162783457106,2.45098692464506,2.44763033697168,3.6652778159578,3.60741669663732,5.704594779778,9.9975217222005,31.5105885434947,17.3078503731629,36.8240472115408,17.293249429197,,,,,,10.4047947333947,15.0058462518393,14.5816634862262,,,1.08918556562934,-3.28745885032135,10.0858003504256,10.3817931325805,15.9327766516136,18.9241722530497,4.12008620996643,9.51332505184882,17.2382246789544,27.7414417318252,43.0047776490096,37.7778782025324,24.1934731499547,11.8024251335374
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,-0.12004801676707,,,,,,,,,0.525819626954713,,3.25083557253875,4.70810238369297,5.26897721071972,6.62838462328002,1.70851476937221,-2.69674498821548,,,-1.00519735601537,,1.88751750021355,2.11210651208919,-0.179195877145858,-4.08721418370566,14.8914126806246,3.08740323767154,2.19740556578721,-1.54322482701513,12.4593562873512
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,-1.97985294378535,,,,-1.95996589768926,,,,,,
"1,4-alpha-glucan-branching enzyme",27.0657201117157,22.5396289587666,12.4952473146853,12.1178667499111,15.2252151506998,13.8478328357926,32.0567001033617,30.8879666775295,29.7590801165615,30.2388111902052,31.6282464727882,30.951071163728,20.2532181347457,41.3289772356158,39.4299466384626,32.2070705442891,16.0779851003999,32.3997901906489,31.0737829382555,40.3583432639066,34.6632725367796,33.908625756449,39.7847178226443,42.9413134654154,49.7571951761356,45.4934325266586,36.6033792056282,32.6140683250608,25.6279279104345,33.4125303893575,45.140079321447,32.9302539409494,63.7125920269741,58.5231767358483,42.6497064929092,36.02635789084
14-3-3 protein sigma,,,,,,,,,,,,,,,,,,,48.9252178919313,50.1132225822482,,43.7040270556186,,18.0604599381381,-0.963953206947672,-4.66728240096133,-0.311188085586068,7.21966325997813,23.5100728491829,32.8290442351462,17.5641899456923,31.6216677632446,43.2703703988142,46.485267301855,43.4920758900443,43.4601767043984
26S proteasome non-ATPase regulatory subunit 1,44.538534324198,44.0954267833899,43.6125818255508,41.4171149241604,41.1032427920436,39.2913412111408,39.7167404783968,43.6230124116513,47.5454588778862,50.0282531859445,50.8976173960923,49.0642729887512,46.2430341519494,46.0883358438076,45.0424348836106,43.7619453851048,44.0824481051666,25.9775125434701,45.9429314958272,47.7724852918888,49.0705795886074,48.4566769256661,45.9953884196108,41.8805615667587,36.0879353459246,33.7580994485526,35.0219867984058,37.9130532440753,43.8426026104786,46.2888656105939,50.5689232785854,54.0323219996985,56.7859524208033,56.067853371756,52.1507103148694,48.7851809188288
3-mercaptopyruvate sulfurtransferase,32.2224903023294,31.9742607545444,39.13849576059,31.7676649554781,21.7940818591479,25.8744063083108,45.6103005795855,20.6801162565513,13.6368432350496,28.4610769990136,9.52747226339759,28.1558790928022,,,,,,,28.064200867757,46.7495045011405,27.7689870609648,33.9325102261245,56.0532584234512,52.1460275765911,,52.7530888430372,39.5059678878782,28.9442483802358,,25.1981943265446,23.3597993339887,-1.51986683879261,-2.20800716733356,8.62399730519173,25.6401516126756,55.5635243574148
"39S ribosomal protein L18, mitochondrial",36.6730613589308,19.7657337898263,,,10.0757769167365,36.0880677750941,42.1890975146846,47.02273164632,52.3834035678832,53.5343962764236,52.8331382428597,50.3302085060826,,48.5832970125579,1.80789130006436,-1.59978563365154,-4.14773148118007,-15.9206334252151,59.8614971259447,56.6291753426537,50.960367162966,49.729863310756,47.4925288451108,51.9854825912073,61.0348859802757,58.4767663934097,53.3898788373289,48.1802703369378,42.0886946748887,28.205690817771,53.729139746924,63.073954562988,73.4561172344621,67.2496290012999,56.9827362554514,46.8421584059538
"39S ribosomal protein L33, mitochondrial",,,,,,,15.8421499270897,16.140263615149,16.3795037329073,15.4478541894484,13.2830751604419,,4.55715855456771,4.858155753176,5.62861825062403,6.54936465867577,8.38026493137238,8.14165649572711,,,,,,,,,,,,,,,,,,
"4-aminobutyrate aminotransferase, mitochondrial",,,2.75781176621359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
