protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,2.21034356737662,,2.42501645666314,,,,,,,,,,,,,,1.94766369574618,1.77473451793458,1.96936447645196,1.81011147841914,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.68551005654397,,,,-2.23323600296192
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.876476720582368,,,,
"1,4-alpha-glucan-branching enzyme",2.83524705974596,3.13212993847814,2.53454947827052,2.76910478446101,2.8278615118904,3.40072755347332,2.67761348031951,3.85898222430362,3.1075514390554,3.61726093414504,3.03721402949269,3.76967342722335,2.68910227809181,3.84858215598492,3.46664967066513,3.61885521181586,2.86848557522313,3.80521320568622,2.45997580752983,3.62816728051379,2.52395236030077,3.27950903916145,2.80201720323809,2.86947863192909,2.91339075633647,3.14740182639984,2.46411347955421,3.21219427787058,2.74678774885802,2.64330137408564,2.61717385206014,2.57324618588715,2.88926842556526,3.2357050969711,2.25363134878592,3.32413588568114
"10 kDa heat shock protein, mitochondrial",6.02779200421962,6.0908136805311,6.0439262482554,6.34247991327906,6.09168621463861,6.28824943930981,6.26985164679636,5.96393737451498,6.28131112484267,6.28559974600005,6.02711655816986,6.11673784296162,6.28414728853699,6.10287736433372,6.32524737098836,5.94943624805828,6.28605106072557,6.11272885824066,5.84579352239901,5.87820336936472,5.86580889789999,5.87918580158758,5.83503907765327,5.89099979705656,6.12339333126629,5.91843388146355,6.11423187106299,5.89663248254507,6.15791935102488,5.86481928472901,6.31121766958514,6.27428204629519,6.31824173940582,6.28350034757669,6.28868738057804,6.2800946276659
116 kDa U5 small nuclear ribonucleoprotein component,3.26160578114002,2.91069105974529,3.02179546545176,3.07782888775179,3.3267824768165,3.21685445567164,3.50132471220229,2.68595516514964,3.1802559874556,3.0745935600426,3.26155686856564,3.04412734104469,2.62567197380207,3.92707965438935,3.13959781730106,3.94693506753313,3.50224660697113,3.83124979672761,2.86696873223161,2.96231800198154,2.97641444966641,2.90181442537699,3.05805689861641,4.35859042109109,3.38620589152217,3.38360743393091,3.45271375995403,3.37532472648525,3.44117012106025,3.20844503573965,3.0482275681193,2.98866435578702,2.88725314934081,2.91554127748565,2.92865277610881,2.96372849703541
14-3-3 protein epsilon,5.91044862673032,6.0704565579019,5.3192123826668,6.00942635471532,5.22532817066359,6.10659941001305,5.88036644156855,6.14506213469056,5.38264150740338,6.12974007631091,5.91045368998685,6.19066089764434,6.40873626194686,6.41410296154054,6.32254202261693,6.38994403572945,5.19945710197958,5.22171229277121,5.33251941494339,5.08985840497101,5.34023259268029,5.17018549118928,5.24117052930092,4.83412614929639,5.44974483645455,5.45506590576323,5.16784068418742,5.4674888801678,5.73828850050363,5.37756573930216,5.85652666164748,5.63479268924001,5.79165335494515,5.6266404879733,5.81958310181346,5.56986967136843
14-3-3 protein eta,4.19993488618223,3.99326338226079,4.14205224798392,4.03225318057994,4.13521748433166,4.11244262991773,3.83121483485857,4.11962316897851,4.23169601569991,3.57278718633968,4.23005008226586,3.98856421624995,3.97069970821404,4.00190482073635,4.07248457993214,4.04036538168929,4.05574161125414,4.1016256909289,4.07207051328885,4.05030531206053,4.03436506963659,3.85170158846059,3.98797172512264,3.73625035360731,3.93833290296369,3.99090890436964,3.97795476737202,3.98559667975605,4.08286840226441,4.07237200632558,3.8953669230089,3.79977330068321,4.01989048401273,3.83965242297262,4.0875987776318,3.84157288484311
14-3-3 protein sigma,6.59075350512319,6.43593240902882,6.46618229999577,6.51348312648823,6.53524320434752,6.45179481339335,6.38890840386158,6.35210335253855,6.32134434575402,6.36319195515788,6.39928577862635,6.34780861769399,,7.1768207987616,7.19879765822404,7.23697600786679,7.18775420375301,7.23682891125489,4.04656307667051,3.99177609149577,3.96652815477414,4.04289176673329,3.99321811284649,4.2587761145234,5.52319197470169,5.57338675405608,5.63881997273536,5.94230892847344,5.7899336232612,5.39706184046613,,,,,,
14-3-3 protein theta,4.51797194200762,4.81555272915392,4.4958905525316,4.9576018043474,4.70840100955223,4.83787975924299,5.11935666822221,5.15704155736622,4.57990777607385,5.10075880626133,4.95020553919309,5.01816548822957,5.2027945075621,4.68843088403933,4.44649413637794,5.5001537354062,5.25434967485148,5.17976693126783,4.5761460443569,4.83953543385851,4.67446173004299,4.85982651208304,4.61412472597911,4.51506209010196,5.20440330515516,4.65017160244249,4.72392810323457,4.92569391371931,4.94296964919007,4.9147246967628,5.00876084085432,4.73679873054729,5.10323500672275,4.77470171985616,5.07677475860541,4.6474983819523
