protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.83713104471836,,2.05180393400488,,,,,,,,,,,,,,1.16494915244334,0.99201997463173,1.18664993314911,1.02739693511629,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.21899266850755,,,,-1.76671861492551
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.772134253846371,,,,
"10 kDa heat shock protein, mitochondrial",6.00235666060119,6.05950695616753,6.02260798536777,6.36058583160533,6.097396068907,6.28140249761132,6.20849055949967,5.95085368419555,6.228796891999,6.21330732238666,5.94054612802344,6.04950802256402,6.36317835979693,6.19208615401799,6.41034651613816,6.02252200876573,6.35990328449512,6.1972208214695,5.84569737941467,5.88905286997228,5.8569078202858,5.89497491227971,5.83924313235888,5.81226009579188,6.17219467708733,5.96339727007567,6.16455843075441,5.94837765482223,6.19321281532837,5.93025454539468,6.22275012155771,6.19345660433502,6.22665833890741,6.20634369743802,6.21003016880432,6.20350081157494
116 kDa U5 small nuclear ribonucleoprotein component,3.28336377936109,3.09590273757367,3.3478289846589,3.08074220388356,3.31537668886046,3.27762862592429,3.64092907247904,3.4256346229954,3.76744008337761,3.86248689209852,4.04058328533581,3.84855789496642,2.88137366562101,3.56371416555268,3.38438829839965,3.7069819971218,3.44748740254274,3.57204080564353,3.06362424734201,3.09743808934063,3.25988659203753,2.96142153712281,3.3509006081261,3.26048340142367,3.03253906797232,3.26212905408201,3.0850780558596,3.2610593680518,3.04764828561804,3.15912637848967,3.19239092503419,3.12533265933746,3.17508253722184,3.08373404656039,3.16776361324977,3.05198823593706
14-3-3 protein epsilon,5.30680816382745,5.21227152083838,5.33439382793089,5.2331224858213,5.29272642518969,5.33026152872646,5.3534969639991,5.33592288962711,5.29366159647145,5.25263898475822,5.13421677815293,5.26359956455238,5.14016625826696,5.94854827477122,6.29227833636984,6.31314648094565,5.37505477071112,5.40166878817457,5.15252977757803,5.07111377017545,5.15831721458612,4.94686904289595,5.0187084418042,4.4908859428169,5.25344533700183,5.354963007938,4.99284766027314,5.30473234567234,5.31338996381904,5.3514438065101,5.27206815711444,5.2534467602754,5.26892785442862,5.27660074446428,5.31932800580604,5.22750086983191
14-3-3 protein sigma,4.52188627501133,4.36706517891696,4.39731506988391,4.44461589637637,4.46637597423566,4.38292758328149,4.43729073157037,4.40048568024734,4.36972667346281,4.41157428286667,4.44766810633513,4.39619094540278,,5.53026953700926,5.55224639647169,5.59042474611445,5.54120294200067,5.59027764950254,1.15373530083199,1.09894831565724,1.07370037893561,1.15006399089477,1.10039033700796,1.36594833868488,4.18699421097312,4.23718899032751,4.30262220900679,4.60611116474487,4.45373585953264,4.06086407673756,,,,,,
14-3-3 protein zeta/delta,5.44904406872779,5.56884341545745,5.25132701346988,5.45082191192483,5.32842827649325,5.40897957461238,5.36603372502777,5.2400677556825,5.48208176523755,5.31171397491198,5.43577367990904,5.52175188763725,5.35992351142946,5.42512012608291,5.45706272803423,5.50731175841807,5.59293689103574,5.68789146658876,4.71900356986204,5.30739021169501,5.20449865105857,5.32719489387323,5.24306704283715,5.31725900976314,5.2757553086912,5.3925175665723,5.30086086080116,5.3545505237767,5.34291305687989,5.40359541741082,5.34184170669627,5.18143510603363,5.34777526119495,5.27993406744486,5.32729286338834,5.20880804950385
2-5-oligoadenylate synthase 2,4.00739533800895,4.21570125406252,4.16166768484045,4.08123252679748,4.17564557637971,4.31915027739016,4.6471620122529,4.08009775131298,4.54126660522254,4.25920848068005,4.42579070248251,4.20241918434722,3.96500543613874,4.65337642707874,4.25121722794277,4.605092197268,4.2035650325345,4.5449626846653,4.1010401907866,3.98914281710625,4.15630022021569,3.94228155524876,4.20494363604404,3.90760088726921,3.89663330486466,4.30706630290356,3.72766249761498,4.21380331024958,3.75419364533849,4.27940143000683,4.21830367939081,3.69160572969213,4.18538715759426,3.66957376427388,4.17500784196622,3.9211253127886
26S protease regulatory subunit 7,4.04638962445249,4.21023847788165,4.03902753593021,4.14991987885462,4.09221232521882,4.06108497509099,4.04739084003556,4.19309663342186,4.06164173909936,4.15849856824111,4.14381598397955,4.10489735542231,4.13183216145379,4.11701342131412,4.17648710113646,4.11659228536119,4.10800174748319,4.10816129204098,3.91718650324893,4.0022907739383,3.92476299183521,3.95318240438285,3.92753298975285,3.80289321911453,3.84634657319707,4.13728345167742,4.06192964042379,4.22137807145991,3.91940101397364,4.15363115463293,3.64014773342389,3.64127291793494,3.63603487628763,3.50994385890721,3.64061613693584,3.6838139192818
