protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.107336444643261,,0.107336444643261,,,,,,,,,,,,,,0.0687761086635238,-0.104153069148085,0.0904768893692988,-0.0687761086635238,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273862973208976,,,,-0.273862973208976
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"10 kDa heat shock protein, mitochondrial",-0.0629200931980517,0.0188056056714058,-0.0676776362454101,0.116436886603909,-0.0100723232398653,0.0297167302520429,0.00737795474661165,0.153909875295942,0.0301368401548393,0.00451128009362693,-0.0793555446719732,0.00182605017679187,0.0849687725207208,-0.0840800981693349,0.134697847696642,-0.0936796608310635,0.0823791564869489,-0.0778973012459958,-0.127748652688137,0.0679728645388475,-0.094411671884726,-0.0155928817310104,0.0198521282029692,0.27421925657018,0.0997339330882092,-0.141419718777173,0.130748490588676,-0.0911170623631301,0.123285097898587,-0.139455467071295,0.011560871823999,-0.0158018386900884,0.0155561536270097,-0.00495386286948562,-0.0018680014429359,-0.00728655795071084
116 kDa U5 small nuclear ribonucleoprotein component,0.0377441528784052,-0.0148557406800608,0.092731101672217,-0.229580116549006,0.0904864053422321,-0.0544775331196305,0.0474292133688081,-0.0752850787768277,0.0814858337672398,0.029044250667104,0.0146588652584387,-0.0401564217843437,-0.0887126127630814,0.0152346405593948,0.00731826108240847,0.0133919660342462,-0.0991018881057543,0.0636838181246289,0.112991583114455,-0.0701627878722327,-0.0432358855833394,-0.0657652331906305,0.141331559292318,0.0471887013723894,-0.0811205677800848,0.0603356260991051,-0.0232048110682907,0.0847841950645128,-0.0307218075718745,0.0264284128683772,0.111233016926477,-0.0212945221353641,-0.00961855707030351,0.00639502988912588,0.0027391443169771,-0.0396985619513173
14-3-3 protein epsilon,0.0965280162795218,-0.0121628995756748,0.0135911910033768,-0.0776122170653028,0.0192404396432567,0.0497265575688544,0.0362635289492438,0.0327178154349004,-0.0247002913239042,-0.00442907503119896,-0.134920778201203,0.00536183306912083,-0.0660631455171758,-0.0133619141467174,-0.0143118440269404,-0.00757327412080097,0.13230164758926,0.184932567856947,0.0890514438724681,0.0197015092021955,0.0880235648663126,-0.0986502158779254,0.0409299586524909,-0.0157006687567117,-0.0566903747263336,0.0534094092349778,-0.050272992770703,-0.000147855467850715,0.00986008741185032,0.0554363606411798,0.00268546968273404,-0.00972967186424372,0.0149124353706952,0.0142091765221339,0.102762431187804,-0.0339743021259452
14-3-3 protein sigma,0.100920791881195,-0.0539003042131769,-0.0236504132462319,0.0236504132462326,0.0454104911055168,-0.0380378998486455,0.0312607500133639,-0.00554430130966743,-0.0363033080941975,0.00554430130966752,0.0416381247781289,-0.00983903615422848,,-0.0219768594624341,0,0.0381783496427525,-0.0110434544710225,0.0380312530308507,0.0285081368806264,-0.0262788482941222,-0.051526785015751,0.0248368269434013,-0.0248368269434009,0.240721174733515,-0.08291138869403,-0.0327166093396398,0.0327166093396408,0.336205565077719,0.183830259865485,-0.209041522929587,,,,,,
2-5-oligoadenylate synthase 2,-0.0100296857736905,0.00791214950470733,0.105076501780961,-0.108714835331362,0.152152363416381,-0.134478005806231,0.197305726252454,-0.217478189191867,0.250454539872345,-0.184311253341527,0.120441694891402,-0.202667755967327,-0.346731215093749,0.301178234525754,-0.243955042595174,0.235692612608013,-0.329882935133412,0.191385107806495,0.00453785004837904,-0.084484358462314,0.106209975519451,-0.135204213785102,0.15091867328717,-0.0287499551404784,-0.275403484333649,0.277732767215258,-0.241023127123076,0.194802290438176,-0.221069587910514,0.268875264785956,0.256153159215012,-0.25997745094043,0.236073931377266,-0.29919293549337,0.221962474194426,-0.26121384105882
26S protease regulatory subunit 7,-0.0540415237931687,0.0385110984709932,0.081589174988392,-0.033413608506545,0.0390660126444655,-0.0372491579501466,-0.0580787712933577,0.0344272946149768,-0.164049515667366,0.0175420618653066,0.0671959001617632,0.111497715030219,-0.00602361780083336,-0.00130504068169766,0.0137865243247554,0.0111373851686105,-0.0435572399101451,0.0176867553554068,-0.084939630958998,0.0247403852983585,-0.0229526039046119,0.0293109138174191,0.00275665270799013,-0.0614788886660852,-0.0461879300481393,0.0268328200669735,-0.0539058039127554,0.0450361212228035,-0.205807514584561,0.0421908047057351,-0.00418240331864192,0.0299582567479599,0.0179239709743817,-0.033792234996958,0.0177366833934249,0.03527282084922
26S protease regulatory subunit 8,0.0667717503806618,0.17384111025932,0.0838177485119692,-0.0229460677518034,-0.0343105979928518,0.0983093474793874,-0.0496853439100257,0.0945209928474559,0.0206320897525226,0.0888533445363525,-0.0818780537724088,-0.0346860503190093,-0.076892429495559,0.00676354885427657,0.0681753777009091,0.0612003558549113,0.0918296875679476,0.0302149089482231,-0.0555621735123383,0.0805845058138774,-0.0653863789698473,0.00476897007799364,-0.0126942199854041,0.088676708586793,-0.0757774923092555,-0.0194343250643182,0.0810119064725767,0.0427397392697366,0.0150920925042758,0.0254486047196147,0.0103535159122629,0.0113869434789142,-0.0465277084559537,0.0538258092706062,-0.0112172123643204,0.00915717364798617
26S proteasome non-ATPase regulatory subunit 2,0.0791642546815163,-0.00324765942227407,0.0476457131293851,0.0299768982766719,0.0358454702682971,0.111806076279485,-0.00157172346007696,0.02503930152836,-0.0718043226884879,-0.0413482076364109,-0.00132817862334434,-0.000356353506855264,-0.12558380031287,0.00534359854917451,0.0923537287852735,-0.0418166210366986,-0.0081184896436797,-0.046807105367192,-0.0221517053264247,0.0186151373347141,-0.0039070258572381,-0.0516574486479461,0.068371144289147,0.118868441368938,0.069654613362427,0.034249862330383,0.085840755861956,0.082112059402789,-0.174771580381107,-0.203853042171882,-0.00383599686775428,-0.0170262831419267,-0.00232606859740994,-0.00876639666074382,0.0170772626874206,0.00497371709287077
26S proteasome non-ATPase regulatory subunit 6,0.0482813525389861,0.00722417407194137,-0.0224186745956058,0.117633781555494,-0.0976867432308117,-0.0502506042114713,0.182051756578845,0.0218252515339479,0.00441343104053089,0.00751850426368887,-0.121356138407456,0.105346962856105,0.0601944799502875,-0.039680492349723,0.0776699776070219,0.0211075830141521,-0.00012280696631151,-0.120283480588056,-0.11499815813701,0.0666628536702194,-0.0474483857275323,0.0684599255354895,0.175217948493507,0.0512260698953163,0.0405974064664111,-0.0356675317058976,0.0894288374105912,-0.0606394639068661,0.0245882934474961,-0.0557038431456155,0.334560034227622,0.34313486843889,-0.207473033603489,-0.191459361924721,-0.187643214875586,0.259693155111156
3-mercaptopyruvate sulfurtransferase,,,,,,,0,,,0.0742713479332027,,-0.302804262567193,0,,,,,,0.163180454857212,-0.0417258150552398,0.181451786033737,0.302206128733017,0.331492556930514,-0.579147355945914,0.00999929761626263,0.0537637178587438,-0.0407111930453644,-0.0110231097338205,-0.0811544007650876,-0.0205331629152399,-0.00850444843811806,,,,,0.00850444843811804
"39S ribosomal protein L18, mitochondrial",0.163838884529845,-0.11408477463597,0.113152771053543,-0.0238286414600615,-0.0894240525513062,0.00124349250091991,-0.0084880601002206,-0.108679215063966,0.0200076878128028,0.08612621694086,0.00867958204219142,0.239784922461075,-0.378981912774062,0,0.0238452423324368,-0.0225989447325126,0.022598944732513,,0.0770579328850526,-0.240533115634884,0.0177220229049747,-0.0177220229049748,0.0395190401045248,-0.302354009983557,0.771102348963527,0.670124527926717,0,-0.0333759479687217,-0.663866039244159,,-0.0126204013133818,-0.0584629712234708,0.0126541469254291,0.127482832624169,0.0166488439637547,-0.0468466344915558
"39S ribosomal protein L33, mitochondrial",0.262577260527252,0.556668023059081,0.0360750606734229,-0.174783569214712,-0.036075060673423,-0.236344462266288,,,,,,,0,,,,,,0.0101248601341051,0.0455476930302594,0.158943022381727,-0.207254952077421,0.0583250536383584,-0.100001240352091,-0.44324653214753,0.0205336463463504,0.274576722754189,0.498617797421322,-0.011978398517473,-0.39112977298055,-0.422122970100918,,,,,0.422122970100918
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,0.249672432623459,-0.249672432623459,,,,,,,,,
40S ribosomal protein S12,0.0921146470941724,0.183533772487619,0.0125072861369982,-0.0254687363808187,-0.0479211810695475,-0.19738893785667,-0.138450173532412,-0.0746436767346804,-0.0332587290045224,0.148495891296854,-0.00692728258526055,0.117275501266968,-0.0178883300835377,-0.0435076810892367,-0.0465739699565094,0.0454421819864602,0.0120299587272621,0.0327187161179616,0.0360984814667657,0.0424716045637809,-0.0147669231412765,-0.0263674348111629,0.034949952012275,0.0145894053506409,-0.0112754175347833,0.019643229712626,-0.00169225773920358,0.0138888428247496,0.00315756814732991,-0.0201601666394383,-0.0477397967689519,0.00874205436459461,-0.0466917712191411,0.064648768524129,0.0313170459327723,-0.0297980470755473
