protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.463414562615971,,0.384619758481443,0.140248688750622,-0.848034321097414,0.131555548296315,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,0.150786298712514,-1.20999352282722,-0.096284154818165,,-0.0545021438943496,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,0.373473250170399,0.111135332391965,-0.120744575737761,0.712766267448004,-0.252728674432639,0.648327451821607,0.491682121922875,,-1.09599076710913,-2.13571276981188,0.604308645186252,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.11474391652109,-0.0347090675417331,-0.115853941746735,0.065336056494325,-0.0580062327237709,-0.0205623539485302,0.0221622053998603,0.177083297978012,0.0480681924464412,0.0257855813585224,-0.0599222859158375,0.0238962853048725,-0.0125374360874457,-0.18002879975757,0.0355758747285233,-0.212626941682063,-0.0182954148130626,-0.177040573335905,-0.212172857171244,-0.0287611161265271,-0.177784948483047,-0.103856140583405,-0.0774399934522314,0.160565938553128,-0.0174084918922956,-0.25935940188138,0.0142716238983527,-0.207567854798642,0.00622731349756587,-0.256579528378583,0.00314943202041198,-0.0237922150254171,0.00745463890154794,-0.0129787770465852,-0.00990624232213052,-0.0155583499704133
116 kDa U5 small nuclear ribonucleoprotein component,0.148774497798413,0.0853257333117886,0.197023342092864,-0.128464344323665,0.195309948517473,0.0509279306430711,0.00440307190656288,-0.116210799248751,0.0335689821007241,-0.0124307354584275,-0.0302640629986069,-0.103076917815348,-0.021311163631225,0.0939258115946524,0.076194694757965,0.0573497662395991,-0.0461673937374436,0.115043049499901,-0.0178975162917812,-0.0372293581416964,0.0851363913868717,-0.0327752928586656,0.173073802845392,0.0781743768183265,-0.0348659374371349,0.118324044694599,0.0245770413792011,0.140108177740575,0.0132280047908412,0.0776848964617366,0.0769152839551729,-0.0553269066956741,-0.0436565034675813,-0.0285256966843642,-0.0308691391565552,-0.0727302951370766
14-3-3 protein sigma,0.123683388819725,-0.031137707274647,-0.000887816307701949,0.0464130101847626,0.0681730880440464,-0.0152753029101156,0.0190622277809318,-0.0177428235420996,-0.0485018303266295,-0.00665422092276473,0.0294396025456969,-0.0220375583866606,,,,,,,-0.0512515809136387,-0.106038566088387,-0.131286502810016,-0.0549228908508637,-0.104596544737666,0.160961456939249,-0.127456548864395,-0.0772617695100051,-0.0118285508307245,0.291660404907354,0.13928509969512,-0.253586683099952,,,,,,
14-3-3 protein zeta/delta,-0.029217190878303,-0.00427283574968803,-0.184614441356629,0.0126306770226153,-0.103106643094389,0.00292149288325752,-0.0872125791304436,-0.172411808678544,0.0384892784385359,-0.0825648070854803,0.0666223755567226,-0.113111719372251,-0.0305629408919352,0.10001831297562,0.0176575909928466,0.157882373231326,0.0156200804358357,0.223177094951096,0.011676701951803,-0.00515472890624374,-0.00371681397515849,-0.0272769669282592,0.038154122989033,0.0477548181213454,-0.0727618595879175,0.158697383216528,0.0795349238694886,0.277308608921628,0.0390655676360285,0.104494414795775,0.718075892204038,0.572868618290881,0.554409077607104,0.0935738463431273,-0.172089004203584,0.633535405847363
2-5-oligoadenylate synthase 2,0.054463368842213,0.0925511101027856,0.238492059100901,-0.0302455183823181,0.222095253250289,-0.0580521974915387,0.00247553343410475,-0.379573679993427,0.0546679351655719,-0.375733125379496,-0.0492056503290279,-0.386632937165177,-0.0313176455961102,0.663127308401192,0.0670280668794417,0.561329415985162,-0.0201318896878665,0.528351523736515,0.0929402114467772,0.00309948421353081,0.193032931027956,-0.0477439819465987,0.237594136659175,0.0515027677176163,-0.00719601121186714,0.594538734502046,0.0174028408200841,0.514924263494888,-0.00562033469099509,0.523322547739075,0.0160173113343202,-0.493831116507023,0.000328778850518361,-0.536720284150242,-0.0136138064204315,-0.527031627826165
2-5A-dependent ribonuclease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241220643480745,,-0.263954859406266,,0.239832795058191,-1.83062543520419
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0386647685855098,-4.1247538972394,-0.0225325252078337,-0.1601639497006,-0.016132243377676,-0.093469028950354
