protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.6614197175855,,1.66147413904172,,,,,,,,,,,,,,1.65472429136567,1.43336453330005,1.66803379646049,1.41767334880475,,,,,,,,
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,-1.78090478513422,-4.86317047699742,-2.12163043678593,,-1.53568178671037,-5.30856978268432,,,,,,,-5.08562756937354,-4.03825198433841,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.0550105008513132,,-0.0550105008513132,0.00234216105466048,-0.0550105008513132,0.00234216105466048,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,1.12283287652467,0.794432063607892,0.663486609136533,1.41465420551569,0.63040863117598,1.44379983377297,1.55434149869648,,-0.0755074002890632,-1.19908356698315,0.936801501854263,,,,,,,,,,,,,,,,,,,
116 kDa U5 small nuclear ribonucleoprotein component,1.43362900757387,1.60662143685944,1.40077881186024,1.10116218801062,1.41129605433992,1.33621642609586,1.32844995685664,1.05567762083235,1.25556333997538,1.9145245945099,2.27921202658338,1.26888616643007,2.21439408144887,2.11325950210256,2.2165791437122,2.04374158177908,2.01320728081432,2.13978184582573,1.23752701954783,1.30425328067989,1.49158071580198,1.56972567131115,1.68371083059966,1.73639421676185,1.92300921531897,2.01353384265636,1.9505815831477,1.99740605501701,1.89052008791351,1.98264279286567,1.66164025638133,1.58717088131231,1.66571677607831,1.57353148282602,1.66329049163999,1.95465997544622
14-3-3 protein sigma,0.76555435688084,0.691076129768772,0.70509107761897,0.670184057238219,0.756370651231638,0.585569557711215,0.636497694373034,0.572112015559172,0.616350562828015,0.57583956148649,0.693916623077227,0.562138046852379,,0.693687904458582,0.663900044855557,0.702907374899778,0.574877810656615,0.674551146879415,4.22469995025784,4.32877247370108,4.23841496043206,4.29807675533446,4.22185853298067,4.35611822195746,0.61027881774321,0.589523219010102,0.597999280266537,0.902879197551914,0.797199408631451,0.465854573100208,,,,,,
14-3-3 protein theta,3.27553253041482,3.5053734240141,2.95187008072959,3.24115152841197,2.90534822099529,3.28212476388891,1.90496272378489,1.83562525122889,1.89999404117901,4.2460504111561,4.10145603283624,1.80190720377424,1.93638827621614,1.83889356694567,1.46763549870143,1.94966757393525,2.04620924459646,1.82764415439416,2.96511729700294,3.38851075953917,3.15741585365881,3.33570859009876,2.55880526448197,3.49510654951597,3.46981709014618,3.43773293442476,4.03479995269692,3.4683879450391,3.55936563670679,3.37517984456605,3.48900249377082,3.61106969081263,3.6884967657983,3.71661627033934,3.74055625520714,3.40223047287285
14-3-3 protein zeta/delta,3.51115668851443,3.67141486073595,3.29663227209768,3.49072262446249,3.36527241603815,3.38744274566726,3.06611176086767,2.87221682665303,3.11861770146443,2.9437571827459,3.09413759535522,3.17824803993299,3.37299138957917,3.40608051830511,3.47968454191915,3.52408685931092,3.55802497674045,3.62761425982011,3.30279889614904,3.39215907135445,3.23880414205032,3.42736795728822,3.31835767745728,3.43177298495298,3.42303439595595,3.53025762709742,3.40771898803192,3.44133843996294,3.46745191018865,3.542775122237,3.51067738357566,3.41157316783723,3.47179310093482,3.09173241153525,3.49133596475774,3.40709908656058
2-5-oligoadenylate synthase 2,3.56453071203295,3.71405242719718,3.59687062972423,3.55624435204577,3.66895665419427,2.8125858114897,3.12771444970607,4.03361813891217,4.59204714199985,2.77034898414986,4.31339803602531,2.78704305938366,2.49016466119284,3.11503106563316,2.96856933204077,3.11359757395363,2.90692005461142,3.08246926080741,3.54795925775673,3.49558930676419,3.68489120786898,3.46890493479449,3.72666262820149,3.74021320327557,4.02141905610487,4.44598635458651,3.9788760917634,4.38214102801435,3.83029451532075,4.33160202439588,4.15409330864628,3.78693835337308,4.20892312996824,3.69497616132966,4.24420163094633,2.87545658230718
2-5A-dependent ribonuclease,,,,,,,,,,,,,,,,,,,,,,,,,,-5.02453477931967,,,-5.50879452368857,-5.02191125524628,,-1.73854458357368,1.93121942001017,-2.40166945843004,1.93127849120109,-2.40100570049656
