protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,19.5788263963784,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,2.64137403820474,,2.11963238946154,,5.66221212651063,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9488372480729,3.69489404109098,2.86504797135577,1.93854032205487
14-3-3 protein sigma,,,40.658570324458,,34.5698374880415,31.8760936065647,,39.3159542408598,32.9430516464241,,41.5693199658508,40.2424967110886,,,,,,,28.1721182585227,27.6628458950852,20.1652563772785,,,10.5316437567381,,,,,,,22.186950274915,,9.16473789798631,,13.3433497644538,14.2892568719429
3-mercaptopyruvate sulfurtransferase,10.786816449981,21.0892152644792,21.499521804482,14.47174564485,1.73836974289395,-4.98639489880173,15.4859411698504,0.0115244640768512,5.21834017011553,28.4806875006739,10.4577123673671,25.4951227490615,-3.00995057231456,-7.75391028439336,-3.8639414581327,-0.921675478409091,,,31.573138413789,,27.9621973454134,30.4830006062788,,31.0871265428056,17.6800501678742,32.229834214799,31.8895982455346,31.2246668139164,24.6555431334554,27.0699458836322,37.190703325256,3.91738195069692,-10.1968495557036,-2.93674730078565,1.20058938374693,22.1505348021365
"39S ribosomal protein L18, mitochondrial",30.1762602492512,26.4910830871293,25.5518255552269,33.8589857848284,19.5921686731526,30.4192506924976,28.2582878236042,26.3821173690129,26.628372687904,35.1212517223867,39.5221901007829,37.8605575650312,30.2647669910313,8.16504968282958,23.5789806871723,20.5753957880586,18.8714626668477,5.61386683974861,28.6326249747353,26.9344012210358,32.1587815410197,33.2336142760801,26.48372028705,24.7529083380039,28.1271212279144,30.1654951213777,31.0096753093522,37.0536646641063,43.6023695620239,24.2070169575547,45.7713996939864,45.6960781069263,41.5461831341741,40.5030255669731,38.9508150951832,34.4332624562553
"39S ribosomal protein L33, mitochondrial",,,,,,,,,9.56058480339633,,,11.5860834327397,,,,,,,-0.437958559844481,0.268654205954772,5.91646092227217,8.87769109252813,,22.4416984211115,18.8049162506189,17.0324445672126,17.5445695434715,18.2747664051737,14.984366761065,15.0436831987284,5.35678904264424,2.03489999336011,-0.248345937506679,,0.685306715903728,1.17536698760981
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,7.64256890958456,12.792077069001,,-2.02415731156594,,,,,,,
40S ribosomal protein S26,,,,,,,,,,,,,,16.9699502558106,,,,,3.84012273531761,37.2336916749755,,32.6996942611485,33.9756200769027,40.787300839335,,,26.2999823257454,,,,25.0835783794644,25.5819880906733,28.0852191973883,31.7322329903874,32.0161096509668,
40S ribosomal protein S27,-1.84480535813769,,-6.65496195637342,-0.695361174983791,10.6126330502476,11.9626911193516,,38.8555294136564,,31.9363856789847,,40.1704876194343,13.9894072059058,,22.724359773309,,,20.4649712304247,45.1921710238848,44.1522782052566,41.0322795033902,41.5966935922989,45.1789122401516,44.4715963406261,50.5398623531896,54.2251882070822,49.2226658252357,44.4265779496686,40.5690313841657,40.9701441248767,30.2728023204322,10.0942388291138,31.0128958481402,39.6988220770358,35.9963430942078,36.1334714773556
40S ribosomal protein S3,41.7031812118284,45.9242784872696,43.9480031852292,19.9691630886351,39.0193579603399,39.4827198569453,41.7588934849089,39.0118904636149,37.1105401824059,38.720602166661,40.956031423294,40.976261348024,15.4437831523403,31.029560395631,31.737828287047,26.2975637096567,18.4287083958351,2.60235111106274,3.52312308346882,5.42280020869897,16.8243675743649,15.6226911839213,21.2855308283362,16.7118900498871,40.8657807073287,46.6398407551711,45.0738515860647,35.4472670693763,24.645823820146,35.8897388121219,55.674596558513,53.9639796865054,49.2154737275177,45.0002156297546,39.9673355250603,38.3923298198324
40S ribosomal protein S30,39.5377191218436,39.2964469038526,39.8302392966779,40.5524202285602,41.0629416577053,41.0083940321619,5.30676946929938,5.99154937012846,10.7710997459154,9.9812580625019,7.24543170912745,7.26685514952104,42.8417611477958,,41.8570292290958,,40.1651238929132,,42.5787408074796,41.5415694028673,40.7628257631832,41.3000610623922,41.5352953461071,42.5506635433379,40.4054552995469,42.2903458154294,39.6677469274501,31.8974830780998,21.1608102206853,22.6182753192805,,53.3569018519534,28.6118564094389,28.2063176440714,,23.0424324817402
5-nucleotidase domain-containing protein 3,,,,,,,,,,,,,,1.83050294488958,,,,,,,,,,,,,,,,,,,25.1935956477505,21.8305425723183,,
5-phosphohydroxy-L-lysine phospho-lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.71251272543025,,,20.5588980451753,14.2180045885716
6.8 kDa mitochondrial proteolipid,,,,,,,25.5357082103306,24.3475219850897,,,,26.8975350002326,,,,,,,,,,,,,,,,,,,,37.7570400371085,14.4617060131203,14.2706683107038,34.3861297074143,33.2697594551829
60S ribosomal protein L10a,,,,,,,,,,,,,,,,,,,36.1849153674198,,30.9415418872925,27.3652157399008,,22.6030003067468,,,,,,,44.2218942010364,46.0965031881815,38.5048979157577,33.1010964357702,30.5528212389848,29.7446784026254
60S ribosomal protein L29,42.3579687041015,42.1973595915592,41.7585591277717,38.0570600046449,41.3928415841681,42.7640112502325,40.6544648425964,39.9488528583339,40.6341724844003,38.9775317901099,47.4181789596544,49.0935469102144,46.4134021640033,47.06670038755,42.8905035194169,38.8280079520109,34.5754379133084,32.9537393734432,34.1340473548991,30.6467212086278,28.8994853726851,24.6687134447457,23.9868896856084,28.3079866918674,12.2301170198417,15.0150869447107,14.2419514665861,12.9712822199911,14.4185269278685,16.4683254271887,43.3603271759326,44.2627704859683,50.3305161567322,49.2813431971221,49.3790727376781,48.9326464618753
60S ribosomal protein L36a,,,,,,,,,,,,,,,-10.4015520506705,,,,,,,,,,10.8446872929131,8.23075722521921,6.41700325323587,4.71952805082735,0.762936256075625,10.2496563234728,,,,,,
78 kDa glucose-regulated protein,38.3798630525227,39.8963123884367,40.3345996387738,42.5381401446735,42.3244011535209,41.7139827316841,40.3852542714003,40.3177282419303,42.2738071909703,42.2950936877119,40.7119718158317,41.3764846469104,41.4083149265409,40.0587987693845,37.049977996413,39.2803509996253,40.1410334275224,39.982907308532,41.6262205613833,43.5884819182102,42.7540923409917,44.715533127936,47.3425361523308,47.0523084659827,48.6843509495968,48.8837432750587,42.7728811613954,44.6393644258289,43.2248367428527,41.7832052087946,42.8657995248327,41.8851838077152,39.3821255347977,36.0026132079441,37.6982503290308,38.1011836286878
A disintegrin and metalloproteinase with thrombospondin motifs 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57946197745781,1.81728454358741,,1.11247640721046,0.0582245938911052
"A-kinase anchor protein 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,-2.00609959917094,,,22.0169601915129,,,,2.0645608893707,0.760590287737739,-0.628067404562896,-1.036364216865,-0.590937165086938
A-kinase anchor protein 11,,,,,,,,,,,,,,4.99261452387609,,,,,23.037868746577,,15.1821219338213,15.1370010066474,-0.536004419157475,-0.0845115292618924,-2.24997470547312,,-1.56827151820892,0.203295936551324,-0.109722962360245,,0.154237767019258,2.58137090494168,3.4135343741794,-0.253917331507661,-1.41479490917167,1.71089152298388
Abelson tyrosine-protein kinase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3717013338267,3.49207306683231,1.55685079603189,0.107865689513615,0.324286888876939
Abhydrolase domain-containing protein 16A,,,,,,,,,,1.08795869359403,,,11.360608102575,,,,11.084217221725,,25.7095954556078,4.52349057940553,16.3852915042502,12.8493321885991,-7.90106938540556,-6.92818594740909,-6.80718947272922,-1.87745236200301,1.50006983658324,-2.05451228398883,-6.58318296420804,-3.28619872532536,25.1352944742452,25.8817522611948,9.81690224723585,22.7127030693106,1.12214416229488,0.473954688274375
Acid sphingomyelinase-like phosphodiesterase 3b,,,,,,,,,,,,,,,,,,,,,,,,,,19.1334408840312,,,14.5585062732099,15.3555074181987,,,,,,
"Aconitate hydratase, mitochondrial",25.1144061659095,12.993335263859,31.4849341703447,25.6796126548272,22.5921759615818,20.1151137703546,16.6858064295198,19.6731520949827,31.3101239387948,36.2567976585532,35.3224268126797,34.9449896965098,26.395593606587,29.3750890371896,33.1620849922237,26.9029188837834,42.3279388777774,34.6215735491819,30.2528894194164,29.5988247650547,31.127022322124,36.969771437808,26.5886221519355,32.8795921039183,36.9250937575806,32.4220331751921,30.3946874435868,40.8739654632243,38.7934770110818,35.109529612332,49.3282647518971,38.605876234282,30.4785957776817,40.4680130160555,46.4311777230504,35.0514329995306
Actin-related protein 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6588213147032
Activating transcription factor 7-interacting protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,16.9320659488682,,-1.06194256324391,-4.99794651542717,8.61635917753203,,,,,,
Active regulator of SIRT1,,,,,,,,,,,,,,,,,,,4.77966343415929,3.35580005559271,,,-5.72196733342196,,30.2123154141518,26.2077168966489,23.9256418026617,23.000842469841,19.0375100199704,16.3530027556724,0.12340799564084,1.56146282969536,1.58067582452101,,0.189967249604883,-0.279214109042488
"Acyl-coenzyme A synthetase ACSM3, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13096918285095,25.3974969281572,6.85139202256007,21.8066653700982,2.12234491938566,1.30952049907504
Acyl-coenzyme A thioesterase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.944589331784,10.6406152789851,,,,,,
Acyl-coenzyme A thioesterase 4,,,,,,,2.10806671398535,,,,,,,,,,,,-5.07765739693841,18.1530201087921,2.33493628024069,0.757649441926053,-1.88616065528841,0.74028977009615,8.81756296756125,10.2740218911076,21.6155034294141,-0.881027870539634,13.6557719111207,16.7592275550113,1.52222078829156,2.74570274700792,-5.11256412800984,0.723528179013193,-1.76425323567469,-0.30942093152177
