peptide,protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,1,47.7695161657503,40.3812322544671,47.0836414272796,48.8811910458135,45.5306521536522,43.8343090663962,43.4880981793267,48.6434821588722,34.7965469892578,35.1184156841628,49.891545304996,40.0238012581665,39.9500904321542,53.4377046895378,44.9270098480205,44.6405487342607,45.020718024771,44.4609101845376,46.4934399047907,40.756709352352,44.0558816045549,50.3627321830629,37.7076583022354,51.4743115432116,44.7490283918133,35.5770483316244,48.4120692549054
1006,276,36.5070367856889,31.4066977947753,41.1665712969439,38.9205480061803,32.3086176301205,33.689117370007,36.9416373530607,38.8845761740695,28.2899576620521,28.3579010087725,40.8378505335131,30.8245254986725,31.264739969514,41.309997607127,33.4636550244923,35.7458643477065,35.7196862438153,36.8555517289784,37.5585920279851,32.0773083050392,36.5845192090096,38.4783618952141,29.027025030889,40.7831437866388,37.2041450143518,29.3893917355979,35.9679746171475
1088,41,38.4354678849886,27.8933377102245,35.6003896082029,35.8519048308661,33.3456101666377,26.1981368154225,27.9532642219288,36.0438036368792,17.095183594739,15.6773337566275,41.5731003817751,27.1235500704678,22.7382737858554,43.4836970568099,29.7311708242153,31.0853436632652,32.274097471021,29.7014256598235,37.4588794284167,24.9211085671141,30.6771194413927,38.9219911268124,17.9750238149073,40.2043949875218,31.4492082297201,17.8030659281362,38.8186492374275
1899,78,42.2632469184495,35.757484540562,43.9018250026821,43.829917580877,39.7780551062281,38.7254732797023,38.366640431641,42.5931802612199,28.5347705186036,28.5388701958818,46.0616207642371,35.9563865463402,33.3061238349194,47.8993334438971,38.8760473372282,36.9613692148426,38.8108171106231,39.1712323172576,42.0423320304496,37.0993948837867,39.0463122261092,45.2339258993708,33.2002860521785,46.0788585024399,39.579976998923,30.4761576414961,41.9278887637908
19,19,33.3384898568014,37.8047593717044,30.2089287651052,31.4418731703068,35.9622589283972,36.2863234340216,35.9927861613582,32.0385866631844,43.9394643788007,46.6630751505326,32.7884966279421,40.0193110904649,41.2225467335766,30.5326664509422,38.6762874848332,38.4551180199975,34.009509523891,37.2219377247346,36.5493973454259,39.5491515492649,37.8578785076024,33.5553683170738,44.5440991642546,30.8584431689117,35.6700401551464,44.3000988468055,32.9434777242422
190,190,40.6689374786184,43.6704987590934,42.1723650163532,40.8725400458732,41.2068005342788,43.6043080565442,43.6324312039366,40.611504267999,46.9593198758545,48.1432329428727,39.1627209374918,42.8053211277336,45.1246694209665,39.5950732845836,43.7438087533204,42.6953946513055,40.4457400565071,42.7935534697284,40.8502327468029,44.8577545347244,43.84736167681,41.6012460353887,47.4409097288234,40.8433034190695,42.384461833251,46.5640508214276,38.6646112131971
1900,27,37.7685251338451,42.46842536339,40.3763964639707,39.6279586550398,39.9506882722555,43.0742620240195,42.3578055266428,39.5024585749424,50.0944337873799,49.1396334998062,36.5204738324873,41.6684190678277,43.8182097745841,33.8292861663773,41.2413332272648,40.4856112832052,37.8594383933398,40.4078053890359,41.2664249322515,46.4084765375618,43.7437394886623,37.7280673601322,47.6149508858828,37.7159766538356,42.2402626774944,48.1370127972424,37.6495724564774
1901,243,36.0867362907058,42.0818535297745,39.9966989273119,40.0189718800844,38.8590554479502,43.9231024985978,41.8582876066977,37.652647389354,48.1800716369387,48.3495232847644,34.4267062704175,40.9737061887025,44.688326488631,33.9550523178348,41.7116550561755,39.1666989932582,38.0826181614396,39.3475302882927,37.0527106854697,43.2163654171085,41.0097098429163,36.6868299089722,47.0327145387141,36.1652915927375,39.4611336884468,45.2965048496884,35.0315993324273
1902,10,49.093131285984,36.3754869623961,43.5742062273819,43.9354455712483,45.3011851513937,35.4936439494246,38.3848296893075,46.6140348205805,24.0257845177608,24.9731032907188,51.2684035880016,37.7574552090635,32.6802060376955,55.2908353796274,40.7260421828361,43.2796614573426,45.5960522756092,41.869901789875,45.0261764943021,35.0615175901829,38.8372666683577,49.2628876547525,28.1457410414255,51.1277301645201,41.7304421527605,28.149801645375,50.5801077055834
1903,146,46.2684254008336,29.4362983235271,34.3784035165323,34.7950373139982,39.0271309161428,21.2498629029658,29.4743509567971,42.0535689293695,8.05538364114361,8.1626949413295,48.17990350252,28.3418071835173,16.7750578553779,48.2089883720037,26.0086293901174,34.2200995806711,39.6663536259172,32.7697191429689,41.5930068444558,19.9537521568267,28.427864056924,43.6542244526702,11.718026253833,45.1039136198564,34.2374990705433,13.2997000304874,52.720615500527
1904,133,34.8105235503498,40.4171940057093,35.9509931898567,34.1054394979611,39.4333133707481,41.3237383844806,39.3053450200437,33.7635370862803,47.5589462893612,48.5158378455002,32.2685659531506,42.1957312506408,46.3882771803059,33.8117817327066,42.9320414120524,40.8982952945406,35.8818784522135,39.1222228780798,33.4392963717254,41.73033217951,37.7050764929124,34.9156425070297,48.2250371761259,32.6898826488361,36.7938387997692,44.5272922507678,30.0533513170663
1905,231,29.8848490204108,35.0319260088486,33.8496839465894,34.5609316025746,31.8367761973839,36.2908944392852,35.9812096256631,32.6995996565761,39.8528816950004,43.8907532177285,31.5682175194245,36.2907842757973,40.8658062941812,31.1775656734384,39.4959445412737,35.7469435981933,33.9326980717868,35.4789017605939,31.7682636016774,37.9250428511563,35.9168903333504,31.3646415059656,41.069011186014,32.5126444456707,33.752781113638,39.3072467380229,28.7045325146065
1906,274,23.68501650424,34.1922225952617,34.908216842333,34.9975145346385,29.3449299806514,42.0475021417617,37.4090643013596,31.7180552122545,53.0244081037038,49.8353367405646,25.1202939402534,36.1024781432534,44.9946099784201,24.0266704058207,39.4732720729184,32.9309003391104,29.8737117045076,36.6305876935109,30.0489533096357,45.2379766345734,38.0300727988432,26.8308877868861,49.7531455849742,26.3417169945284,36.4963222361002,47.6053417013662,20.0732740618061
1089,74,45.8921469577779,38.5441862847158,40.0152066113329,41.0973237660817,42.2724290517014,36.7467545507076,35.0803111286627,41.2160513849856,29.7474514612633,28.1183008334086,45.2405193693326,36.4518546036111,33.0709383212581,48.4255085312358,39.2810920183952,38.2511717342226,39.7774749600993,37.3817105390572,41.5769239300803,34.5819211294566,36.1318405630526,45.9345922583486,32.0377209748602,45.2715269790754,37.9846319483813,29.290750545461,45.2511191503806
1907,278,44.1513393666696,40.7527231601147,43.5863895863568,43.8180188802513,43.2208045138598,40.0824745043865,42.4681826531678,43.9458614672976,40.0648622122832,40.7394977618448,44.3776563989339,41.1482551112266,39.9529960335542,44.6917935984863,42.9993940698549,41.9188992859124,42.3342873514499,43.2887826503683,44.5362993837759,41.9248190372037,42.6740342424729,43.3590538698982,41.2584649051237,45.4936961582974,43.9148695054087,39.833306110134,42.6960244021517
1908,29,44.1829001383724,39.4950423059348,39.3780363960139,38.5940891887883,40.299080890221,34.73320317954,39.3232519071601,41.9317259670787,33.8078533662646,35.1942231830756,43.8093098644952,41.4829063642943,35.7101983275504,42.9404949054455,38.145469785089,41.9636735273386,43.3217334816279,40.6054684959128,41.8703848930591,36.3913906060786,38.6205993977714,42.4813048820616,34.6207523744706,40.6598662940085,39.6594092926694,35.8985752139456,44.285336786442
1909,295,34.0782309786833,33.4522736770947,33.84409876904,33.9034010640835,32.0465886803394,32.4898568893514,33.7146480021915,33.6111107796723,33.5339389622769,34.4672192525282,32.5494651210082,33.3526398718406,33.452244509576,31.4217726661465,32.7570594484876,31.9320346118265,33.8511558319411,33.6645200273927,31.9806417332685,34.3247204151749,32.7455561704852,33.0661067647528,33.7422885048943,32.8265521097592,34.59506847477,32.7336360651838,32.6275061449563
191,191,46.9900922035237,41.6039548239096,36.5302658360266,36.7508876668501,46.4181173325616,36.7143803522643,36.7301029794859,38.8157044992355,38.3258019453629,38.2840782862601,44.7364691303242,44.9819853097577,40.7331395658338,43.4549431039399,44.6732549497615,45.8007445431479,43.9107021934534,41.2028836478943,46.5073211814452,41.4244493670496,41.3714523588363,46.6574329325652,42.1835961471838,44.9995130503903,41.9655141873458,41.3004156087818,47.1584422018628
1910,284,34.5529247992847,28.2228613006145,32.3964414599193,31.3832127021742,32.037513844687,26.6017082362637,31.3152620964032,33.8385415272583,23.7505275730657,23.9511920272364,35.4214707589575,28.200124520286,25.8412575186492,36.0188356016905,28.551670489764,30.8494867873025,31.9612073860283,31.3951673878908,31.0851569338813,25.4962791253007,26.948720749127,28.6722094767375,20.6617870969262,32.1000090188544,29.3722954204385,22.7685452386773,33.5288574397852
1911,134,41.7185843960842,43.1295470892624,41.4947196161992,40.1357249258782,44.4273097787408,42.2776980193796,40.7718307194013,42.3835495834284,43.9359348027214,42.3605997756383,39.4034400195512,41.7799618664959,41.6159458294644,40.4707183511261,40.7823308066017,42.643775956234,41.4138851012155,40.4092736124204,42.1970331647566,41.237574653288,39.9512123610052,41.6385082200191,41.4622876756873,41.0404007478003,40.947017032231,41.932586939757,42.3055107576858
