precursor,peptide,protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1,1,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966,17.8524766787966
2,2,2,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509,15.4520266042509
3,3,3,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085,15.9247722583085
4,4,4,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451,17.9504880677451
5,5,5,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548,18.151359402548
6,6,6,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079,16.9088312374079
7,7,7,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748,17.7590258382748
8,8,8,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957,17.1689856853957
9,9,9,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754,18.7864803595754
10,10,10,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286,18.9786846763286
