precursor,peptide,protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1,1,18.7131656678319,21.0016388746195,18.1462710903939,18.2858890509908,21.0868537115573,18.8920739918954,17.1008313342199,19.6485162491637,16.9403552266105,17.259344967728,20.4447298759713,17.6981941842446,17.4017854269292,19.9541370258246,17.8713218721105,17.8263810147986,20.9150902723679,18.0405791998971,17.9689363964748,20.1440144504765,17.3709967458069,17.4265377799216,21.346232804074,18.0074866326811,18.6167522199472,20.0875609763362,17.7546122628383
2,2,2,15.3982809659466,17.8134388931652,15.00654333941,15.1935837408983,18.0936078683846,14.9652839215038,15.247695270495,17.5798108133177,15.6708253284236,14.3778024678285,17.2646308857675,15.2339052741969,13.8758720688599,17.2931959643895,15.0884134802361,15.4394949614185,16.7293149902819,14.8881734363814,14.4229911510598,16.936842898183,14.8863513756567,16.2032724086439,16.0606617631539,15.1259425001072,15.0011438866892,16.4369278723965,16.4134364975843
3,3,3,15.910799861344,17.5608719177603,16.4334148254106,16.5188120864622,16.5625377142184,16.3931684506269,16.4272385021711,17.433028049392,16.4591623280607,16.0314657420003,17.4467310712018,14.8589067399115,16.867062793857,17.0617594000672,16.2750193355675,15.642245121299,17.31213031395,15.9981629631431,14.8406783364114,17.1819661631463,16.7716702585089,16.2059350712897,17.5925197671571,16.0629156492348,16.44583735575,17.9313301234043,15.8065107318954
4,4,4,17.8354746209479,19.9032724565566,18.1170171848015,18.7164606340908,18.4513344633856,16.8734811433614,17.9261114914352,20.1068388429469,18.3570540128037,17.153202182796,19.5405009086217,17.5626674383856,17.6314845922409,20.2313859732743,18.2734506301853,18.0447203948229,19.2416676403991,16.6350800794698,17.6488193352415,20.3005179678676,17.6435598131758,17.8062991286224,19.0368028718989,18.007743343244,18.2810283962268,19.7617583442245,17.4233450667729
5,5,5,17.4068489564447,19.7632740537815,17.8164075475874,18.3670325099339,19.8303070579448,18.3003329871325,18.1189589359356,19.1985929061645,17.8046772406743,18.9883229585921,19.5387198084598,18.3179056479019,17.0075973391568,20.1435280613943,17.7108389045133,17.0096495389215,19.8154043272177,17.7528970359773,17.5295695764044,19.2605967829607,18.8604737632884,18.8475464665358,19.0532527216544,18.4533025700251,18.6479916554902,19.8922289565225,18.3588805104326
6,6,6,16.8879411444802,18.7406878544473,16.3783998262076,17.1348491014817,18.9430776262515,17.8940543844902,16.5629376378789,18.4615710476577,18.1637379696169,16.4610881510643,18.0548625213857,16.678161090648,16.8643940143697,19.0695313430143,17.1165432642671,16.1423441739393,19.7431671008132,16.7341116615155,16.2289581759144,18.343061506831,17.5828069046387,16.9223940165237,19.1373950164417,17.0573356226006,16.7621598617904,18.4797772624672,16.8864081644726
7,7,7,17.2918109843267,20.0385398395543,17.7787043595231,17.206660188918,19.2149194951201,17.9906987107388,18.2462269648289,19.0220396973773,17.6523943135818,17.5537671052076,19.61892756459,17.3538380549771,18.2812681531543,19.151670596245,18.1709484676533,17.242073760497,19.0618240894985,18.338524916761,17.6431024401236,17.9791000064545,18.0507338935173,17.9314775435242,19.7245466808713,18.0471541288137,17.5094970712353,19.6648377037947,18.4566523455413
8,8,8,17.7774242259664,17.6929656560211,17.3100136529505,16.532596370562,17.7665162734754,17.0717684009309,17.3190290296246,17.8131033960576,18.0173785130668,17.3013995925288,18.2876225278805,17.5353640437246,17.306864632447,17.631953018232,17.2897939306456,17.4090283916198,18.7074884349576,17.2732619569524,16.6650890972842,18.7387186565839,16.9622059148229,17.1114266358177,18.3373016477538,16.8814634213499,17.4150699053592,17.9086693700722,17.9120141527074
9,9,9,19.6243748514534,20.3428239026007,18.6995475349332,19.3371455249307,20.4989909302795,18.5680769269042,18.748058236992,20.3858859977685,18.8528353464904,19.049901058501,20.6211154237224,18.7155117604621,18.1559353261863,20.8277666280182,19.3874636369133,20.0932519378224,20.4659937650479,18.6784718954089,18.6772508200627,20.1022294701242,19.2788345575054,18.7550150061425,19.5463668849483,18.585258305149,19.102391224322,20.4550066276835,20.0153289505767
10,10,10,18.2148477598328,19.6765820053694,18.87178464972,19.362318032598,20.8322629676886,19.1482694592511,17.8875138847734,20.3071766781357,19.1993175678506,18.7015326588459,20.556511791808,18.9344734498144,19.5139508554478,20.0470243354064,18.8529181417045,19.2160140841143,19.4365835045851,20.0910690503928,19.2631775546332,19.4941788539877,18.9992459983362,18.6157822420413,20.1339552355216,19.0842759171689,18.7627631507233,20.7355139567418,18.982437753753
