precursor,peptide,protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1,1,18.8083707983237,20.91506167295,18.2130667826014,18.2505337520439,21.1040560354276,18.9754046676142,16.975504662543,19.2899388757167,17.0071503154231,17.6726567251441,20.2388574845799,17.7657638444965,17.2307131221022,19.6257988535915,17.6764194356455,17.6803941923245,21.0109800998013,18.149397678441,17.7831884814586,20.3680545564298,17.3133478418704,17.6240651973078,21.5135423529587,17.7808767585128,18.5698015457412,20.3595669751698,17.5737868576288
2,2,2,15.4934860964384,17.7268616914957,15.0733390316175,15.1582284419515,18.1108101922549,15.0486145972225,15.122368598818,17.2212334398706,15.7376204172363,14.7911142252445,17.0587584943761,15.3014749344488,13.704799764033,16.9648577921563,14.8935110437711,15.2935081389445,16.8252048177152,14.9969919149253,14.2372432360435,17.1608830041363,14.8287024717202,16.4007998260301,16.2279713120386,14.8993326259389,14.9541932124833,16.7089338712301,16.2326110923748
3,3,3,16.0060049918358,17.4742947160908,16.5002105176181,16.4834567875153,16.5797400380887,16.4764991263457,16.3019118304941,17.0744506759449,16.5259574168734,16.4447774994163,17.2408586798104,14.9264764001635,16.69599048903,16.733421227834,16.0801168991024,15.4962582988249,17.4080201413834,16.1069814416871,14.6549304213951,17.4060062690996,16.7140213545724,16.4034624886759,17.7598293160418,15.8363057750665,16.398886681544,18.203336122238,15.6256853266859
4,4,4,17.9306797514397,19.816695254887,18.183812877009,18.6811053351439,18.4685367872559,16.9568118190802,17.8007848197582,19.7482614694999,18.4238491016164,17.566513940212,19.3346285172303,17.6302370986376,17.4604122874139,19.9030478010411,18.0785481937203,17.8987335723488,19.3375574678325,16.7438985580137,17.4630714202252,20.5245580738209,17.5859109092394,18.0038265460086,19.2041124207836,17.7811334690757,18.2340777220208,20.0337643430582,17.2425196615634
5,5,5,17.5020540869365,19.6766968521119,17.8832032397949,18.331677210987,19.8475093818151,18.3836636628513,17.9936322642587,18.8400155327174,17.871472329487,19.4016347160081,19.3328474170684,18.3854753081538,16.8365250343298,19.8151898891611,17.5159364680483,16.8636627164474,19.9112941546511,17.8617155145213,17.3438216613882,19.484636888914,18.8028248593519,19.045073883922,19.2205622705391,18.2266926958567,18.6010409812843,20.1642349553561,18.178055105223
6,6,6,16.983146274972,18.6541106527777,16.4451955184151,17.0994938025348,18.9602799501218,17.977385060209,16.4376109662019,18.1029936742106,18.2305330584296,16.8743999084804,17.8489901299942,16.7457307508999,16.6933217095428,18.7411931707811,16.921640827802,15.9963573514652,19.8390569282465,16.8429301400594,16.0432102608981,18.5671016127843,17.5251580007023,17.1199214339099,19.3047045653264,16.8307257484323,16.7152091875844,18.7517832613008,16.7055827592631
7,7,7,17.3870161148185,19.9519626378848,17.8455000517306,17.1713048899711,19.2321218189904,18.0740293864575,18.120900293152,18.6634623239303,17.7191894023944,17.9670788626236,19.4130551731986,17.421407715229,18.1101958483274,18.8233324240119,17.9760460311882,17.0960869380229,19.1577139169319,18.447343395305,17.4573545251073,18.2031401124078,17.9930849895809,18.1290049609104,19.891856229756,17.8205442546454,17.4625463970293,19.9368437026283,18.2758269403318
8,8,8,17.8726293564582,17.6063884543516,17.376809345158,16.4972410716151,17.7837185973457,17.1550990766497,17.1937023579476,17.4545260226106,18.0841736018794,17.7147113499448,18.081750136489,17.6029337039765,17.1357923276201,17.3036148459989,17.0948914941806,17.2630415691458,18.803378262391,17.3820804354964,16.4793411822679,18.9627587625371,16.9045570108865,17.3089540532039,18.5046111966385,16.6548535471816,17.3681192311532,18.1806753689058,17.7311887474979
9,9,9,19.7195799819452,20.2562467009312,18.7663432271407,19.3017902259838,20.5161932541498,18.651407602623,18.622731565315,20.0273086243214,18.9196304353031,19.463212815917,20.415243032331,18.783081420714,17.9848630213594,20.499428455785,19.1925612004483,19.9472651153483,20.5618835924812,18.7872903739528,18.4915029050464,20.3262695760775,19.2211856535689,18.9525424235287,19.713676433833,18.3586484309807,19.055440550116,20.7270126265171,19.8345035453672
10,10,10,18.3100528903245,19.5900048036999,18.9385803419275,19.3269627336511,20.8494652915589,19.2316001349699,17.7621872130964,19.9485993046887,19.2661126566633,19.1148444162619,20.3506394004166,19.0020431100663,19.3428785506209,19.7186861631732,18.6580157052394,19.0700272616403,19.5324733320185,20.1998875289368,19.077429639617,19.718218959941,18.9415970943998,18.8133096594274,20.3012647844063,18.8576660430006,18.7158124765173,21.0075199555754,18.8016123485435
11,11,11,16.1739680625443,15.4702147786233,16.2138491108395,15.7410483845357,16.9500042953053,15.6940570807999,16.375348140443,16.859369056146,16.1371976951019,16.8592186353381,17.2886508430553,15.7750986370661,16.0541045912828,16.8924718510506,16.2415384514686,15.6262291947436,18.3715925970058,16.0040962108759,16.5951867830798,16.8164177789401,17.2290826757198,14.9541832516913,17.702618371388,16.4081926928193,16.6714407321733,16.4254215757263,16.1803417242486
12,12,12,16.5424459959198,18.101082657746,17.0961052064786,16.1436298248531,18.530180886748,16.9354153100807,17.269538012213,18.9295284608646,16.6575827035128,17.1552368911436,17.6635345718742,16.6450195326739,15.6924784469815,18.1004503813916,17.1706883252653,17.0630744245127,18.8426648016523,16.1846329594115,16.4096374431013,17.7825147839831,16.8419482566454,16.3278725719676,18.8354722496377,16.372934954306,16.8434940555315,19.0492287012223,16.6230736666335
13,13,13,16.8767567372484,19.2673422876901,17.7357500435494,18.1146518606655,19.492444822821,17.2551440287295,17.9317045726457,18.3940111156449,18.0474340441879,18.4973623240803,19.344156437048,17.7001588723547,17.1520816282216,18.5113536367483,16.9927651773054,18.1542103061068,19.3677961121294,17.782382218328,17.2257383212558,19.1778824988023,17.9186153871185,17.9755337212358,19.3817060918198,18.0251184555819,17.0372895531599,19.9946050130776,16.7226184609675
