precursor,peptide,protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,1,1,20.1767714622981,21.6598444533478,19.3573017141136,23.8167337873095,24.5923645761068,22.1560762372589,21.2979759312169,21.9424330515882,20.0516473853373,18.3293274479396,18.1336928726984,19.2163851502438,21.768081828236,20.4644128010206,22.3858197774887,19.063927249042,19.401686594655,18.9097753222264,17.0606762265583,17.7323323887191,18.2384692518153,19.3096320274504,20.7289291905907,18.8810550731661,16.9559825402923,17.2933806164738,17.6536499827013
2,2,2,16.5621012635868,17.2422986035986,15.6794793754285,17.696493572092,17.9491245721687,18.0071828433982,15.9824739379662,15.5950513359098,15.5327728029072,11.0960229327381,10.3382598868426,12.1660803809686,13.3792502510255,14.0495750831683,13.556809002023,12.3547641778557,11.3810239008133,11.6174696194565,14.1017778864714,16.8810744801354,16.4893299265078,17.2040939198232,17.3520818938025,17.9048010753743,14.6002438005353,14.9793593122518,17.6298171143537
3,3,3,13.5432736459687,14.8011915625474,14.2154049065115,15.1264778473059,14.6851948607071,15.2182994383691,14.718208454935,15.0481953218805,14.5849416984261,16.3593102176872,16.7079003294334,14.9540620261196,17.5381921541781,16.7997513181694,18.3048807173849,14.9795300774336,16.5995751736773,16.5932104422228,15.3599382934539,18.0573583272286,17.0383941218365,18.0095906361003,19.7099607857933,19.2340550901689,18.8116551148981,17.0512841328618,17.0487207388309
4,4,4,20.8299219631262,21.0809369452315,21.2440076335292,22.9541038379428,21.0529349943153,22.2015608582045,20.794650353916,19.3029979808713,20.7761586601875,16.3694675465066,16.4804148576681,17.6765878918195,19.3809138468534,19.2406414164847,18.638722943249,16.3084323926941,17.2941229179252,15.8420573926298,18.72350812529,18.7798331464816,19.3949559873682,22.7064443035992,19.5516584657724,19.4447766208029,18.7251485473759,18.5497283998882,19.7811348696659
5,5,5,17.9009691624856,18.2676202384619,17.8198401343681,19.7689055253916,20.6917817969825,18.7019738823148,18.492701220885,18.9146051078345,18.7249312218166,16.7164748689443,14.2199413640747,13.1607463211213,15.9722158698843,16.1446463806445,17.6084659786415,16.1596278757022,14.6302428515735,14.7596715071119,16.5076718441775,17.3657881233922,17.3072835603726,18.1617065199256,17.740028041826,19.2286252397133,16.8606491953713,16.3828776790152,17.3561457339703
6,6,6,17.5583369592514,17.1812427813447,17.0159390313634,18.8369569138736,19.7673416430294,17.9707934245596,17.5994149563694,18.2065196485234,17.6639844821557,16.9507370820813,16.6501670419386,16.5967491451642,17.9044808775376,18.5567476628987,20.0613656063419,17.482255729286,16.2594478558418,16.8102612020563,15.4394580536625,14.7587565686499,14.5986583575653,16.5432924827308,16.8508479476693,15.7723896735346,15.2629335745237,14.3776551101365,14.4126019424629
7,7,7,18.7101345003991,19.9131365607562,19.6684100170119,21.9083325022008,21.762782684908,19.9311711991144,19.3777182061191,20.3516255493574,19.8722781058002,18.7267624780695,19.026204243091,17.2436316254508,20.8752693400665,19.6876090784196,20.1288801348896,19.0515035815748,19.0454128669012,19.2724264091402,15.2461869754842,15.7649888386721,15.5019804691066,17.8082245578999,17.3981105231527,19.1820729172407,17.1745184847224,15.4601185257993,15.9464903226913
8,8,8,16.8935935955323,16.8005645095786,16.8824756850433,17.9806140895246,16.942698388246,17.8338093565859,16.6353144756833,17.1834614775797,16.9204621477602,18.7541498944986,18.0604536324291,18.021805970774,18.1394278903799,17.842334162273,20.4924756469873,18.9556520395518,18.3788016530455,18.6523890314057,19.5435518072556,20.6810342514769,21.2448719703102,22.4840363176831,21.0871825740309,21.5172685883275,19.2319864860129,19.5711940911742,20.4594680933077
9,9,9,21.4313058783695,20.7640213847265,19.9090078005029,22.6713182861352,23.1413091351591,21.5750853828199,20.9752025659341,21.2274376832388,20.6622320395792,22.3844211003529,21.6024553429097,23.1459534326713,23.3746327792488,23.6493482562283,24.4364326420761,22.8296220019806,22.656820220384,22.3685919642819,20.7890193236611,21.8901777354392,21.2133324434064,22.3234694520846,21.6417080095198,23.5954785472176,21.8858212475836,19.9032589124467,23.4600800378664
10,10,10,16.097636074858,16.8936216887455,15.4292144858895,17.5669293047257,18.7297475289005,17.7877471378361,16.5755089722644,16.9700520798896,18.0188858287579,18.7162688775614,18.5277348261766,18.6704795413598,19.9058578583038,20.0785172832044,18.9260519177481,18.3804614786332,17.8854116181407,19.5550620840174,20.6717045817596,20.1969898290545,19.5894917649736,21.2612036950338,20.9669780861243,21.2571905571215,19.925537847269,20.2312339691788,19.4954500694804
