precursor,peptide,protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1,1,-0.397849294228816,2.75256464099417,0.258687243847007,1.42591900498899,4.1472383815554,1.29880829182386,-1.02806971076017,1.86727674356302,-0.378370462708648,-0.649968568653466,3.15960974119326,-0.52655962806787,-0.230442750462726,1.82792092175062,0.512166304104868,0.880411319116191,3.35204700477742,-0.869763599994654,-0.448137667598489,1.38138243725801,-0.4939271513356,0.097344691444309,2.85422782492464,-0.710217410839199,0.35079297615418,0.833931164054136,0.301400575625728
2,2,2,-0.109173363891581,0.535670554825206,-1.15346862035516,0.911719284288321,1.40734450666583,-1.14522729480601,-0.80254592039674,1.62172947875085,-0.993898916090215,-0.523592327077467,2.13045892076026,0.123958057523331,-0.666194979541026,2.77276396067582,-0.148815632959333,1.18978730661849,1.88271698608922,-0.802388545987052,-1.55393748302602,1.12894285429018,-0.996567366433234,1.09918530751998,1.3304790527958,-1.17114019040183,0.454752175506047,1.71077569092171,2.13066623193749
3,3,3,-0.819997938980915,0.273657872567873,-0.109731060857593,0.778615285765889,0.451417837733,0.615919733693456,0.0413826532150265,1.14084911625051,0.366273021957452,-0.0672748330253339,1.48243103301589,-2.05824583379574,0.896475672152808,0.715970404779957,0.262765849007703,-0.829200839127474,1.82381891055415,-0.633617514117716,-1.29027989251165,0.939936754099141,2.22034113146144,1.28096633814504,2.69385512831847,-0.0937181862599674,0.00931355436661377,2.04552688924817,0.555067039946564
4,4,4,-0.398348430776515,1.23628505425167,-0.898287970829692,0.193361859496888,-0.0458408376118991,-1.99427641626884,0.204986571279627,1.25911172713281,-0.307508825234247,-0.892183411790602,2.49008681810652,-1.5644094261199,-0.166075707197158,2.32179459551059,0.122247685670934,1.05825911898776,1.32259522883358,-2.21983647129539,-0.0742455662158217,3.48925491605777,-0.0137009416010345,-0.144094348142224,0.388017302757304,-0.742809424773833,0.218339914358046,0.108712914341907,1.1399456652413
5,5,5,-0.271822229226681,1.1065657438909,-0.144758101670262,0.435524154917723,2.64848496724573,0.672809712884788,-0.163701925691041,0.815003753433546,0.696742738585284,1.59792649126507,1.22449142175539,0.429888637506164,-0.283446620172593,1.36890214028836,-0.398529800062799,-1.31447987109247,2.43544084484405,-1.15911977619532,-0.384230603595821,0.850368376116673,0.0276509501268646,0.347711872500875,0.482238122543402,-1.00380890191433,0.0365187310949462,1.7984127769848,0.620807773278196
6,6,6,0.129849155324484,0.918920720158273,-0.293740778400492,0.09345028558589,2.468348401078,0.709027841359056,-0.223299440910374,0.828126883463714,0.380099586709754,-0.201308200612534,1.12325952439409,-0.280980413924637,0.113282152676708,1.74750651752796,-0.802821700809101,0.0880260479358255,2.85484356752985,-1.14202698626552,0.675512455244045,1.35991118827674,0.557892178634133,-0.131362832886558,1.72101487774157,-0.881074621438167,-0.544149622357487,0.47013406016097,-0.194779168874339
7,7,7,-0.897074072263716,1.81157553974957,-0.694158297386696,0.646623296261489,2.2850686742207,0.675412973457156,0.250450776002227,0.609783889282613,0.40967244161835,-0.024931163766734,2.49439962778059,-0.311380920778236,0.889670994686709,1.27871957390646,0.383494951107899,-0.864739830919974,1.32270973693515,-0.27951013832402,-0.0898530573959886,2.05274882898411,1.8973826543711,0.302775002673908,1.69618301876323,-0.370705640237099,-0.212921945277919,3.30772286940534,0.767014776892329
8,8,8,-0.141932547792847,0.45553955641104,-0.864879598484829,0.105733674421555,0.0366668068963674,0.0789313310171231,0.0361988733712927,1.08410447609178,0.0295389129160193,0.0558525356322335,-0.188045538936142,-0.353836179831368,-0.0226833330053275,-0.513159059270275,-0.229719979777933,-0.0331692026269064,1.73970153200272,-0.846151233088651,-0.777922140884521,1.74312667350737,-1.03058325959833,0.233386500218774,0.399821154381504,-1.24506399012213,0.544535640665747,0.657484625232205,0.294558632248795
9,9,9,0.553212643896118,1.30367666187341,-0.367558599382259,0.226623458421224,2.39271046266124,0.280340445527989,-0.779836102317342,0.982813411177547,-0.0712582864132134,-0.412683051257534,0.948352557188692,-0.578673010146635,-0.579488415268792,1.19504824194096,-0.0505082051835002,0.992171466526325,1.58485173434745,-1.22875509295652,-0.340145115633688,0.774869316754206,0.815561010817699,0.634839493026407,0.146656098715734,-1.7206896600043,-0.29469437739272,1.92800409296764,2.48748008565283
10,10,10,-0.219169554913417,0.760575285165874,-0.205964588349992,0.91751136714219,2.5424364611046,0.584242446880757,-0.698341812228774,1.75676277089571,1.84668310746745,-0.341386397103666,1.21902651318906,-1.28838465654867,0.0852399449434746,1.36366614586242,-1.08246793048143,0.256146452160192,-0.186080113035182,-0.302836096275652,0.687321251371144,0.857384668609741,5.87194094321397e-05,0.0864326955480403,0.616707284226569,-0.247933494365867,-0.773753946919185,0.734497211777872,-0.332368773826839
