protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.86074923964801,8.549966400989,5.47667856960347,6.61158078251208,9.29214841211097,6.56955083438375,6.1024611289635,8.63178976868902,7.22247571668221,6.90356276240353,8.93948454899261,5.54848988798387,7.48853717793845,9.06064198377813,6.08701030629692,6.43657448813504,9.78852757570505,4.6292006355806,6.05576150742764,10.2827109912603,6.24998876543859,6.55630351768508,8.95585470293097,5.68022416123015,5.73133332809817,8.5167575563004,6.39924141555849
2,6.42088189317297,7.39128756150318,5.49532996973219,5.95406615168714,8.32124789093226,5.96765081194305,6.31970289676386,7.26489282027003,6.71400802612503,5.91636891743206,9.23155041504662,5.65286396595185,6.42658069084306,7.38160933027097,5.65564963661644,6.6632323435606,8.44321278876554,4.76149986550895,5.97435258960372,7.93874326888906,6.56875566276444,6.61814101911616,7.24382155247293,5.30943127394339,5.97103773582958,7.19828683402608,6.63742765101921
3,6.75443657693143,7.89388178543338,6.73731757543566,6.97864380178348,9.1563117774849,6.6561370038503,7.4134337106382,7.69448303086716,7.20196441293241,7.19889721048807,8.48788360191918,6.07803937699532,7.05050339410997,8.44065310794912,6.45102054801819,8.03827681491408,8.37371893921774,5.88374540019393,7.22468111272542,7.89221797872014,7.48324027923362,6.82902550956856,8.5260173688236,7.32203326475062,7.26793024784161,8.46232821210134,5.78280553269684
4,5.83271980137103,7.15542884286227,5.62929243329498,6.29177573929098,7.0737719491255,5.55657493586525,6.25639659607525,7.26375121354137,6.27918953114032,6.05688491090578,8.23987914689822,5.49782183515789,6.30516185125882,7.22223472247754,5.86801100918899,6.06681348648714,7.42535648209952,4.93055258307585,5.51635375134929,7.88731374000655,6.45921502004068,5.87639767537035,7.07685523979868,5.65170221117314,5.24204139051289,7.26983380752809,6.31970629588956
5,6.2402124528425,6.64281348992066,6.09284822994398,6.42535381741694,7.967844111808,6.69109160434308,7.11360526986261,7.19153873383632,7.1319248384537,6.78432694767432,8.37502869035009,6.14433026847293,6.76442270048064,7.93972277503292,5.23581726476323,7.40969517423959,8.22263246892576,5.20025346222618,5.89574722446685,8.05105440135523,5.89870266294244,6.55133193525818,7.09668907350004,5.49308770601664,7.57501951564107,8.72621578092,7.09702359585072
6,6.73166540711441,7.76895335660264,5.87862458590547,6.2569480779681,9.12916551258429,6.63724732799526,6.3838074334144,8.46155847561126,6.48867918940943,6.59770520325027,8.39459704926856,6.31594580470174,7.55024106154292,8.40550215124362,6.31342485229276,6.81055647030979,8.05595015368817,5.78809781678594,6.65925185442488,7.85447151425355,7.03729530428772,6.91802848582562,8.10281418009085,6.0329779971351,6.32117710737681,8.30642322985357,6.47321740474125
7,6.12037131512822,7.19604908553532,5.5578776833562,6.49117657712668,7.48937523449191,5.87160207190837,6.00412879717285,7.76691437022782,6.5980526628254,6.87573710562166,7.96140261570488,4.93805005283512,7.05104541952357,7.14649873428686,5.81069594466509,6.47385512637421,7.77676613665208,5.03096603385605,6.42910988823074,7.48397350996476,6.47873746002225,6.07469750130303,6.96707158713997,5.26515492685867,6.15164551559752,7.62809506210513,6.53910115045362
8,5.77930316348276,6.65600061201253,5.86816768559596,6.77372684953151,7.94777393204191,6.78822438698463,5.96207335823067,7.99387966852118,6.34527202408861,6.63854320185351,7.03766951406226,6.08163375075135,6.99811143948569,7.26851436391752,6.09268891000698,6.8831117440175,7.66694978301937,5.01704263862101,6.47815102428293,7.74100228684908,5.81988152960919,6.66142413834767,7.35423162023099,5.28753618032698,6.29308880057604,7.05882260369872,6.89723547861766
9,7.99445706424227,8.97663065878495,7.89310967463869,9.53200465218,10.2787994343782,8.09587219051545,10.2431091832064,9.08754964627049,8.65359750009655,8.44391421028419,10.5043576623282,7.14009422717169,8.77011391180621,10.5983928669104,8.64078218409187,8.73171062564005,10.9861643263366,6.96473835986821,7.87448534942569,9.70519859123936,8.69643871501404,8.59351928593732,9.55064559271722,7.35222431365097,8.01866606944808,9.94570357764499,10.0330057733167
10,7.45156535534375,7.66778465684156,6.38220396177408,5.97229271941924,8.2002156795229,6.94088887481089,5.98674327300828,8.91069407654977,6.8239626796832,7.45884626325089,8.0313903171418,5.71915384390855,7.06629450422008,8.66374372398619,6.15756315491729,6.87646072703807,9.01564718761126,5.95936661337113,6.24272488953176,8.29249358625606,6.59023005230206,6.91270310576084,8.70053751575548,6.34025403169668,6.84618295183725,7.60249393028742,7.07143120004807
11,5.99879964481993,6.05298856036988,4.18407369089431,5.20522596939098,6.75397064426003,5.44944866309328,5.51172768290502,6.15689215539784,5.44988239667095,5.34621375323484,7.13548445872818,5.2337046587016,5.31304088410011,5.68215691935249,5.12757080200217,5.94854899540657,6.58634839970508,4.657411656149,5.79803163643158,6.22534150080406,6.15553569568546,4.61562160410976,7.09193469243199,4.67173445123022,5.41774847489013,5.55023757260127,5.82746869479126
12,5.97463214816559,7.22957636307088,5.72727236599746,5.76833163821846,7.90322932750281,7.08609510993135,6.75082757889131,7.20001439040471,6.98388973569211,6.72999153504562,9.13750463315041,5.77867825505772,6.37085272955138,8.30411066216267,5.29729914375935,6.64623344323505,7.1420244601193,5.32604154382439,5.88347405904178,7.63285497302297,6.54035657058032,7.03919574063256,7.84857014767963,5.41363592216453,5.71669272270875,7.73727983254595,6.27428571169184
13,5.05576224363942,5.77660049020638,3.93489337468761,4.45996716636233,6.13710651855926,5.62063984640085,4.38276786120607,6.58248276444974,4.72301159926765,4.82180138004687,6.17417044464625,3.76676110641276,5.00141202717874,6.40266649617762,4.35525085984547,5.73120821668903,6.42286242047387,3.63442206923446,4.35396136205205,6.14981846903645,4.35125317588561,4.02700148875221,6.55282507489621,5.55001438358047,4.51325618012665,6.35393818868737,4.94690864587426
14,5.82262260718113,6.24989844160455,4.95819991925103,5.71070650616808,7.08660363561857,5.60393761376287,5.19273496212289,6.38749896339325,4.63098687154679,5.58129943210114,7.83217234706638,4.35281676877592,5.44984817593424,7.00618252184564,4.5955652399851,5.74860677451462,6.934099334147,4.38152923885497,4.76552844354902,7.45003434736371,4.84316926911746,6.05261922589163,7.45961862456857,4.44118195121154,4.95667903857732,6.75344672311899,4.9009121140245
15,5.74395235004458,6.78617189485044,5.4798911625297,5.38287983728506,7.3387164664965,6.77750680365359,5.07385467813487,6.67668540730402,6.71265269543308,6.14514553832565,7.22372073810609,4.92080133820732,6.10399496500038,7.37387826070307,5.29602895232716,5.97718348139503,7.81449869691872,4.73020218006822,5.37957349924356,7.06833867857797,6.46901214807732,6.39202065596407,7.5254300825399,5.22845763074578,5.22243461137805,7.11981595052154,5.54948461296084
16,5.77088028522912,4.30528368890276,5.29374868201239,6.0601208056764,4.18188999898177,5.09055291127806,5.08488284954703,4.58743110632376,5.46817305696464,5.71117856212298,4.79073520887092,4.12976282286499,6.46070093796322,4.07569468742519,4.99476612798418,6.72252094821929,3.89542249876811,5.41132245718381,5.49333236752013,4.21492457691558,5.99784378334247,6.30181316815766,4.10852537525203,4.55122642651879,5.4216669664148,4.43079624093627,5.26401650249753
17,6.77463740304102,3.7771280058253,6.58899308586377,6.85100265477585,3.96480988025094,6.00863679386224,5.77994120846542,4.91835879573936,6.37789403102174,6.74189248932577,4.81823606446014,6.1973108233552,7.00235213471149,4.39243486706022,5.39892467591132,6.61181932361229,4.64100816995807,5.29026845303211,5.87571424418565,4.93987242402088,6.3438327890423,7.0883601176254,4.53126869894005,5.89620335815739,5.6036396834423,4.74864820782105,6.37879033624625
18,5.64718817495715,2.78462213841899,5.41743745253392,5.03008405653675,3.4686261401929,6.18280305731039,6.10313369254034,3.49897483653977,5.44163866268096,5.34596045452325,3.01142631056955,5.30181697111591,5.90774149417631,3.60985030331824,5.04668562451251,5.95327068660411,4.27714799338237,4.76730554408685,5.89840823666427,3.92413740469795,4.86583813705883,6.77450099768486,3.01933852144728,5.6977426819548,5.40200006784319,2.18479757708368,6.47301100091099
19,6.01492658763709,4.68992580283347,6.67215489442579,5.75518294845293,4.95512572337252,5.30272568883484,5.59976622504521,3.72475786524695,5.96018767706657,6.39235054386989,4.4358634553629,5.79912395609389,6.8695343593591,4.18252831447964,5.668437546438,6.70180705360595,4.33439244550976,4.5491672443083,6.85931428584456,4.24890522617502,6.67879729823643,5.95426699179445,4.76951416696924,5.65982500309311,5.93875510118566,3.36500804103302,5.67808331572721
20,7.76460877405258,5.73402507096573,7.45869686702681,7.52130441977632,6.90573837132639,7.30594662743751,7.45858878827007,6.75057725063408,7.8642965582853,7.67411264251136,6.68495877462055,6.44948505787025,8.36410278692959,6.76984777053332,6.79775676614245,8.31200072038434,7.33430927180346,6.32342295066569,7.63322714006311,6.89346306130781,7.9788271484733,7.53197589029637,6.14636720049342,6.6196774614641,7.53842071731122,6.22553084820507,8.87862830935956
21,6.85674427714265,5.29286136161195,5.68852036017567,6.77419821033917,6.18604159285898,6.81884051781393,7.78047763224293,5.8503856136567,6.63514944291888,6.86804045556063,6.04022370724035,6.51853391549273,7.23963039922091,6.0376831256814,6.60112965169335,6.87514239270251,6.48201478949658,5.30842262448906,6.80816702655418,5.73995760516988,6.60322622550699,7.554341620979,6.57441473053194,5.79203652157365,6.25121632873382,5.74571923912306,7.53694888311858
22,7.70620888161637,3.91099990580314,6.65270936505863,6.89344994575777,4.46593559889102,7.01424041885369,5.96334708710445,5.40113433349463,5.87371893914567,7.10241011213918,4.8740977254904,5.8044818889229,6.84393355029063,5.33067600805385,6.19545864883733,7.16858062184703,5.28734503156077,5.10530862361915,5.84006363249959,4.53801180811917,7.39712862910036,6.29045745587191,5.33448612687643,6.1645625949271,6.12646628817493,4.95646225068169,6.74923085472461
23,7.38284185783319,4.94687536222534,6.31159217725224,7.2591908225662,4.80192673850807,7.12373723418108,6.54127591339253,5.04497818871675,7.19493362138973,6.94517456332947,5.87335303705058,5.80372667822989,7.18163559799323,5.2875179120176,6.71720249705263,7.2265864179416,6.03259014985349,5.42949511130701,7.42028500467684,5.92960845248573,6.95114090539667,6.96570067606199,5.28538554506434,5.90505748184437,6.52497659117559,4.96337461482609,6.76058714559506
24,5.29631897243351,3.57814807166341,5.10364595440204,4.93595036292438,4.54384467561684,5.37057072914565,5.83288947238848,4.14358774273565,5.53778712663562,5.7744626529296,4.42162216372443,4.71846079544735,6.16886833389026,3.32802795140602,5.47570261151841,6.33434427544661,3.70846755008722,5.18210149329643,5.50335851832914,4.08314197145742,5.3027050444378,5.93214236570371,3.60044021342571,4.88936818263448,5.67877392728516,4.33634710166862,5.64681228319134
25,5.68646527871987,4.13437243863813,5.6140364262652,6.45458855240126,4.72087720358177,6.02285155568059,6.05972285870965,4.56922288427064,6.12680411772243,6.30794243655751,4.89677537612263,5.32500501719742,6.06017682975006,4.41387260134547,5.89917742247704,6.74364253440772,4.28812198170714,5.04290704040916,6.04599687623618,4.85402371145005,6.35763333060425,5.93523290360591,4.22407866625662,5.7260055268096,5.66374587035987,4.21340734523843,6.01854275995986
26,8.56597476033217,6.50865050203851,8.29934954835131,9.33868691041735,6.52407261427934,8.35766603062382,8.25096190824917,6.02307017418343,9.01552835496246,8.71275632727246,7.32755358530076,8.26962699880276,9.01935191644269,6.44906711029532,7.41314714276227,9.26817980248775,7.05955723720703,7.10111080881777,8.41606615208535,6.54350276287953,7.99043577341511,9.48931605740604,6.90609135296029,8.04790672835764,8.07324555510236,7.05333233305661,8.3196231298775
27,6.85394490919307,5.75362714374459,6.62103295859507,6.53560651123397,5.41405564847047,6.42804124660542,6.05331081166602,4.64581734597488,6.49144127698151,6.86381409885431,5.11875540104984,6.21817636910876,6.73508349757438,5.19120143817218,6.04209543749796,7.05549543221983,5.16396662889048,5.9400009119936,7.0126169049466,5.66057130751242,6.54286019577757,6.91726952743387,4.77264436710203,5.49577237356941,6.37907322541574,5.46581288690436,6.39340448903365
28,6.0280624268443,4.1409836603813,6.47050277305179,7.29413847261399,5.10589581163929,6.25930231040721,6.07491709917219,5.08792248745968,6.09301389080076,6.13683337177719,6.01327867529526,5.76817443573458,6.44913117655279,5.14191763992445,5.68416576542496,6.84306899494758,4.89611515017409,5.95206379785816,5.79008778812248,4.73408515480967,6.89911345232827,6.52224756511604,5.39569782672781,4.68290422093183,7.20274314915322,5.19299851099766,6.48340158736654
29,5.8686481318326,2.98744637533994,4.47112364739981,5.77659322326112,4.08403032000594,5.33877176291917,4.92669091622758,3.73461909192867,5.18540529104189,5.599021873369,3.51935752154388,4.72605583924716,5.5017127739847,3.80800702049811,5.27301298001683,5.72185015805526,3.73605674525709,4.08462371955867,4.94417476867591,4.18908205208665,5.62986243791113,5.67365752522083,3.61083251632608,4.47883998624429,5.23181909924083,3.36287849085589,5.10004509357602
30,7.92817775401044,4.10216027722597,8.20357884274178,8.0372383209028,4.65796003094281,7.40629563028977,7.49124504800741,5.0153577326612,6.97592649634991,7.30362502406581,4.60939946947387,6.87774456412108,8.14656751761831,5.40937229310715,7.97281505922666,7.62299442704448,5.58808609193442,6.4688158297287,9.05276805387023,4.55726716089766,7.36675320240932,7.63460939412911,4.79452521615083,6.73676011887734,7.73308233557619,4.55665102703357,7.18267266218288
31,7.18775868290255,8.17318652343212,9.24811160791816,7.51566545593037,7.851562524905,9.97711408087947,6.55198252472609,7.67372117167691,9.40352080005766,7.88002629989855,7.01144235447147,9.02872843831904,8.02903945499848,7.70639270067851,9.90206714055292,7.77444780624269,7.3048450252505,8.93086295529877,7.15794326655489,7.01394905427182,9.93357130514111,7.87872190368591,7.64448143493414,9.05912406869509,6.97893257554654,7.79521648029765,10.2864425918079
32,7.01690419346427,6.94472370470861,8.72331019482323,7.29491871993488,7.31171308900786,8.85156840112567,6.85222226182152,6.96608567658984,9.28685412526348,7.09703462456817,7.40199964842891,8.13834728271676,7.56775475985932,7.24012932598307,8.25968742299376,7.6577449822896,7.97944204313646,7.69631173155432,7.49143921006923,7.17982296075266,8.71734311903322,7.62480430919657,6.9467473119488,8.57016613887701,6.20623100521444,7.55803858341594,8.92644948811887
33,6.57934737739096,5.62706950751183,6.92755865537146,6.80647720329821,7.02691487755919,8.34383362034077,5.56524287009783,6.38552549760772,7.80965420988474,6.06760999122296,6.33145997297604,6.83501674594026,6.95562048950469,6.73721979342069,8.51729019382273,6.13684584969398,6.30298659408962,6.8117596705738,6.35980844810228,5.82564703809581,8.14263594902418,6.68938700300842,6.72789086779068,7.30979280794739,6.24686056878784,6.05503508628157,7.51549485891527
34,7.47085623068597,5.66425838897259,8.25850733648431,7.23296410839577,6.71458962110057,8.27972232854183,6.83200977590477,7.52485849633363,7.82591358803695,6.99570397573696,7.69738739315036,7.41758165868371,7.20665193124805,7.1813691397845,8.39710570436992,6.68681510179922,6.30869664023795,7.55181335100645,6.40833155974447,7.13276672663858,8.4183148891093,6.63463104359587,6.55502434749377,7.85162553940832,6.68530082831758,6.80983926351369,8.71630731357993
