protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.85795101564633,8.54696135490984,5.47222510696503,6.59693792404652,9.27743518100555,6.54785692331843,6.09584981399391,8.62749392990113,7.19048168352333,7.01871497784993,8.96214742403416,5.53851754751686,7.68820231476587,9.10080881880294,6.1548395458073,6.48425957636865,9.93385411715677,4.4864159562291,6.02130593775055,10.2104263119725,6.1988675877952,6.50963841983824,8.91593551724325,5.6430010317878,5.70479140984975,8.48754909792662,6.34447957559565
2,6.43603865005127,7.47385073426758,5.56225577724377,6.01862493985366,8.305395510817,5.98459199607687,6.34556719304605,7.36083205644907,6.65196395082897,5.89177330865281,9.54607045485875,5.66259321866545,6.50329534760025,7.32879558381543,5.66593202637908,6.78693776577224,8.60119646777015,4.59423529249838,5.8887178365064,7.84780231747737,6.46780194535506,6.5229385178154,7.163208273475,5.22719317506076,5.8854522468768,7.11835027536148,6.535453355634
3,6.79068441055107,7.92990794995659,6.76240566833087,7.01048255469887,9.1675119993022,6.68282152920648,7.43672223151356,7.73443041247778,7.21791513120978,7.12157309552028,8.42209845993622,5.96223711331842,6.96253145397822,8.3714789969749,6.36198111311295,8.02118140416231,8.29974204505793,5.75400179889336,7.27671557876176,7.91087852816512,7.59636354621941,6.85239401910015,8.59059781831416,7.42347679504481,7.32309819111475,8.52229426821073,5.77272925923776
4,5.84574164071498,7.18948074813849,5.64982510949798,6.24728001543948,7.11805508148731,5.58621877458319,6.21633371349127,7.28423083211709,6.21829313888329,6.10342044893137,8.3885539866463,5.4830566745895,6.3883197519282,7.22080080423719,5.90785100912764,6.11481354995339,7.45388426199811,4.83211174873414,5.45448507443775,7.88531051467291,6.47121496367131,5.83901107648275,7.01974288218015,5.60879332209461,5.16152016547355,7.22584350540582,6.32221999842065
5,6.18665537303498,6.58961967264719,6.03901222517128,6.37169423313917,7.91391668450481,6.63692437904428,7.05956463162266,7.13804111200479,7.07751354356389,6.79547458879816,8.412147465713,6.1560225293635,6.7745986279411,7.95559017115258,5.20315645414733,7.45137292506739,8.25231135022161,5.16585644764784,5.87352265721408,8.11700938675014,5.92907659368064,6.58182461846088,7.08590109160728,5.49084509625174,7.68782954651048,8.84646222698886,7.22375759067568
6,6.72882097837634,7.72633096297045,5.84099804203894,6.21972810319384,9.18503970358497,6.65455467719245,6.35577368241063,8.46908946314215,6.49522832403575,6.64601198040475,8.46057918611809,6.37189743829148,7.67861426523169,8.47240092817397,6.36916458451512,6.87675468975317,8.09346696133249,5.79968061976652,6.60696046242026,7.81512111318852,6.96018100163311,6.85718089099145,8.05525256532916,5.98907048961771,6.28006383486325,8.25212947580143,6.41475380054446
7,6.17501722379703,7.24952503740094,5.60132607030343,6.50986785069852,7.51440920958165,5.88463059412493,6.07004600575071,7.76503713511323,6.54064187743443,6.94613390154886,8.03538612864799,4.80357257576809,7.1499536286985,7.08794967759217,5.81814195706143,6.47889151279138,7.8207211424599,4.91160002454113,6.40625591999198,7.46090535212494,6.47369797280353,6.04316617170347,6.93134770693298,5.23040232980003,6.12199816565177,7.60855554726405,6.53553959564998
8,5.77370841999074,6.64625715765256,5.91440266609305,6.86047573580824,8.05798642692517,6.91989717089615,5.97345092084253,8.10837360914975,6.43581160735505,6.63077250541113,6.99447580451317,6.06791903865057,7.01472954475157,7.24097840352215,6.0797240474722,6.89192964760886,7.66643890830458,4.9311188189942,6.4232569801204,7.67389602711466,5.77174644243066,6.5999757208653,7.3009573911854,5.25843929289796,6.24481311343639,7.01611305014458,6.8105711177077
9,8.06761669785091,9.04656700596422,7.97073617963581,9.6213181505458,10.362416696839,8.17562896990861,10.339893726054,9.15865133645241,8.73921388298641,8.48644974856446,10.6042058714656,7.12488349628149,8.83688280384389,10.7052269450344,8.73705745999403,8.79562654014658,11.1218059199472,6.93650045345953,7.69313178359658,9.54605970956334,8.57038021523744,8.44165040273888,9.38516911572108,7.17104500107374,7.84322477361828,9.79642683575845,9.96175449963548
10,7.49501612178746,7.58751175334408,6.35910597449637,5.88234784449766,8.16795554664559,6.96817114231907,5.89810149855465,8.94250240485127,6.84070095116747,7.57334959660828,8.05004212566502,5.70075361299042,7.14375246464412,8.742071147873,6.18053590488675,6.93600394651581,9.12718397751573,5.96363542270916,6.25163085123394,8.27028578857,6.5533697900855,6.87644317039794,8.65082185337864,6.320245647559,6.81440740470084,7.62680175457462,7.00213125400264
11,5.92100982628765,6.04625880882626,4.23772073732025,5.19348577984644,6.68889771929527,5.39777776610465,5.47447716572673,6.14151444322425,5.39817539976775,5.33603909860846,7.1622974953712,5.2286933743614,5.3014739955163,5.64797517307938,5.11810518003053,5.96365378147309,6.59011471507981,4.62821389929354,5.88165717492228,6.23410781005334,6.33152450202013,4.51509255646667,7.23566865772968,4.61662846252083,5.44214676875927,5.45385974310255,5.95236266843477
12,6.01703347360118,7.26810946078869,5.77086836761238,5.80714786372377,7.9534691980077,7.15330479687248,6.80671766489896,7.23803375877608,7.04932329284978,6.83306487501401,9.39084466392185,5.77911402713004,6.41589597659095,8.42278986307423,5.21995308291558,6.73577304700743,7.07293233344325,5.25333971557608,5.81305069501583,7.54009613250749,6.38998967346889,6.87381496762953,7.73808752955513,5.35584362594429,5.65997259175023,7.63594114599051,6.14577995966993
13,5.08074034598044,5.81556950569605,3.97501059830734,4.49489549156333,6.17005481407107,5.63260384466054,4.41898547247242,6.60799294395124,4.74996665979865,4.7861407049371,6.11084394572614,3.61831450602413,4.98984840795044,6.36999565275662,4.28575765504107,5.81755605116092,6.39290111751784,3.46822050150337,4.38268281043298,6.17625206606855,4.37793370806414,4.05887551939308,6.57537283889489,5.56513633127844,4.54044169074098,6.37840364143136,4.96784580395378
14,5.850544844719,6.20762417195951,4.977566136771,5.7315466967317,7.09727604150973,5.66416609010161,5.18079793141939,6.35393204997461,4.62964705880431,5.61355194328111,7.89240445770255,4.36551248922234,5.47695162939235,7.03405990715053,4.61776962490988,5.78741285686993,6.95915315956315,4.39534965122208,4.71195199853271,7.42992187784648,4.81311392207917,6.03656353266071,7.43978555203792,4.39940803188377,4.90867493867301,6.71302761190669,4.87254006313041
15,5.78346611166595,6.79006032353807,5.50181976240446,5.39410350913295,7.38589685173948,6.90110379888286,5.06086617878254,6.67199555198436,6.83116836079396,6.14106654356625,7.17936205911149,4.80265099123628,6.09595378770729,7.34397749724307,5.21400739236172,5.95693226169397,7.82702306767409,4.59369999509612,5.40905910989998,7.08670404388574,6.43305461677653,6.36282212145717,7.51730120750638,5.26440595734073,5.26102841226947,7.13519755546285,5.56682535702607
16,5.79012297460388,4.30271922969209,5.27146073789988,6.04421280977297,4.19432126980581,5.09295884676408,5.18749311109326,4.55057796910738,5.42468774984328,5.70211865717546,4.924547985435,3.97034734341739,6.5994287329804,4.06851875244138,5.00590839710563,6.91287332225869,3.852701244541,5.50459956814923,5.44862376092057,4.17027932193753,5.95336384916143,6.25724426221057,4.06386173512757,4.50649652550063,5.37694597646207,4.38618828729215,5.21940976734627
17,6.7796071699319,3.75033846705451,6.6016140043658,6.85830528368419,3.94375378576622,6.0035285604339,5.75452426257098,4.9264324166187,6.3840661399438,6.73915901770174,4.81777458836018,6.18737610807298,7.01690877203838,4.36370740340746,5.33599064300441,6.60045119688287,4.62878176343848,5.22012148727721,5.88508005206055,4.97948596406701,6.37995939202791,7.13361471923815,4.55878943008695,5.91908216913061,5.60495332373415,4.78260238217503,6.41595152338265
18,5.66993895926317,2.85069935679638,5.42660573124097,5.12749539544906,3.4519488985027,6.09937331434898,6.07072175114596,3.47862584735478,5.44787894963138,5.23920470294571,2.91299293998215,5.20965061123775,5.82850097576875,3.54072688542193,4.94202329557298,5.87626012303173,4.24070786352875,4.64895957772748,5.98030040465433,4.10110386952129,4.82389756740919,7.01349748662753,3.03405297315483,5.80498243251579,5.39487441517793,2.04985893929571,6.71927484597973
19,5.99323948240372,4.67683804913653,6.66629401211562,5.72986905505052,4.94574094364355,5.27774353119032,5.5722822552725,3.69819351721193,5.94438563011893,6.4018676829349,4.44406074758734,5.79875219773014,6.91937950100884,4.16931561775492,5.65702115140527,6.73747713943783,4.33401416787035,4.44315850525187,6.9001784468321,4.27387570009066,6.72668082513416,5.9736469146787,4.8068429855993,5.68351991183416,5.9577667989468,3.36899634339888,5.7022116448415
20,7.74451575335884,5.83377775127055,7.41357588247194,7.53443654684183,6.84548426650087,7.28168490491974,7.48028523441572,6.71151163286554,7.76378770484804,7.61841399215911,6.64748570593545,6.31196217973745,8.38517182510355,6.74181937587763,6.69898228788088,8.32727292906954,7.36908236071255,6.17187451483598,7.67538070816745,6.98577026657821,8.12230580320171,7.56183977797035,6.14799335835545,6.59818516177121,7.56906686559554,6.23676573617483,9.13132308481375
21,6.83656588149013,5.30063406341594,5.69625160411033,6.75805306020912,6.15017302490975,6.77134370678133,7.71516512466131,5.83091737860803,6.59662787727383,6.8259218526762,6.00527446585433,6.48723474895093,7.21375534030274,6.00262282626232,6.57344104430497,6.83333424124492,6.46637783842134,5.22422510508587,6.84092206921899,5.76293246959135,6.68618134791675,7.68263507611779,6.70423149178339,5.77112885220775,6.21266073459378,5.76943180939146,7.73945562396419
22,7.82124485048108,3.90658613411449,6.72654093637988,6.96048439913587,4.49429631062001,7.10942400208398,5.97544969685216,5.48472785111668,5.90154336204488,7.14202105417013,4.88111439677156,5.77669661995427,6.86505350921027,5.37035552989095,6.1956432066599,7.21292529203006,5.32392472744537,5.0275056627246,5.77336961935709,4.46881930919125,7.32027965873405,6.22137244248159,5.26106539435669,6.09425693297275,6.05825185271499,4.88504832894567,6.67582137144429
23,7.39889896407857,4.96648938722178,6.32982304369287,7.27583296045016,4.8222265606809,7.13812558889187,6.56131473076866,5.06412805862378,7.20898512377268,6.90952615099286,5.9271969415535,5.6906752777949,7.18054425773651,5.25574624492548,6.73764898881444,7.23206431530669,6.10970540810291,5.26175247072283,7.41240798389091,5.91424933225777,6.93774766467997,6.9754004949081,5.29493578052301,5.93211183120086,6.5517173330681,4.98537564131358,6.7545618070837
