protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,19.1263434029496,22.2950687590533,19.2283111190185,19.6416025019034,22.4994881633333,19.9162423000257,19.2164712364101,21.6619059830108,20.3039160260617,21.6603490018166,23.0990675465519,20.9820861866266,21.6408624111331,23.3206648358494,20.7843653261046,20.406962736063,24.431823088285,20.1718765516166,19.2446475485488,23.8134151143304,19.3262727406619,19.8188606579712,22.5253527795337,19.3448218612066,19.2740873603731,22.2268450705629,19.3292896283197
2,20.3770522071428,21.8945793081993,19.9909629590855,19.7359106874988,22.200069662933,20.0255985425724,20.1388097852505,21.067865279347,20.4380194631556,20.4931698145644,23.6427530593214,21.0659243397201,20.4157179259124,21.5084140828068,20.2552202886213,20.6694034074115,23.0589279208433,20.2394583698308,18.4796757955715,20.8184074681021,18.9628234464886,19.1997771042152,20.1402418840323,18.2966303527464,18.822364545667,20.2252625962646,18.8878797566249
3,20.6916633282018,22.3106018844475,21.1510782107318,20.6877336629032,23.0221515119774,20.6837934362612,21.1899301842772,21.4014289959349,20.9639360040956,19.7851698983201,20.5809813612871,19.4277685312613,18.9371543291786,20.6132977928545,19.0134696722434,19.9658473426898,20.8196737950193,19.461425173114,21.8455078803794,22.8593180213424,22.0692193899055,21.5070669480525,23.545465771424,22.470748315283,22.2378448324575,23.6070409316664,20.1029900027812
4,19.3832452518156,21.2066993760793,19.6750223453488,19.5610558170937,20.6092192876124,19.2237153750878,19.6060663597048,20.5877541090241,19.600838705219,20.3969515332665,22.1773711695325,20.5785223740677,19.9928769086639,21.0925538816521,20.1892738497934,19.6894137700162,21.6037502934948,20.1694694044901,18.7568184010702,21.567291032865,19.6776118323722,19.2272250304499,20.7081518603048,19.3896058673476,18.8098078318311,21.0441311938763,19.3860217669789
5,18.7885456413199,19.6712249577723,19.1285961182064,18.7498566919777,20.4694675478142,19.3388076367332,19.5136839350205,19.5059510460961,19.5244457670839,20.7696278538443,21.8815868293102,20.9321104095527,20.0597779653878,21.5079654292785,19.1652014755241,20.7065953258412,22.0827995624293,20.1838362841148,20.4308471459512,23.0539810670469,20.3904646244862,21.2250297345327,22.0293012318366,20.5266488036094,22.5911083749727,23.919741077564,21.5425505213386
6,20.1069509948748,21.5841759963091,19.7068216832876,19.3741303102459,22.5168303151079,20.1326776830949,19.586132734022,21.613239145447,19.7184002957693,21.3358230049868,22.6456763092512,21.8636430780166,21.6794513622143,22.7404339458358,21.0468673654278,20.8476348500629,22.6396129330761,21.5333182157694,19.672387443408,21.2601952857359,19.9296715246893,20.0084884993139,21.5067551978091,19.532976689226,19.6914451555761,21.8335108186272,19.241649223458
7,20.0214602774498,21.5756831078939,19.9354627487064,20.1325830949049,21.3145128582589,19.8310666371817,19.7687180945164,21.3774998545724,20.2321268863223,20.7531007915481,21.3376391171983,19.4124740809104,20.2679465910983,20.4731385606712,19.6130006033913,19.5669275385183,21.4840229796207,19.7623934859612,19.8862139984081,21.3205106221007,19.8577195932881,19.6090048774543,20.7973814368413,19.1888396268367,19.947910583793,21.6044679875182,19.7769661159919
8,20.2888477659494,21.6411115204514,20.9172356368019,21.1518872723205,22.5267863679083,21.5350295062588,20.3408193019141,22.3895326209148,20.7959929085488,20.1923091473268,20.0512985449799,20.4313902957093,19.8872922590678,20.3807370385176,19.6291524457185,19.7345354252522,21.0843104973818,19.5364820323307,19.4799490143143,21.1102352528682,18.732502018693,19.7425483823939,20.7437250768715,18.7936105457124,19.6474594873554,20.5887594461765,19.6287315938274
9,22.7306667579759,24.1893320829294,23.121479864511,24.0606404012244,24.9791273519885,22.9386720194376,24.8551728212919,23.5877210623838,23.2473058983465,23.2347706926312,24.8478129140834,22.6751390554913,22.8962298203112,25.0317698821809,23.4732701603914,22.825016619941,25.7264618111755,22.7286479689471,19.415128801473,21.6477039189994,20.1964407751823,20.24952804795,21.4932417850897,19.3715212375707,19.9111761312198,22.0343782154729,21.4452199594377
10,20.5889851967864,21.1611958451832,19.9407686742455,18.7525891100502,21.215585216669,20.162133206722,18.8442996086665,21.8024911456566,19.7797119814015,22.1619079247937,22.1338865524015,21.0912465563189,21.0433368652301,22.9088514691382,20.7569859894028,20.8056314104289,23.5720772528627,21.5960203223154,19.7024714701178,22.1007735990135,19.9082739510378,20.4131644166165,22.4877381237547,20.2495654850634,20.6112023633098,21.5935967352965,20.2144403148123
