protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,39.6976329647579,42.6174024782191,39.6761671397907,40.2488267325303,42.5853702067663,40.4151945253219,39.4660751890119,42.2375890413711,39.8268009850375,41.0315260033094,42.5689950660985,40.7165918028753,41.4101880177594,43.0743561620818,40.1253815877536,40.1747487171296,45.2434780358436,41.4456262487832,40.6066949475761,45.38127943708,40.4776218871031,41.4596420797046,44.0372254922835,40.6658541056955,40.2829636945605,42.9209856104308,39.9505567828032
2,38.6814288151549,40.4791670430653,38.6747549480025,38.6087382815902,41.0859845726284,39.0154767530299,38.5821376857253,39.2973648710243,38.6843267396537,39.2812421453255,41.3819047408144,38.9709209058039,38.6841564006324,39.9301661706079,38.940731941584,38.7004159068726,41.8948620864122,39.6514052157337,37.1401701860349,39.1413903621217,37.7738237173746,37.8421192245277,39.2245992210178,37.1488573892089,37.6846664198908,39.0470776212392,36.8257253044716
3,40.6407638038289,41.834959061414,39.2982594585593,39.9178771165457,42.7078902999074,40.9665588289067,41.3036883714483,41.4514775222243,40.6763004842486,40.0452533441349,40.8602199442294,39.997620264073,39.9757663333745,41.7967605104387,38.8940212070422,39.185230734835,41.3510491232536,39.7873476514635,40.3300432402771,40.8327532877578,39.8509329213286,39.5781574104365,41.1132153684766,40.4231551116923,40.604770054016,41.7732764296738,39.0489278675305
4,38.6000165704572,40.1151460922532,39.4253371984647,39.1405691816028,40.0822874832972,38.8861100304911,38.3063443658228,39.2621296584306,38.5498001631304,39.9814847317406,41.5268434154648,39.1605589269631,38.9200752035716,40.3672066805398,39.3490603141732,38.8540124993661,41.1975721372799,39.685222350817,38.2383500330235,41.2997699974571,39.2864212013941,38.9346247534612,40.4303643857239,39.6230974406169,38.8739328890922,41.3610071517267,39.2802093276266
5,39.8902863824052,41.4634904563002,41.4482429249595,40.2796338042325,41.0128860272462,40.6230602421651,40.432661270324,40.2123894649369,40.2409206846848,42.7897673807779,43.6964450226896,42.6955980347458,41.6693985760083,43.2023856165774,40.7380569437144,42.0226341175938,44.1303670737016,42.5852587599646,40.7730286941613,42.2780729970191,41.0579782972144,41.7240275785718,41.8406263536588,41.6450985404864,42.9093205936741,43.2311059171529,41.3108958670534
6,40.3033389263909,41.5414316225137,41.2505690703911,40.4069382589436,41.7023721152773,40.7226731587343,40.7128826129392,41.9562908133599,40.1973503761404,42.6463332466546,44.0121117504215,43.3859582626913,43.3199067158467,44.587988160875,41.9489701085757,41.2854071270892,44.0332788090621,43.1456885536234,40.4732936208471,41.8714174757676,40.3160509724128,41.1397713435976,41.8264631613814,39.9652147398111,40.1321377869534,42.8686555046503,40.2831141591059
7,39.3054791189402,41.3837326023898,39.5411532614072,39.1066393649333,39.9418096237012,39.1584813614353,38.8136514140879,40.395320561831,39.3269934180614,40.5481716763916,41.4057323895562,39.4150161519946,39.9571607380282,40.3392503748897,39.2781717894379,39.0482879720828,42.2281046093762,41.1468108900847,40.3868622168041,42.0978276593449,40.0353104798201,39.7796515552914,41.8361572368123,40.6318830790355,40.2453478969319,41.8703722909002,39.7501827741434
8,39.2004942505452,40.0321578046222,38.6693779821124,38.5575972621069,40.557785324889,39.6925937199398,38.4607027945797,40.5415116868023,39.0534112356428,38.2431339830217,38.1628318318626,38.4069739709086,38.6382183097423,39.1947772225475,37.7181861957914,38.1881163410369,40.1541064084594,38.8274640594639,39.5239329412732,40.4006994277222,38.1973247241023,39.440029641643,39.9127843639442,37.7535812803823,38.827807305125,41.2567575360066,38.4803876050288
9,41.2278679784499,42.1078455460566,40.7384544762489,42.1262829098041,43.7429511857718,40.7745319047068,41.7005666957427,41.4303699802197,41.3423893065817,42.4231002286998,43.548926723113,41.942390995446,41.4874523778066,43.2938527196143,41.6587468747834,42.209648084334,45.2859228437361,43.0426876768047,40.3234567267881,41.8798172561055,41.6964616638525,42.4448043424183,41.9120032841573,39.8778843837552,41.6805466245109,43.8185884089003,42.9367267650604
10,40.20664371053,42.0577292454199,41.2413477005893,38.7395880754976,41.04207227335,41.5779609067852,40.0791771264477,41.1798692912081,41.695816422227,42.0217950441466,42.2735606845177,41.5057151576582,41.9458363581425,43.2883524145331,40.443822991865,40.8808387176058,44.2194972249707,42.6764293483772,40.4748608046786,42.3902311276294,40.4310135796628,40.5765358620874,42.4492109382637,40.9764812226122,41.3396132264289,41.9340316561585,40.7453631289117
