protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.02644607144614,5.44113636661303,2.06056955786402,3.2194897577693,5.81832211569994,3.27768926231106,3.36008037508591,5.85018340185209,4.3197958835762,3.83353424550888,5.70591140936587,2.2523813965628,4.45131312179062,5.82412089750614,3.02955461055042,3.24981820146547,6.57210835424303,1.66763100348164,2.89462620907468,7.51648146256898,3.38629762061196,3.2959234417325,5.53308492911256,2.79573563362807,2.59374518902323,5.2265720869068,3.34587707900985
2,2.48344152889211,3.45705592593043,1.92514356049688,2.55317920792328,4.58325702671216,2.20735782193578,2.74312345702459,3.92679686654202,2.79163593146928,3.10274771846571,5.01649767122326,1.75478681085458,2.75087758937908,4.15163480877802,2.07639643163503,2.84846317184574,4.51788538435273,1.50403774222112,2.53211150574594,3.98864443336,2.96860636471833,2.93839088412634,3.74918530704802,1.99626532578233,2.31072913471339,3.51509290005434,2.40753588037451
3,2.93716375437837,4.19368497484181,2.58090428329519,2.84288486099402,4.89371552578226,3.61049076218783,3.13308636125169,4.12595745887792,3.22378398025773,3.46661200998142,4.09955625496475,2.43388939178121,3.18899839236619,5.12218531443272,2.70334778216387,3.66882073942616,4.2499921042427,2.23185758282357,3.30203505492624,4.09142202392237,3.30626216416317,2.99319727912282,4.5591460218125,2.89518376651087,3.04818941477561,4.47728498265561,2.83547255333525
4,2.36167648712553,3.39888422594664,2.55942121608004,2.92820570145784,3.98400513657624,2.8099593764692,2.68887889832669,3.91449876006874,2.9960182883977,2.9296160105582,4.97349771750982,1.74277082887616,2.97775508258416,4.25981992098354,2.30870484951128,2.80316848725835,4.24271415138108,1.70265797562447,2.31114811775769,4.64425123378225,3.15186418874055,2.6752733655962,3.82428174048745,2.2328105824317,1.84727778912438,3.99472492794844,3.07478752980901
5,3.301393031172,3.57460295601007,2.80911751990008,3.75988423504577,4.41241864555782,3.60026211153717,4.30845089047883,4.27647586774603,4.17567353397982,3.58248413703166,5.06835067545261,3.32996483812812,3.87566398608803,4.6622901463349,2.58682990166152,4.41635941675465,5.13499123832421,1.87845030576034,2.94172888558506,4.78660915900175,2.74756320458271,3.86659356972458,4.22692847871187,2.7833463206619,4.34987443579126,5.51030169357013,4.00380043370328
6,2.67665750783716,4.10376881375794,2.82921648727101,3.42873921558284,4.41951419528091,2.97173646345717,2.98588656608874,4.10380029121759,3.53668288509501,3.12848022681184,4.81490850432237,2.6165186392711,3.75896660575151,4.40055711847184,2.63253486457456,3.08502593644466,4.35245821855046,2.41896232409989,2.83023999761058,4.32270759492276,2.71855499900562,3.57115812499086,4.45897483243885,2.50063098395748,2.60783133536359,4.88489961913057,2.90528298861028
7,2.94358316118471,3.9660928881099,2.43329937333864,3.07595339306596,4.03319605722926,2.64920083080094,2.94083606178402,4.64192489265868,3.34065758584204,3.63371138465443,4.65445892820292,1.8253060374981,3.81547420545753,3.90496720424565,2.74665297165316,3.07828503150648,4.37685548946257,1.82754187148844,3.5472055709688,4.67054907256709,3.0218710918526,2.84042418457883,3.79776314566767,2.22760621071239,2.49787102427669,4.44237878241407,3.41477089480113
8,2.11745548237971,2.82532843328334,1.95799707749837,2.94323803854999,3.96727579326102,2.75562982781872,2.26964451438373,4.14413470820282,2.55658274511426,2.96861690259855,2.91843236478508,1.88147350463786,3.68904009950118,3.83069235923764,2.24853015057372,3.1828162933881,3.48739024360596,1.90230160656559,3.5127247408512,3.54228562672903,2.01426919266129,2.81852320520669,3.63532089048475,1.28768162981434,2.07141919503352,4.01886080781785,2.91462671166428
9,4.03885915189108,4.65990835664149,3.741825831076,4.24628280143134,5.78918998505262,4.06603377717585,3.78552477328717,4.69842248152695,3.91478558325949,3.83583950164792,5.614236670065,3.1014758016263,3.89614033444174,5.5665022961273,3.98941186561543,4.61903905593299,5.74041285063956,2.63647537830904,3.9308599438573,5.43870264247057,4.21177673854941,4.0959511296113,4.79252321669701,2.55762737317937,3.72755597582969,5.24714149519962,5.23776366966689
10,3.43638536773687,3.4574430369287,2.59501717165297,2.51043965850266,4.25369925608972,2.75472219340294,2.52190165231069,4.04411290233018,2.80498623329938,3.22538104436198,3.9530793865757,2.05892571431564,3.0663913141841,4.07438163018111,2.17733107419841,3.21667535797388,4.51799092187369,2.33896683160576,2.22232970432213,4.16050727993619,2.53285151602565,2.89462455602212,4.42021551289432,2.20189157187388,2.70253587545323,3.72564034604356,3.03381544229028
