protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,2.95910381053634,5.39940347754215,2.02202216382714,3.1955609356816,5.81931586186539,3.24666028530231,3.29787248292285,5.79476908746559,4.27603729521505,3.96619850202132,5.81158073204084,2.38705032113689,4.61283164077628,5.938395697115,3.14913634499746,3.36783437346052,6.70871683573714,1.72731910076344,2.82395954512348,7.5993583683879,3.36895925209365,3.24890508807911,5.48015629799671,2.73304362122551,2.4952402702165,5.15252264771523,3.31931636221251
2,2.56270180011314,3.55404583387028,1.97242206070013,2.58483916771774,4.68463053968613,2.2833412713525,2.79934519187142,3.93152207850999,2.92305853127468,3.15940647199896,5.33187664385105,1.87887684122861,2.8509091417779,4.1379907779673,2.1597222738157,3.01146507403804,4.66688430625443,1.5097617362511,2.42866828050175,3.93173053038665,2.87590451632544,2.86448829923278,3.66698416249608,1.90440301059267,2.20672310349275,3.42701172891378,2.37982756103498
3,2.94611214570858,4.16804665143576,2.56442381081471,2.85746301295792,5.0249417073043,3.60960826487126,3.30337124644247,4.14852624174594,3.33297818632856,3.41016983263061,4.05721207615188,2.30524354154955,3.08600757028482,5.07390344789635,2.62887040389587,3.7046138794332,4.16402673319169,2.13491402256704,3.48174338583999,4.15354283844081,3.4552811023745,3.06651808909238,4.67446852993071,3.09646302799203,3.19432808514234,4.58124495492233,2.83335201318404
4,2.35373765128562,3.39992519665164,2.53412152314045,2.90883302161978,3.97655775708953,2.76442263409246,2.69471341153658,3.92986486840791,2.99643302746695,3.03130693888541,5.13441988241027,1.82005039240285,3.11278865528869,4.30141920351413,2.37238116431467,2.83748089930618,4.37456366422678,1.71591907270637,2.26428853593053,4.69500077403492,3.15103605473862,2.65369829560166,3.78493429868904,2.21546409689819,1.83979258660908,3.98476583881822,3.10217822724349
5,3.19436944784594,3.46103936976797,2.72383685994322,3.6439412212018,4.3418818552336,3.51629811356851,4.22031141566679,4.17046828698727,4.10161195941087,3.61932473028139,5.12374486791701,3.3641425479836,3.89213184706712,4.70420995279059,2.57023449121717,4.46204426200207,5.17207625798454,1.92086269538998,2.96099376265806,4.90254103469402,2.81465310495624,3.93333555438355,4.27323108721817,2.83248031372808,4.48945548209775,5.66244466957118,4.14094987341102
6,2.59347615150538,4.03949940011774,2.77942896817193,3.37268757139357,4.39110486652463,2.93178594474554,2.93666074606992,4.07219057292072,3.48044117316541,3.2450932432973,4.95931102663811,2.76991593013149,3.93388133171805,4.54890216829793,2.79940909465199,3.23439725368745,4.47539423277932,2.56244000551281,2.81803202113968,4.27166518879339,2.70208373883046,3.57321885997682,4.43461738591123,2.44545402784142,2.55313490127985,4.88581404593179,2.90294424600123
7,2.97547514962112,4.00515567132699,2.4665601090319,3.11736531526912,4.09336625867819,2.69323319207426,2.97005934812131,4.67646649288235,3.36236997615797,3.69046196672094,4.69807215948259,1.82079233483848,3.87825175787738,3.92451025481527,2.81935410522541,3.10835961128068,4.39246535140177,1.84358219228473,3.54891999175167,4.67802854020793,3.02087046538003,2.78940680720806,3.73337324890068,2.16627394258251,2.44763406167756,4.45288101522704,3.52791323289877
8,2.16305828151948,2.90037769533792,2.06834273078914,3.0712404224077,4.11540712048387,2.904775899423,2.34025065367392,4.27389468910283,2.66266580365926,2.95134445466391,2.89445875117396,1.89319418903986,3.66784588326999,3.78940415779408,2.23855804287596,3.18923448815516,3.52280951251837,1.85115133428468,3.48118910933354,3.54474539077405,1.98776675521413,2.77080449434272,3.59036031429915,1.22513060139295,2.03181387312711,3.97517143579667,2.93094240960969
9,3.95788984934401,4.62276142134689,3.73210138941456,4.31164851743466,5.71382152449425,4.05262571994787,3.98659712452381,4.72187677276884,3.85852498397901,3.95819716152814,5.78451664447644,3.21765306464637,4.04415937760561,5.75059051168821,4.15114679365434,4.68463384721007,5.94962116835021,2.76516430261197,3.81424329678265,5.37197180700929,4.22415018314959,4.07581219727548,4.66827503988852,2.38162936553864,3.60659250386018,5.25459864188,5.55410470384567
10,3.40713512020739,3.37904338127871,2.55764848188515,2.43722518936127,4.2209557383953,2.73914702679373,2.43690590178642,4.042202079669,2.79519485620746,3.39169521193324,4.05571649927199,2.12887055544008,3.17996920209294,4.23782960969179,2.26263919400774,3.29833180252045,4.66228283584448,2.4330689453327,2.24080399641247,4.18620278321006,2.54349219729039,2.90432260842993,4.4911986885018,2.21057850704204,2.72603066576783,3.71921984558117,3.04821829665688
11,2.48465327190375,2.83266338552573,1.06039854424906,1.54842867982401,3.71040922348612,1.55513376868087,1.57674317466925,2.26887031380032,1.71019472628553,1.76528276861551,3.61871676689675,2.12039748629943,1.42405167661859,2.00940829802602,1.85534294608368,2.40197508938406,3.07615285460485,1.53503056158509,2.42964587893559,2.77148131239524,3.02810000723076,1.61883764825778,4.04645715752338,0.661244142677162,2.23151928142823,2.32883307609237,1.74029363236075
12,2.63586702645967,3.46945204178131,2.03281857012086,2.40973972515874,4.28260909508214,3.14287870241245,2.79852359286936,3.95459298203049,2.8638783829426,2.95448526232858,4.83200330202324,2.36583147180113,2.69041494869937,4.77820453307028,1.97107054807665,2.82987763820018,3.49807647092896,1.52567841620297,2.32414877284067,3.69916704803601,2.59567472444877,3.11896936922077,4.00573672531217,1.89229016974031,1.90765773636224,3.84511775960593,2.461065033558
13,1.90824945332316,2.54362218468398,1.08207340808394,1.58179717367458,3.15545801669586,2.42755500538275,1.12177852981528,3.51591740150794,1.4387505535212,1.59740188891697,2.84124574396556,0.416289226565984,1.22750236658451,3.46026226605467,1.46999621613903,2.5423901288491,3.76687903185931,0.264948816526179,1.4294492300315,3.06830348041551,1.31092491979175,1.12236627221349,3.38245153785113,2.35605980749416,1.34738539493465,3.29702017240798,1.94698087977465
14,1.93132582012896,2.8379256963647,1.25181821761695,1.91992414779149,3.52944684833419,1.94926591011137,2.07456454655828,3.43632569026858,1.57370879839728,1.61363870256462,4.19488066458216,0.871181322352337,2.0002986496313,3.61705179186689,1.05727076638454,1.91557981458779,3.69107630343152,0.759774244917831,1.42458317445341,3.84238460240775,1.49431662408475,2.16922920853996,3.93320307979406,1.1053145332421,1.36906704102024,3.16915717481823,1.34737267935135
15,2.60630207072634,3.70817195977592,2.09824034122744,2.52557809349048,4.19346834005428,3.43763004335544,2.09792772379745,3.64550294367491,3.35392619132094,3.27877715235958,4.41277480907787,1.66564115883573,2.55753682262259,3.84071962539814,1.88639939690943,2.5228673941497,5.07834182352345,1.13934806967572,2.41550856687276,3.7476192345569,3.07088024307598,3.1781088943931,4.24515074345435,1.96629587036734,1.95848996387101,4.15400876740533,2.19763043761387
