protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,39.1498704099688,41.6393366845314,38.7561723632329,45.3144764157875,58.3545596064025,50.5866600058543,45.3613575695768,39.560326458276,36.7982821814684,39.388487043262,41.1539634575128,40.1870811993994,42.7940796295653,45.9089328934336,43.5345083601633,40.2149149268743,44.9250685659684,40.18792151551,39.2840917409772,42.2389201207236,38.4918209758449,40.3504682219404,42.7607966831749,42.247255581933,40.8978300473261,42.7265516974345,40.6410240605786
2,44.8925446156318,48.0998011020328,49.2009950243958,49.4336628462484,55.4629100485232,49.276794861089,46.2223029076723,44.2894951122558,42.7164532881317,39.992040861196,41.4200501741168,40.8715536950066,40.6830697718166,44.4740996846786,42.2773813646512,40.1638510940117,44.713195007564,40.40616909933,39.1306348949496,41.1258428937624,42.776641369626,45.9699256267308,47.9248730410501,49.3237284819591,47.1528991110333,45.2458045770578,42.2160949729708
3,48.984890657668,54.4193139609531,51.8694174252567,49.1797799733019,53.1981303778104,52.3735669783062,48.4893167469364,47.6422431756065,42.731912009433,40.1247546898951,40.5632312006862,40.4400185449897,40.6091220549317,42.2124529666081,39.9179228029841,40.8537873068527,45.3842427266878,42.4038900216852,44.1173444738913,43.6825438656665,41.79729443296,41.3307962021335,43.5173052701383,42.371041146161,41.0513110144657,44.4280020283768,45.511678116084
4,41.7026631656878,44.0197839497136,43.3442235399447,42.9634131496244,47.0907792215189,43.7198860192676,43.2632040979756,43.2344174463083,41.4644523360617,41.5394305214663,43.1450529624736,40.5609778243242,40.1406781233303,41.8718902381756,40.191425066218,40.1102981068591,43.7614162020554,42.5441388373239,40.263373450353,41.2687660217881,39.679406565773,40.3337205779424,43.0637647419299,43.4583443642441,40.6085581292729,42.2791272007944,41.2825791520104
5,38.0603493941253,41.9203703697515,42.9465415851396,46.3382820864672,50.2517229225064,48.4714141896502,46.4759159823537,43.2428422408272,39.4678798389399,41.7743692671929,42.6653881976972,41.3326337856367,41.976064055843,43.3047108684146,40.9084092425049,42.7542406894173,46.5646463113558,43.0697545861322,39.4781692021258,40.6384772966312,40.6566012120902,43.598121432961,45.7483291468678,48.6702804639474,44.7499784250147,43.1323330558808,39.8995619356232
6,44.4438156494811,46.7379022386104,46.149441538776,51.4972304798863,60.3595465440466,54.0135709196071,47.0107076879956,42.9830114906867,40.9306283247614,43.1149708082005,44.7323064190301,43.4924032090372,41.2140167568238,42.0584428829316,40.5309621617719,42.6712904416547,46.731213800354,44.417175114407,41.3655035918531,44.0919013117768,41.6036980623314,43.7466446307721,44.956700631535,45.432415322009,45.9283048907512,49.2142783680972,45.0404208516378
7,45.8939425116723,47.1489042310977,44.4268437929738,44.1358855739318,47.9821594107651,44.8097898551523,43.7376846431462,43.0725819028695,44.2157361800706,46.663114312118,47.2820144405666,45.824645765476,45.845513566549,45.0629780100275,44.1648783663604,41.6670407837108,43.325232203826,43.2717939218012,44.7041442255999,47.4806864187061,46.8623385395897,49.9580262588496,52.3376386461533,56.4959019536645,53.1431885716172,53.0092435178506,48.8641870060984
8,36.4734638403664,36.780984814123,36.1774612392271,36.4803934876526,38.9783547628047,37.429117948227,37.1763229715828,38.9753769166506,40.5977919501086,37.8895913520122,38.2629887778295,39.5526152090332,41.7390605729164,41.4142295978031,39.258005534806,38.2232458148559,40.2126183586063,37.620557381788,38.4673828343454,38.94579330281,39.4320696791248,44.71824740614,48.3848832429584,48.0003886462599,43.9848544376821,44.0874386139681,38.4179055252879
9,44.1301451734902,45.5877195686066,46.081051227248,44.7421567461107,45.5893583513949,43.1908432855007,43.6805502172043,44.2488656799827,45.4522416571486,49.3518161425739,48.4312895833616,46.5161533879412,48.4486006738033,51.468079195764,49.5321888851496,44.2240793097219,46.937758245528,45.1326765177079,44.7542384146474,47.7607421398232,50.8848816682723,56.0949013018922,58.4417913270832,62.6134501555388,59.4880433146745,53.9687112082738,47.8814771847389
10,47.2716365811151,52.8837001850472,58.5755927802842,60.8655654341503,69.161168337007,63.1500398962923,57.5612677899779,47.5963692402924,40.5931075317925,43.5016363333143,44.2745437558121,41.3786979616834,40.4909095189507,43.002589108642,40.2721917560947,46.2764416754596,50.8129466236592,44.5433675510359,40.5744516889223,43.6888396726051,39.9054295729019,47.6328937264004,49.1729743206801,52.6176875898923,47.0069430901082,44.431667874749,42.7878459970121
