protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,6.60065127836167,9.47391872702703,6.93202326903353,7.25182117239703,9.78271862489126,6.41438671075578,6.74951596642339,9.53244170876986,7.09562874047004,7.3157954571799,9.80122586529308,6.62296368739562,6.87945434403972,9.10450875631035,6.74428707839847,7.09223950387507,10.2898708119282,6.39338501523839,7.01911196769844,9.98696758482063,6.25697665338041,6.7284583276334,9.65066667388647,6.98873606490995,7.21789850117028,9.36375755770673,6.79755601851583
2,6.76831994290308,7.82129853320851,6.15384584862716,6.45240231176389,8.16462955680477,6.21222182149659,6.77842216508106,7.58437628174874,6.44713291184711,6.89743176304881,8.13537140501726,5.91748223405071,6.66130245915547,7.82171434897197,5.94437441803035,6.50345211948843,8.16711409169803,6.04861107540453,6.69816219124428,7.75938498079957,6.27066627427577,6.97423818629023,7.74366103577871,6.14528046189184,6.83870048176106,7.53604418040569,5.98036892015105
3,7.46506877414956,8.4925708465889,7.20593799142087,7.65220033314928,8.74296276583611,6.97379436242879,7.60859837064436,8.26358074902691,7.44012418626015,7.46259217392294,8.83961141225127,7.03413420143266,7.3657545475028,8.58150469256101,7.38409591330282,7.22905656992872,8.68672728611955,7.26105411725041,7.23225915945916,8.40360909214679,7.55529573688311,7.70959352992341,8.70683855842788,7.03554116095182,7.61141277916271,8.28983054110734,7.42705409885412
4,7.25147634750086,7.90888583921268,6.81747415451076,7.04336917258831,8.14142531718643,6.36402800794372,7.12872161507393,7.77708335499565,6.97015427874133,7.10444519973932,8.8601708228748,6.26862057161697,7.04756389442349,8.33271586745583,6.53915622932143,6.94511508642037,8.07554843172351,6.35348433290992,6.81762535106211,8.44791687258119,6.63282862223603,6.88375943392346,8.1979392769847,6.63451978242958,6.63570100539465,8.30317983168325,6.89683480874812
5,6.61301584104872,7.34065261071428,6.89762490936945,6.84325908804629,7.91208028823656,6.88748723471015,7.08084190448329,7.50844478830139,6.51366299733026,7.1252848652897,7.9869771633959,7.03117381965286,6.60385423674198,7.76814413416718,6.05783103046635,6.82292346073216,8.35802326968469,5.55882415777831,6.51828092855818,7.55351846204917,6.19849646442636,7.06014030511864,7.40996195902178,6.22511434110697,7.51150589442268,8.57904438105187,6.71622605247558
6,7.89630612660319,9.16542215961848,7.65472645584681,7.80816867917004,8.76878703994105,7.59430852544211,7.86417692725194,8.64509375979873,7.58074676478843,7.68475382261526,8.96643600177989,7.69844530471947,7.84401895719807,9.06626576120126,7.35386886420488,7.74898103620192,9.30075591382342,7.45130273933219,7.8003719572743,8.77206074327851,7.51483914425168,7.8062570687252,9.01915987679872,7.38220128133102,7.87732887614538,8.87934283386093,7.75379202769346
7,7.32412794425256,8.46602259543046,7.12498756109156,7.54200487269264,8.34628864203622,7.22864825239381,7.54143380262628,8.55596851019451,7.14221599865801,7.40387932567558,8.73985705376524,6.85707504689755,7.5656803473479,8.57095458709503,6.91272407067194,7.4069893091523,8.62140908930836,7.07470765681196,7.50041532694729,8.72254995881607,7.24825086223941,7.25361803258192,8.41518093993829,7.17986518363744,7.54308644341811,8.28449420958702,7.04705875694738
8,6.4268530616674,7.56069822925135,6.58244135438153,6.6334925815491,7.19246492896508,6.4926793358784,6.83153395863871,7.23239837524165,5.68520861074889,6.788065740725,6.94946632573484,6.27224538397285,6.97809944273457,7.08653870392081,5.82329454391236,6.92086298751514,7.62200255335258,6.36387162777926,6.22514339772454,7.18026907750912,6.40010964699632,6.78461799909329,7.44933787506013,6.13836789795221,6.5947018810831,7.31802746709186,6.46612596353757
9,9.27068568979177,10.1545319855673,9.62279669673875,9.61774507481696,10.8617890303394,9.48954283524876,9.28196584861303,10.5542075770809,9.11492400984483,9.7730158899225,10.8800429546725,9.15109472681681,9.38550392036316,10.5035146854119,9.50894232677369,9.41035793328706,10.7069503069196,8.8062374591147,9.07375422254496,10.4801048122803,9.45219290518994,9.71059724162328,10.5367475743251,8.68501888050743,9.80536111707488,10.6867696747018,9.37429597905194
10,8.71726589941422,9.45958685312978,8.3374931226465,8.47481586109618,9.26650103920415,8.14253959602647,8.250972934466,9.41248660725186,8.32025564087896,8.4510109718138,9.31278996698593,8.13798212232266,8.65399497765983,9.58993094619636,7.85803733777838,8.57663388338986,9.43824196924807,8.36275633759424,8.48750696544079,9.36707561250669,7.99293735051559,8.60723493787897,9.60121646918277,7.90085091222036,8.66327139276081,9.48776173513933,8.25678563393263
