protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,6.51687575830836,9.39001632719623,6.84783514701527,7.16761995182614,9.69861434798115,6.33053699220611,6.6656431264919,9.44850104970158,7.01133366182725,7.42485615769574,9.88271757284505,6.67609564633923,6.92642938370471,9.08686668793644,6.81468177669952,7.1694911021081,10.4408903350348,6.41385091740003,7.02954208197156,9.98574151533182,6.28607698020974,6.75062476540692,9.66302012221592,6.98828862768495,7.2203018002147,9.38769612914678,6.80482825365001
2,6.86645372740814,7.91288279990841,6.25106674831915,6.52681174077142,8.28199683291683,6.31382656114039,6.87731459262038,7.65816848126126,6.56637868721813,6.88746037329977,8.13331599861249,5.87692842893087,6.63220818593825,7.79425748991888,5.90599847093986,6.46157436873964,8.16762936029359,6.01867671273077,6.62851559986889,7.69304026622866,6.19371009002478,6.89304841036895,7.67797376481905,6.07356686155889,6.76317775681264,7.47903770647082,5.91555053850505
3,7.44662166961681,8.47385903946909,7.18727207350542,7.63487428182359,8.7257509871754,6.95373773649396,7.59101111206875,8.24349712581883,7.4228612128089,7.44260202864688,8.82502792367089,7.01049892534747,7.34404965159946,8.56235078361968,7.36665757829456,7.20493109690614,8.6694366044689,7.24143702172557,7.24200900533845,8.42355614311042,7.62087427062933,7.76818300385601,8.75781127036281,7.04793974006204,7.65995665058719,8.29813606265877,7.47951127723641
4,7.24704910807527,7.86051881379584,6.81009692903348,7.02293600042085,8.11094336106546,6.32177534615792,7.11485306738111,7.71857914089959,6.97451998236046,7.13124660972009,8.9448721442943,6.24706247300009,7.06811612049927,8.35946909855439,6.54732014690067,6.95441191955985,8.074048327366,6.34124967102228,6.84118016528662,8.43530264282989,6.6373929420609,6.90135779431138,8.20783961073728,6.63893178566991,6.67564107696056,8.30360153537584,6.87762106143277
5,6.63954236587355,7.37737226935063,6.88576286632606,6.85807660709103,7.91974002843334,6.8761407424711,7.08357716440779,7.53663138634707,6.52132731306624,7.06000934319575,7.91336842784025,7.01311870390964,6.47311930330102,7.66706351550315,5.91758430853293,6.71969006184161,8.33099495800616,5.35593306024454,6.5911959999303,7.63002160002196,6.27644953444818,7.15119770310496,7.48165859353966,6.30395862060749,7.61767574094784,8.68988378223002,6.81151354484115
6,7.90785547862349,9.18391256842567,7.6673168172447,7.81470791655247,8.76473098890778,7.60346446972984,7.87389991628284,8.63400644644172,7.58913179980268,7.71365067741555,9.01178255012495,7.76075937295084,7.89236938931962,9.12380610167135,7.37409434571453,7.78572297943861,9.38693825636796,7.48342936561194,7.74440165462087,8.72953505588434,7.46083505002285,7.74983546174903,8.95768520126163,7.33836862419297,7.81545707265531,8.82859013638609,7.68146364680873
7,7.359591424069,8.49772592237277,7.15118808699271,7.56528349167438,8.38468814176628,7.24905150959565,7.56474435894684,8.58264157320802,7.16745301678599,7.37569993980532,8.73159924581193,6.81501835130822,7.54983585327,8.54982050908912,6.87490977528201,7.37904701269758,8.60412140744264,7.04924217100631,7.50440333162637,8.74080354944494,7.26313152471315,7.23373280007713,8.40370205919013,7.18813075120326,7.55120211767731,8.26037371816609,7.04247767101942
8,6.39139118233402,7.5742323588814,6.60190950912453,6.6166927329142,7.17274316854041,6.50404090217297,6.83261962513147,7.21628308467684,5.62364587161961,6.83600970156242,6.95929588287993,6.31458790053141,7.04289056625449,7.10852021427292,5.825835973827,6.98057989597608,7.69145483592343,6.41433713630751,6.22882824756383,7.1560971395756,6.35573783134001,6.74546289999339,7.40456286860479,6.11403810589602,6.57008899136747,7.28330712828145,6.41669916303858
9,9.26127666957782,10.1383445348859,9.63076293259304,9.6185639165436,10.8664444893229,9.49358207141027,9.27288925539017,10.54979859126,9.10792320562162,9.82814664084582,10.935016261377,9.19736331013592,9.43170173732889,10.5498082546459,9.5634600203872,9.45712868547408,10.757933478319,8.84455638554791,9.00068152382425,10.4286613083792,9.42466583847833,9.68461754955171,10.4894926661842,8.60076114334314,9.78638898523879,10.6506085393729,9.341008622362
10,8.73115891483657,9.46256010006755,8.35227701388868,8.47132241841545,9.25562781106026,8.14334307569132,8.23142737773931,9.41208222448379,8.33380340629236,8.44140448970022,9.30071081210213,8.13434092432762,8.65968347426509,9.59873454688472,7.83330211563001,8.57649317051829,9.43561570547674,8.37605202497001,8.49095999997328,9.37108832622644,8.00020356849626,8.60622838621433,9.59650798507923,7.91154713407397,8.66017761456391,9.4872791738142,8.25422412211133
11,6.76093744190333,6.7954149804452,5.73010350830304,6.57011116372581,6.91063502444262,5.71126084415538,6.15543201188537,6.30383223775925,5.79292608515902,6.21741654319349,7.301996514077,5.88924374976658,5.74776351208276,6.41009196178219,5.55089152108087,6.62024115940705,7.0230711566423,5.66623226033528,6.16459857015429,6.54742247040806,6.38700117833317,6.25594978253636,7.26444762099285,5.62986016014139,6.33749985331364,6.32603446246942,5.61379194228305
12,6.76083477915289,7.98103157982117,6.2985121426667,6.20713712367557,8.06947627982998,6.59484978926284,6.89239645981233,7.85739113500911,6.43013616909388,6.76049422949546,7.79490038467847,6.72488166620006,6.38996768619293,8.59456542790356,5.87753333220015,6.47502139190792,7.42861786416958,5.87975317043955,6.41125652331487,7.42123464448824,6.18324984284585,6.61686723187133,7.88285859090503,6.52440028300526,6.24000945040271,7.73634172639669,6.14803515803622
13,5.33702285770973,6.12982674584051,4.46199494557914,4.87548924567191,6.16170634541462,5.23828552848648,4.80115688050757,6.16181215579016,4.68267578790553,4.78246610304838,6.05768300944789,4.24531914755977,4.73932984650905,6.51625295925778,4.46218925052496,5.23874526688914,6.38421603345279,4.05790737948177,4.69608162718691,6.24453720970308,4.83951502942909,4.68984739071687,6.25976309751677,5.2276102856702,5.14661611544665,6.70485900633293,4.70681913180797
14,5.601636557892,7.12234282518568,5.12844675725892,5.29050863911888,7.01320412133099,5.52889491458725,6.14294271323345,7.24647974733223,5.21081398501399,5.65109716219208,7.89097341972669,5.60950059778178,6.05213214003485,7.53835469618148,5.15829918522277,5.31502410335134,7.436558117858,5.10036350056547,5.51298893428227,7.55705345958104,5.23576697379226,5.82352062204564,7.62960032728064,5.15275459562447,5.54941095843512,7.2266980641054,5.44134245942843
15,6.08279675021559,6.92010911434037,5.36313764209661,6.11833237978298,6.95706678641378,5.71559625780574,6.12056916635084,7.01826014622102,5.51842845372479,6.18725106586824,7.25818024357485,5.25247636960993,6.23287953438831,7.21262277376014,5.39475641826662,5.9900466850949,7.06624343862145,5.09756743036693,6.02667188648834,7.1959220019856,6.01961644894842,5.8308962420832,7.494878652359,5.74326119975613,6.00355703517788,7.56822561817486,5.39871563077939
16,6.18690933875082,4.93546825402469,6.12019767479813,5.7829894064017,4.47313967904471,5.44025479123017,6.07151096051056,4.42567740146414,5.94935622599351,5.98357252698032,4.54507703670882,5.45867494023211,6.30891855102779,4.39446535367592,6.0919723636283,6.47332497307848,4.18921715418223,5.87873080361691,6.07818038483445,3.80959947473082,5.85556120775003,6.47539889487801,4.64011544157041,5.65376944047054,6.46779063051759,4.51903350543627,5.520560835614
17,7.54643373923915,5.14698442467333,7.10629708645097,7.45576224974143,5.16359347717394,7.0682977652486,7.1100255983056,5.10796183340848,7.06230078885885,7.61944913883505,5.36809819119856,6.90269322415145,7.13854480195233,5.14866265641315,6.89089072285144,7.06791668082931,5.05446578461267,6.68252775432514,7.08441717148326,4.83873657725293,7.20961687144244,7.40690790063463,5.25075918241813,7.41119740074776,7.33055403684651,5.45457492620829,7.30854373743892
18,5.56506217460185,3.11740053122503,5.84765110492407,5.96432946155384,3.45040322716475,6.05553643801531,6.4166357476971,3.55366951714988,5.76529467935095,5.79133812420674,3.56096215012055,5.68200552890464,6.01037926423822,3.54019503322755,5.42187907471443,5.61649058961941,3.34302331589886,5.92231285917304,5.70239821391339,2.85993254463356,5.62985367060977,6.36881538225525,3.06667438063255,5.84399339053108,6.22692211966083,3.28126824706501,5.82557048736005
19,6.44509776883321,4.71391339315498,6.22958098118692,6.18195140243479,4.765616114171,6.16487150907656,5.90650081018385,4.21785145630483,6.5674054310681,7.18108738414552,4.13952739522843,6.54198432370281,6.65449836324199,4.75286166860832,6.0460879932025,6.68450592560808,4.49542371673783,5.68057015768621,5.92207495403584,4.58004359958951,6.40327079921102,6.0085097158528,4.5046336698916,6.70795436291054,7.09368342575179,4.51551505376097,6.1123049849495
20,9.29061667051231,7.65591004642228,8.31965072265832,8.75690580582799,7.622044874773,8.35816277164636,8.95239644926935,7.12761235455013,8.4805082616745,9.23613054336707,7.57097621172278,8.01388738827567,9.13838796719275,7.67679986769917,8.32798152949136,9.18093305312603,7.35074556536029,8.41376173238506,8.94876754493293,7.3999062533332,8.87055925984061,8.93479878635459,7.57126162514579,8.74459793868602,8.63365061229117,7.67291606153465,8.90090075497588
21,7.89305256294877,6.40921124952705,7.42940817394929,8.05807353616665,6.65203273924386,7.34254373733662,7.96667053322592,6.6134885160346,7.62845486357096,8.00723227740917,6.82316684884577,7.59075740553226,7.89526721835254,6.93137438317277,7.25692883054415,7.63793709730823,6.86622219544218,7.25846132811635,7.86844000019527,6.49331650821563,7.34809010483965,7.92672013768063,7.00095392149093,7.62565738671306,7.88425580745721,6.44283022033259,7.46348303120282
22,7.601850806113,5.80424386192068,7.78204440898001,7.65692086874048,5.52723513026389,7.22204750298955,7.48869116798434,5.95389659148312,7.46757417574809,7.61926083669959,5.67126558130129,7.48729579853228,7.98955666994266,5.77747529243829,7.16072741260687,7.79413074522235,5.8176004544918,7.30741197484307,7.56013280576834,5.3647543844464,7.49014306550662,7.426279564187,5.9343690248438,7.25081047896283,7.79788091679918,5.75034402299966,7.34146066245609
