protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,20.4623164264498,20.9641488818735,20.351542715805,23.577025321479,24.0076462437624,23.3661855460803,21.0902023403742,20.5873750138603,21.1988748580639,23.4204496925174,22.3348362515382,22.6011336668917,25.655233403692,24.683720850547,26.5069191317101,22.7980786513232,22.7527361938497,22.5270689634916,21.6215567741477,21.6834806374669,21.8985335916739,25.3490136423459,24.9856500779138,24.7959392288213,21.2652417005661,21.8327813609675,21.677661358328
2,22.8492867587343,22.3607330340035,22.6006065451182,24.1372841573759,24.6284210918828,23.6132453408247,22.5308263048628,22.6080569459793,22.7913122466395,21.7846922719367,20.942253417587,20.7948552973385,22.8074701932747,22.2927500163447,23.1352965207842,20.9005497977301,20.7456912519053,21.0335331226376,20.281499565045,20.8868735554289,20.5023788212718,22.1172816662427,22.0615729935169,21.9482500791453,20.2338440833811,19.9790288678414,19.849352916183
3,22.122745194401,22.1620860685137,22.0075935580246,23.3915508903946,23.7654657395994,22.8918644788403,22.1603221235071,21.9412586147909,22.3410852656883,22.3974815784006,21.711742534365,21.5958596766218,23.5568297694499,23.1184909611623,23.6947514160763,22.0917679452635,22.2639980103768,22.3139410827492,22.1440548259397,23.0110700043411,22.6482195704715,24.0968593985496,24.3904723544858,24.0164102907584,22.9100701194108,22.2024636017697,22.6623755103395
4,21.8504649439786,21.4774400982301,21.4587278244561,22.7055029758405,23.0779504246086,22.2942388050402,21.7104392901543,21.236588535574,21.820036346359,22.5124368568211,21.8621197006121,21.7716511966228,24.1029846874206,23.3419199734443,23.5256738363207,21.7546421902634,21.8709712763302,21.8400644293932,21.3896229774215,21.7906417863301,21.3103009883785,23.7550028898027,23.4868976863939,23.6682727550091,21.572985782376,21.4398526389112,21.7068822860695
5,21.6483003057399,21.7179228088633,21.8327940254458,22.6276985353583,23.2920891959395,22.5176331544507,22.1914473314099,22.1962960358502,21.7721857810278,21.1127278715411,19.9386511646582,20.2084576201489,21.7430092522109,21.3210426716374,22.4541487482052,21.1922267024173,19.9127637192068,19.5262760998598,22.0627684268578,22.9636113099163,23.1754652671584,23.8728514617874,23.6838462839889,24.9776846166559,22.1351719895559,22.0280090886414,22.5639043842705
6,22.865754477536,22.6236951773709,22.572257836367,24.3833798934795,24.0862212154601,23.5641492735915,22.9221423413747,22.8727608221551,22.7891313268104,23.4563259624028,23.0478580073187,22.9644472943878,24.5313801311375,24.4677420144475,25.2000488032089,23.6298241281004,23.0592305130303,23.3437291618691,21.5768762658603,21.9231512528723,21.7341487831778,23.3332671019617,23.5207750760228,23.4772931551239,21.6804596894425,21.4233212765388,21.79475667055
7,22.5468755563705,22.6036558858818,22.49248741242,23.9265783808156,23.9355635017076,23.7421695337468,22.6353987445117,22.7477329954099,22.5968376771827,22.261160461879,21.8481097083555,21.7005565647332,23.3939820639109,23.0365416589517,23.56001719137,21.8268683435442,21.7028311796842,22.0523272043499,21.9647075723904,22.034878220725,22.0977234577244,23.9723652250469,23.5946215634759,23.5369063664285,22.1105857936574,21.9009130330737,21.7836003242853
8,21.1424416898363,21.2188315023224,21.3241290538054,22.566851192525,22.2873849036825,21.9395774204164,21.6498865418443,21.566488763188,20.6167969072171,22.5182635306751,22.137957728379,22.0988827550507,22.4184720080179,22.3920346711745,23.4441439268898,22.1232311998064,21.4505506852682,22.2142154766901,20.3285728060881,21.1860486384015,20.7560506491748,22.0270991329378,22.2349226906508,22.1992800943041,20.8426324180445,20.4662607055267,20.7972621340647
9,24.1084565086867,24.3168320175584,23.8605280156707,25.2270927001361,26.0772155560716,25.3692222586062,24.7748692969194,24.6521592640319,24.1972035728257,25.5921052368818,24.6084736663767,24.657136311472,26.4758971534383,25.9150274784708,26.5923273362087,25.0877113763342,25.2698794987517,24.7261394928538,22.9225919838186,23.9473691894299,23.7945165445162,25.1218292032115,25.1420183897003,25.3887474068656,23.7337263266529,22.7751496444439,23.5437374948582
10,23.6268323299816,23.2180840954664,22.867559714056,24.5998018413539,24.5148924538451,24.2799994678661,23.5448769542512,23.3504138443491,23.4715773495326,23.5910624757154,23.2221547932921,23.1622001864954,24.2272910941426,24.3496531606888,24.6557089533456,23.4103883805051,22.9254209839737,23.6433345222551,22.9786774939522,23.4347870600771,23.2341122078259,24.6300632550433,24.8148407425799,24.7912250752915,22.8750710906554,22.6517426691593,23.0227600285921
11,21.8083112123935,21.4685731961219,20.9432647035472,22.0843570770767,22.3216000225726,21.3234498364867,21.0744038040107,21.0700319681583,21.0824003837444,21.2523350437428,20.1954953456439,21.0912086899183,22.1138373106516,21.0462710901204,22.1284249190453,21.0505517204782,20.5282709039587,20.8187752721545,20.615355194254,21.0475475865199,20.8744735766964,21.7694365293457,22.4458195086143,21.5930194940675,21.2249078306131,20.3330948253475,20.3453669788846
12,22.6701385948553,21.9675292012839,22.5421591966864,24.1319037216649,24.3423713231722,23.7389387789488,22.5047424835866,22.815550958478,22.5815405128915,21.7950173895317,20.837304179241,20.9455935819061,22.60634584074,23.2303492157287,22.5335762860595,21.8857942963986,20.8545173745649,21.0319008417457,20.0004784427154,20.5469303311557,19.9154484690863,21.7817139987267,22.2026957738273,22.1417920532956,20.1596217904266,20.3661002435122,20.0180754899386
