protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,-0.266503853900441,2.60663671498744,0.0644555348064744,0.384240339617339,2.91523473577235,-0.452842620002692,-0.117736485716897,2.66512143749278,0.22795404961845,0.25126394319289,2.7091253583422,-0.497496568163618,-0.247162830798138,1.91327447343359,-0.358910437803327,-0.00410111239475164,3.2672981205319,-0.75974129710282,0.0293858661071651,2.98558529946743,-0.714079235654651,-0.249531450457472,2.66286390635153,-0.0118675881794417,0.220145584350308,2.38753991328239,-0.19532796221438
2,0.109593707141493,1.15602277964177,-0.505793271947495,-0.230048279495229,1.52513681265018,-0.443033459126259,0.120454572353736,0.901308460994618,-0.190481333048517,0.227046063973887,1.4729016892866,-0.783485880395016,-0.028206123387637,1.13384318059299,-0.754415838386028,-0.198839940586249,1.5072150509677,-0.641737596595121,-0.133064989147935,0.931459677211834,-0.567870498992052,0.131467821352126,0.916393175802227,-0.688013727457941,0.00159716779580865,0.717457117453988,-0.846030050511779
3,-0.110880684886243,0.916356684966037,-0.370230280997627,0.0773719273205415,1.16824863267235,-0.603764618009092,0.033508757565702,0.685994771315785,-0.13464114169415,0.112074436262722,1.49450033128673,-0.320028667036686,0.0135220592152958,1.23182319123552,0.0361299859104047,-0.125596495478018,1.33890901208474,-0.0890905706585885,-0.314707214588767,0.866839923183201,0.0641580507021144,0.211466783928793,1.20109505043559,-0.508776479865174,0.103240430659974,0.741419842731555,-0.0772049426908117
4,0.118769716116192,0.732239421836767,-0.318182462925594,-0.105343391538227,0.98266396910638,-0.80650404580116,-0.0134263245779636,0.590299748940518,-0.153759409598617,0.0799883931270218,1.89361392770123,-0.804195743592984,0.0168579039061969,1.30821088196132,-0.503938069692396,-0.0968462970332178,1.02279011077294,-0.71000854557079,0.0351204864337653,1.62924296397703,-0.168666736791951,0.0952981154585251,1.40177993188443,-0.167127893182939,-0.130418601892291,1.49754185652299,0.0715613825799215
5,-0.220856346583907,0.516973556893167,0.0253641538686056,-0.00232210536642796,1.05934131597588,0.0157420300136399,0.223178451950336,0.676232673889616,-0.339071399391216,0.309069773749622,1.16242885839413,0.262179134463517,-0.277820266145104,0.916123946057025,-0.833355260913193,-0.0312495076045183,1.58005538856004,-1.39500650920159,-0.528827148064067,0.509998452027599,-0.843573613546186,0.0311745551105922,0.361635445545293,-0.816064527386873,0.497652592953475,1.56986063423565,-0.308509603153212
6,0.0423677081372249,1.3184247979394,-0.198170953241564,-0.0507798539337934,0.899243218421515,-0.262023300756426,0.00841214579656935,0.768518675955449,-0.276355970683586,-0.0835970046423782,1.21453486806703,-0.0364883091070851,0.0951217072616934,1.32655841961342,-0.423153336343394,-0.011524702619317,1.58969057431004,-0.313818316445989,-0.0254964083875358,0.959636992875931,-0.309063012985553,-0.0200626012593723,1.18778713825323,-0.431529438815441,0.0455590096469081,1.05869207337769,-0.0884344161996795
7,-0.136948334161074,1.0011861641427,-0.345351671237362,0.0687437334443048,0.888148383536212,-0.247488248634426,0.0682046007167703,1.08610181497795,-0.329086741444082,-0.059160995452312,1.2967383105543,-0.61984258394942,0.114974918012362,1.11495957383149,-0.559951159975629,-0.0558139225600502,1.169260472185,-0.385618764251322,0.0746239151660992,1.31102413298467,-0.166647891747118,-0.19604661638314,0.973922642729862,-0.241648665257006,0.121422701217042,0.830594301705823,-0.387301745440846
8,-0.222176664459208,0.96066451208817,-0.0116583376686945,0.00312488612097184,0.559175321747183,-0.109526944620257,0.219051778338237,0.602715237883616,-0.989921975173615,-0.117150353035245,0.00613582828226456,-0.638572154066249,0.0897305116568292,0.155360159675258,-1.12732408077066,0.0274198413784159,0.738294781325771,-0.538822918290154,-0.285965132077734,0.641303759934033,-0.159055548301554,0.230669520351825,0.889769488963228,-0.40075527374554,0.0552956117259074,0.768513748639889,-0.0980942166029806
9,-0.122966610926042,0.754101254382036,0.246519652089173,0.234320636039739,1.48220120881905,0.109338790906408,-0.111354025113698,1.16555531075618,-0.27632007488225,0.255820952962887,1.3626905734941,-0.374962377747016,-0.140623950554039,0.977482566762991,-0.00886566749572815,-0.115197002408848,1.1856077904361,-0.727769302335021,-0.489881162380668,0.938098622174302,-0.0658968477265862,0.194054863346793,0.998929979979295,-0.889801542861774,0.295826299033873,1.16004585316796,-0.149554063842913
10,0.253189344506126,0.984590529737105,-0.125692556441759,-0.00664715191499532,0.777658240729815,-0.334626494639126,-0.246542192591129,0.934112654153353,-0.144166164038083,-0.117789221794311,0.741517100607597,-0.424852787166916,0.100489762770561,1.03954083539019,-0.725891595864526,0.0172994590237519,0.876421993982202,-0.183141686524522,-0.0948286669438989,0.785299659309267,-0.585585098420919,0.0204397192971584,1.01071931816206,-0.674241532843206,0.0743889476467388,0.901490506897021,-0.331564544805847
