protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,5.76500558764154,6.11998101556857,5.57030569974613,8.35415755170905,8.35492680242001,8.3786199280717,5.35290757924805,5.55293692344119,5.9108138291215,6.09996318439133,6.00484923754479,6.2295877863761,8.50892223562497,8.31613293881127,9.19884329838546,4.93614036413027,5.6472499701599,4.59752406060001,5.60580540272045,5.81708624149366,5.67689178726829,8.90412849726917,8.51850732633587,8.27967025999244,5.38293991063433,5.49684998335408,5.69470186928126
2,4.57597665190323,4.30907636575672,4.43467412375152,5.38246926373577,5.97966437153684,5.62452762906705,3.92219713919374,3.83491271106998,4.19981693549495,4.62255943090901,4.46171668280758,4.67670204489345,6.21124153159138,5.83258582770982,6.1367761798953,3.48298562937592,3.71394215697264,3.21556621132983,4.24355662128755,4.70654905417066,4.57624030381414,5.61038035708319,5.40075177558139,5.40553040810024,4.14871105409279,3.85138434188874,4.01588369309432
3,6.3768777511427,6.20256947389774,5.91877340664677,7.01455077902712,7.63356439030789,6.97094573638692,5.73549888722293,5.7162985177111,6.09861477745314,6.09474829940891,6.43881522820027,6.32984907590509,7.51415998906267,7.30364173957748,7.55408185263367,5.28025713150406,5.84866839035283,5.15492978110822,5.8210739962772,6.42980405855756,6.15667307892961,7.18637061396259,7.45228783910812,6.94911580168691,6.23859197906761,5.38776246681968,6.23329321099822
4,5.71431388808948,5.48560521180957,5.54266986809812,6.47846264102874,6.65618735577202,6.30543519499345,5.3156356604897,4.8491598086668,5.64510972952029,5.63959749671454,5.6642342529802,5.91561234945662,7.50958534172429,6.97321262516254,6.74170967221029,4.35811987764874,5.17487380443958,4.27865100955128,5.18061295092044,5.50927658175365,5.13620909057954,7.03145721570474,6.67986117449008,6.78835715739004,5.22385222292435,4.99142072685084,5.40817056502881
5,5.27306190465694,5.31201440068343,5.40718983325027,5.98031024474529,6.77924317519259,6.26104312913944,5.39945117196217,5.5621015736068,5.19136156832506,5.67869894047718,5.34659743162621,5.93288144627648,6.91436673979455,6.50967082670002,6.95218200551266,5.19485125783715,4.81230167822894,3.81213615526926,5.00423710902298,5.75248688591719,5.91129363848324,6.18228589494704,6.13085332086681,7.17603856855372,4.90886430245649,4.8456218486728,5.50043545615386
6,6.07848434387782,5.91105288279629,5.81462172463463,7.1774320447669,7.34178098903613,6.98562367107352,5.67656541350443,5.88075771398141,5.74129251476871,5.98977187242322,6.25160719768324,6.28862909082804,7.28587646581712,7.32626794346353,7.3871116718859,5.41073393720977,5.5935209515519,4.8161741987077,5.85121743239197,6.08215296259845,5.88700846510534,7.16285416872217,7.25294730816451,7.14080779566515,5.79988789626891,5.32993916687974,5.85947430759743
7,6.34757476412873,6.50529612109222,6.28175147993824,7.43270284675433,7.51520009913648,7.61980811650135,5.99382588452021,6.22225566113399,6.16685501794503,6.51785832193144,6.77537177452258,6.78819229707973,7.76085832855856,7.60556234093358,7.78571715060823,5.48333676493666,5.92069435472878,5.34803785598999,6.11800043532017,6.35106969059499,6.40395846033093,7.70744301002158,7.33724190176113,7.51891111287845,6.34164084419361,5.96231053082497,6.01323073239284
8,4.80794133856579,5.11828119094851,4.97745702158269,5.72755485706553,5.65286038623401,5.5510685263183,4.706179003316,4.81010040524955,4.39613476315012,5.20086845491276,5.51908402093535,5.54615895728218,5.53252765290168,5.54102095098089,6.00907152868191,4.20647049332294,4.43005688385769,3.92678022810188,4.4885672748656,5.34104061785738,4.74794244343843,5.70691665080912,5.73006299738859,5.58715726809677,4.56831248991467,4.39378550935788,4.8813426978022
9,5.98149740540425,6.21330554502767,5.98955300617324,6.78720211072967,7.63807606683869,7.10980825033321,6.08901590847238,6.13689733290616,5.82758133811752,6.33374528671215,6.27943604366737,6.40126966447076,7.85486924501189,7.38884458855983,7.73190409557097,5.12785939702414,5.87437480843265,4.89213457940987,5.62183189889772,6.20653542490542,6.17094211011868,7.47081768627317,7.36389107218587,7.29983396803776,5.93158282331891,5.22477682254495,6.09325723176041
10,6.66453461076383,6.04570299382475,6.02843357790425,7.21814235551349,7.53864031104883,7.41130679586947,6.08988127177211,6.20055277110416,6.17511432710218,6.63943121375849,6.66483896709549,6.54677340793415,7.39244856397709,7.55932539647825,7.46178095495859,5.67250402313425,5.79071341148895,5.69429709304426,6.10258741763359,6.41196384136693,6.36669602977431,7.39262821469414,7.4603044233641,7.25112309808737,5.91761463049533,5.82918688327231,6.42783596498319
