protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,5.72408494493561,6.02870357989058,5.46250230184218,8.27769001752243,8.34044629780806,8.34040107355529,5.30199965351963,5.52835775417799,5.85543134463237,6.19775363792953,6.08271299597326,6.38551268099193,8.57633387637647,8.35284266412832,9.35181801777728,4.92768569017635,5.74661174898593,4.54523149088397,5.56199750784317,5.78899165174031,5.72137684948442,8.88612427935393,8.48183542490203,8.24382631353821,5.39586125161133,5.53584841271245,5.63161070356633
2,4.67569224552067,4.41921887283076,4.56272256188598,5.53181168469086,6.12460141850135,5.75663010315287,4.06693729247482,3.97760031100965,4.35260127844866,4.67336001448185,4.46563056280317,4.78082059872478,6.2642755053703,5.91283308005411,6.19317666687095,3.51008695069023,3.70809614933028,3.2169456204258,4.24426673375725,4.7050597600122,4.54747396594171,5.5920784091245,5.3848705432584,5.40370333818963,4.08073554686271,3.83933166866969,3.98005198352815
3,6.43140774214371,6.19064034484625,5.96473790252375,7.01140747329486,7.63859198834636,7.01390089311194,5.73846143599613,5.732499198143,6.11620034498125,6.08382893344414,6.42620118287751,6.28338304737333,7.50164849175554,7.26216335111444,7.52289692038535,5.16756198194256,5.82505050339462,5.04322012794898,5.8575062170543,6.47227292842538,6.19991763718368,7.23106856969202,7.50543361655609,6.99246706756112,6.27776885349491,5.42547652700806,6.27724208430793
4,5.73615913347946,5.47879055091935,5.50872620600214,6.46426349541376,6.63777305869729,6.30854295989923,5.30682903364835,4.83812197143694,5.63962372001101,5.69579316733835,5.73871800086902,5.96212154668962,7.63861267128036,6.98288195140256,6.72875759243416,4.30822949936598,5.22222993356239,4.1930622541174,5.2471186051149,5.51011830887002,5.15017062627088,7.04583699200633,6.64969155848762,6.80764591568179,5.23290521422594,4.99788143890666,5.4259463576079
5,5.34095944283163,5.39285277544454,5.46840416869414,6.03258688085139,6.81205111826814,6.31572481782378,5.43222007906263,5.60908952048783,5.23673440348894,5.62434717083772,5.26680735761456,5.87506166264241,6.85802709474167,6.41261966163215,6.96227654038264,5.14770834442356,4.68685944438418,3.48771531275052,5.10890279550844,5.90148184480544,6.0588503447589,6.2586497164015,6.23585799875893,7.32550493350024,5.0073471077491,4.93391171133049,5.57365366842556
6,6.09733943223298,5.92114618590465,5.85958664647162,7.21541143818715,7.31521485131526,6.97668210860488,5.70666562613169,5.86081204055254,5.80346300669833,6.03501705476656,6.30783672589819,6.35020811219586,7.37517164407341,7.38441337358181,7.44896185077645,5.37270058676822,5.6390443899789,4.79920099638567,5.75286614047867,6.02736287183927,5.8281061514466,7.15662339893427,7.19472091908178,7.10971349432096,5.77868915492249,5.27923136571521,5.82686621387645
7,6.40965396696143,6.51307293541766,6.35575735384592,7.45830730294239,7.54937094841888,7.66061319827424,6.02471803700345,6.27625970531525,6.19520176652266,6.52126039490994,6.79878527670573,6.76177891623357,7.7282930546692,7.57197434831791,7.74331953153455,5.39267965120482,5.86165554947903,5.27637625667791,6.11844488437904,6.34706602797829,6.40009401296335,7.73556173481085,7.32021338073395,7.5472877783081,6.32651651594734,5.95120591615214,5.99725479677184
8,4.77986664140512,5.05876085877324,4.95803815707703,5.72306487315563,5.66446127689171,5.54608261418615,4.68037341974012,4.77570613054918,4.40734406134346,5.28968232818624,5.60545580716622,5.59340360230708,5.56644074540861,5.58495944202518,6.11600176331159,4.23313048640939,4.4769034169513,3.95547542128225,4.45914165410101,5.34831952490708,4.72926989418851,5.71569287268522,5.71960458109215,5.64517032397435,4.54623290745207,4.4245707220002,4.93377387562355
9,6.074296769206,6.28390371134736,6.00929483843341,6.86101749397443,7.75265573408589,7.23939434656248,6.20219687447935,6.21424056234203,5.90136976272986,6.43092369426662,6.38384197777542,6.488677048018,8.07097933175755,7.49701099439758,7.78602677229346,5.20278819881903,5.9659729894791,4.90003539228561,5.63537730214094,6.19416601277636,6.13711159417942,7.40110115019328,7.30631418220404,7.26022220262709,5.93301222201119,5.16344832530298,6.05752838777168
10,6.68317287623995,6.03244804713077,6.03899813243886,7.20752917277636,7.56027904451295,7.43530282481206,6.14131710025436,6.20468183402792,6.21485411964032,6.6380653883633,6.69578305633421,6.58172632721746,7.3588246441337,7.55959223695046,7.44475345244941,5.65074458260739,5.79811950929087,5.64839366808121,6.1100755811757,6.42137364594655,6.39748798897343,7.41376660132742,7.44906070053363,7.2411483666324,5.91327115399774,5.84991853399529,6.41949552023699
