protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,0.374805851974833,0.682744938214876,0.118074682879675,2.93931626808277,2.99795067365894,2.98739295965963,-0.0684196257228898,0.18090074452785,0.493702176544538,0.759745285229845,0.779396766081954,0.916555357908247,3.13139217233837,2.87045489612039,3.96246736962901,-0.381998005796037,0.273114607674658,-0.857107209117665,0.295666320809081,0.551576369810603,0.39349175404678,3.6089923162882,3.18473011505854,2.94362274210858,0.02397549509554,0.224227434394521,0.381684389618261
2,1.018905348636,0.731435935713928,0.929430150104492,1.89620687209077,2.49577167602475,2.0483747573184,0.414111390006933,0.352235999913803,0.754323806710733,0.963517868617766,0.847931173914189,0.947099447150612,2.7157682205612,2.20222039931994,2.58611816177683,-0.16897727725529,0.156601046731251,-0.368568352340673,0.558864411361818,0.960349343358249,0.815141311760435,1.89888427058171,1.61433500807093,1.63668258405785,0.439333156905024,0.120253263788758,0.407976460137773
3,1.06191092747095,0.932981051013675,0.603538765088819,1.67366437582687,2.27296502056442,1.63704680202555,0.400922207630171,0.429251572132966,0.781163686757095,0.79698483438783,1.09125938680262,0.91304253520939,2.15284682523342,1.95686143125367,2.19891484657237,-0.16116182704242,0.511128522272877,-0.26025174837896,0.421817612503009,0.963275285131324,0.665763981883471,1.7817091503675,2.0030387736737,1.52106506944435,0.806874544606148,-0.0889928632722493,0.848050600287985
4,0.840144116621315,0.612461273074888,0.716283432911196,1.53240057070499,1.7276674165309,1.41812366094973,0.434655694670204,-0.0322634714890784,0.758858826312935,0.671248972495317,0.715838216284938,0.917564008462053,2.67888551086546,1.97071514606569,1.77846503418555,-0.740645902409357,0.209564134326261,-0.823026867307507,0.523272937705611,0.838463556017792,0.488076420618236,2.31197334174732,1.98088758682438,2.1074626341381,0.606627115361065,0.337147891185694,0.728621631359757
5,0.387435863963241,0.411614848571974,0.482870639588399,1.11001810072318,1.85518899717673,1.40038174398918,0.516719862657445,0.657343180407834,0.240812312807598,0.657539350592374,0.366661280821559,0.952550703651429,1.9259472903124,1.50517292955887,1.96546876059102,0.206925511072448,-0.221982090342838,-1.34749405408105,0.0611351258882634,0.757858092218213,0.925059385494003,1.21503656621957,1.21485918041851,2.21766954024493,-0.0209947990243132,-0.0829049150432977,0.558603272384459
6,0.843766226966461,0.673085088404281,0.567452592272163,1.92409845526091,2.03968955674601,1.73638452181012,0.448550296520502,0.62197137171333,0.498990970462896,0.615098810966576,0.901456229693169,0.924927966857917,1.94543788824917,1.97176495655726,2.0326659212473,-0.0507972627228179,0.235231238584264,-0.60458120369063,0.579942110867103,0.760374067538804,0.583828618317939,1.87062101103401,1.90278495321936,1.89491884151604,0.52020915108029,0.0391706634627022,0.547786594834381
7,0.861925398940455,0.954255065314189,0.783026346382246,1.86118907492192,1.98215374680342,2.08463138318366,0.443938755604014,0.674509794099608,0.65271653812136,0.923621481362601,1.14716908985626,1.15790770205461,2.12712400407946,1.97818074366688,2.10954731939059,-0.203864567888607,0.308563623769805,-0.352441755106231,0.603551097706004,0.819935365912795,0.90702527660649,2.14049070216593,1.79574127535227,1.95539754347824,0.828534560987277,0.471242346706587,0.477259311201648
8,0.397072546522953,0.746898962715108,0.576195936475172,1.34147882001005,1.26843519151601,1.11305704280499,0.257714709592927,0.402666122646115,-0.0324165640981243,0.610429584624225,0.968530539448594,1.02707413190484,0.914912498121833,0.957629577670077,1.42377027145321,-0.391876289314515,-0.101890280397783,-0.668197876841933,-0.00274731599796182,0.848133291320855,0.236040024619241,1.28542758361525,1.15825357665996,1.1100750363654,0.130495588150262,-0.0952033798773482,0.487891552922072
9,0.757762368183605,1.01897940960092,0.787433695379494,1.56138264421905,2.42138316908229,1.8971763463364,0.927505663123303,0.935151191056758,0.625319505095685,1.05089446490415,1.01489756218694,1.13608864747783,2.59767788375577,2.13268929634534,2.43972475837387,-0.223014363586383,0.639272630173491,-0.475877905556228,0.312935324166166,0.887317527362306,0.809866262710824,2.14879789261552,2.05465809020943,1.96111622257737,0.60638378733612,-0.148831481150924,0.814135583132562
10,1.36120467702752,0.740552507772802,0.645837084046647,1.90025629018213,2.2072693401708,2.03854389522982,0.783878722333989,0.879331964974391,0.874693267242018,1.08156757495772,1.09118032600403,0.981555431212337,1.79632869141518,2.02847054263406,1.8768962881462,0.0878172461617072,0.194745133502846,0.0831641097527894,0.739203392016138,1.01537040814085,0.946344314683348,2.01265163045233,2.02241287596495,1.81563572608798,0.522468847668787,0.426227328318888,1.01822237988085
