protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,47.0738123943502,44.247640014516,46.7334430870175,50.0543551413596,48.3311989609424,48.1526351501559,46.9269932737498,46.3389630745392,43.1585876228712,43.6479210289585,48.1415518599658,45.0495251451544,47.600566757138,51.5064528205036,50.7198660489436,46.4016552569425,45.9770939911138,47.1011040412737,45.6740002486088,46.9555079316428,46.9950605018028,50.54552960188,48.0888593550275,51.6380975916629,46.2768333157026,44.07146620466,45.1699708048215
2,44.26257664514,45.180702207935,48.0611203281234,48.771005811471,46.0120366767905,50.0800265626631,47.8123721432539,46.1347438233472,49.066977755414,47.7838100113942,44.6447218929374,44.988950982121,48.9015692101665,46.6808075306221,48.5392031069363,45.4804476377039,44.4149905007954,46.2107789396369,44.8551429027142,48.984199545669,47.3785919178477,46.1600365808007,49.2410265841238,46.5304356907093,46.2679511116969,46.3520340135181,41.3099686128387
3,44.2951696109115,43.1440586220245,44.2157113829428,45.2318177617796,45.2857181316617,44.9875854523479,44.2512270474608,43.9211717623715,44.1820837245894,44.3550980088332,44.0118926631224,43.9998916204889,45.4990040939905,46.4041080769755,46.8525438147803,44.4115592271452,43.8127917492274,44.9787176851129,43.5113149967321,45.606956198391,44.5750231282138,46.038223167291,46.488970545099,46.1608913687027,44.9288555082449,43.593496092119,43.290765637095
4,44.8748269274523,47.9800582369921,44.9669162165271,46.4500091485068,48.2668169436534,48.4372804988501,47.0439355056347,44.4123890172585,51.3166870885269,51.0545054063085,44.3195403241249,47.6384622335931,51.1072943307054,44.7804267965502,49.2286535238468,46.7175209050486,45.5004831816228,46.3226518946005,44.274553549564,47.6524158246849,45.0420005114224,46.0916546310888,51.011378647143,45.2585741945486,45.1309567216874,48.6082349147069,43.1878544322522
5,46.8751366822292,42.6025448868994,47.7271108822568,47.5431461611599,46.8738822618255,44.9871554691876,45.415645036372,48.3713271082049,39.8078030313249,38.4235954415091,48.0350148747546,41.7580206094876,42.065027881706,50.7741551747225,45.419332055434,45.9447275969543,44.9704375061577,44.4627012488633,46.9049460369044,44.049888507152,45.3372341523515,49.1979453455208,40.7233145117561,50.8939359344189,46.3102639087458,39.5900830589787,47.2729115234666
6,47.54291891596,46.4831138141265,49.0873754708032,50.3707675895761,48.05700283519,48.92269703965,48.5224239628865,48.6441963928815,46.4368748530064,46.9477904396721,48.2809379909903,46.8309325476707,48.4340270201572,49.9565542441783,49.2211271929391,47.9385252123857,47.9598078284458,48.2486699246982,46.2697326250266,47.3734849368781,47.3129033403984,48.4871808184946,47.1750650359597,49.032573115668,47.3611907159605,45.2421926626613,46.235741238694
7,44.8655250558391,45.2567883715056,47.0514215494752,48.028845995258,46.2122536894611,47.8662708342911,46.793802061209,46.273922906239,46.2771090889946,46.9185703919995,45.2790870072087,45.0257630247647,47.0870430142617,46.8417482951686,47.6584749853949,45.3639904950304,44.9971835188017,46.2722424827179,45.5236616958376,47.0917922734993,46.7360416331654,47.37405100282,47.9948488493857,47.759174202991,46.4548917620051,45.725932897938,43.7655843548789
8,44.4932608628121,40.0522187613507,43.0928237302579,44.1034030102733,43.1060558556902,41.3435199594339,41.7189186939369,43.7412018290162,36.5491558322464,38.6620779315734,45.711039088119,42.0027982336581,39.9222071784503,47.2792163001896,43.7802503315146,43.4022303172991,43.4373802401638,43.3585036758904,42.4787014700392,41.1715110786311,42.1039506970246,45.5486297499918,39.8243917757379,46.9444233694619,42.9917363170878,38.9367011723747,44.6927865745065
9,44.7358060304954,45.7179261806465,48.0288386374338,48.5818558541699,47.1959298945171,49.5873376078722,48.3514344415323,47.0101439148064,48.7874547735276,50.8273148171933,45.1038632470018,46.3269391244584,50.7698469390395,47.6284139680049,49.7250098052659,46.833464461289,45.1938387918432,47.2060360335089,44.1180414476079,47.663349414027,47.0339602025995,46.0857089265267,49.4732179565675,47.2529604255529,45.9113885114843,46.6466456579949,42.4205591206148
10,46.9590320295755,44.3299787963608,47.0867164276727,48.3657676297005,46.9255811451581,47.7998461138939,46.96997228723,46.9761713399249,45.1577042026421,46.186612997682,47.3008809664217,45.4823850514773,47.2906748412005,49.8298878039627,48.378570827927,47.4460059831838,46.109328563544,47.8575435846774,46.6395699271869,46.9397940909329,47.0694901494776,48.8988138823718,47.4278712689389,49.6320959894705,47.1141766058569,45.646004187743,46.4658746241593
11,44.6872685278598,42.2226224147657,46.2835569206686,45.8692988857666,43.4354283163606,45.0117408315738,44.9351406631764,45.1710157030766,42.1627798835267,43.5376500485147,45.8309091748757,43.349986475235,44.8278303512846,47.4123316150454,46.2265409236644,44.3954802844453,44.097626048278,45.6798194303349,44.1876334888222,44.3222559089515,45.3653484688682,45.2174206263706,42.8071028520231,46.7763716592961,45.3801249893837,41.4291455169696,42.6104551042537
12,43.839269523597,40.7510389245935,45.1686887386464,46.369161470699,43.6915041874385,44.0159512246582,43.6949675664729,45.5134541037777,39.8165116353008,38.7682333319361,45.0973811478929,41.0574837445957,41.6159227689529,47.7223394409411,43.6670988480731,43.4410113405659,43.333534800546,43.9204925171971,43.1257502253923,41.5736112101002,42.4997720566881,45.061540448137,40.4174848630587,46.2861463741015,44.0225048688028,39.1660060910832,44.0741293010421
13,37.2865222476383,40.4581430045386,41.2644931902324,42.4685382356408,40.5650527095525,44.8748853158898,41.7386976064655,40.6649020593511,45.9921801595296,44.2763309328815,37.7861015497535,40.0565248147687,43.5927249395283,38.3510840875624,42.6165679048488,39.5334509785353,38.3498401421007,39.8766251492984,39.4852158594679,43.5868009087876,41.9132531393588,40.8588874735366,45.5028308401337,40.9552382001872,41.4135437872863,43.2587784477101,35.400322325211
14,43.5006282734833,41.940946853631,44.1224803050243,45.6422423123894,44.66201427605,44.6688621827302,43.4170301668204,44.4264053751717,41.3707890394384,42.0491781066454,44.657329004559,42.4299307291747,45.051879732747,46.9509291582017,46.0857891449896,44.4078535150324,43.4571643627467,44.2329823744364,43.0986883946723,43.0375316425626,42.9843628351605,46.185380235764,44.1531448230555,46.7576372149699,43.6352956602996,41.2714081656412,43.2949089542576
15,40.4319397564364,40.6337760468898,42.4958263487764,43.5269703441516,41.7113854570406,43.4841296284902,42.0657239767955,41.8628373743062,42.5214403307522,42.8494496303349,41.3452653010815,40.7520993092373,42.9456669509404,42.5280453436931,43.8042228235752,41.050602962142,40.5601788399224,41.7184140035587,41.7469439350569,42.9385860329764,42.3276202090064,43.1194947772907,44.2679003415606,43.839056811077,42.8415374294611,41.9140337035741,40.4314669850186
16,43.2914557252076,41.6428171627949,43.2335876454459,42.2956706787473,40.8504393171797,38.9922697001795,42.2114117582751,44.2436473370801,38.235683927699,38.0418076754273,44.6499533302684,41.0976561914558,37.821696651339,42.5865453609364,38.9962463836934,41.7288930969925,43.9483244662405,42.9083508390779,42.934604959975,40.1794535794038,41.5478641054156,41.4761967427799,36.5179124489107,42.2607434134663,42.1678825376684,38.3943152606351,45.2829359293248
17,45.4861141327943,47.477971816464,45.4626553268813,44.2133231331301,44.4293790539477,46.1774423847271,47.0810065354213,45.6465408267154,49.3680486549543,50.0534545097526,45.1125475078098,47.0733925132289,47.2060581564792,42.5380172399223,45.2885333127305,46.5337810705372,46.3628202714942,46.4121262450194,45.3877909892356,47.4860363920492,47.2061534520865,44.0301521818818,47.3639728030578,44.2456598572612,46.4852262622282,49.2558558170418,45.0466966912877
18,42.1523340588695,42.9357727048624,41.9697240027312,39.0859774481315,41.1933515516079,40.0980261685419,42.139860290138,42.3935246277433,44.3589078094356,42.3580282180142,40.6122693846316,41.6540700392901,40.2575626255311,37.8285541095222,38.8215270633393,41.8855258866674,41.828335269303,40.9117733581152,41.1074452070055,42.4429625609693,41.4815929937655,39.6674332245703,41.0558512784392,38.8482448416513,40.8155675042753,43.5976555726,42.8890117612116
19,45.0337290615177,44.6628581309357,42.3186908395706,41.541333062474,43.4297842263211,41.005182867799,42.9768969507884,43.3144968449426,43.3381138162905,45.7712543921075,44.5575005173941,45.3305284402639,43.4255816817184,44.1540167311169,43.3327786200975,45.8189663012768,45.7661871804019,43.9120771288058,44.5477889264468,43.6555190605194,44.6420252595311,43.5903290223747,43.4558192921125,43.040586457121,43.5310989648484,44.5912809257365,45.3507643786917
20,45.1313454290178,46.3730034003851,44.2685229846839,43.5314785805635,45.6819039318486,44.1561842801734,44.7743872188355,44.5460453732201,46.7989716251554,46.7260110309121,44.5431280853108,46.0229519623431,44.6450345057591,43.0011905258918,44.5009245948166,45.4961885216831,45.0804326748328,45.1047595893034,45.6825242000156,46.1924678435222,45.3752440146385,44.6595195898925,46.1764478192693,44.3816001945337,45.1876474026492,47.0815742999127,46.7737414261908
21,44.6857596493277,44.1050202311876,44.7190304687329,43.693657506616,43.4711929718323,41.9398825470327,43.9707557233505,45.5149471945683,42.6501849515371,42.863367697864,45.6548107416487,43.7480073984017,42.5779968701937,45.0171737968845,43.2339538692363,44.8451045346516,45.3498042592936,44.6168178742651,44.422687173264,42.6970908235261,43.507918492278,43.7092051872601,40.8922490211384,44.4833998262038,43.6375166221869,42.1194998151449,44.9601235989692
22,45.4752664158932,46.4297925991143,46.2230219242327,45.4408391684191,43.7899021749902,43.805597345729,47.0335931270377,46.7673183264298,45.8295477031174,46.3233094486984,46.8935023569628,46.0866409884067,44.7497886027028,44.5127575391032,44.8910416663251,46.3172257459484,46.8037711548649,47.0302250038122,44.8472213896493,45.2279785857955,46.0668748505264,43.3250940149398,43.7014967779289,44.5824939497051,45.5693160521061,45.0489921351381,45.1770284479802
23,44.2466295452176,45.3547747752444,43.2870677906587,42.7937539283823,43.9160797700868,43.1323177902084,44.3134758082541,43.9025429615901,46.2027162576646,46.8596106505629,44.1297248862032,45.6350465171495,44.2846940688087,41.948390768266,44.1584730542196,44.9964443701721,44.9971801137705,44.4115824174036,44.9385088798694,45.0109378266721,44.6875397065412,43.4485420093076,45.4795637995594,43.2722960554055,44.0486695693521,46.8570667135461,45.6884855142499
24,42.7835931220544,43.6925608441347,41.2477043460224,40.6710426509688,42.2556768173785,40.2320492487128,42.1287556175419,42.4636254264068,42.5152917895227,43.3211484654122,42.1732191551909,43.6906475855156,41.2399274158746,38.8256790123285,41.0324007470095,42.7649473475062,43.1255671756431,42.38041737023,41.0358449429983,41.7462532412545,41.3748305605181,39.842882351976,40.4917714824762,39.7601892257053,41.437336180138,42.4329645130317,43.3275380535612
