protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,4.94808924855047,5.73149241352638,4.90367301939507,7.37645469473043,7.95572215065418,7.72671093438081,4.64994512303962,5.07631390409593,5.4417882025891,5.36861543995728,5.2494368151776,5.54834682814581,7.92033065323577,7.59257335263318,8.57603238189811,4.37983329259448,5.13180076564033,4.06523648976943,5.01039821437114,5.19451353371036,4.85903033133327,8.33832454354722,8.047284749928,7.73619301299713,4.98182265600863,4.68540976456437,5.1337991197705
2,3.64085292277706,3.73962747288736,3.66313013799653,4.35308537210532,5.385654530399,4.90492225996569,2.97525848195721,3.15099706716974,3.61074946945111,3.84865539342764,3.62101042725732,3.82715887714939,5.51773890238932,5.03022396215806,5.37789986734778,2.79101574548062,3.00149955037326,2.55502367803295,3.46723690270097,3.93797146575534,3.48836095228099,4.93311156699046,4.82141767245087,4.72931041552999,3.58685608477517,2.84527729733154,3.35404926617937
3,5.645023342742,5.84051198816853,5.35189872456804,6.19508500366108,7.23635697583906,6.43711878166372,5.02109807440379,5.2540217696208,5.73096085957065,5.51432069608651,5.76477640892546,5.70325583388127,6.97644729985428,6.67707995738024,6.95542091702369,4.80451461140872,5.37263073919804,4.70881595435659,5.29114366139545,5.77131439702698,5.27704759626261,6.74131529736232,7.10197452395684,6.52151257182323,5.91195544840066,4.58059355685818,5.73440074424851
4,4.76738478421014,4.97723313621012,4.81412423658792,5.44327350292545,6.07854841712792,5.60773550994865,4.33953507092779,4.18329267122486,5.08498115991362,4.87231135725441,4.85911919683698,5.08033603951355,6.86302262777939,6.20117122484138,5.89029192920181,3.65451828881093,4.47090984383988,3.66637011158329,4.42150543200065,4.79961133358853,4.05241564983605,6.29418698672904,6.08744433793455,6.09273944049449,4.7108987587732,3.94963093846177,4.79903884523489
5,4.50995394038728,4.89958751171878,4.80602984628833,5.14260008383261,6.339968911853,5.68950360285832,4.59076430501711,5.00661838571482,4.79677933984461,5.04026377774398,4.66057568515845,5.25234495140756,6.38123244348943,5.84189015249361,6.3559696698596,4.67306207012888,4.26899777843229,3.29239466609848,4.38213357772744,5.14035491978218,4.96450389004664,5.65746576889337,5.70876142965236,6.6378176909643,4.5082699213164,3.99027599719882,5.01719078369389
6,5.24202856642587,5.48369426554842,5.19449163846366,6.27420153911513,6.91579531346859,6.3783062688672,4.88782251691629,5.33866482148834,5.38993333935428,5.36496744638075,5.59840089105219,5.5547587846713,6.71746082092095,6.65910300745594,6.77359738146548,4.8650325513918,5.03318258976322,4.33666723923683,5.21846138398671,5.47852744067507,4.95988915242342,6.63369228397107,6.8294482100916,6.5960816353736,5.42462103320437,4.47134298107709,5.33348333307046
7,5.49207882406635,5.99296780587028,5.63163447075533,6.5198028257656,7.01650527928141,6.95783834433458,5.20850227195942,5.55232075147436,5.71776960867108,5.8351870491635,6.10919363500517,6.05097785998158,7.14337140193206,6.88951707476562,7.13052952704036,4.86636819651673,5.27443698901332,4.74634168273066,5.51469101232098,5.69067410205624,5.36351960622772,7.11649524136138,6.85752287587612,6.95336468492166,5.79591586589703,5.07989541366915,5.5458627702494
8,4.12015249724474,4.77131919116277,4.43730152047957,4.922830788755,5.30630648423199,5.01994738696753,3.96615002578894,4.33554689395998,4.06377540074141,4.63561311671258,4.91472145445492,4.91854982986839,5.02682240669734,4.95602582133086,5.46429044295019,3.73023733549925,3.94547219055592,3.50361655620962,3.94269697350793,4.80035496817357,3.88125795532676,5.24373079248804,5.35508704420438,5.12789650427664,4.22109318655849,3.59997130622368,4.4663702695444
9,5.28118792331378,5.85061448737515,5.4392776632902,6.00874859041336,7.26677793694039,6.59414237706038,5.3569667170982,5.65305713563468,5.4729243712699,5.77533133886171,5.66490535800025,5.75377574961823,7.39213503957803,6.80220199230706,7.19803308843437,4.61238901580559,5.40595538042353,4.420969174094,5.07551304558942,5.66291945941153,5.29505742939383,6.99070667004783,6.99275753890734,6.83601216532257,5.59599729627338,4.4409131508045,5.6508978519999
10,5.50832387752673,5.32531952339077,5.11428910003303,6.08487044434866,6.81696540204436,6.51692297379872,4.95279950973526,5.4108928565682,5.51560128553131,5.66213728544269,5.64637372414251,5.51238690580634,6.55936576628299,6.62121263765376,6.53720325072107,4.8116538571932,5.02630477705894,4.88752940880984,5.20867194418284,5.5045122721813,5.13974928067958,6.54952578161441,6.7008299713775,6.43764867225894,5.22874055215908,4.68390256203459,5.62417310665234
11,4.6067243830291,4.59144376084376,4.04098760087176,4.24569163829101,5.2986075947136,4.64664455402099,3.37815602819865,3.80394857312539,4.16839102390443,4.48854096545918,3.87679716416049,4.69330935012877,5.57530605418207,4.66058779084765,5.16091151133445,3.42508198848564,3.78818619926756,3.189042928715,4.1628114801564,4.29652963347173,3.90609550450449,4.95912136436954,5.28092587687236,4.46376096786621,4.60458832597244,3.46061988198302,3.88359340480237
12,3.28220714807976,3.21380087999762,3.49923075702919,4.5323749984587,5.16580514933712,4.98301039228053,2.95561636078899,3.6289670660634,3.48967979032719,3.76849974536084,3.45654358191832,3.69276604629389,5.07581894929846,5.45774107204366,4.54901183687396,3.08698619225577,2.96048120309695,2.44794666632355,3.07815802104644,3.65595550017111,3.02330913611551,4.66040217276136,5.01430187807571,4.87560810849886,3.6107723156185,3.05905295303461,3.43998848576404
13,3.18113512528881,3.04670856024462,2.85437609358305,4.05884809715292,4.76270096815207,4.30526216527388,2.23447534263901,3.45396229245949,3.31038801278039,3.23704913407936,3.41431413231401,3.61184440153031,4.68068866557347,4.56457653857861,4.47920219375216,2.27475210818557,2.79536888553929,1.81137071831269,2.59243847746796,3.03855553338061,2.67892703082221,4.50444519438995,4.31724200543347,4.88083634330861,3.41152404306387,2.83271588232582,3.04599271231212
14,3.1783184712997,3.21524685602702,3.57430747631513,4.43765507698346,5.16730026199051,4.90365424458697,2.52549515094888,3.21963302482422,2.91142815158383,3.17496514353878,3.45263957424399,3.25521758174621,5.5174665974279,5.17557714278518,5.00303052117033,2.53991873572901,2.70980932333917,2.14905631082374,3.0442791475086,3.37248513254998,2.569553333143,5.28714515027034,5.20052891040121,4.82871284150698,2.96252212096786,2.48334825133358,3.2610139326754
15,4.07844724446874,4.05078487204026,3.93516830283398,4.79876964040829,5.63922315219516,5.24142073439111,3.17096442388037,3.86712127727769,3.86622575726665,4.36457850513032,4.39884193654268,4.14084339939906,5.53893258617778,5.4185387604562,5.27870744875213,3.09188291355382,3.63061954863608,2.75311051132305,3.81998731471944,3.8604652727125,3.65337931163653,5.36335839216275,5.55930826630675,5.57240207404156,4.08803296412272,3.36145189293902,3.65814402097565
16,3.27246053334854,3.47579662153072,3.20532996637376,1.93761169026631,2.12343806675364,1.82386122569342,3.17998021614072,2.89295305936962,3.3148316596151,3.49567146928756,3.75382316022921,3.94425715637053,2.0872923680832,1.73041283534023,1.63503656109264,2.4592748772462,3.6157890855862,2.81265301545542,3.32821619796918,3.81528991191444,3.41647275873894,1.4760916897874,1.85964978620533,1.90409776806941,3.41402209004975,2.70742029768809,3.30778989756573
17,4.58642940440532,4.92238777117616,4.24140547669865,2.0937755886626,2.92254135124279,2.7417305364349,4.11798258667137,4.6002074981125,4.57611746883261,5.12161612376075,4.69503060175067,4.72497372457542,2.87452657066697,2.62387751259511,2.68264199364616,4.02466806229511,4.37933554156511,3.61492040002012,4.21905201872628,4.78430010041083,4.1612407115167,2.45209494673014,2.67044124057927,2.7788866171289,4.7016781352916,4.24302879944238,4.88041312802675
18,3.39416057371954,3.89370846617071,4.20156831861078,0.68983299748824,1.74480376032323,1.6480078293512,3.57481178054967,3.90538742873531,3.848433094053,3.79970088110531,4.1954443791062,3.84278434879166,1.93669857303409,1.59101741339714,1.33754113836072,3.34071072839083,3.5986137693587,3.29017973078963,3.47728197646736,4.19542924724005,3.77723651628109,1.12505029522673,1.30713916721376,1.27550487424412,3.92926590119331,3.19103276636444,4.14577393759463
19,3.87468190767691,3.73962210835265,3.52946674838946,1.84409937332721,2.45822379023751,1.79785856134537,3.49003246590885,3.92451272250484,4.16863819049977,4.6491002364842,4.26566206910313,4.33851167328899,1.83306004391986,2.25401286295934,1.98405886340649,3.41859665643854,3.5180773938047,2.91886832772481,3.56607033500718,3.87775572932577,3.94545530039703,2.36997370488134,2.25646251340049,2.00907482102962,4.17110464346741,3.36387755851915,3.66632229833777
20,5.92410148152724,5.81025427670044,5.86853410671615,3.81567032731229,4.71550123616123,4.36693666449119,5.06541875199972,5.27558293708079,5.6542878583506,6.02496616448851,6.16788976734545,6.00046084825427,4.39991002053757,4.49215471081374,4.38293458071904,4.74693404746526,5.24994760306156,4.75754293838801,5.58836470184825,5.77902539365856,5.15740360226637,4.45004361141794,4.31717421512356,4.49365591880377,5.73021641076767,4.95077681127389,5.86646515359209
21,4.71901540130375,5.09337147280073,4.97769978035128,3.2983085317882,4.26845189853297,3.8899944704413,4.23913746405319,4.77200606272552,4.97166470624085,5.13494754114948,5.14765185034502,5.10776323372054,4.13506329244445,3.93498251007859,4.18255177990826,4.31548272906936,4.59870164245573,3.92143170722279,4.99272632076826,5.12642752982374,4.47204509783126,3.79925533568168,4.24910714620905,3.75129194018965,4.79783880451564,4.27043632084072,4.82445197374704
22,5.05495833267575,5.23946025025907,4.84310988085659,2.92101665135508,3.48998075230208,3.57999331831781,4.97957918181043,5.06345420187867,5.16323739953602,5.11748501813382,5.62981635626246,5.49137479904013,3.50443160688921,3.37156102802318,3.43989029591813,4.42064143093527,4.82671421947492,4.33509429247054,4.90076023988141,5.07644531201578,4.69868716940817,3.21172967636155,3.46801743624638,3.51294343692796,5.3818326116397,4.42308339162308,5.21566330657376
23,4.89371997232085,5.19201759784068,4.7898318852838,2.97695245201497,3.56343658949195,3.41971593154896,4.38942276847596,4.70991348809991,5.09410505185464,5.10002047794107,5.28639172213488,5.39192078576258,3.59935552564619,3.43178829342446,3.78861810230552,4.15114442708226,4.66886502327936,3.89610294845,5.27759733270194,5.02198337387573,4.62293747222976,3.46311280027268,3.63998021504086,3.41860377069655,4.80926096360639,4.27088174801072,4.93930854169419
24,2.74817947861095,2.77103814990037,2.81254984139841,0.64077517561515,1.77222016168577,1.35606241356204,2.29181748303064,2.90747288051605,2.97787331370358,3.13172141921507,3.3703507712611,3.39107670484774,1.49353909491359,0.870757037840516,1.24703335129302,2.11392915581471,2.61385265413214,2.09936184681118,2.70304171087628,3.089081259426,2.60440569423645,1.21451056435102,1.03700242503188,1.41049897711147,2.99741493360563,2.3115224823447,2.99072734465581
25,4.62417756023941,5.25215045604222,5.08033539442476,2.68176061388464,3.31280447735354,3.3910412843372,4.35792842058399,4.68668872793994,4.98561990675043,5.47205316026592,5.21109483371823,5.38511634888126,3.38184901877221,3.17140115518521,3.25252942114209,3.82469391489135,4.66229994558939,3.83896626055089,4.64285496535647,4.84383080928118,4.65541734074307,3.47069031049793,3.42938293819317,3.0890338624084,4.9457108165877,4.26809763677834,4.78749256379686
26,7.8440649135125,7.74426054328805,7.15922454026839,4.85157649172797,5.739536106972,5.78334291009648,7.03779941265261,7.63947461334549,7.87923587802006,8.13894222961575,7.7598954706606,7.62839096272943,5.82041634191334,5.65088928204346,5.77485101822736,7.12272943944342,7.30233511442408,6.54958990677694,7.38103515475982,8.11400221647393,7.27280427217348,5.329310195235,5.57159793227425,5.33043862877765,7.55501797086501,7.30751075981937,7.67328549594679
27,4.59294490428367,4.55765669653,4.44540268831979,3.18776358036607,3.08542549051728,3.11352056262506,4.41260713632091,4.52442990746037,4.88239860272685,5.21448553679223,4.81956862186224,4.71800684453125,3.42169478499114,3.30435071393767,3.06094835801462,4.212551600702,4.33330286033739,3.92155761542328,4.71769786830045,4.7800721738847,4.11408562205427,3.51804087989063,3.06186638416433,3.3664780575637,4.80985972985778,4.22636943448512,4.76193185787614
