protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,4.88730927773059,5.64998090778319,4.80511755568195,7.29517733829346,7.91473104477959,7.69377013917135,4.58680819693532,5.04294153200823,5.38727836358746,5.49371472025636,5.36326786472328,5.6930993568488,8.02379109046014,7.70602852518842,8.73114695674566,4.41972203137285,5.24125541467682,4.09659112781194,4.94288439695656,5.14812290863573,4.84069294202565,8.29560817984451,7.99132864488229,7.67635305914635,4.98529065690102,4.66661300894454,5.06024003466582
2,3.78292988794522,3.88224288957647,3.8309291541421,4.53621610207685,5.5984641156631,5.04746962462489,3.15858314984501,3.33898391904604,3.84435944612945,3.95509317685311,3.68887198327537,3.98387263942658,5.62732020623048,5.16528517037127,5.48173236705914,2.89257800925523,3.0791321199569,2.66649467149074,3.4762667865454,3.95640487154734,3.45767055522628,4.92182911313486,4.81655973047934,4.73128164699845,3.5453194177585,2.82034587247368,3.35368381200022
3,5.70471226578256,5.8173040752389,5.40129412370222,6.16289414969072,7.27279771044136,6.45607863348378,4.9838425029258,5.25373864297944,5.76937235715539,5.53807852789438,5.76946228174383,5.66249744967194,7.00544107252407,6.66842283721047,6.95187455605772,4.74022206102434,5.36867904626479,4.64477138536335,5.30109927029837,5.8196489339318,5.28559212155981,6.74861809076616,7.13354221527277,6.51119637024559,5.94043771282927,4.5850761761351,5.75639736355233
4,4.83416615588993,4.97973433001795,4.81887182531713,5.44038805726101,6.08402347176428,5.63319405338027,4.35596514043854,4.17629425948849,5.12182866023763,4.96095506799485,4.96627272699112,5.12854126906928,6.99885172635304,6.22370943530916,5.92946855356272,3.6869113689156,4.54546958353765,3.67128053462046,4.45537536316648,4.79633573871696,4.02050747227619,6.32214185986961,6.06153836567377,6.10586577335718,4.70106789549885,3.93723420155974,4.852841708078
5,4.56781338136626,4.97554400133289,4.85624834774835,5.15661164305027,6.4054800543497,5.72617300142225,4.64351612187215,5.09011561011595,4.84816135797518,5.02570553916779,4.60968402158351,5.19774736044683,6.34068250667383,5.78468425506432,6.37044872920098,4.64984690535798,4.17752900177042,3.0569281485571,4.4605057756981,5.27243467134479,5.08869892589962,5.7080306958817,5.78717302279338,6.77277103569426,4.59154544992732,4.03454987243297,5.06689452354062
6,5.2583327241709,5.50992859890766,5.23972360456767,6.27191280942309,6.89092176626167,6.36557958014562,4.91526367440675,5.339508838648,5.47012996698064,5.43957466886341,5.67060216201267,5.62532531370467,6.8204873509444,6.74033879619989,6.83537292944218,4.86558841788858,5.11557911840143,4.39649364899127,5.10120121189847,5.41817606973234,4.86868509235498,6.59623696274419,6.7527268410518,6.55220158474135,5.38366735007659,4.37337579807725,5.31052695811933
7,5.54235715989119,6.04149989741892,5.68334194825741,6.52827024239316,7.05588514283147,7.00462150657547,5.22337698654334,5.62501553408524,5.77749776862369,5.86097889908777,6.13424127372311,6.05590535731338,7.14110349806075,6.85725780280081,7.1040507260566,4.83771446915903,5.2558226276207,4.76166373739799,5.44065550922796,5.67238490245737,5.31686656572888,7.11351640323245,6.78781594113651,6.96025897700223,5.76550098367861,5.02309906209475,5.51422509763332
8,4.06362888148531,4.69836928612786,4.4027752184555,4.90400502114805,5.3148774107408,5.01344644649412,3.94861598993124,4.31364518582427,4.07567063400819,4.74796749569124,5.0052394691971,4.97299742332883,5.10603071873669,5.01393519024964,5.58109853280797,3.79217227093545,4.02447242329688,3.58160940812452,3.86765736274601,4.77619202766754,3.8160201563289,5.22198282926713,5.32784093694381,5.14934327942071,4.18734439095493,3.5821395674682,4.48393282223903
9,5.36556279010135,5.93101220965132,5.46153977410821,6.04945692775438,7.41055709944106,6.714255963283,5.47793769539985,5.75968282907268,5.57719648884124,5.89670225490179,5.79112974081698,5.87577433739273,7.6180556935703,6.93349578013486,7.2586100601844,4.76934820213173,5.52106224667275,4.53367016296819,5.05140073971345,5.62954126668947,5.23137088258314,6.91489372124379,6.9220510143827,6.77189901208413,5.58162363325288,4.32850878704736,5.61518034195932
10,5.56360282251132,5.33341229838742,5.13163856817418,6.03810696349198,6.872470665,6.55229655180774,4.98021506064917,5.42871614454965,5.60344710545336,5.6822847913904,5.67177900460438,5.52881357864073,6.56378652691209,6.6268133888478,6.55092021509242,4.834488167657,5.08008353602813,4.91072552645121,5.17794610028752,5.49396322075721,5.11794607783409,6.52988061376777,6.67243693709213,6.40289730587675,5.19248960061299,4.65014556623001,5.58694347283208
