protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,2.67877421546564,3.3104466583683,2.67238818996316,5.83678196329286,5.61636800203116,5.6878891921906,2.93872163157625,2.86683521494766,3.0356780035777,2.81506448853254,2.65675086606762,2.92056444416828,5.62871554821485,5.41877671236674,6.44371079091872,2.86998074990339,3.09220175032106,2.75479745592568,2.84251510312388,2.75946591797718,2.9840229838501,6.15377325945869,5.89641214717316,5.67115249704881,2.58200376093621,3.10567486696048,2.78179784485978
2,2.57703182457197,2.51555472236683,2.68674199574329,3.93454649445405,4.29163820960474,3.92863334365383,2.3963398731801,2.17528817331039,2.47715028201939,2.66030841251776,2.37146903317816,2.40368771815821,4.50654054836309,4.08169860256339,4.43349807991373,2.25147259267473,2.19579016495997,2.27946275311155,2.55297234392423,2.79390496964376,2.86082292488311,3.94952372461427,3.89801459690767,3.90377673214906,2.45000037625247,2.33881828818965,2.1734325803214
3,5.2125088072414,5.13837081096729,4.94824369321342,6.46856788714187,6.72076279308279,6.13122957769581,5.07432591493171,4.79281214489323,5.07596896080244,4.70993959308688,4.9365155773059,4.82048322111418,6.47276917403865,6.35931408878555,6.56678063409551,5.08798284542332,5.12434950235152,5.13890938059508,4.90984627813865,5.16591218730727,5.24281009586316,6.30220907766017,6.75446516813882,6.20466067926193,5.24450027880941,4.80923678120921,5.13832604407117
4,2.82769513761026,2.80540625914189,2.95414372271662,4.24199311369138,4.03625023433383,3.83432388823516,2.99055733938609,2.28232393391092,2.95848494953,2.61107588020287,2.55264252655535,2.67138421018684,4.93863881049306,4.39620127648083,4.03812713690017,2.50842926767212,2.79821400508117,2.66460746915244,2.58292010340535,2.66370539895265,2.55874283754992,4.39655452709891,4.2547765997949,4.3313092558822,2.56330698299799,2.76050754817962,2.77844145842856
5,3.38465808553156,3.63001670557138,3.76073848582307,4.49445569282047,5.13918162704385,4.6701534625719,3.90181746181143,3.89715666945316,3.47865355301552,3.7303654019809,3.29326368858596,3.90600057174371,5.22229832760767,4.83960863676901,5.31841986498116,4.17264220907643,3.29764972373938,2.83034300871332,3.30105902826537,3.85924447037807,4.14124143105878,4.55830798735169,4.65710268022422,5.64843398116883,3.12507228534813,3.36067471946969,3.73298995914214
6,4.16676123216717,4.24787848148084,4.18797768799067,5.85677335695942,5.80126038097479,5.49400647532606,4.31156398764639,4.35005652833232,4.17971311353469,4.0550146982639,4.2716265266537,4.11440195878842,5.62819534980425,5.72659027150473,5.76707184209772,4.44008917471473,4.19690455044613,4.07856254105506,4.27557841332442,4.30427172390396,4.28282230085297,5.63980920994293,5.89067105297276,5.71374973075372,4.26365802974785,4.01150679199435,4.20391627269866
7,4.41945572167918,4.7648468781636,4.63961115233039,6.08393662468533,5.87723136365563,6.02867693378476,4.61671827848455,4.52452278570295,4.50944096462999,4.56341987625682,4.78798907239116,4.65182212696614,6.06059304263846,5.95056746174879,6.1272630318147,4.48719323887552,4.401698921785,4.50133116244945,4.56615941696103,4.49081698431952,4.67513143386555,6.11775649255537,5.86117518524666,6.05872994591947,4.60494953609092,4.57537274538947,4.39875077792942
8,2.52653344317028,3.03034616104389,2.90464810185431,3.91120876859363,3.68228087036669,3.61077873573529,2.85576270232044,2.81920792796762,2.33088134793864,2.87142549842882,3.07148864074165,3.05528159712425,3.42076366774003,3.45667270994864,3.94053439023072,2.73548139153541,2.53602112862971,2.68137794997527,2.4075496064386,3.11778446878215,2.64966305695262,3.71970433952043,3.85078264382975,3.66262435913543,2.54737599382276,2.51106228813865,2.84358139969461
9,3.0823935878423,3.41904031953642,3.37343244672,4.64708910148722,5.01625134603158,4.64879909997332,3.84047100066594,3.57525273537937,3.10743734019751,3.3214118153814,3.11632928551749,3.14029676127624,5.20072548615975,4.79650840827731,5.11317024175011,3.33608518835369,3.54654496710851,3.3301901931173,3.0636902741453,3.37178201055931,3.69535404244365,4.93058209625443,4.99632518699554,4.92183799422509,3.25608705292785,3.17908443302022,3.40582604704269
10,5.06943069779268,4.71528483756954,4.7029050806546,6.06191807757502,6.322012514006,6.13562436398201,4.82797239593497,4.99308477016574,4.95873574990038,5.01696184260285,4.93216710125848,4.75093809868111,6.07198881223923,6.26957985417874,6.1191750794778,4.92991354659946,4.76207847084668,5.03953954602929,4.83162567461489,4.93255397268585,4.9943109672491,6.13003135553338,6.30608016397777,6.12323876912915,4.65178171558389,4.72270488056956,5.07787601044218
11,4.10566189929158,3.92143861622183,3.58343896134719,4.27662297579967,4.71469345772943,4.28174752198475,3.32265704080743,3.26978096346926,3.45204867003454,3.72919361915943,3.01210728196384,3.74423688415255,5.0039792450934,4.21701760024872,4.70102521065696,3.6061852661986,3.48272851469239,3.57605579152789,3.76743545759615,3.58811162520179,3.791372605211,4.45635223279931,4.84085830476399,4.0651075079187,3.89021186546151,3.60788885281249,3.21682309953379
12,2.08400768076867,1.91306087546355,2.45224015928923,3.96948922196494,3.99904407125128,4.00139552555918,2.26099147096424,2.58552578403515,2.2374155176254,2.48629725802663,2.07803452225527,2.28790357409641,3.94776282635021,4.46136621797414,3.47938720327716,2.55808776467963,2.05857456125702,1.99874180307717,2.06716790946761,2.45402263465009,2.2828960067609,3.62293461023186,4.01721210134877,3.96305901894295,2.37943948503427,2.50266777252354,2.25463344547617
13,2.28062761265898,1.89307076670332,2.02384412897438,3.84522093360378,3.76784748763562,3.53218754578277,1.78414815832306,2.58686006752213,2.1699622615098,2.04344021436512,2.08052513356516,2.29244996888564,3.71182495683079,3.80194006286604,3.66398125447892,2.14621544053767,2.10823695922028,1.84836426531514,1.76625752339307,1.91293640103295,2.15663806487131,3.62161851533844,3.46534717308585,4.13350828148585,2.25744820479685,2.59552536689482,1.95640540227574
14,2.40447892151069,2.24764187238501,2.84816424193881,4.24692187938462,4.33977615509113,4.28602298187669,2.14273638596944,2.51500448079064,1.95262707725419,2.13952208478187,2.36959403740994,2.18497434135927,4.67382354859974,4.46181797408697,4.25030158019786,2.370876775765,2.10580166324278,2.13823252909339,2.32853547922926,2.39908038641014,2.12512488225184,4.53896058791678,4.50692043346244,4.15934948630158,2.03002265885171,2.27031137524833,2.37833041165818
15,2.39913229703585,2.15129269602335,2.27713529969122,3.61900972658533,3.80467541407236,3.68515428131993,1.91857858223566,2.16274780419428,1.9200087449551,2.42436896196683,2.35086569858381,2.09111756229972,3.75434267960031,3.80497839807778,3.61592406411085,2.04720358848296,2.05788459338694,1.86171736702965,2.1257962901003,1.95219325371525,2.33767371235741,3.65693365928222,3.91393518511895,3.95058632194645,2.07859558132484,2.28116607340974,1.75900647968923
16,2.26529945974502,2.3698149814155,2.23992068260206,1.3421491341687,1.08274421472803,0.901974812761468,2.53164290098564,1.90621810032849,2.16760529721232,2.35739456568239,2.56683692475211,2.72324254241602,1.04448220411865,0.820311674222178,0.672712389615705,1.83734311000795,2.73891183179993,2.35573724340437,2.38981302862877,2.74619264568231,2.66507147624172,0.462081068109942,0.887677191509595,0.976176345151332,2.33654809730697,2.07578077548448,2.21606291939241
17,3.77324026453592,3.94720150484029,3.43889530272093,1.84761951529668,2.04499372249585,2.07048717628845,3.77247915303009,3.79861974791795,3.54360687016261,4.05769691144495,3.56670024844728,3.55215233731149,1.99425910592542,1.90372653411388,1.92884054284529,3.86328106637891,3.75424487445723,3.6371099912546,3.48293782758256,3.79305451744918,3.69249874399841,1.65176184367328,1.91242493770924,2.06957509174506,3.64318558327068,4.01550329086346,3.91663808412459
18,2.86992431765861,3.23224670270191,3.78302309468734,0.685219251213026,1.18901394840808,1.25588987450635,3.5613870580794,3.46657184057872,3.16442419643271,3.06701615414521,3.47033461274811,3.01949036737419,1.41376621835969,1.17986145618344,0.926956640104611,3.41227176931024,3.27765791202556,3.58169601025276,3.03063197702139,3.65858247548934,3.606575138849,0.719117755933395,0.89048850512931,0.906238347938622,3.31582502555621,3.14353366635354,3.59593272841219
19,3.55282020857552,3.24689609500868,3.20491308953055,2.03757982991974,2.0547701832804,1.56049436457436,3.56995830320903,3.55131787532753,3.71049858371301,4.10704972662557,3.64980171080195,3.67265408727161,1.4191220070923,2.01926398595933,1.67838053675436,3.54856281810255,3.34865196163502,3.21444027959598,3.22110439686022,3.40278419734713,3.90377573492183,2.01457645450703,1.98829652430767,1.7566221486149,3.61369284628138,3.50144797873438,3.16376626579507
20,4.30711044590734,4.01131286666957,4.32902644866836,2.85433864066217,2.96378990174911,2.87654250027217,3.94991044715991,3.684347928706,3.82871322815814,4.16151306244765,4.18823540395685,4.03289982046495,2.73498721473175,2.98578116527674,2.8278982155433,3.92184126633307,3.83290351417465,4.05690985504572,3.99375255973934,3.9642932248441,3.84464490570822,2.84457883701867,2.8138915580575,3.01822127952711,3.86862033095923,3.94446921051825,4.23535808877265
21,3.21861064153774,3.44590502482285,3.56266881697731,2.3432785497479,2.73213683494597,2.51709942017839,3.19472357602083,3.31617373042569,3.32879476595088,3.44396425443622,3.39263034822223,3.27739123880374,2.62108380707013,2.53195605065654,2.73777312715116,3.39364751871882,3.2896892033441,3.1412384549517,3.5727927300111,3.50461483730557,3.32181732420874,2.32095350828487,2.84298429502194,2.3997249546936,3.13718260813825,3.27787302979398,3.24834030639327
22,3.67484507922625,3.72590800364838,3.52134790078052,2.22255847400242,2.05092515120646,2.34241457262783,4.08950177108792,3.7220807984575,3.66367708000013,3.50161546839444,3.99503453827534,3.80797531029534,2.09639616932041,2.08180625193792,2.10930797827292,3.67427655451072,3.64966882435499,3.83785804508914,3.62906658168935,3.59767028599392,3.73016659832149,1.87130390814347,2.22860162250671,2.33523608690914,3.92721125203531,3.65016837343061,3.80137558878377
23,3.81172758069084,3.93668759441419,3.76320779446736,2.53303242725316,2.38108242662756,2.48176038385652,3.74748067525064,3.65295202796329,3.84136291109403,3.76112159641196,3.84387854387972,3.94824779272584,2.45058531247312,2.42889568470362,2.7265517606248,3.68842312958151,3.74643622528266,3.55964237120589,4.23179011890113,3.7267580796605,3.87774262121352,2.38400180505978,2.60143953099769,2.42403112411701,3.55432166579541,3.73960759973524,3.71972246252042
24,1.61575503493656,1.38730985892933,1.73230076999638,0.187413615847682,0.523424117952294,0.372280389079091,1.64074467544078,1.81679464002658,1.63652588433511,1.74019805867232,1.90588155723913,1.88564073485015,0.28032238054684,-0.192665489032455,0.190454054227251,1.62839463174721,1.67531970748811,1.7725353359244,1.62182737417963,1.82650859719584,1.84114953520892,0.0999879704542989,-0.0366624229866138,0.409086264387207,1.67552664188884,1.81629422467443,1.71821336137878
25,3.79170899637802,4.23543782770077,4.3495354420698,2.55872255907752,2.36732938550674,2.70786273662814,4.04599308450923,3.90516243464447,3.94097428744523,4.45974824525086,4.08491269625891,4.1332758714659,2.52969765374431,2.43330701972978,2.50937617201987,3.72329952954584,4.07893344027672,3.85882304822176,3.91089177546473,3.82849510708174,4.29886849702208,2.72546470516226,2.70348454573437,2.44055479891698,3.91704374649886,4.14114697479931,3.85367882549704
26,6.67920819219857,6.31589212740139,6.05790921182285,4.31013051485546,4.51412476222577,4.80353893971526,6.32221639323707,6.54436617668898,6.54713626942197,6.77144892913397,6.29216205279724,6.14366029750335,4.66773258588561,4.64004125422373,4.68735799523675,6.61393648988131,6.34936466322933,6.19745422566191,6.30825622581679,6.77776506070877,6.47831875183092,4.20601935569803,4.53035446594544,4.33835201670727,6.18306303967939,6.72115992261572,6.41892827215223
27,4.00850430397818,3.81744577630453,3.93633340445508,3.01082002977919,2.44862509703294,2.60300339486606,4.17934078269266,3.94918241135178,4.16600666954335,4.46430774664184,4.00416191890367,3.84017790721601,2.76130529608782,2.79503119345592,2.45917945691385,4.07349669057584,3.8460847086589,3.87641887797393,4.13759405246445,4.07102981556942,3.75640487260143,2.94578837799124,2.51688199504149,2.83882498388334,4.0765592207433,4.05441094081555,4.03909305992463
28,2.93329959103773,2.95451267007609,3.20535626069144,1.65844177702463,1.90710730050048,1.80818823277948,3.3038769977236,2.94991735750823,2.77855276137184,2.85315467920084,2.89881935666073,3.18574246126998,1.88674924612071,2.36632049974523,1.60245407643182,2.94680271187094,2.7753228455628,3.11313975505794,2.86777049518533,3.22653201142729,2.78655000493091,1.72105131916153,1.96951320059484,2.3146691874963,2.69173000543037,2.74432887749371,3.11564804170677
29,3.06401642143382,2.98065007926641,2.88539611041843,1.00598347806757,1.05600447260367,1.07893839875999,2.65559863216521,3.0236995670073,2.48463854500099,2.71809715506698,2.63192598120188,2.84481634703844,1.19553821897356,1.22583908993648,1.05062026076116,2.99575790900954,2.95076042778165,2.57250169902946,2.83445109134294,2.8282938023132,2.93747649653109,1.37678641695182,0.937005406828309,0.873907044028684,2.87518192712107,2.73046704283201,2.81334406200636
