protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group2_rep1,batch1_group2_rep2,batch1_group2_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch2_group3_rep1,batch2_group3_rep2,batch2_group3_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,42.590765466675,48.1151510096582,48.3044074446899,47.1984296316156,54.4765927158252,47.9972688119059,45.1866686994369,50.0279094867095,42.8281725417138,45.1149345638714,45.4938426649844,47.6494935145013,48.1758781425193,48.1293866496035,53.1651010650953,44.9548440184353,45.8684774866302,46.3369329946304,42.712821462991,38.4152095229905,34.8527560673726,45.1442254984936,41.1011626893856,42.6636001320355,39.3992656479633,32.3461539314603,41.0488819380371
2,47.3624248486606,46.8473069508941,46.3529285586375,48.7553894844989,48.2471896046145,47.6499977629275,47.0821017430069,46.3751375727969,47.711240431932,46.3816854020559,45.8725754778378,46.2625058644443,48.0100469688951,47.9727400369447,47.6645161297508,46.7640988975054,46.4584496933691,45.7838751400119,45.2638802410199,46.3092437580026,46.4130538712777,46.836427239732,47.1474154920889,46.7802592873087,45.1391149016576,46.4907913983615,45.2167751088164
3,47.8566130918851,48.3797456791435,48.7909341477001,49.1661144995033,50.7025150194368,49.0589845142468,47.8466155273564,48.7073680735472,47.881130044715,47.318673138237,47.0435022792755,47.1463024271777,48.2632840701145,48.5947524922321,49.8489401272947,47.2892660842907,47.0295472646299,47.68814459756,46.7238212701164,46.5363326638328,45.8533498012735,48.3663737169402,47.6917208341007,48.2027308062801,46.8081732527541,44.8567218683615,47.3546574359176
4,44.524565873125,44.1675175623229,45.5261860147868,45.2240668113397,45.9364849693188,46.2091313215983,43.5014082520246,44.8238248454692,45.5097671754313,45.5024629017998,44.9674492178852,45.6420960035593,47.9208257393058,46.8135154453593,47.3197303597752,45.6964542549717,45.0060650336746,45.0492738093203,44.002142103414,44.6123384671032,43.6591267183035,46.079547806725,46.134350450859,46.0918429970985,44.1229309431801,43.940471707021,44.4710137793771
5,43.0218582522757,42.4124760593216,43.0944737629906,43.5764305817911,43.7200072962503,44.4775768007942,42.6177293954262,43.050427272213,45.4524600665072,44.856917588758,43.6953945579247,43.9895320468307,45.136096710989,45.7061535821628,45.9309571772157,44.6839032107841,44.6557518823846,43.2861805773749,44.4365265064753,46.0206489901353,46.1062220099392,45.8973303577565,46.402757311365,46.6989888687208,44.5271228079726,45.9026357008467,43.6457192791402
6,47.5554274461234,47.1236656941573,47.4152694862531,48.7591595343316,49.5277315968934,48.7011552896887,47.3013938828554,48.0047811965581,48.0513429840711,48.5564304161254,48.5179578435209,48.7049352006731,49.5077736972304,50.1578696864584,50.6525603035851,48.8418060507981,48.1955683969538,48.0127136523254,46.3760648926869,46.6727409664485,45.5730008505043,48.1797495868048,47.8206118162865,47.945384661961,46.8400037357491,44.5746779416542,46.4108880781596
7,50.2539218680696,50.409683586918,50.0494541774465,51.5318658183205,51.9907158460639,51.4399782647352,49.7711551999483,50.8358420124652,50.3010041422479,50.5087002386735,50.6668139513734,51.2086750620625,51.892291671079,52.1508732075057,52.6890579897818,50.43666170039,50.8485099897087,50.4163378428714,49.0445489198935,49.497637311831,48.67341827872,51.0088069270769,51.0356451986952,51.153867776474,49.15159908151,48.5275492753093,49.1355563790224
8,39.6340338393162,40.5708845335553,42.1526829481581,41.0423317316838,42.3603704122803,42.3222296375984,40.1499590336838,42.1147586074706,41.0093347112945,43.1191578813077,43.1811589928468,43.7522280669861,43.4564367973514,43.9692469482617,45.0271425541974,43.2108040741762,42.8757521750409,43.3117864863736,39.8707311589579,39.156230609886,37.5391477790352,40.9796974016414,40.2768971316102,38.7084941617019,39.1706848794635,37.7260790822741,39.0069766124532
9,49.8925662536413,48.9531702658328,49.7455261208002,50.6688976530883,51.1685560918946,51.9441272544241,49.347229191639,49.5547469668952,51.7362068562901,52.3619699628907,51.66669459834,50.9102469808761,52.9218571223488,53.2492965618402,52.6643897598815,51.6458574644332,52.2487016913931,51.0317152357673,49.2558509337579,51.6600095907523,50.7095737703644,51.0747994774843,53.0751316120463,51.9635738855375,50.2198547630692,51.0961636967823,49.943084257009
10,51.7709908501895,51.1876422641498,51.8702729680319,53.0115592141711,53.3804104770765,53.1323485945902,52.176565148028,52.6755819000931,51.491808969978,51.1745739543737,50.9730050142523,51.5018603499339,52.1980318627092,51.9644242736586,52.9061838044338,52.0410034581232,50.4939959040158,51.1202619042929,49.2487103218444,48.8255808274602,48.7339804894877,51.2085788598188,50.0910836757481,50.6794597228512,48.9568935824275,48.3284623082776,49.8882604157199
11,45.7366979945374,46.0675568969215,45.7320432677139,46.0353645286388,46.7781679798682,45.9810675202056,45.0884318292457,45.3075631355093,45.6898941380505,45.4070278047928,44.6163942311539,45.3859213207808,45.8324050164935,46.0275187062616,46.7241667548041,44.907645450421,45.2206305012228,45.0277256275798,45.0982545455529,44.0507345261914,43.6364845097161,46.1038057597648,45.2566132496755,45.0805897033747,45.2279240247652,41.9816722122622,44.1677918067883
12,45.3718266267454,41.9394320286681,43.9035969842111,45.3505463161862,44.5206117408381,46.1006159214283,42.5052535418146,43.8974823314275,45.2063397120317,44.8934489172962,45.6357937639338,44.4604945708962,46.4826683593012,47.3628282030954,45.6314759864013,46.2551484525085,44.8074207067739,44.1337866651193,43.3548594383281,45.3635133655686,45.1018005229484,45.2090986423863,47.5941635680965,46.9743823076472,44.6522422253825,46.3362470124936,44.3958920939072
13,40.4136663398368,39.0166126930258,39.4166625302174,41.57316372765,41.1526699547771,40.4696072989851,38.689774332598,39.9139921310235,40.36432008679,40.298389105332,41.2039302117361,41.0854359641379,41.7471400252251,42.9353131240899,42.0849859380924,40.9484186781701,41.09114461684,39.7828971429073,39.6127405660058,41.2788580191084,40.6477521685975,41.7560526385921,42.5550476077227,43.4380035182346,41.3029947805646,41.0367603853882,41.4122142710382
14,40.9061829275545,36.2426512629508,38.4435414873684,41.6004952213903,37.817949568038,41.167438392987,37.6473275726568,37.5178161416465,40.0006532364752,41.3637580875169,42.8986006786937,41.5397805514021,43.8085824688188,44.7555705755404,43.89343388264,43.025361934511,42.0028691010823,42.0409926687335,40.0482551871865,42.2675351224049,41.6589034681577,42.5619475078535,45.4864660087644,43.343174042479,40.6000891525657,43.080852928049,41.1568805945707
15,42.1723743797482,40.1224313556943,41.8074075675533,42.9524177595987,42.7220344162293,43.9470854189997,39.9317126728685,41.6537406101138,42.2196807110553,42.4977712866134,43.1442549701979,43.1294277970062,43.373191288337,44.7943964063935,45.6610353894976,42.3514446480333,42.8500443825116,42.8726324307173,43.6364232074565,44.3109124300904,42.460989510593,44.6749618064154,45.8658876457758,44.9718614955056,42.7399045476854,42.8352185038178,42.6184052702591
16,45.8516820233056,50.1703019765249,49.0856497682418,45.9608799770568,50.6966603968442,45.3893798097926,48.9326978102865,50.6758086857581,45.1943861118896,45.2506125980929,43.3120908520388,45.3826690487147,43.3814726822891,41.1341896208853,44.3428021857194,43.9658205515004,43.8121387108543,45.525743982646,45.0800262976822,42.9170267866134,41.8608462912103,44.1024173822965,40.6272737283323,43.0043767181903,43.9871690452564,39.4969586627153,44.4031337295686
