protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.2352486530753,7.95265198454531,4.82477402490479,5.96132580687956,8.74543984891002,5.96737503659641,5.52013011667564,8.04492937441262,6.66172346652243,6.30276425022834,8.33412774332348,4.90978543937096,6.89766321695714,8.46309288326007,5.44990777844252,5.81709433260506,9.17903232784127,3.96468877502837,5.42912374569468,9.71875711005912,5.67446454602211,5.97133641344894,8.36237952076431,5.07004059918609,5.08923953380661,7.91425232518495,5.7471269290385
2,5.50404104443668,6.64128856391298,4.23481955931796,4.40690117710502,7.72967926702098,5.06038905027413,5.13559850960767,6.35468463327686,5.66420106751422,4.22745314803035,8.81150923331982,4.76299863666843,4.53957466039658,6.60845342549594,4.36753337733631,5.92132714489578,7.92934505987901,3.75726053802807,5.28710945544484,6.61392109377449,5.34572481283211,6.02545725839286,6.4980261731177,5.21905328245152,4.87810367236324,5.963527051027,4.45360558222326
3,6.15379762823623,7.31452840106658,6.17286204259923,6.42350694156095,8.66510693618114,6.09753760205642,6.87276303857165,7.1136012460346,6.68070684117523,6.57680385799679,8.27618823168328,5.94273342121393,6.45087854173222,8.346081967923,6.19068249583624,6.45725509020169,7.50545272780413,5.01453208138209,6.19403270112232,7.43679003615308,7.04222487888844,6.36203045320354,8.04007247908741,6.89768371921454,6.7651506067528,7.97759631406876,4.97591988977962
4,5.3346356576781,6.64388710262143,4.93269762450353,5.79144215629779,6.41861608884924,5.16421007402799,5.75456432506854,6.71985957502795,5.5692708394266,5.73875607921482,7.90880577012452,3.7316889399137,5.79953490407183,6.98998281733061,4.79931697835285,5.50064202028061,7.50913754790187,4.37733429707824,5.02222620647132,7.46526441470485,6.02610412504156,5.08347877210225,6.554019056217,5.28322149922106,4.71041677887286,6.46847911749875,5.70827459009901
5,5.4464303431093,5.65999958560167,5.26389611878821,5.59211248813274,6.98567111047765,5.81134179583378,6.37200564722748,6.4093326430033,6.34521176280923,5.93073464335264,7.5403971614435,5.26341010747354,5.91274920451645,7.09601162515422,4.34398497753915,6.58187847174361,7.36165401388064,4.31058954204384,4.99217732726729,7.19757662647077,5.03316043674565,5.68177621877458,6.21746107560805,4.61909334497198,6.72198767013232,7.88748909375185,6.19500979230555
6,6.32607860519915,7.37847175259106,5.43437825158662,5.90020067570423,9.02092703565917,6.11591683854435,5.9969501858844,8.02910956844702,6.1816319330849,6.21273490620974,8.09973434673045,5.99279972945311,7.07339276361574,8.07260454385362,5.78853545987779,6.30858521449156,7.7497656608856,5.41217050555998,6.16865630913923,7.59981645680108,6.02162346670093,6.93451498230628,8.06310354084216,5.90181938852646,5.31507679997664,8.25644324444507,5.88837145526074
7,6.17927035748246,7.27355026214784,5.5365119960229,6.601954093213,7.51515394587683,5.80636025394565,5.93477032704704,7.92522785808725,6.76897519792546,7.06709620930387,8.061173640118,4.8564738999238,7.21687109162977,7.16245427877053,5.90120096486546,6.25212662606246,7.92982648512066,5.08505274955299,6.66264055890665,7.77931322394065,6.33960055282339,5.73518551286378,7.19908665288179,5.57167743057288,5.58778464111122,7.64399376823801,6.80537237739247
8,5.05879241658427,5.93995507316292,5.14805509998799,6.0686029209013,7.30685636974695,6.0685602521387,5.25655869401571,7.28689494066619,5.67557861295458,5.88979104405656,6.47913647900276,5.52053349394726,6.39327998738851,6.71734615101843,5.42231463072585,5.95467730216924,6.82084478028208,4.26602990943878,5.87631894492684,7.10156181090501,4.82462483820129,6.01528890922924,6.73155040614291,4.55095712813025,5.68911391544658,6.38223915484152,6.21355540017997
9,7.58385296038843,8.56924851560072,7.43951022786731,9.21151530742845,10.0326448967465,7.64650340836278,9.97773622094306,8.63890945981837,8.38346632566736,8.07595385157475,10.1736976520989,6.71949307217922,8.42003530896193,10.2715489728018,8.26256052028788,8.40080407943951,10.6528294280823,6.53984819964136,7.84589218327204,9.18529811947208,8.64675721950014,8.54563990755666,8.26240521860458,6.41290334658754,7.81586690096957,9.76932168276802,10.0705875112493
10,7.03106930675722,7.55162895313041,6.3543715907631,6.14389937039024,7.78865642394934,6.84339120273615,6.08382825275367,7.70658345605108,7.25857272347275,7.46183619412659,7.52884008851468,5.44852502212145,6.96245771778558,8.46099636004963,6.11355403889389,6.6434347028966,9.07625055507973,5.76710275627533,6.05345215543161,8.19831432916057,6.33524818216601,6.8313127348563,8.80659651189264,6.05889387767696,6.70817343320568,7.41931295705539,6.79819896475823
11,5.26429782833418,5.6159254478506,3.93936869417809,4.81945372127278,6.4495948019761,4.23862284647693,4.3105751087762,5.31542635028521,5.12451586970853,4.45872947181624,6.6365352810198,4.7551945241877,4.67029335496342,4.99598047893597,4.59763144467921,5.23341760342501,5.97619522688459,4.10945585398042,5.18646912662202,5.62248335717067,5.57904774005219,3.86254291088405,6.51808497496607,4.05940682220129,4.77918484325506,4.88161992286055,5.20837121350786
12,5.05104764909376,6.48690525435803,5.0143185455173,5.03007124652756,7.22380710070903,6.45991645577221,6.11225428023305,6.05029399750676,6.3910054682942,6.01585005714281,8.52545592794765,4.94588209007101,5.66426601114548,7.61899856173933,4.38136888787858,5.9010151426271,6.33332943189609,4.53685149470671,4.47419915323458,6.93902936653105,5.56823117709326,6.629490775709,7.39259094782846,4.64731773029437,4.97660167806126,6.90122970451516,5.7511373567673
13,4.29808261815167,5.03674148302026,3.19888065900774,3.7504450889643,5.39707517348655,4.91587776370967,3.6724143337679,5.89582707583722,4.03571126857998,4.10658233786331,5.43111614872731,2.93764669166232,3.97754125232405,5.99373618605265,3.96649339389032,4.72043434422154,6.16781376363025,2.48172009382449,3.69638408800956,5.46045433207042,3.44857051014925,3.28872982044654,5.89484951104902,4.97245167046679,3.67363755106932,5.65484128083846,4.16111645122441
14,4.72909895675089,6.03144830862319,4.83899395381594,4.36615859566254,6.40627718531681,5.03886018802843,4.93026741140784,6.16650326891722,4.41474107165753,4.78400781595448,7.30450067274606,3.7893918508873,5.21353581631356,6.5415564247595,3.93119845460757,5.57284561445988,6.66173992988128,3.26380454258105,4.17108601459876,7.09421846874017,4.14101654871666,5.75180172442682,6.97176943647504,3.75754509166421,4.5147298947532,6.28177512071517,4.3070551750496
15,4.62821962445484,5.66037157418641,4.36711140889595,4.27901060303295,6.31528130097263,5.70435722700501,3.95485161351616,5.5636270577144,5.68376490936954,5.30107251936874,6.55992984843432,3.68905586881506,4.81751709789693,5.94572054197718,3.83916720281532,5.19812441225503,6.93631819453617,3.44183697364298,4.25746322567538,5.91955934000129,5.53368215978914,5.41109324433367,6.48515209976595,4.08796673345394,3.87723063839563,6.06395457584502,4.45737801275651
16,5.72615843315856,3.89092326381175,4.59054069648439,4.82837226968203,3.6969490016139,4.43329398997131,4.2082024851777,3.59001921609129,5.44697395163357,5.13146001157883,4.30473281543472,3.44490382480981,5.95606773052206,3.48893341908314,4.22203093739543,6.25712362644487,3.2332543467495,4.8554051325739,4.91295352299324,3.27395554530107,5.53246480001148,5.89731294400515,3.66094957732549,3.75904600774256,4.94380493707564,3.9040196976056,4.65652642340385
17,6.61340397002908,3.5065385763396,6.48404198482709,6.70225204244977,3.39435474039551,5.69666703688873,5.60010011980028,4.75451029196709,6.08886512360133,6.84046635353744,4.50839687395979,6.18393013579784,7.03807737801997,3.66413680428793,5.10819371994086,6.5188487901046,4.21725996926218,4.69215844163073,5.53450152812147,4.81864416821256,6.08402689596497,6.9449216633425,4.28924127494245,5.62071850304267,5.32219903696668,4.5128732998767,5.97304887961477
18,5.13499114442398,2.29734572976935,4.92323215658957,4.45508158446901,3.05547685692348,5.56287366184202,5.60017171761586,3.02728095955162,4.97626395422198,4.72542910522937,2.02202835561545,4.95269288259388,5.49761411417921,3.21532263324826,4.5729722502028,5.57160131444701,3.88464431626975,4.30326438836529,5.3669708931375,3.42945260043795,4.32401227158927,6.29853193084005,2.48850385674602,5.19741823892864,4.85808168096043,1.60326630329626,5.94496886068001
19,5.43267491678679,4.12228452328816,6.23560990681467,5.28615103816087,4.5638137784216,4.42801375246863,5.14717111728175,3.1989463462738,5.4777000140775,6.04014333463174,4.10674610786561,5.516816463199,6.06443438293354,3.40645781636121,5.21034835914539,5.93021781566014,3.88803402094527,3.806023620256,6.38732432190393,3.69631315267831,6.19116717181236,5.37749198963092,4.27542264928485,5.17029597077362,5.40708382654877,2.65844457452879,5.06803502573604
20,7.53789869206174,5.46848138213567,6.57695776650093,7.34820665358219,6.53069915089982,7.26369378727671,6.88245129398827,6.34298701122324,7.75194679734443,7.16235481203444,6.16004806300022,5.6601795183053,8.18999980725823,6.47270732530646,6.58969438792034,8.03976803711277,7.32166546181423,6.02715687399173,7.29102975646444,6.61686732403305,7.62718419962571,7.19520954632166,5.63049722940044,6.20534773705796,7.17947114543494,5.89820328561345,8.60485142179919
21,5.77659530292894,5.04374717437495,4.95170162006202,6.31671781803484,6.07863604366999,6.04534604713956,6.32557911352702,5.40698623731591,6.82732985140973,6.51076182053729,5.5655554332302,6.0558290872431,6.6661194187705,5.98523990796476,5.7963313578148,6.38682178802549,5.68178116811353,4.48696016799249,6.16906320858537,5.20898401734687,6.09515747473256,7.0969200136601,6.13016226591453,5.19676058965958,5.61001589085895,5.22088684817156,7.04923277114331
22,8.0507384541176,3.93757259745599,6.93651407759562,7.21341751860716,4.447349377713,7.33393363741264,6.12768028025069,5.66201108859087,5.93098817466975,7.65900277543787,4.23764199633946,6.20798957741654,7.01708962824607,5.76458216185992,6.38488404951743,7.56264958107005,5.19486235550661,5.38682632824709,5.70491106689482,4.75099163591427,7.88149612766591,6.55251847088212,5.05399304889048,6.4920131477945,6.42598001262839,5.27157677920743,7.08262042087082
23,7.32029494129934,4.61298219189264,6.26661774455777,6.91658663590808,4.82927592723536,6.98434316972806,6.15817053542746,4.87753602565537,7.20516830452747,6.72933246842843,6.04121004825765,5.17587484015496,7.28841205976399,4.80246151027268,6.77167827952878,6.76820613849671,6.2651292334934,5.19188482596787,7.57871546859608,6.22410633344488,6.22380515432346,6.32978058639418,5.46830678248745,5.66473798135864,6.64095442039529,5.26561669739269,5.72700581921339
24,4.05633946317946,2.53898187960563,3.87102718872912,3.70932939834196,4.34443308498188,3.93767715467018,4.60362432148638,3.05849959298732,4.73851638924661,4.73075593129013,3.47768976866114,3.6346520621055,5.18433846858743,2.26461626280528,4.43012706255206,5.39166484718434,2.61620104948359,4.13924883345757,4.59916439357694,3.30305519781745,4.07876838961672,4.37596285826188,2.89940987651769,3.97116204867662,5.1253118145134,2.61693978123494,4.44849606602154
25,5.1636109104541,3.9066380817412,5.41797347689777,6.10940337023508,4.59232772213231,5.83108830633149,5.68479677919785,4.19461355304085,5.84610467447363,5.77213742579324,4.59576905586922,5.28288724325156,5.77566797097025,3.63021206545817,5.63332448375595,6.75734453692362,4.01406958243416,4.91604016150088,5.88727648772311,4.42618186329991,5.62040445154146,5.87048012999129,4.21241387328494,5.79328166261972,5.19038165857995,4.0098622365707,5.28247063395273
26,7.94581585891602,5.90300387728544,7.69443290959624,8.73404342360479,6.00173158238284,7.7478976239499,7.66831782475094,5.39417371734755,8.45172680135449,8.1346602275851,6.77482427181687,7.67276654491892,8.44754670587074,5.86515063629672,6.79163480460061,8.72048942346255,6.48046497616644,6.48368644357147,7.80257668531947,5.96413127284536,7.40956769379211,8.91023314340831,6.33295825010911,7.45680310933386,7.46423837446931,6.48867938951991,7.66966905962137
27,5.88403731508625,4.82137081777961,5.69685630092185,5.55550385202264,4.53509617428753,5.46623431334954,5.01509678847748,3.61051294953227,5.58732233747105,6.28170612389241,5.32999691537743,4.75604084625548,5.45187641634537,4.25427524552767,4.49033394751687,5.41433365933978,3.80708904249625,5.38578250255791,6.08365861606121,4.81638669673046,5.66308821353041,6.03399451030416,3.69088211950632,4.35006515674244,5.44439688004628,4.58592643021169,5.37155353378157
28,5.83081021923794,3.93071999107824,6.26220447843602,7.10984906205852,4.9380096961612,6.04566384668186,5.84239537019444,4.8912688212996,5.93358520595304,5.8236173694584,5.98449679014425,5.60757467621725,6.19049693042379,4.9857730662604,5.4819253766468,6.51560668937651,4.55818698743652,5.83370438160412,5.55594455325155,4.53084534986003,6.73550649308643,6.28228527026831,5.21146763328678,4.45609187227916,7.01686755321083,4.99208288066203,6.24037111059327
29,5.46356766277106,2.64592325126983,4.06381383892484,5.55150921092226,3.86542471657068,5.06259480872332,4.54484736232165,3.43123550722826,4.8739418851446,5.31200926387422,3.343260597733,4.56903916186367,5.57373262079444,2.8183942178053,4.47086452819461,5.72369908019368,3.29054382911747,3.96701686192486,4.45409324917747,4.00611962314561,5.31576405313873,5.63727461335953,3.40971670042665,4.12078993715853,4.50628026369246,2.98638780168843,4.80262272071631
30,8.09358351861741,4.2327547847604,8.32595478777898,8.16649295286228,4.8377060894241,7.55331648202132,7.58434649411929,5.14547738287324,6.95038581612855,7.41090935403441,4.71676453097978,6.95982575311202,8.29094778954286,5.55932638859629,8.08736829655022,7.76048879730865,5.72886501258899,6.52562876393229,9.48553154955081,4.74369867730933,7.52607639637154,7.99454264600647,4.42206176284394,6.61336921621746,8.12327740132409,4.64296034204647,7.08842998440086
31,7.11538095857007,8.19915790752897,9.18240433225955,7.50643806499438,7.91107415880695,9.93926988480458,6.36311839280613,7.69638309115139,9.16936479573842,7.91322171496181,6.86186214636005,8.93249764552402,8.05863293095993,7.71111583957276,9.8727888622138,7.77747722843232,7.1730109383994,8.78317095166738,7.16016786263637,6.82510149019904,9.72169962498957,7.84050194709821,7.71023957762981,9.00947558659271,6.85478457044852,7.79421584034662,10.2647159457038
32,6.23536086985623,6.28057497708205,8.05631740854628,6.59084271604667,6.56994865934282,8.14210866833483,6.14195104640088,6.31343050345362,8.64773036433181,6.18639698627892,6.94694616564624,7.45081102185706,6.56887592145288,7.15983897416737,7.25343178340916,6.82888178035217,6.59649318987456,7.48862500947978,6.75338952887886,6.45977290156975,7.90426315295926,6.79450150053696,6.10167909049464,7.99323157909126,5.57206503810946,7.02899540524044,8.29435965356184
33,6.30054823711838,5.33422645765518,6.58226558502363,6.56518235697872,6.83589423489824,8.10053503413457,5.21330259425925,6.11702881498541,7.59250977661556,5.816719718583,5.83218954291374,6.47558001266875,6.8246651564576,6.57172055330724,8.37150887823569,5.8825696193366,6.03895569536953,6.54175451321187,5.96335915519735,5.15533570835916,8.12288709460685,6.73343828914311,6.20375992170006,7.13139460323851,6.03235050110705,5.84826939620801,7.17025151093566
34,7.33205867160925,5.15048087164626,8.02975363720836,7.08598024485017,6.40296571843056,8.04207136693995,6.5113710498705,7.3714954350903,7.47212346690503,6.61136963672944,7.5291001359719,7.17338533225868,7.01658762380414,6.97223043097128,8.15507909097231,6.47438153807743,5.96741327214551,7.27083698336432,6.41677467168613,5.72061183145246,8.88547591118285,6.53779063444626,5.9540674299465,7.91019044382856,6.91007444767406,5.9060817755872,8.44256454329882
35,4.89014067718207,3.72781386140027,5.45462243779155,5.15079636793624,5.58291986792385,6.23300692697609,4.88718125526258,4.998528976125,6.59223095352608,5.11828385673146,4.78815453424086,5.8832817611805,5.66752782322031,5.32922612897389,6.19033856240009,4.97638702815027,5.04208055750715,5.0136921730355,4.65659716566881,5.49511659268519,6.5603643309636,5.13970014164865,4.91650834655155,6.29622969093277,4.75052730149688,4.23039249006647,6.14642995505541
36,5.83693524132448,5.2161818553549,7.52052934045714,6.45742077999096,6.30631616323103,7.36632565031648,5.73095487023873,6.97433090815889,7.28608978532263,6.33535814525216,5.85619308187103,6.88298511487016,5.98248604518239,5.91354197915565,7.24915179598397,6.31398408868504,6.69016655939457,6.88374387131811,5.99009934884626,6.91372851813027,8.22593597182384,6.22719462472174,5.17136123160182,8.05978286383121,5.05035578937493,5.55465158966882,7.92772513452691
37,6.12531345717408,5.08745776336665,5.186714642954,4.95014611854269,6.04793551083987,4.43090436055211,5.3688546363341,5.94663175737207,4.63578397273766,5.844874047028,5.57189319569029,3.64052188566732,5.6102768806,6.20652764900062,5.14905883376427,6.76523427158542,5.84599105344977,3.04058930675967,4.92829601422208,6.38198194826596,5.91156584581702,5.52855517873284,5.92796080256661,4.85246123703974,4.64734889471559,5.09411940162658,4.17279421168174
38,6.49827289075398,4.89084259249132,3.41547773610989,6.06064512128497,6.02120179375044,3.79810197173854,5.91119943516655,6.54885766679412,4.56251647300839,6.0778771456784,5.94900106256458,3.75384902865854,6.06070962874633,6.97658842384431,3.5916075144937,6.88005230329618,5.80143464373298,2.99526386730392,7.8345100437824,5.43777101171999,4.0840771941663,5.8536726585831,5.84174224439178,2.63696322709037,5.78949816138987,6.15966480795366,3.85961074352303
39,7.56949884309385,5.49644621850822,5.25102384702379,6.20675783752149,6.14110737180239,5.25250010508358,5.69389176286965,6.32239283993948,5.35162639384861,6.01503069750398,6.06257421349733,4.37468384963398,6.74450809072713,6.17652256859419,4.89880532396178,7.33405917200871,7.42717073132804,4.00075817606212,5.71110386690416,6.79066544768722,5.340972310204,5.72808923609286,7.28335741666084,4.97572534158753,6.19535783932077,6.11611441483988,5.26009718380478
40,6.71411956533028,6.97807161424677,5.70963410337985,7.17698680880433,6.69702639321294,5.85593897149807,7.43653375042645,6.6522886232954,5.71792898527487,6.67339461110201,7.36122871275501,5.77474729762085,6.74186993242453,7.0153532001004,5.55549802760394,7.70024921078496,8.15010609554007,4.71368013056464,7.95588651062213,6.85256958374765,5.89907719068407,6.39819541165995,7.31884067812733,6.02518976073252,6.81856496491759,7.04501371431116,6.46724069560925
