protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.20353964432953,7.92117837906072,4.7940423407222,5.93855239639424,8.72372282896816,5.95070497597401,5.49192705257673,8.01459139711858,6.65359852894939,6.43116372912315,8.37489383491941,4.91951728664243,7.10423347587011,8.52080522312305,5.53061265964382,5.88167592238715,9.3308203813274,3.85023324330594,5.40044865449862,9.62676903521092,5.61653797567022,5.92108911844128,8.32435561079439,5.03616133968692,5.07408690699998,7.89405738117519,5.68630944921679
2,5.52615487684811,6.72407194214899,4.32066276856697,4.50621551677591,7.73587777501544,5.08814086627648,5.1836378884619,6.45763496514065,5.64946550755996,4.12103719995192,9.23795915208039,4.84194420150851,4.49750868237089,6.58070019054493,4.36494602442909,6.16413653583693,8.17391953624487,3.62885347267692,5.13874324714437,6.50851003207657,5.17040054059987,5.82994011536402,6.40001616796443,5.05181826170357,4.75585659776183,5.89965019168584,4.33525209726013
3,6.23325894956669,7.39858345102728,6.24450411379746,6.497406807894,8.72131281159562,6.17073287689126,6.93739916263699,7.20179945040364,6.74187706044465,6.40420188570172,8.11884785891999,5.75689639526081,6.27219245447729,8.19211852951153,6.01682519500069,6.27887708757253,7.31087406532797,4.78384876220572,6.25894867925541,7.48652991805211,7.23742527008372,6.44506024224396,8.15485932714907,7.07729943024461,6.89164551448597,8.08564687295189,4.94832766984818
4,5.35763022928337,6.69765916747906,4.95684653155394,5.76377506348207,6.4973716084913,5.16268332615114,5.73098713096476,6.76520598938821,5.52282123552923,5.79384261469534,8.06185234293051,3.51545266848583,5.86482899034191,6.98871689759795,4.76238439455572,5.51573829013825,7.59506150544,4.26953147744554,4.99380073182075,7.46520434300714,6.04390379390705,5.0570823882905,6.52377250025071,5.27641197311085,4.67166210990231,6.43539891196662,5.71554563879951
5,5.35175373137465,5.54168731854614,5.18368497560252,5.50171972416336,6.90634079964188,5.74722853437433,6.30454598577515,6.3130548451881,6.29679718333031,5.95002178257836,7.58634995465333,5.28301875099685,5.93122664112233,7.12195822689817,4.32220119559873,6.63048003963277,7.39955980883932,4.28730230100756,5.00287476716682,7.27834583668702,5.08605558917542,5.73314671107057,6.24042234609908,4.64756651423622,6.83471060278968,8.00894985129549,6.31643167860548
6,6.33508016669481,7.325192330981,5.40043687051578,5.87305971442302,9.10703609456674,6.13981485744348,5.97801996090381,8.03104712440366,6.21110692401457,6.30478952800982,8.19487831363219,6.08993795045121,7.19184306327669,8.16691646172333,5.8794090615364,6.40357948744163,7.83417637227418,5.49150129957812,6.07522467560002,7.50033632015522,5.93225686374463,6.85412810631378,7.97151450460109,5.81041218041982,5.20710627286088,8.1681473347899,5.79673519049509
7,6.23482207871092,7.33987024351991,5.59815299727919,6.62400145994912,7.56232302367245,5.84661152352239,6.00970253302242,7.93989210884237,6.73292404657518,7.18982001541986,8.14625740887533,4.71694250035814,7.36347743006282,7.10423168094597,5.92825776422553,6.24489848625176,7.99396613677861,4.98196966280516,6.61308763970222,7.72801382255562,6.29378662472952,5.67135599993187,7.13885564984098,5.51404263150842,5.52168614234538,7.59061135388029,6.76672821470928
8,5.06050251590377,5.93344836543196,5.20892034280784,6.17423978943488,7.44102718020501,6.22416121626365,5.27862232519597,7.41901137872032,5.79073504620343,5.86719574431297,6.43902451047254,5.50341788282405,6.39441480851503,6.68846132934858,5.40056983056714,5.93514018030267,6.79683799022512,4.18978783270666,5.81501155647022,7.03313636844582,4.77856884435943,5.95023798649248,6.67309222808309,4.51227311901302,5.63284940405189,6.3331906261995,6.13008478082809
9,7.71643561613286,8.70534897695115,7.55743426110703,9.29233392347506,10.1222054178538,7.75784450182273,10.0341869514411,8.7727945158125,8.47137001653792,8.15590406914215,10.2981232749144,6.76609148790474,8.51526218711602,10.4003190361045,8.37766863672822,8.49517712208525,10.7985277273553,6.57847067337705,7.59156085781685,8.96031064766664,8.56194868472305,8.3756699415093,7.92615407704641,6.05878211110815,7.55791573718731,9.61474390293582,10.1574354961141
10,6.94163405355095,7.45845930605623,6.26366355036051,6.05066601640345,7.69650152521708,6.75477672490122,5.99033772576154,7.61407719126069,7.1717356968265,7.67017569935308,7.52027084852434,5.38955550235736,7.08909870657664,8.60492825512699,6.16338352956155,6.71788340014928,9.32083828004573,5.76025267994508,6.11102716014193,8.19721758011332,6.34123720873453,6.82819940123378,8.75804185601229,6.08644394484092,6.71466737342929,7.4789935504813,6.76806877604759
11,5.1579866391333,5.54473644115178,3.89534653895346,4.7355300042384,6.33645008727692,4.17954026019577,4.25226150007539,5.25936042845144,5.02084933798386,4.45431095143379,6.68261658124096,4.76794941663477,4.67534395532466,4.968634257992,4.60333417017596,5.26367237107159,5.99272120031044,4.09330894454099,5.31304968295251,5.66517978102261,5.77123312237671,3.80810215796766,6.68323760180707,4.04381069429931,4.85007714948947,4.82301759814348,5.34987374859777
12,5.0928824599662,6.52587880287408,5.06520441573536,5.0710980979811,7.29116429535712,6.56648320090877,6.19496415966499,6.07245035459754,6.49491793173385,6.14307575084764,8.77191342007441,4.97787950736493,5.74954920901121,7.75731950801495,4.34602225784262,6.01454151470715,6.3182754661334,4.52005328478305,4.38607389236716,6.80153987715316,5.40948700492016,6.42992144725871,7.23164906481992,4.53619140219066,4.86249859574882,6.76569472934053,5.58293562050573
13,4.34217356535894,5.09627679674752,3.2571857498821,3.80299139211864,5.45104704524677,4.94767294445811,3.72616540791553,5.94209837077628,4.08109595080039,4.044848130548,5.30686002596056,2.72650397344978,3.89633948453026,5.9543587634089,3.91056585629257,4.7513078595449,6.15469825404525,2.20179479694669,3.75014342204116,5.51327851462736,3.50490843562357,3.35767184477602,5.93149506383533,4.97203411084296,3.72824405794613,5.70042570883884,4.19091628987573
14,4.7197677278153,6.01196949404049,4.85094089274667,4.34780008858041,6.39612134742683,5.05577832410827,4.9259397692573,6.15038362521315,4.41613572932576,4.78978791174679,7.38672297141306,3.77167532864758,5.25984372373026,6.5517916568407,3.92686199447756,5.6530559445403,6.68331499184984,3.19649660044459,4.16109556711944,7.08225002161084,4.12985913278634,5.73923323219099,6.96000069577211,3.74701309279844,4.504178986403,6.27113171597031,4.2956269608933
15,4.68751264461026,5.69600934593404,4.42053624826842,4.32129608161796,6.38281516852508,5.82291000536583,3.98134956328195,5.5945530772315,5.80131477922362,5.29391934495548,6.52298478697075,3.51265177692917,4.75474183470525,5.83812462426159,3.68003001680135,5.17912939200739,6.94266807936504,3.23699595245308,4.30334157009335,5.95708578229165,5.49752184091605,5.3901733700169,6.48992923051751,4.13551714827765,3.94512545180661,6.09312015339352,4.48353854084111
