protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,19.5617245622575,22.7582273029922,19.6269643955423,20.0490348282347,22.9425283493091,20.3936637335219,19.6840182498349,22.1188275150111,20.7920234047797,22.163206567119,23.5862401081741,21.4832799696498,22.1488453082517,23.8224285088386,21.2877156014717,20.8744472274763,24.9279947159146,20.6624525340709,19.7397268420518,24.3167890417937,19.8298550728777,20.3239498271592,23.026062504337,19.827532637115,19.7454782484721,22.7188144834793,19.8248834653541
2,20.8252024968539,22.5019835681583,20.0944475254649,19.5575606506942,22.8955459974342,20.4719623259022,20.3165917877979,21.502733785111,20.7287530854681,19.9609874166267,24.557212804014,21.5136142631948,19.6500278934314,21.9902308549394,20.2299563449359,21.264815219605,23.879001249511,20.5489801421208,18.4292513539408,20.1497599579026,18.3349475570506,19.1840307433252,20.0529529807503,18.7944194783749,18.3784778584772,19.6756372132332,17.4250560326407
3,21.8292373175186,23.4734258249827,22.3152196186415,21.8456826897584,24.1779117819605,21.8514850844631,22.3672838099191,22.5438290183201,22.1180953862989,19.1097475111932,20.3036969196703,19.2941618657638,18.2903070743545,20.4672446027227,18.7474309243242,18.2451511801573,19.8815511874108,18.5695708404663,22.386930629289,23.9652536871153,23.2394461297716,22.6366247134423,24.6452699831721,23.6573744901531,23.3517406184385,24.6991077377364,20.8756054484659
4,20.2157568578145,22.0346498020137,20.2897102969772,20.3741992059257,21.2161188394354,20.1055837943022,20.4230200388261,21.3693838178839,20.1611878219627,20.6861578503534,22.4334710138474,19.2394877491554,20.0697132203857,21.4506125809757,19.6797597340458,19.6687819928896,22.3525082376894,20.2420231658727,19.6728648111086,22.4950102413246,20.5970067828492,19.7997289887431,21.565265285528,20.4075691622736,19.6828393431091,21.5999419060054,20.1939055466715
5,18.9676252284324,19.6364228216074,19.2742936095524,18.8698887351336,20.3828328991126,19.447873871052,19.7543237621631,19.6749775422104,19.6929086382904,21.052958590786,22.1685901981198,21.217675404216,20.3467324437157,21.7944754828255,19.4501981076384,20.9941453149337,22.3676281136383,20.4704155619843,20.7135724053784,23.3397852939282,20.6707921370413,21.5074268704469,22.3135486903001,20.8103572623227,22.8775213949202,24.205126404258,21.8264251454012
6,21.049515498236,22.5184916685257,20.5896093389491,20.3397925598767,23.6820920285209,20.9390240286046,20.5263615717752,22.4915336559094,20.7057822134581,22.2972220613466,23.6666142822278,22.9140903287995,22.4968445909992,23.7289294427798,21.8969016987052,21.6567404878717,23.6917404022023,22.564110285684,19.7978627541991,21.5737162177839,19.528933851998,20.6403487060776,22.0565812891896,19.9851433688938,19.2618575053789,22.3762643281399,19.3186690976783
7,21.3958959983425,22.979808169155,21.2339640538029,21.5373728934932,22.584017545717,21.0924592827739,21.0046827319842,22.8470172284385,21.6742379241091,22.2541747134996,22.6899155422139,20.6130170434494,21.7404011225283,21.7381668267454,21.0176725661373,20.5699816514248,22.9234523314497,21.126500813654,20.8171649654679,22.2828329673509,20.3719028601495,19.9390158468623,21.7053616815961,20.170213067149,20.05787662203,22.2801675943969,20.7701013690591
8,20.7947199128201,22.1465297683518,21.4178748766163,21.6607547002637,23.0358651795343,22.0431524527999,20.8467460014425,22.8992799756012,21.3051924010221,20.4073547981562,20.4584869995746,20.8752967816788,20.247142856744,20.7982008309115,19.9657889882424,19.7360277012392,21.2021285406597,19.810123339319,19.9701410491877,21.5390076801929,18.8077372467312,20.1689500003747,21.19065042679,19.1194957216054,20.1200920506883,20.9737990336679,20.0845101021297
9,23.6779201444884,25.1456975113102,23.9936559263547,25.0061159657431,25.9443105486223,23.8041028697982,25.8295777591268,24.4803302441326,24.2130945027958,24.1947383389102,25.8162609799413,23.6366456026843,23.8666654512698,26.0087337535922,24.4415630103283,23.7947398589466,26.7024934937147,23.6974813959142,20.0207480031703,21.7402396120497,20.8651747397308,20.8684396080275,20.7177699283893,18.9400623663365,20.3192160364597,22.5294099630402,22.3859184700517
10,20.467644294096,21.4633335526048,20.2644109277977,19.328973770861,21.0831323681751,20.3655608050662,19.3502542456368,20.8861386317703,20.4779858952739,23.6124807590189,22.941879343449,22.1635804070347,22.3439727606282,24.1168137625125,22.1307486930594,21.9209169269084,25.1282748363029,22.78273419238,21.0722178034081,23.5091500424091,21.176466761655,21.8529725656647,24.0816612052679,21.499727697982,22.0079711706144,22.9256631084984,21.5285552478979
11,18.8810733001908,19.7466871082128,18.0931703369031,18.2109141792084,19.9201573507474,17.9874007608732,17.8092544404631,18.7284982894735,18.5241759569437,19.4189879315751,21.1265969966411,20.5643462417876,18.9525899298517,19.502891685853,19.5930712541493,19.4890778183062,20.8225296770431,20.1381623774514,21.0547919852307,21.7576639023304,21.3870143343092,19.6134269814106,22.7874086100747,20.2376461064524,20.9239326056866,21.0502388151726,20.8909118794601
12,20.5462413860287,22.4581017349401,20.99330047869,20.2767545379561,22.6051438238326,22.1046159665912,21.4822293650577,21.2718604806246,21.7285168156987,21.9417805846894,24.049921689175,21.6083041862182,20.8608230372387,23.1256047895764,20.1697871955164,21.0739748156422,21.9821117965665,21.3989345713939,17.5635160759399,20.3297238797555,18.4609680981472,19.6709461519962,20.7715199543821,18.1657266956383,18.3720539332405,20.4286158276642,18.5596736326626
13,19.6460504810617,20.8790177184538,19.035799802477,18.8591658217339,20.6155445633625,20.3363236997808,18.8639486029485,20.9920264864436,19.1652128244055,17.7710546754923,18.5123700061637,17.2844303634056,16.9351150238603,19.2501457560729,17.6618325050689,17.7382428715825,19.7460362955809,17.0081777946601,19.1495659048711,21.2634428164869,18.7783698281078,18.8206768487707,21.6933462526547,20.8235497035478,19.459779694695,21.5853271064197,19.3896346012898
14,19.3378825149575,21.1089482871862,19.943792816781,18.7182123896351,20.874856736982,19.7586669508704,19.3779608357297,20.5145496123199,18.8144904743703,19.8743765318844,21.9506150268095,19.6879837937967,19.6570013382536,21.205960724698,19.0365107184472,19.9983730317712,21.6330351085788,19.3612616733513,18.8878981033166,22.1597943768376,18.7307005786378,20.5296182895529,22.0492319379587,18.9259087388705,19.5630946765191,21.4834131669184,18.8217253256746
15,20.1457145863261,21.6330752936534,20.3534753268764,19.5317955372463,21.7016377126539,21.3658857867016,19.273457784328,20.7988062189119,21.0397566788418,19.1268298888807,19.8351987661548,18.1772821658659,17.9002213730162,19.2406156159065,17.5380006645586,18.2727684030259,20.6407101198816,18.1500829491474,19.4417350279293,21.4462210591572,20.5099542084063,20.5921493490176,21.9907513943429,19.7260037159885,19.4156320635615,21.7169925259804,19.4212278272612
16,19.8457852708584,18.4906816433875,19.1873777910095,18.7071097835782,17.6799360186942,18.6413611085001,18.1732551384114,17.4592483045589,19.3428145258001,21.0166369478404,19.7863703505639,20.0397224081734,21.2686214884236,18.9472664975469,20.1183870147578,21.5597520277454,18.9515409916764,21.8950604772682,19.3142232134077,18.0251287481143,19.7667566836377,20.3339157478899,18.4127036097453,18.6222861343612,19.6763023993466,18.7718482480183,18.8412131377712
17,21.2739288491932,18.6357672306607,21.6244933412701,21.1160463496421,17.9041128057664,20.4385419567374,20.083446689865,19.1645777738006,20.5304964389016,21.1493023756791,18.2807092640618,21.3190610919917,20.6797905460308,17.4399630243249,19.3261133189881,20.0553611851306,18.3454807723446,19.9224391461943,21.0469101866932,20.685285724836,21.473227956628,22.524280283797,20.1663057456041,21.5868675945599,21.1662139678301,20.5135219106922,21.2872418942644
