protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,4.0730842637482,6.81449395008618,3.68236337525376,4.75571137129584,7.50345908878985,4.72145156081142,4.33792290645121,6.83289525532915,5.42400925530805,4.94309031382138,7.03818820359203,3.81661318917141,5.55263917227877,7.08894725523016,4.2284493630912,4.5554393108441,7.87084137517898,2.63872398867154,4.14086499603422,8.6149509059951,4.5050545331244,4.67528952532275,6.96510421124282,3.92710322283476,3.8007641108781,6.56118188622495,4.49105095958659
2,3.2347334309367,4.53227922141437,2.68540979912537,3.30757664699616,5.64904287421749,3.31375811001944,3.66287406961669,4.56710800980724,3.99600650148602,4.04929117260009,6.30249825934761,2.90687511292899,3.29335297876162,5.15465780217599,2.79620061277178,3.78080223162357,5.53027496530108,2.16784630149243,3.02350597107582,4.90862680606315,4.27917978311345,3.93634473200125,4.65098764059042,3.27003965790674,3.12343358284835,4.38438420758352,3.0269180270982
3,4.47933949132358,5.84782591993928,3.9735382360307,3.99122188915818,6.44784270598646,5.25965149691943,4.94324427143714,5.72993699655376,4.92046734418783,4.85279312551628,6.25440115803397,3.93621323070641,4.54867634870481,6.80772374566021,4.31490085162612,5.12504700741701,5.81253033000016,3.32972741916856,4.34156297668855,5.63347697922195,5.04847898572598,4.67543907395277,6.01956717850396,4.64757930648189,4.66898959427318,6.1577625577433,4.28848123497944
4,3.92946480786614,4.67840756478694,3.97216104656132,4.24654634856259,5.78036142389383,4.47052899891105,3.84527278420717,5.02100021940199,4.32576949548615,4.45509459902414,6.55632245160358,2.65880242420469,4.49073152926442,5.81308083756134,3.41452339529597,4.14360370314024,5.84839944920547,3.10007006391261,3.67084483256325,5.7261460776332,4.7303679498436,4.21529539352543,5.22320811633696,3.90415951380572,3.15234149409388,5.66897066131608,4.36945618288406
5,4.09258995577968,4.28741297145782,3.89944885712344,4.28546392891403,5.65178173233408,4.46212748218647,5.02040532182691,5.01227664008491,4.94349751516449,4.44165013902983,5.99173267028444,3.9879037113291,4.73390046617324,5.58920459542951,3.29400711083078,5.2815954314591,6.09523190000185,2.58822733059976,3.75041873671065,5.59393516563017,3.54523972550957,4.78023919159737,5.04093962787762,3.70332757230426,5.19482481565905,6.34273128793725,4.83696010325512
6,4.20125620428676,5.78068686197738,4.50713129252991,5.02937752714056,5.99962337665548,4.53154309185424,4.39174434739112,6.10029302385439,5.22661399860117,4.68331588736293,6.72603134872878,4.05966298510934,5.50371986460565,5.98100634273848,4.04036445252074,4.82919338815978,6.20266566362475,4.00518057823449,4.3786084695014,5.81346295693261,4.56847899858576,5.28590830824321,6.16872878637338,4.11364566988796,4.18987313813042,6.6247904176944,4.48240894623469
7,4.88194778112226,6.05787757448139,4.41261402757537,4.92252110112008,5.87450433182356,4.44786574533074,4.8554020307985,6.57236688644692,5.40730019991395,5.67809494788846,6.74284934860811,3.53297220976647,5.88103861041064,5.8455606059727,4.59674468984574,4.8897874179879,6.53206984444476,3.59624511867317,5.38544139246443,6.49946987520208,4.95414073270661,4.48542450649838,5.87009419908596,4.23369479798694,4.34469540634355,6.34195516733555,5.42036560774589
8,3.04366704750904,3.81544715388798,2.90771409138853,3.82950062908184,4.97996183816258,3.70140372268701,3.20445441460021,5.18040506284245,3.62815615622348,3.84808968778936,4.15148643844376,2.6731578505268,4.63579577957326,4.77348384390924,3.09778216252829,4.0921722121408,4.57561171476377,2.58530244719433,4.48882135300674,4.55369470094644,2.74935472822688,3.82377726459824,4.54605456297874,2.14801052159204,3.12935516164198,5.03867004045148,3.8680951230089
9,5.43637498938798,5.98713841235493,5.07574646707177,5.39669983767666,7.12996621485299,5.39796384594607,4.68655219013585,5.80870935406909,5.29387967751525,4.97131888117159,6.99926518612032,4.27878600479217,5.25293573156173,6.95862547547189,5.18299069823434,6.0229481447746,7.23439696502687,3.71714845144695,5.17353835476512,6.78552904548765,5.58340815174062,5.39151016420491,5.76620084445529,3.58675728661813,5.07415083590079,6.56619067908271,6.64160122842791
10,5.16911964564757,5.74425324739608,4.42165256657145,4.39525682848342,6.23457034144032,4.94582248822899,4.45207228968605,5.8998608231114,5.23109795502712,5.38600728887221,5.71744112200146,3.61561340885871,5.35093842943292,6.2067863714768,3.76014646679832,5.38402236697543,6.99987800783492,4.15277412830199,4.21204750556842,6.33345817436328,4.40557155868464,5.2283810018126,6.76772593002337,4.11248902840226,4.68530373947953,5.66845042103997,4.80461841544467
