protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,4.02018178069874,6.7731035952069,3.67184761217001,4.80486363698493,7.55468988946829,4.78026117056913,4.28462446005051,6.7771259754659,5.37150490045486,5.06702398014744,7.10470492928331,3.87804814932065,5.72507084495564,7.16982672479139,4.31863839400468,4.63762080381022,8.00351297907073,2.61875923630789,4.09110790487304,8.64676841775723,4.48103940279775,4.59681904465861,6.8924385250974,3.89303726929795,3.76320063784633,6.52115169459575,4.4441146294774
2,3.30423726490207,4.62441810257773,2.71238117096481,3.31306067911128,5.68644001044562,3.338945114348,3.68345378708723,4.56698585699538,4.01599201914993,4.12813279628857,6.72260591367026,3.0231816513439,3.3885982234875,5.21209688764894,2.82277115505783,4.0179151949494,5.80935301166946,2.15830561967492,2.89445880525139,4.80120971027599,4.15066090003258,3.83762190299207,4.54925274002322,3.19089629382011,2.98288176423364,4.28163223708121,2.85178213780115
3,4.54111829130827,5.80819527784043,3.92614308243875,4.0243680957835,6.60846130882045,5.24885498582258,5.16660927511156,5.77526346621916,5.05942351484843,4.75084190972518,6.14709852967312,3.80691232417711,4.42601824325535,6.75439161102139,4.21312797398924,5.20575331101638,5.68695043699203,3.17404671180762,4.43734370715345,5.71008495830508,5.17312521720368,4.73591365321725,6.14422951603897,4.8527132667515,4.82702599950558,6.2377406881574,4.21692941552104
4,3.91980091179639,4.65980766526949,3.93892387231827,4.22447091447067,5.75693006889965,4.42854828317189,3.82650732949924,5.01880560593532,4.30896899729317,4.54801271835629,6.72589156948887,2.56308921690416,4.6013796649964,5.87958558749072,3.40095414479632,4.19394812544571,5.97068388495725,3.03992894569398,3.66837151835315,5.71208820153932,4.71059073952703,4.2040689965118,5.21366031836043,3.88193895778537,3.16786765388726,5.65463305257124,4.36618114391007
5,4.0122767793592,4.21542253140667,3.81472789821133,4.19555595378061,5.56652115341364,4.37778272653866,4.94229475841887,4.93028122951411,4.86829910796458,4.46514241596153,6.0597631280189,4.01275032061439,4.75081187984368,5.62588933786404,3.25086147635782,5.3479919039529,6.14970926991039,2.57246940985073,3.77943186818425,5.69929597472077,3.60955112620083,4.8385505326564,5.07974753834564,3.74506469161677,5.3137342418001,6.46681838222911,4.94695056075848
6,4.07782755554207,5.66921790047489,4.46150315810665,4.95975548533276,5.89315507443503,4.4497887175101,4.29137232513148,6.03807105893965,5.16325140511627,4.81184701749735,6.88047644658449,4.19011421937385,5.69660245683628,6.12934626720267,4.17096534984049,4.97958359158533,6.32980215256895,4.11054422016553,4.36966590764094,5.80240475017756,4.52743746209321,5.28069956682435,6.14473784815067,4.08511920096599,4.1742368811294,6.62100768028906,4.48215791093734
7,4.9151073573336,6.09238052716373,4.43752382902408,4.95983492586748,5.93206417958128,4.4763373248012,4.88458146200847,6.59230461066995,5.39716428045186,5.79278039838964,6.81650895305087,3.44296426133076,6.00980381994051,5.82154860830609,4.66470108088226,4.88981813561796,6.59488210828316,3.55006869971597,5.33322821371375,6.44488528355171,4.90353650680087,4.42576151117155,5.81186020281717,4.19337687178036,4.28693651996682,6.33781494652289,5.47656235655409
8,3.18257262764793,3.87868347084949,3.03201040477251,3.88688962808086,5.13061542707584,3.86302870723806,3.26060951905758,5.31348855170454,3.70184713359467,3.83379692736171,4.02770974653931,2.48483328188208,4.58307424313162,4.67967054414735,3.03320361570089,4.16201421371132,4.64644724279876,2.50975370806056,4.45866046746702,4.59467826437651,2.89985508275363,3.72550542498024,4.45602241628195,2.10751930661659,3.09359415795665,5.00955696853297,3.89633084374919
9,5.33260640991801,5.93375734783395,5.03642587925711,5.38425769542475,6.984666653026,5.35673071108558,4.6612862674575,5.81108003077448,5.17076491619979,5.12381611635052,7.20566927256226,4.37030513778701,5.42236339387696,7.18345339899247,5.36624089519507,6.13166268751887,7.49870100955746,3.82647420258317,5.05991260857869,6.68913480177177,5.60521676837122,5.39140463057597,5.60735298917762,3.3553652086798,4.96464253615157,6.58564006252153,6.95869238728375
10,5.12674730959329,5.6731363639811,4.38560366853698,4.32083945687994,6.11732535027211,4.91813719843872,4.35451743192169,5.83541863764226,5.23267317178182,5.55117328700996,5.70609326128195,3.58515607912859,5.44242002733431,6.34029564513866,3.87382313954887,5.45541896821338,7.20195594067194,4.16349654573141,4.26855169448729,6.32812886221371,4.41990169023743,5.22397211812946,6.75177452693351,4.16352309725046,4.74241881380172,5.70571288066964,4.81909302802266
