protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,41.5117258822464,44.0842765669787,41.2283141301149,42.6854739417269,45.5770993605892,42.7335804827384,42.4018506148459,44.0092144840854,41.8665688670329,42.7870545088417,43.0978020312711,41.4974973925133,41.3226623967793,44.6841975427528,41.4699103117223,41.226648841555,46.7920161996277,43.8568504849136,40.6187697658102,44.3795810907253,41.475575118964,43.8480257365712,45.2020647881771,42.4845805884695,40.0086089699189,42.4603266021799,49.9103655783188
2,40.7657919701153,40.5123853965533,39.2465892352197,40.0682089715097,41.8025014178153,39.4103705921778,40.5241301495727,41.8090896519146,39.7012839096691,37.8330918250225,41.360914723567,37.9057277993288,36.0379482092939,39.8655514486823,37.5126629047595,39.0881610362706,40.9146938592,38.6810861895739,38.9254417297758,40.3117081263723,39.7271650495948,38.4935800517416,40.3649812727835,37.4361330091949,38.9022839093122,38.1832169311062,44.3138640837665
3,45.5942850605108,42.0248923693872,38.5341299866048,39.1995256965977,43.3146444683706,41.8945560860099,42.122852887597,41.9128220115675,41.7460332769205,40.4273279577619,41.3872329595645,39.6228442502727,40.3988868895353,43.1242188726747,39.9290753977749,38.0330519889048,41.7268351159515,40.7676383043344,40.1721620698039,41.603559860423,41.676420979055,42.1380317449791,42.0755163428692,39.8697427134124,39.990742498903,44.052427679138,39.8989173371456
4,41.843051049665,41.4468312743773,39.0392262113282,38.762436672673,39.5238200800163,37.4603108057129,38.106377024134,39.6746544983156,38.3075474214971,39.2413501815693,41.8807725327605,38.8183006157658,39.1296566948801,40.8236090745409,38.9304431353518,39.1998918152108,40.4611283741552,38.9415860890026,40.2925768649112,43.1440697028593,39.662078503002,38.5447424003305,41.254682240043,40.9869257824751,40.7448518358821,43.3253682195175,49.4833802522622
5,41.5778139047216,43.265858480854,41.7948011877054,40.5001887818293,41.0618280323104,40.7200841545486,39.7324801955802,39.6950669881462,40.2911590826054,42.8890758823982,44.0381022928321,43.0940446673914,42.0400444852106,44.5561718107551,41.6991957433681,43.1136251871639,44.1862035681219,42.7522077433518,42.1035748293595,43.3151528040896,42.6777492849935,43.141067810087,43.010219920799,42.0580387859856,43.4100333007189,44.6909935465802,46.1070385981949
6,43.5987549881683,42.9842076838058,42.182439751322,41.6676652906021,45.3093926195436,45.5359976410848,43.3185797963664,42.838469518338,42.4094125762515,45.2235081575554,46.1448421950025,44.8779751116189,45.1467185605183,47.0037336601389,44.6213619610719,43.3110852712092,46.6413316582583,45.9600868263023,41.2524972023415,43.6368347023024,44.2670723907463,45.2954943034772,43.7742621746197,41.1669099695936,40.9447496528301,45.2466668807941,41.478003088094
7,45.6747788472184,43.0777311796212,40.3152638751781,39.7788295180532,40.268659095187,40.4560423313413,39.6721738456754,41.6174625576361,40.6032198748586,40.9657216818376,42.1745047680455,40.5895745311656,40.2003308421675,41.8729427116551,39.9467668265611,39.7877999651923,42.4402939748536,41.2540761998544,41.1779297940376,41.9797975529079,40.7910159144108,42.6996682225426,40.994459850989,39.2263598790435,40.613437811684,42.2634837824801,46.1927715124466
8,38.1780417486465,42.2213519488671,39.9591092518769,38.9841155714072,41.3407412608023,41.8720463266785,38.6313074203282,40.7799958245988,39.9377231111901,38.4328919418513,38.3570375527491,38.8475923946032,38.680128364456,40.8458999571302,38.425475960465,38.2120997107368,39.6709406449302,38.5835307258258,40.0221552405658,40.4825878383843,39.1699320656066,39.7048327629705,39.5343127997871,36.4170387715485,38.7729235374614,39.7666566927948,42.4219291769497
9,40.1323452774404,44.2565473161003,41.6536835534709,41.7586686036026,42.9600212652393,42.7177665403145,41.4728174243259,43.9968937895352,44.0782409815679,43.88773564023,44.9116180879701,43.5062762812282,42.3025382913224,47.3152323393192,44.1698464074049,44.4071984739621,45.156135948152,42.9784045277697,43.5743662493434,44.5214613369265,45.0843091925125,44.7225272556848,43.8461845415283,39.9892886533848,43.6599439411957,43.9738817667158,51.1399564011123
10,40.1952017761416,43.5848100225414,42.5669071075606,40.3068338454526,41.938504469469,42.8943780399506,40.3031894109018,42.2572016829996,42.2904137601764,44.4476287944457,43.6054039262575,42.5518000021395,42.6321048043342,46.9763239090316,43.0693972330323,42.4984965864401,46.1373344907657,44.3174028147278,41.8354932688963,43.0386082331756,40.9269363204873,41.7009930865723,43.685116228511,41.5111023828678,41.9402539210729,42.5554019839367,43.8166082040207
11,40.7165313966231,37.7991611446338,37.000546423365,37.2167013528617,40.2209318534949,38.9429302004271,39.0832553132734,39.0368897949326,38.3413900987924,38.5518982454513,39.4484600925986,37.8051816558455,37.2538392735157,37.7522017933965,38.3815397078335,37.3061802936821,40.2745791219224,40.3902687610154,37.9372535367412,39.4604113622868,40.5647384864677,39.2535905258697,42.2014959856523,37.6564267899857,36.9576733907843,37.9300756342112,31.8940760253659
12,40.7058832724695,40.1980495681875,41.4951806367688,41.1628336037332,41.49905103027,38.7676772367078,40.0381870410029,41.1079180874309,40.6877030209094,41.2900434325848,43.0047625185063,41.5982547221379,40.2804357682433,42.7469657959194,40.0022150116446,41.0607203793795,42.705605792313,42.4334195186422,39.6924922826682,41.4045295392683,39.0361608298932,40.1433800048145,41.5396748765168,42.1422892482953,40.4636992624709,41.310017688595,37.6737451208655
13,44.6755776460473,39.6554408846248,37.5910811588206,38.0530248005435,39.3153963279122,37.4133084517732,37.6997824647126,39.3296102392224,36.6589133218415,36.8736365253645,37.6354728228339,35.6333707241136,36.0999618308334,38.5797810326908,37.3358591567379,37.3153845112109,39.9625464316453,36.7625623877451,37.2369082571326,40.7184047920392,37.4683311266162,37.7458833291432,39.5037643554646,40.594293526803,38.6450039925018,42.9119181475843,42.6304349227955
14,43.8048760058653,41.7167745541788,39.2262830450943,39.7696948820815,40.5004663874242,39.926185544991,38.0958745111325,38.9787701239837,36.5014975172407,37.9478763212094,39.9288692617683,37.2591145850455,37.6189969724458,40.8611970170206,37.7782853674629,38.2461467749424,40.8156733351757,39.5210189729133,38.1496755236316,40.5950148915141,38.8529876140585,39.3423346690751,41.2181981710507,39.4743298963649,38.8875841413555,41.7327879339866,40.8576770750564
15,39.494939130889,44.1938748932659,40.6838981715963,38.6661402752845,40.7053800649565,41.4670814802748,38.1509953242574,40.4968442415366,40.7475668149849,38.9983455932278,40.0708817278193,38.6601591865027,38.9297189711503,41.3325852017488,38.4058643939032,38.3589277981138,40.5245253922918,39.0948907763084,39.4197808978517,39.7561132742318,38.5452444428521,39.0546125704494,39.788068755933,36.5359344041018,37.9565972248516,40.9685218344206,44.1720086637298
16,41.3805382476483,36.6445281399128,39.1880728215399,39.7789260048418,38.4321997472761,38.3325788300038,38.9732861188505,37.9328551460605,38.9988376060223,41.0431472163523,39.4783113805893,39.3213746193455,41.3254633510189,37.6192009674826,39.9873864921974,41.2887034270658,40.9812656971777,44.6036064023445,38.2109024811951,37.7625988741328,38.6128525448215,41.0187980630384,38.8445195604296,40.3993300334716,40.3456525238074,40.0055072268967,35.276279205505
