protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.52471529619886,5.93675649043665,2.51381526672512,3.69286095827459,6.28368615468961,3.77738866314788,3.86118106245759,6.339726410142,4.82337520817454,4.33187659266357,6.18249365652998,2.73905413606375,4.95691912306115,6.31746835115813,3.52682859363348,3.69227419806285,7.05944563158159,2.14445129405247,3.38596239452819,8.01932930948258,3.8735213624157,3.79316022586623,6.02123145612879,3.28642676522582,3.07021855117172,5.70375181224334,3.84263126730548
2,2.83871420338133,3.99296674957791,1.91395852498842,2.41670785295148,5.27791061503354,2.76548488168235,3.03005670293999,4.26034809813241,3.14658234037715,3.51891715693033,5.75942981529372,2.1693882506727,2.70814799770421,4.54639205070032,2.40125807736675,3.34083598594747,5.06214718655317,1.52293483749939,2.97152165327564,4.3137435338675,3.37901593725558,3.44724110847562,4.13575295798931,2.52300436225926,2.66631184066711,3.63469185163507,2.58159272061926
3,3.71922128769926,5.27806344025435,3.46261841733774,3.36328899339364,5.74251582925376,4.73961451581778,4.18841218825637,5.12510004756638,4.23262001572485,4.27780258031957,5.00542071180443,3.41346688944531,3.95645065377983,6.23423857336427,3.6810305792918,4.67641360594764,5.09072582491699,3.11477832715528,3.75592940245243,5.00055493174457,4.36843148311671,3.97075201041461,5.4493418130782,4.0168503458787,4.02806661601563,5.48966882437551,3.63146334134522
4,2.94951893514958,3.90680129112058,3.49242825550883,3.64581634749493,4.89074721026028,3.79010476886423,3.36347982314948,4.77477966692436,3.79863295306933,3.86626947146821,5.79907726555536,2.18283988987307,3.81015230737683,5.05321703067716,2.83826585677401,3.40603851817312,5.16044766823226,2.58589646749034,2.99168910833044,5.22524792269513,4.05447051443333,3.46959250079762,4.73813476391416,3.16319563281995,2.44580053423193,4.87735890981955,3.79836341109049
5,3.58491013454372,3.85436881130708,3.07927428837193,4.04330123374931,4.69219759551125,3.88403615877496,4.59431055993674,4.55567329137701,4.46265957515121,3.86524965835829,5.34902599353231,3.61389065711973,4.16127540576106,4.94513343578739,2.8636725186503,4.70038138203957,5.42104961400898,2.16237474056212,3.22433252722586,5.07281863000667,3.0209783041118,4.15023186007607,4.50513460675509,3.06288304399725,4.634590081655,5.79292547483247,4.29053326353965
6,3.62361298489607,5.0669683331182,4.09489620900972,4.61355463521834,5.38173524710628,4.08898946606957,3.94760036603686,5.11648303560639,4.7298860618918,4.09152933654929,6.06878083009073,3.6610952430379,4.84881094542751,5.42136502763777,3.53931493609854,4.19696845623863,5.49680781009611,3.60196676718898,3.77340292110886,5.38600293264928,3.6374519767345,4.71469185641658,5.61576653320767,3.65319530774989,3.67304691364441,6.03471862882882,3.94912379263388
7,4.29916925488853,5.42499829938989,3.81127117221739,4.43154914779685,5.28546546476425,3.91307939767054,4.30764334671512,6.06210979285302,4.82156086742515,5.10939340292742,6.11158110811937,3.086562207973,5.29606115462506,5.20087702040009,4.15840367881537,4.22926741396093,5.76609701277436,3.10659049140231,5.05596431971847,6.13779902389533,4.27462823702533,4.11024512177869,5.13397182258797,3.60178026745518,3.77069609497001,5.82436626331356,4.87433187288692
8,2.48401792648945,3.22789005272592,2.35357810799964,3.38815895287442,4.41541998748492,3.20569864255039,2.70347615633366,4.63288103771094,3.03771366491864,3.38185091525148,3.36322594505466,2.34239615421096,4.16744959245575,4.31386525797382,2.68374188504075,3.56492768896354,3.83410482964536,2.35314941510422,4.01330879462125,3.96239927757946,2.22764737571798,3.26040363565255,4.08905381353695,1.60085709867736,2.52156867411524,4.48581867716531,3.3724454794041
9,4.93162178145797,5.4718589934128,4.58026741187731,4.99858620074908,6.64526118402139,4.93854166538775,4.21807440162759,5.39009336123872,4.76609916705487,4.47172430842066,6.43296663246209,3.93866842948262,4.7144544430243,6.43236584276666,4.80775676506727,5.51283143889027,6.61292905124697,3.39193119305174,4.7105177858339,6.27041149520066,5.11836304669841,4.89706459318643,5.34183422975625,3.13267434005657,4.57989716157019,6.074044807655,6.17140701686835
10,4.90406262235317,4.69071639117123,3.97770720106256,3.42476720742821,5.49138229811694,3.82593708478698,3.82074604540375,4.88814575186569,4.1037282933494,4.39537520502703,5.23700099787023,3.21851081264479,4.2968213324409,5.05637762072567,3.21359478484195,4.45759094832687,5.82752811055604,3.67223837618648,3.3046061309264,5.43511332267936,3.7202255499125,4.13684987685836,5.84607651136829,3.27867644095121,3.9587316528836,4.88059565449767,4.29264261620908
