protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.45503525961971,5.89366733394091,2.47126223571026,3.66624441686171,6.28410115313301,3.74534313974383,3.79773664681644,6.28305417394562,4.77911290086066,4.46468023662071,6.28770233319176,2.87597024750474,5.11877436364866,6.43258164836192,3.647225924176,3.79917198344896,7.19578446577298,2.20576076591068,3.315496267382,8.10348647399984,3.85868514533652,3.7472425236846,5.96952219258128,3.22337277849177,2.96955607628531,5.63060364603997,3.81660514285377
2,2.96262576130999,4.10786951897506,1.98972634760558,2.45553205644946,5.37930197910761,2.84298450756792,3.07927468668993,4.30084084743673,3.25466092759051,3.53646113237573,6.1397082505009,2.28716483846478,2.70577811566806,4.56225074330296,2.41570633232211,3.52176398343918,5.2755077345756,1.49474201097031,2.86166278736601,4.19584580491978,3.20369324983474,3.34894566078814,4.04284409659993,2.46188436495425,2.54760797589085,3.54099684049496,2.41990763934158
3,3.77341500394449,5.23772961398847,3.40984467905983,3.38041203414083,5.91216202915345,4.74049998520974,4.39543189105903,5.16964094148439,4.34767432078725,4.17427063467732,4.92514464771696,3.25750809363862,3.81843152355185,6.16521298965627,3.57230814206477,4.71262421619637,4.95687442246638,2.96999831522148,3.85655971982857,5.07948207258052,4.53454273036225,4.06154923290731,5.5813174691067,4.23315915919812,4.1955469595283,5.58929371633116,3.59202337791761
4,2.95195917173555,3.84936006817429,3.45544794545008,3.61766554110499,4.88363424227837,3.76065421487974,3.33176681686598,4.7629028179919,3.79971587963854,3.96866775637275,5.9813096467588,2.15130837170525,3.95096038210497,5.12843256948316,2.84434614209844,3.4464030258015,5.30926094269375,2.58092178463999,2.9886292233476,5.19693017741769,4.04834165202338,3.46261301745329,4.70549512928114,3.15478332715935,2.46179260249525,4.87818146718416,3.79564479197789
5,3.4771897241839,3.73937251972684,2.99199519087575,3.92664398819954,4.62076122278024,3.79957946074621,4.50591334345707,4.4483449855072,4.38850170002556,3.90332335122175,5.40602033505744,3.64901372517,4.17829423841294,4.98831377568379,2.84919189267771,4.74689943128904,5.45860415860836,2.20603468177132,3.24267143641315,5.18869770921833,3.08487861118723,4.21625632645941,4.54949307438159,3.1103471596587,4.77385542622154,5.94441730875823,4.42764392920243
6,3.48761787074989,4.97710008169117,4.0402655042605,4.5590645187069,5.27284636011696,4.01128491881031,3.8440198937504,5.00587830503465,4.66723027286442,4.24508327202027,6.21441015038911,3.82637127648527,5.04079085325877,5.5750831099294,3.71198168824469,4.35888812931427,5.63339743571225,3.74975705822467,3.75655159202649,5.34742696879285,3.63195892234435,4.71997653680793,5.59806792588253,3.60068785040503,3.62740546805373,6.03921427264045,3.94991884137299
7,4.33379227039032,5.46764990801072,3.84566614336232,4.47560715806355,5.34715853525812,3.95130839615244,4.3330689680931,6.09466006441112,4.83793996401374,5.17251668781833,6.1564076198603,3.0812355680407,5.36605384359472,5.22921996550684,4.24757237256337,4.25481547410358,5.79095095031516,3.14173617614468,5.05170698062148,6.14388247377755,4.23282902891808,4.02612494679488,5.05371752096925,3.53545193816064,3.65358001043111,5.82721449501993,4.9932330220745
8,2.62667089595161,3.29416668201339,2.47925909575698,3.44217600309686,4.5743041807338,3.35751766710147,2.75092778806533,4.7681425501083,3.09940055688306,3.37460197231546,3.25465908145771,2.1675154387389,4.11742585163213,4.22811458928835,2.63139177592337,3.63867889453598,3.93336876733992,2.29187627135898,3.9799771328307,4.01720314449191,2.38106377762907,3.15601521681044,4.00294560319295,1.55158062609899,2.48012428851014,4.45755520407996,3.40176669135871
9,4.82854417987347,5.40432497655915,4.54252623158996,4.98367938308867,6.51269691577496,4.90380444033786,4.17406117511283,5.36891729990325,4.65265864405541,4.65431849832304,6.63055015018192,4.0737905277976,4.8967440983832,6.64242192303953,4.99370891964288,5.58968520811022,6.85404227966405,3.57679869553957,4.60554411625143,6.19956787188997,5.13779103989787,4.89117165906824,5.17599867614285,2.86936042226547,4.4593714148294,6.09238630908241,6.50484830450561
10,4.86669536211335,4.59254293348418,3.94176407457849,3.29028112569858,5.41801512986987,3.77554216920617,3.71245603866948,4.78525564539823,4.07811566942943,4.49599672892099,5.31431017256181,3.26868613260027,4.35477945359401,5.1163460660623,3.2945095173469,4.503311010011,5.89814998411723,3.73982663341364,3.39766945435139,5.50456361126602,3.76563946720352,4.19995583943466,5.95786361972697,3.33869122732623,4.02129026998433,4.92026731134033,4.34998973328473
