protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,39.6606804486274,42.1498282854735,39.2601259838885,45.8252581759997,58.8653846383576,51.0974846503067,45.8721676725826,40.0692035300401,37.3076834190283,39.8991908814743,41.6645651137424,40.6978746037509,43.3049006589277,46.4197307110442,44.0453108505162,40.7240098216136,45.4283846798723,40.6985832996364,39.7949153719421,42.7497441816551,39.0026430157437,40.8612913263765,43.2716178133754,42.7580803653642,41.4086528185219,43.2373685763637,41.1518490833639
2,44.7578295134404,48.6123737490636,50.1791950402792,50.4143310217603,56.443734661101,50.2574584979189,47.2011430952288,45.2514478792172,43.4140574414665,40.1201747643666,41.0986558507976,40.498617251212,41.0610371395119,41.1160963568357,39.4696802960809,40.8820710114231,45.6520292163124,40.8194449719421,39.8210357531043,41.98770157327,43.6517337059015,46.8853150201431,48.8451347239218,49.9861521508285,48.0763989780076,46.2191140021145,43.175849823154
3,50.1888561366121,55.6232866623255,53.0733879587025,50.3831364201824,54.4020266639595,53.577535513191,49.693193889165,48.8461544620711,43.9256225296506,41.2880096282579,41.6417053123384,41.5431304524352,41.67488186377,42.7251402980202,39.3591215439019,41.3794004893758,46.5859346339574,43.602809744649,45.3211148848626,44.8851930716111,42.998798478989,42.4800302429758,44.1149104341567,42.5878023079596,42.2124519164074,45.630175244141,46.7155106355858
4,42.7744995352134,45.045551707724,44.4251726882499,44.0460325268767,48.0782712880941,44.8578266935874,44.3883265182022,44.4568229451514,42.3995598472765,42.5600739433404,44.0461137901097,40.7063385005172,40.9325684105764,42.7708095753211,39.9845668443656,41.16550318609,44.9879197953876,43.7410656777997,41.5106940739235,42.403529951718,40.7112818050575,40.7329811879068,43.1232793464235,41.4383721392646,40.5903225494918,43.3799589994022,42.5193088201355
5,38.348001576752,42.2080331773374,43.2342167458332,46.62596400588,50.5394047553755,48.7590957558178,46.763595614553,43.5304679480163,39.755549276717,42.0620513213438,42.9530702115522,41.6203156528169,42.2637460777421,43.5923928703639,41.1960912374089,43.0419226452919,46.8523283621096,43.3574366500421,39.765846431581,40.9261586064792,40.9442831716939,43.8858035034008,46.0360112190063,48.9579625363991,45.0376604974179,43.4200151095902,40.1872437191868
6,45.6024483043739,47.8854098155077,47.5492598367689,52.9863238251778,61.8511632346414,55.5041147891285,48.4327190842082,44.1948056632516,42.1924603334709,44.3375802251878,45.9518680369242,44.6941695104508,42.1730334116502,43.1637242020474,41.6996126264786,43.8863085967837,47.9748192002211,45.6852198947842,42.5707477649166,45.3145466975827,42.7999130221612,44.8260980470162,45.6271068228328,46.480302734682,47.1300022260759,50.4182912790173,46.2353593467029
7,47.494732020694,48.7497771627804,45.6817536480319,43.9063912953024,48.8175604642351,45.9838051199065,44.7807276456377,44.5327321813364,45.8236757079929,48.2720999642043,48.8905297132598,47.4338430267217,47.4535939874809,46.6694962524957,45.7697089403064,43.0360582474154,44.4468646372867,44.8711127635172,46.3126182587284,49.0900188047648,48.4717302133956,51.5674609293864,53.9470760726294,58.1053398544906,54.7526263117601,54.6186810844223,50.4736170168969
8,36.9832716605662,37.2879358488252,36.6819044839909,36.9865775344808,39.4568483428926,37.9288280154912,37.6818585484816,39.4852300221921,41.1084812283607,38.3934177197775,38.7710869051517,40.062436928769,42.2497748942879,41.9248258192021,39.7669107558158,37.9925996482403,40.2907249409545,38.1163720325071,38.9780767886213,39.4563160634448,39.9427379226463,45.2290721695529,48.8957087259253,48.5112142295944,44.4956787462279,44.598263064878,38.9286299833088
9,45.0789554376567,46.5201315421651,47.0532222134444,45.6965468255792,46.44785868485,43.7345092928866,44.5880141722872,45.1203692519197,46.4241413359098,50.3318115594325,49.4067058667003,47.479543654163,49.4291769117269,52.448851058029,50.5126296034143,44.9818460349706,47.8904130695504,46.0872571556781,45.7160166601086,48.7343387233619,51.8655375398571,57.0757300620781,59.4226205281919,63.5942794080795,60.4688725418995,54.9495258040142,48.8586798547372
10,48.9454285129178,54.557670700233,60.2495691258956,62.5395417737213,70.8351447683027,64.8240163168772,59.235244008481,49.2688732217145,42.1748467900444,44.989459423666,45.8695276845962,41.6007285946595,39.4409661232978,41.1553245583158,39.6432354037046,47.9487154434076,52.4858445383046,46.1914701338296,42.238834598908,45.353499600956,41.1158187236129,49.3014648781189,50.7916600741436,54.0477110741486,48.6382190928021,46.0781601659384,44.4464639199881
11,42.128107355313,42.4277446569843,39.4147655250514,41.8706650746229,48.1504234530825,43.499536887494,40.2846623005713,39.2651638993094,39.6413949203929,40.744282563092,39.8555158669015,41.0206434838775,41.523635921764,42.2354705249546,41.1736959068542,39.1994373743479,41.1195827895988,41.2200460851356,41.9052705859186,42.2366996769826,47.1805839328124,55.5527873806883,58.0139542183954,67.8743961324055,59.8172088736194,50.0170856412139,41.3048757940984
12,43.2607687039963,45.0802578628561,43.4993211084321,45.3919341296103,50.365250289788,44.8538179004659,42.039878633079,41.079262602906,44.972409507047,40.5337510401678,40.4537589942362,42.6265452435791,42.9745541845968,46.0274757760431,42.2313991036237,36.258370359976,38.3009652736913,37.2586469051964,37.8371340087001,39.4612465999166,43.9828680157806,49.3959226534161,51.8737509062334,59.148496269365,51.8074331242936,46.5951739558897,40.2659779714527
13,34.7654023951718,37.7126623721431,38.8689990534348,42.7674504513218,50.4271478496308,46.7563532925453,41.6730236867052,37.9738665345073,35.686411331445,36.7663394109954,37.4485460231041,37.1966119906095,37.4812951173868,39.4362595540994,37.8662095441607,38.031215789103,40.9591512170912,32.8859962762321,34.6456492519385,36.2249371827519,36.7237132514364,39.0499342738554,41.5530178710949,44.7224557417188,40.7258973832309,40.2663662409834,37.2339906997745
14,37.1793992457209,39.2106504608861,35.7845552241453,36.0912248875992,38.0394227261063,37.5462797846653,36.8253458606416,39.2611686881366,37.6547994439754,37.0274632067304,38.5278619197742,39.5765591030121,38.3260671198075,39.4794487298485,37.5690222502058,34.3620047198938,37.6378220033873,36.6922777193952,36.1896947339421,39.6497746062938,38.2850394944946,43.2766046662995,46.5769783149178,48.2982277347508,45.282656287665,42.9637877612298,37.2907125446963
15,37.8616013281205,43.6103530575627,44.4884785666805,49.1193090071671,56.8155306071735,51.3181397666799,46.5332786234507,40.1402987725221,37.1892813627347,35.0762622805388,37.1100419653875,36.552161543215,36.6608165069941,37.7486828264607,35.5963266419289,39.5350490529238,46.4238697319076,40.4706040730922,37.0296682180436,40.1683522356392,39.8374394476012,44.8134375291071,47.8857889164491,47.5593778344531,45.1919913424129,43.8116736477867,38.3950405662976
16,37.4475459353699,44.0676001148461,50.1610673412284,52.6372283220494,57.0524930860055,52.7038811453067,48.6595600289128,39.8077342780026,35.789845884003,39.6457449864161,38.1855604174048,39.3043658923215,40.9750802031714,38.7579673747544,39.8279885222346,38.8597592930239,40.3629812147348,41.0906000682563,39.8991067117044,39.4893893527932,43.19466765578,47.8570505932113,47.6352472683699,52.1015686285804,48.6441647846696,41.9735077712434,38.0909982208259
17,47.8260139055512,49.6464894992411,56.7671497353958,59.406228810549,60.8043282113224,58.5421005932293,54.0094662282246,46.0805918978326,43.4523429206597,43.8346872941354,40.8014594219356,41.7947540927728,39.6348652920261,39.3996299177864,39.3687077377663,40.9066757686624,43.8057326291517,44.7118089746677,43.298389045703,41.8016711463005,44.4340758003524,48.4699866366516,46.4763000975902,53.1626347855673,48.9271532131059,42.1235002252321,43.5606224270675
18,46.2772915528237,40.9517741403864,41.1889720782085,42.5768877042186,41.116154480103,41.7018971690879,38.8346198614872,36.0888198945325,44.0436715231944,39.6140080020187,35.5971807891862,39.4342074973455,39.3927990641514,36.7781502246098,38.8803705397183,37.9358416014687,36.9123866958263,37.5990538950367,47.5871658900164,46.9733507937298,52.1660132861019,58.050963641455,56.6911841982133,68.5857317737047,63.5745209200636,53.9544246307829,52.4884498832085
19,42.7139695628309,45.1707611902528,47.9824485919476,47.5763975713867,49.5753945011945,48.0157279960273,42.9642102100377,37.9723048421228,39.9386247506,40.8347518498878,36.7596328149971,40.0237664495275,39.0766185281893,36.4279769477458,39.598123751949,40.8865588517664,39.1677513967924,39.2183080407022,37.9088566526799,38.5749881249198,38.7538151185351,41.3953892175369,41.3745595018251,48.4923425061891,43.8091929951846,38.1435995134963,37.8663966082257
20,46.6563452379954,47.6003227114292,53.5357589632617,53.6024996034373,56.8817328809336,54.8979932272663,48.1861108637257,40.9757218470849,40.1177105118202,42.0677450343234,40.8152949638738,41.0728958625121,39.5750146619928,38.4534111830979,39.2389576638261,41.9112122683546,41.7924800390621,42.3391801130541,43.4011295079937,42.5140677212171,48.1800449807621,53.0864090864093,53.1915531154321,60.2595470654869,56.7951680602953,47.5174373875905,46.7607323068442
21,44.3717509883951,50.2311137534414,55.0897848652041,58.4517435230488,63.9153776774761,58.6848752633156,52.6964972708106,44.40995460461,43.5448705113875,42.8670587870891,39.8214845514913,41.8598499253452,41.7352694572222,41.2868116337361,41.2074531210244,40.2817146028372,42.6871151299483,44.2056174938122,45.1780128981359,44.4492353364848,49.2741888732184,57.2904096212654,58.544505086545,70.8655745304068,62.337348448834,52.1870618246046,45.7310798969879
22,44.383680265216,49.5990208780876,56.536210223931,56.663813738021,63.174042514365,59.484576047104,54.0717891897539,43.1196351560381,39.8918080972943,40.6164963613956,37.9760446477636,40.0665726156138,39.0299628785974,37.6337369100079,39.4460346493738,40.1912066965179,43.0764396116629,40.1846116746815,38.6275801317865,39.1976269721788,45.7939530069905,51.9029911171674,51.9995718086323,62.4434102068958,54.5531942504196,45.3334590515542,38.8618917795908
23,44.6453881557543,47.6764768488549,56.3713718569174,60.1389819492844,63.8006066058682,59.2135554590412,54.3659912913303,43.9198546095784,38.2884910267463,40.3847455678743,37.6202513123164,40.3437849994376,42.4832679072741,42.4382080508239,43.2529597510102,42.0962200075911,44.4021927521368,41.5602636837212,43.6647426529808,41.6760542472973,46.3522457112516,51.1155763227749,51.7407898096493,57.5900432223055,52.0520388801385,45.2461174531428,43.6195817270984
24,42.5584242304382,41.7941892223735,46.5308441785514,47.4133980612569,50.1097988855022,47.1908523808877,44.1187810567005,38.9973537831677,39.582297579411,38.4124327077652,35.5387997859215,36.6159071167255,36.0349591768267,34.0139289010231,36.7723888447127,37.1086203991621,36.4140499332144,37.2186835832255,40.9511843337376,38.6202950832618,41.9899615352196,45.5778958435396,46.530814657681,54.2015719434263,49.0970888592794,43.7882388631305,40.3034978017587
25,44.4666051492877,43.7422114514705,45.2544249114787,44.7999266268364,42.3427931382627,43.3406448356418,43.2022113415009,41.6660896908917,43.1498076065418,43.533474529014,41.7284091445764,42.9132707772574,43.2045241205163,40.3391476549985,42.6991610275738,41.1886839064769,38.066537060857,42.4378076435284,44.0420365875277,43.9100042515341,47.0825345607874,50.9746056190341,50.7855953011482,56.7900080292918,52.8387609599441,47.4674349664246,44.6110956736719
26,50.539258133589,52.9373517819671,59.3152919006587,63.1669932087173,65.0705536069479,64.3303333572322,60.3393162979932,52.8375945509245,52.3038578589321,51.0136367082457,48.6686516274229,47.8871942876471,43.8817521730445,41.2663160730657,43.7491941017334,49.3864405783657,50.0016375777088,49.0515600947904,48.1086240247968,47.4929956974287,48.8012151679128,50.3832164419375,50.0221326022026,59.5536365519188,53.535389778735,48.8047083496093,48.1204506565098
27,48.0034700365308,45.5817582342065,45.4727933702183,48.078982957594,51.5256738086404,49.4468946957303,44.8322353413541,40.9857380121633,45.703036867453,44.536830050242,42.8288323664404,44.1833786955725,42.0365852712659,39.7916581488655,40.9483074309292,39.4974485484378,42.6991417375999,43.067489210998,46.4505725796803,48.5898671846549,52.4343542815152,54.9665432823286,54.0045692287112,59.8157269321761,58.2092901523391,53.7292967094495,51.2528368667497
28,40.5565094605245,40.5925927304997,43.4979466302979,42.8521930876996,44.5083236063053,42.765539561661,42.2980936210238,38.2487642368252,40.5489616296489,42.827406846081,42.0554612976796,43.7472826526958,42.0850978653508,40.6721101277701,41.6377294445683,42.0036682288649,40.5461987274131,43.0616730124349,42.893216733452,42.7711056274854,48.2954270252759,54.2515943363258,55.870615433168,67.1097305792919,59.1815059673067,47.2951502297227,45.2397965600153
29,42.0979892075931,46.8040848060806,53.317827691227,55.4573817958709,57.2529986212017,55.6877155474881,49.6399726726509,40.4867414460778,39.4985690299276,40.9580089530925,37.2396784654968,39.8932796866091,39.6379830951667,36.2774418900758,39.167541069289,39.5649720643665,42.387221557339,41.8537396973388,41.4498268205169,42.2871362306965,44.7361054429604,48.7617676898331,48.3402549490404,57.3923598556508,52.0842719821228,44.9789520533012,42.8112986710147
30,46.8417260696786,50.3052072234582,60.2739164331031,64.5624894281834,67.8428864232023,63.6947870799126,59.0512218839709,45.5143721660505,49.6726060981687,46.6854694694657,43.0852838148246,44.6283454740253,44.2240612524101,41.8453561497282,43.6271283912629,39.6039198936936,43.5097012515591,41.6223245052384,44.2766560143895,44.9648635295008,50.9495113565744,54.2015359423229,53.8144112577247,64.1476429257604,59.8083103919507,51.4373795123443,46.9088214515348
31,48.0617699696009,50.524616747166,55.9583085341069,55.9883895683064,59.8600541318115,59.0275394735207,52.486098541564,46.184253513208,45.9959113584098,43.7855391006364,42.6651689148417,44.530230212173,42.3901940294782,41.1959478086664,45.6280897154812,43.6150207094904,43.2956479376912,44.3458829913678,41.9789576362128,42.723245561693,41.4035813325918,41.6496457087599,42.8290102834844,48.5089793807623,43.8516948736113,42.7565564716354,47.345051980395
32,45.857185793611,50.0849314740271,57.6309633939855,59.1220316907608,61.4751708387992,61.3745862739219,54.0622842155442,46.6327720082166,42.7409753991976,45.0767723014931,42.9809702755555,42.3641332745668,40.6364310209449,40.5968720144158,42.9408779515063,44.8257049580046,48.9058384582709,46.5843886501424,43.6271219741513,42.7680906813369,42.8873784721289,46.4914320240015,46.9078644338735,51.9395295534823,46.9990502302486,46.1345592298519,45.6064199400187
33,48.731248864078,52.679785667691,59.479692843308,62.109805576764,64.3738869163339,64.4377992476018,56.2029112457583,46.6922622189705,42.6409111947751,43.0153652848693,40.6676403720583,41.269196691175,39.368207230858,39.5447619321034,40.5403883226201,41.8553910231991,43.825483895949,42.4426771027385,40.0047298190071,39.3397367433937,40.8827858493123,42.0343005602952,42.9498541179251,47.2549777083903,42.8914481384253,41.5037477089839,44.5315180423906
34,50.926656173702,52.3861836196487,59.9121239757804,59.6244301684918,59.3773333604668,58.2796896906299,53.7857489389833,50.5274425043241,48.6632485930482,43.2882016259209,40.5562541845206,41.4639487893856,39.6912029403608,39.1964763661342,41.8793995135422,40.85109489289,40.2215796563081,40.434661054254,41.5534281467095,40.7762194182688,42.9516727969996,47.6162259181727,48.709038067211,56.314236961412,49.1538318129542,42.8629085297155,45.6868260658523
