run_id,sample,batch,rep,order
batch1_group1_rep1,group1,batch1,rep1,1
batch1_group3_rep1,group3,batch1,rep1,2
batch1_group1_rep2,group1,batch1,rep2,3
batch1_group3_rep2,group3,batch1,rep2,4
batch1_group1_rep3,group1,batch1,rep3,5
batch1_group3_rep3,group3,batch1,rep3,6
batch2_group1_rep1,group1,batch2,rep1,7
batch2_group2_rep1,group2,batch2,rep1,8
batch2_group1_rep2,group1,batch2,rep2,9
batch2_group2_rep2,group2,batch2,rep2,10
batch2_group1_rep3,group1,batch2,rep3,11
batch2_group2_rep3,group2,batch2,rep3,12
batch3_group1_rep1,group1,batch3,rep1,13
batch3_group2_rep1,group2,batch3,rep1,14
batch3_group3_rep1,group3,batch3,rep1,15
batch3_group1_rep2,group1,batch3,rep2,16
batch3_group2_rep2,group2,batch3,rep2,17
batch3_group3_rep2,group3,batch3,rep2,18
batch3_group1_rep3,group1,batch3,rep3,19
batch3_group2_rep3,group2,batch3,rep3,20
batch3_group3_rep3,group3,batch3,rep3,21
