peptide,protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,1,41.2061701599441,41.6880546717813,40.7913014166183,41.7134606935717,42.3167925709069,41.3040494402585,41.5973917011622,40.4066082141898,40.131997636191,42.7241940649082,42.6806583492014,43.4210100592939,39.7614793345128,41.0473196283598,40.8367550935136,43.7283534103811,43.2347819744736,43.2728640598452,40.5447858661431,40.7432749715908,41.1254455707665
1006,276,34.7183964377896,35.3145018800397,35.2067117994933,35.3173047558764,34.2176024085814,34.8607210567156,35.0178777167096,35.4404450430664,34.8670825386624,34.9749408348387,34.3588525784542,35.0012437047693,34.7182118056268,34.0378453891058,34.7637818659292,35.2783779782608,35.5201146003906,35.5982734358875,35.2959002698581,35.1094724981594,34.2106232387531
1088,41,33.6147626379193,34.0810407767316,33.5290726327314,31.19636134338,31.7922944017517,33.0496477395201,32.2001690599548,32.3624292424425,32.820334064471,33.336681459684,32.532971054451,32.2293250814989,33.3397411512615,33.4345748085355,33.3966312278907,33.4077920490425,33.2426131071485,32.9927148188609,31.6046122935215,31.5676761961755,31.554922034473
1899,78,38.0396610307821,38.6366349669593,38.9814190096609,37.6939489405286,37.3093190968632,36.6973189779137,38.6058878239716,38.1716382890089,37.6832686319645,38.1588557519216,38.0417925281736,38.5493658372095,37.0512875370047,38.1011774074724,37.8435122073633,39.5717506304448,39.7461748973394,39.1850630901958,36.4022402919344,36.821587854336,37.0246442317737
19,19,35.540259336748,36.3001612752974,36.1703785878531,36.980471437152,37.0097303958032,36.5163285951037,37.5798936440424,37.4959779456752,37.2965535827226,35.6008866559275,35.7640769006989,34.6786363269254,38.6845212768171,37.1501559267019,36.7919202234836,35.7046308540093,35.6064245751981,35.723131592202,36.8951209062639,37.330944079036,37.4565173849148
190,190,40.8740899149844,40.6241760550871,40.906844160345,40.6093321197778,40.45656787616,40.4297343641596,41.1471574828621,40.8706754792626,40.2538971957063,40.7232743593659,40.4691036661019,41.045503652715,39.7592417587548,40.095103718507,40.4436639500809,41.2566533321366,41.4456411568273,41.0879939596864,40.7520374110962,40.4956175151814,39.864999448966
1900,27,41.1341741969935,40.4430141651244,40.2654556163626,40.8707401470582,41.0711604983333,41.8009407296274,40.151502943911,40.5786198542589,41.9288515791439,40.4554310647472,39.9693950311708,38.1050016396017,43.2804240395983,40.8910525793585,41.1100279823902,39.6277215122682,40.2574619734935,40.5000036777341,40.9676959093243,40.6702491375049,40.493803671213
1901,243,38.8977737202825,39.1583713166951,38.8973078288333,38.3311258771911,38.2981798896253,38.7607736031854,38.8416380289158,38.0641971352522,38.8904521970482,39.0566644056581,38.5919839640333,39.0243229008532,37.9366424763596,38.2696128913729,38.4291633606876,39.4143431098702,38.9743760106341,39.0696415160678,38.9569153811798,38.6631894984484,38.5832179261382
1902,10,40.541976415794,40.6218070506364,40.9584746579095,40.5874827157651,41.0174052861093,38.8805060855464,42.8070193540394,40.523840705938,39.688659806259,40.4132530888749,41.6130582415798,43.0507852812266,38.7989385230721,41.2558889683004,40.6646655117058,41.7706487189539,41.3535570817921,41.3663442244682,39.8244936564725,40.1523960118056,41.0184990663577
1903,146,31.1629265945367,30.6139565078025,31.9647643137357,32.3174804118706,32.3183126124131,30.7961442982266,33.2997084403046,32.4811909141897,31.4533448356381,30.7933310457739,31.4184498765457,30.8794829986178,32.0637967266924,31.8339155061158,31.7829310236953,32.0457032054664,32.2798548854994,32.3683574420174,31.3111813781195,30.930352730497,31.254630066572
1904,133,38.9869541731952,38.7223722647449,39.0055432373314,38.6434458958859,37.9417727447835,38.3844050857066,37.7480548641495,37.9757381247384,38.1323379871804,38.8580057806244,39.1876737057442,39.3585915316241,37.5190580360879,38.1787708229213,38.2213614383604,38.8443331041134,38.9985137941868,38.4523054886208,38.8305209423037,38.2494194615908,38.026551512977
1905,231,35.1770259122128,35.9270237725982,35.1850382768964,34.9633880770102,35.5686652621801,34.7800010013135,36.1253458581958,35.5612986447315,35.3069292413533,35.5956692550305,34.9866863314402,36.4875423762664,34.709212147776,35.4465618482639,34.9218581182602,35.5285928487341,35.5610828210557,35.7753337873605,35.3336642347348,35.5972176083564,35.7403649572499
1906,274,36.9001399243632,35.2940778041597,35.4660752269505,36.1755474187848,37.3997046491943,37.9888335581349,34.2531750309678,35.6483992841061,36.414955573359,37.4087537067211,36.2740117698076,35.72053138563,36.8623838644692,36.3180016593989,36.2779282829777,35.4525030232453,36.4042248174901,36.4099057235794,36.7422545988504,36.402311617621,35.4299420885493
1089,74,41.9351092741709,42.6547612157829,41.5675385569843,38.9183553588865,39.8186645255545,40.4071744463581,41.2934594466018,39.9036894813188,39.4428954088278,41.2160537317916,42.2697698001549,42.0908411721003,39.5226355006011,41.0152555009138,40.5942741486465,43.006027201072,42.6435443275296,41.8469129791025,39.1075372934162,39.156454185554,40.3964239498101
1907,278,43.775153237991,42.9402390640013,43.2681845161388,43.1301184455353,44.0017696607459,43.453998891251,44.0618371879316,43.7587686661991,42.8765251733166,42.503794320727,43.5861750199432,42.8739177784832,44.2335237481235,42.8495298468006,43.218434095282,42.9996332465216,44.0697477448678,44.2959257578701,43.887087084265,42.8791552290201,42.7355321392252
1908,29,37.9738690259345,38.0318543320619,37.8931320815503,38.7519932705202,38.78888115709,38.519810547935,39.1900268938692,39.5353241066464,39.5884885278691,37.1873638808049,36.9465844600665,37.6187350795123,38.3694986092813,39.3818344926547,39.130574291741,38.8414056570337,37.768131194769,37.0939981028453,37.7571990052673,38.4031041905029,38.6988315412871
1909,295,33.9654716188867,31.5723406971507,32.0913931264391,31.9463209682852,32.4235884158953,31.9087439538855,32.7973199974846,32.0233971941453,32.6797754054604,32.2807491466161,31.4206582343914,32.3597785108026,30.8353500032222,31.7404307580608,32.4883450279003,32.9530542618943,32.7997912912299,32.1929049151179,32.3490922884868,31.8483101375758,30.6261192219213
191,191,42.1996670932777,42.4671977329765,42.3139081997611,41.3159445200643,41.7356849870415,42.445001626722,42.3343276612618,42.6947727224818,41.9571428469578,42.0080461339461,41.3162168406193,41.8272229510361,43.2064588919907,42.7225638032955,42.2484579792477,42.0537762514281,42.2664528368391,42.3175515686825,41.5455791014098,41.6920666950524,42.1918830588482
1910,284,31.5396102462913,30.3065866176906,31.1123795711142,31.9521900201108,31.4334837615251,30.7892658415171,31.901053966388,31.2641064036523,31.1790257910242,30.825549347679,31.3117955360405,31.3812343840774,31.7895599194744,31.5322296728241,31.1968858540623,29.5048197104579,30.979593658756,31.0284273244307,31.698154130664,31.2788390109466,30.9106591021052
1911,134,39.6596758097192,40.3472310487293,40.0738458943526,39.7600656038067,39.6309407883799,39.2500983648656,40.8685459720077,39.6394036842573,39.9009564993486,39.7654648770742,40.391760940596,39.5357624384335,40.4308207782969,40.0785861158435,39.674107092414,39.5319544040789,39.7682688830518,40.3202202484307,40.041041386568,39.9255448416694,40.3963314897019
1912,71,39.1947585695109,38.2558723288758,37.7713407217641,35.2558411906148,35.1528559999106,35.949411961429,36.5934106858843,35.8499734406982,35.8967571883853,38.1347243895915,37.3184879274579,38.3056383377917,35.4943157670876,36.7963270886146,37.6576505238679,38.3811896274406,38.3142379927152,38.0413333197471,34.9255569465383,34.702602531145,33.7362802250787
1913,141,41.0550231151593,41.5962197553684,40.5189066901507,41.0183648781535,42.1167621640835,42.3395170969409,41.7895516836151,41.7877287486146,41.6259676983116,40.5127801581855,41.4960175720671,40.5212551454786,41.4713004271093,41.2377943227724,41.3163627830432,42.679418947949,41.6766105873811,41.8790656192529,41.1206080434216,41.1509588179798,42.2765750129534
1914,118,37.7133465538196,38.0244303966012,37.642447992953,35.1740264072516,34.8484927588305,33.9927075356971,38.6543910597268,37.420932696325,36.7768752997855,36.1617449508855,35.5132890210804,37.3841234458974,36.1822557046334,37.5201495906222,37.6563096292623,35.049559509012,35.5620682797524,36.192602799282,35.8625045338836,36.2875811476699,35.8075927089501
1915,81,36.4165238690314,35.6306183949895,35.7159404449197,34.5463198380886,34.4790502255102,34.5178557345466,34.2789411498474,35.0326841430208,35.1283798175427,36.6459626035485,34.2675163324272,36.5788630944896,33.3956636645511,36.0029676942026,35.6327903022838,35.7491467637469,35.8971728217026,35.5863878747509,33.7912653565033,33.9170469655995,33.5649466458753
109,109,39.7484792201255,39.1223521151373,40.3550620302048,36.9132965165684,36.7670880203463,34.7808124173492,40.2726916243767,39.1921309348423,39.1438896930563,37.7628674772926,37.0056421405751,38.414647557894,38.408733779265,40.4025350950485,39.6812323553916,37.2414185035917,37.8141429444857,37.9310154044154,36.465693205214,36.6428156511814,36.729240133023
1916,119,29.3561804709743,29.3112458501299,28.430258173977,28.0099480316811,28.7907330888019,26.9957574029675,30.7785901576252,29.990617330175,29.609993247386,27.2167310048032,27.9200658120986,28.1579500427891,29.4431855995807,30.1359743260262,29.3711588877535,27.7118427636358,27.8235744598227,27.9559160715719,28.0468792239172,28.2453195661073,28.6955904874097
1917,280,28.1424365936975,27.9985399042289,27.684185303585,28.4645591643615,29.5855524907487,29.2377384311974,28.6073842568596,28.0464685493699,28.4749696915991,28.8910869988813,28.2072914031419,27.7725011818279,28.9264733286968,27.8431483877537,28.0327436940942,29.5522320663148,29.1474548560102,29.1647174508189,28.2750396175807,28.6510040777362,28.578876047167
1918,75,36.99560743973,37.6114034097407,37.0589185035636,35.8316768453712,35.8843703196713,35.8941024610168,36.5431228646294,35.454969740895,35.5807701290986,37.8593138825717,37.256575587735,37.8161816114791,35.6577044968311,36.4969158713357,36.3445710050332,37.7584456555889,38.0724360759605,38.3237816876459,35.3071385043594,35.2178827529995,35.2970681193112
