peptide,protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,1,43.5077705772052,43.1034020985209,42.9187530172566,42.7941340569351,43.6088021394208,42.5762474637688,43.3336352922132,41.8118049314857,41.9127733783649,44.5668248418192,44.1775777844565,45.3088653353651,41.0325775174946,42.9325957392133,42.6560669963434,45.2519996891373,44.7045772478355,44.4370512952812,42.0457763619497,42.4147746961175,42.6282540381533
1006,276,34.60047763842,35.2663212694693,35.1485273099908,35.2782281499745,34.199529061957,34.7481988144575,35.0331815652495,35.4218176804373,34.8495976383537,34.965123456933,34.3284150990301,34.9455994884176,34.7016662300555,33.9977862267485,34.7813788919744,35.1767465239276,35.5359337645072,35.5107029158196,35.2834530703294,34.9962288191589,34.2863999934508
1088,41,34.1817513747907,35.041202793924,34.9004924162909,32.4284188809999,32.6137528945133,33.2668974452564,33.8263173264137,33.7562647358292,33.3884284269911,34.0644422307599,33.5711356518145,33.4719027941584,34.2958854362171,34.4772452789061,34.4663382316612,34.5353081098836,34.3286161859031,34.1446971696309,32.3555503024564,32.4662162938966,32.8997010400221
1899,78,38.8718344216893,39.4306874556615,40.0224671872938,38.713607998403,38.041752887835,37.5986906836718,39.295662483718,38.4992559073977,38.6488298995731,39.4678709542381,39.0821748016874,39.4035562282758,37.8984779822759,39.1473604335463,38.8126228195487,40.6138808021369,40.4741846050688,40.0759158961877,37.1508976251632,37.7130302947314,37.8731014992631
19,19,35.8654407404562,36.4778537340479,36.1425889118371,36.7740858870521,36.9269622537199,36.6220066326665,37.5703567698365,37.6659443476815,37.3406033265595,35.4602225945471,35.6208168664354,34.8054418757869,38.5079574876804,37.1023124973852,36.854781521476,35.7428127220997,35.6691405247187,35.6591799647101,36.8826154955958,37.285306440788,37.24171697775
190,190,42.3241434129666,42.5801803295371,42.6803644171448,42.8083376616732,42.2501087614653,42.3670811922087,43.0920607079486,42.1175875405547,42.2235575087771,42.421398653876,42.6608895286088,42.6861660810411,42.1598526290355,42.1780287029529,42.5665064206679,42.9441720298517,42.8316569596121,42.5765274150199,42.6245746091857,42.5449576914069,42.2607957597065
1900,27,41.7826131390409,41.7609687649782,41.8334643802863,42.017379008559,42.190554923318,42.5552197452858,42.1416090410265,42.6009835710039,42.8214063995165,41.2182892232133,41.0175559672802,40.1300331342418,44.070462255108,42.6199337251915,42.4221386416785,40.7545328907083,41.1324744566752,41.4994555360047,42.1706613241918,42.2756946664153,42.3782195133912
1901,243,40.8355696373158,40.9633570855492,40.7539514546456,40.4564957712194,40.3559270434431,41.0300182158186,40.4546295141961,40.5445188523476,40.5375063926483,40.7320948228647,40.6858703173189,41.0716417007478,40.2870360623423,40.4184920939308,40.6048354174996,40.8478480568736,40.9315530269712,40.6925473246126,40.8957112629643,40.4810712777492,40.7241880070731
1902,10,40.7984774665302,41.0916171997352,41.3405577792977,41.1118662858785,41.5122676291482,40.2367567807218,42.1028105506518,40.8255299213553,40.0160171098912,41.4863781289719,42.131526388809,42.6413225498899,40.0274402800132,41.6764011698234,41.0432160687338,42.22170736504,41.7710316760716,41.9259517237834,40.3030229334928,40.7117493416988,41.532552166921
1903,146,31.3807566539171,30.7027845478366,31.9290803288464,32.1632984715409,32.2414248158173,30.8852306946968,33.234259665514,32.5513828690237,31.4236046044976,30.690548523435,31.3253505550139,30.9199206714617,31.9252318071177,31.8082980133179,31.7202018507239,32.1166887913632,32.2620184088213,32.3729415714207,31.2828781451722,30.9487694956088,31.0604846604396
1904,133,38.9436002185108,38.7149637894239,38.9139868849676,38.4963743217852,37.8474645631237,38.3265367664517,37.72026972382,37.9636553823878,38.0905664442183,38.7639269673616,39.0816946296003,39.2768980765535,37.3940393168867,38.0621024679928,38.1650486285623,38.8454418757574,38.9979751181214,38.3814406232712,38.8312361054233,38.1432886876105,38.0124707242116
1905,231,35.1184976933003,35.9609880162885,35.1705809058636,34.9294634673823,35.5675478665095,34.7336768109923,36.2052882713495,35.6081961513505,35.3402893340003,35.5991807570934,34.9505230316997,36.4778997421273,34.709389900135,35.3882937728162,35.0085948382852,35.5132400963281,35.6529566571841,35.7125248625737,35.3919024307715,35.5151756894497,35.8654087951579
1906,274,36.9599669053943,35.299692742029,35.5392725506409,36.2384367568052,37.4549656082253,38.0606363754024,34.233147011654,35.634620112004,36.425276945961,37.4318306752587,36.3232736997182,35.7572963728071,36.9047800046345,36.3826848214632,36.2802706105882,35.5026167821191,36.3848112066245,36.4706415305355,36.7430807705544,36.5124678895094,35.3693556379944
1089,74,41.5455393129063,42.5124082178841,41.4810921357641,38.9418226797826,39.7998114821097,40.2039846956947,41.3605760166678,39.7588125600503,39.3829771750307,41.2527576505834,42.2533877529191,41.8840134825035,39.5759911011203,40.8694099634775,40.564050178176,42.9525640369347,42.6702150931126,41.748836844768,39.1516144157433,39.0238286250145,40.6842305549257
1907,278,43.7772777592029,42.9564855619669,43.2866084888182,43.1605121095983,44.0221631238421,43.4687205120759,44.0888637314078,43.7685859788206,42.8902900894779,42.5315865039572,43.6054995352501,42.888583197484,44.2683286404414,42.8645368387525,43.238359717263,43.0193471462113,44.0971156338736,44.3093302460589,43.9088508361121,42.9058608915996,42.7728556093816
1908,29,40.166186461739,39.2555941093601,39.5888929675958,40.0831777878577,40.1439030547356,39.315009422595,40.7782038065491,40.5968938997811,40.9668932388718,38.665495345036,38.5570030854585,39.4517335370094,39.6003141218383,40.0381811479514,40.1912638801873,39.6258275298997,39.4684539924892,38.5841428366089,39.9148767989074,39.9985480528276,39.6288257614219
1909,295,34.8280850458718,32.9928475970381,33.2637715283808,33.0450769774793,33.7248452282754,33.1802343561169,33.8937728202505,33.2607789602137,33.5214261662987,33.3891354583398,33.076088083521,33.8976463234651,32.2991732681786,33.1385255542871,33.4735904110882,33.650630816242,34.0272731448909,33.5142640760595,33.744556089354,32.8263461931208,32.3356521725515
