peptide,protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,1,41.2076503741879,41.6889733871902,40.7899455915821,41.7128658275131,42.3162623895696,41.3074459627114,41.5978482874432,40.4019647601801,40.1310345787144,42.7245780958016,42.6778867704975,43.4195677423406,39.7601488158177,41.0484535145138,40.8319369132142,43.7334661049264,43.2339904015234,43.2760294585825,40.5479782715798,40.7433173025794,41.1254866005091
1006,276,34.7202132181636,35.3136116601572,35.2047054490015,35.316983911098,34.2162737291453,34.8614151523069,35.0144460937471,35.438065239016,34.8657575829625,34.9744753939549,34.3567266879678,35.002450771679,34.7161001676085,34.0407412429651,34.7610798095855,35.2741577380419,35.5172109927353,35.5970656470486,35.2934669883637,35.1078435140824,34.2049104263118
1088,41,33.6169599751656,34.0848574303036,33.5348256389844,31.1987650690417,31.7965480364871,33.0497518930314,32.2072456252866,32.368147518041,32.8247362468564,33.339347800657,32.5373131456987,32.230891469232,33.3434057937863,33.4353330478132,33.4016385275887,33.415966080218,33.2484946831562,32.9975403951762,31.6091573184623,31.5727639131285,31.5616419773718
1899,78,38.0430693396662,38.6321229207709,38.9783691916274,37.689354775051,37.3048768959795,36.697073982166,38.5971302162404,38.1675171371526,37.6784861489659,38.1545292274997,38.0382156552875,38.547024403427,37.0439994562646,38.1008540423231,37.8360540295264,39.5684958157935,39.7383401437613,39.1837215665389,36.3952870871492,36.8218907326561,37.0100455285083
19,19,35.5358927928187,36.2950882913854,36.1620683758258,36.9780515909262,37.0068797688289,36.5256579549855,37.5630575970478,37.4870525254478,37.2904311975059,35.6010287400611,35.7640889152498,34.6715293845262,38.6821968703515,37.1436587366127,36.7866168329008,35.700169833419,35.5997250262621,35.71643551443,36.8951296161236,37.3322227024785,37.4531231055518
190,190,40.8779595685889,40.6258160217003,40.9075269919296,40.6103583318728,40.4576451505787,40.4327589207817,41.1460618777175,40.8708101505195,40.2544769979006,40.7243687599748,40.4697335317065,41.0474745339762,39.7589034095373,40.0989245981596,40.4424638252706,41.2576226090048,41.4451515298425,41.0902957033384,40.752397847289,40.497706166474,39.8617934312252
1900,27,41.1339388223771,40.44748387014,40.2683612903356,40.8732566609004,41.0748462065598,41.8029913098519,40.1583183664251,40.5803804352196,41.9323976460284,40.4582521269627,39.9723552317445,38.1045456305065,43.2843338906765,40.8906377705034,41.1128203940107,39.6372593432238,40.2631578759574,40.5047693886763,40.9749908129889,40.6735731977548,40.5037719615852
1901,243,39.365802065408,39.7308446155987,39.4514964613697,38.7900771174469,38.6923507374573,39.1883482017984,39.3641090377484,38.5377455516577,39.3831156029088,39.5541094015315,39.0734070108668,39.5160476434738,38.4102047020928,38.7518387700424,38.9058279570892,39.9234933137592,39.462877589892,39.5713596879472,39.4545390620518,39.1577091412026,39.0948230277518
1902,10,40.5469962972049,40.6207538196434,40.9590400146701,40.5845544100914,41.0153526958075,38.8811277312695,42.8041324948898,40.5237326170006,39.6865370044193,40.4098699179079,41.6123645324422,43.0504402553192,38.7952882685457,41.2557956792708,40.659723283029,41.7738593386383,41.3493575119248,41.3695469917032,39.8209047566952,40.1553843064622,41.0101529589184
1903,146,31.1719305487454,30.6153626447604,31.9646777704098,32.3180401959859,32.3196948685272,30.8080057241275,33.2904554528795,32.4801931278243,31.4521988681666,30.7948287319528,31.4224203774026,30.8806368999082,32.0628145109874,31.8371931066421,31.778519454801,32.0499548159169,32.2755897223144,32.3729391168581,31.3115179605856,30.9389086718529,31.2464046424215
