precursor,peptide,protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1,1,20.1767714622981,21.2979759312169,21.6598444533478,21.9424330515882,19.3573017141136,20.0516473853373,18.3293274479396,21.768081828236,18.1336928726984,20.4644128010206,19.2163851502438,22.3858197774887,17.0606762265583,19.3096320274504,16.9559825402923,17.7323323887191,20.7289291905907,17.2933806164738,18.2384692518153,18.8810550731661,17.6536499827013
2,2,2,16.5621012635868,15.9824739379662,17.2422986035986,15.5950513359098,15.6794793754285,15.5327728029072,11.0960229327381,13.3792502510255,10.3382598868426,14.0495750831683,12.1660803809686,13.556809002023,14.1017778864714,17.2040939198232,14.6002438005353,16.8810744801354,17.3520818938025,14.9793593122518,16.4893299265078,17.9048010753743,17.6298171143537
3,3,3,13.5432736459687,14.718208454935,14.8011915625474,15.0481953218805,14.2154049065115,14.5849416984261,16.3593102176872,17.5381921541781,16.7079003294334,16.7997513181694,14.9540620261196,18.3048807173849,15.3599382934539,18.0095906361003,18.8116551148981,18.0573583272286,19.7099607857933,17.0512841328618,17.0383941218365,19.2340550901689,17.0487207388309
4,4,4,20.8299219631262,20.794650353916,21.0809369452315,19.3029979808713,21.2440076335292,20.7761586601875,16.3694675465066,19.3809138468534,16.4804148576681,19.2406414164847,17.6765878918195,18.638722943249,18.72350812529,22.7064443035992,18.7251485473759,18.7798331464816,19.5516584657724,18.5497283998882,19.3949559873682,19.4447766208029,19.7811348696659
5,5,5,17.9009691624856,18.492701220885,18.2676202384619,18.9146051078345,17.8198401343681,18.7249312218166,16.7164748689443,15.9722158698843,14.2199413640747,16.1446463806445,13.1607463211213,17.6084659786415,16.5076718441775,18.1617065199256,16.8606491953713,17.3657881233922,17.740028041826,16.3828776790152,17.3072835603726,19.2286252397133,17.3561457339703
6,6,6,17.5583369592514,17.5994149563694,17.1812427813447,18.2065196485234,17.0159390313634,17.6639844821557,16.9507370820813,17.9044808775376,16.6501670419386,18.5567476628987,16.5967491451642,20.0613656063419,15.4394580536625,16.5432924827308,15.2629335745237,14.7587565686499,16.8508479476693,14.3776551101365,14.5986583575653,15.7723896735346,14.4126019424629
7,7,7,18.7101345003991,19.3777182061191,19.9131365607562,20.3516255493574,19.6684100170119,19.8722781058002,18.7267624780695,20.8752693400665,19.026204243091,19.6876090784196,17.2436316254508,20.1288801348896,15.2461869754842,17.8082245578999,17.1745184847224,15.7649888386721,17.3981105231527,15.4601185257993,15.5019804691066,19.1820729172407,15.9464903226913
8,8,8,16.8935935955323,16.6353144756833,16.8005645095786,17.1834614775797,16.8824756850433,16.9204621477602,18.7541498944986,18.1394278903799,18.0604536324291,17.842334162273,18.021805970774,20.4924756469873,19.5435518072556,22.4840363176831,19.2319864860129,20.6810342514769,21.0871825740309,19.5711940911742,21.2448719703102,21.5172685883275,20.4594680933077
9,9,9,21.4313058783695,20.9752025659341,20.7640213847265,21.2274376832388,19.9090078005029,20.6622320395792,22.3844211003529,23.3746327792488,21.6024553429097,23.6493482562283,23.1459534326713,24.4364326420761,20.7890193236611,22.3234694520846,21.8858212475836,21.8901777354392,21.6417080095198,19.9032589124467,21.2133324434064,23.5954785472176,23.4600800378664
10,10,10,16.097636074858,16.5755089722644,16.8936216887455,16.9700520798896,15.4292144858895,18.0188858287579,18.7162688775614,19.9058578583038,18.5277348261766,20.0785172832044,18.6704795413598,18.9260519177481,20.6717045817596,21.2612036950338,19.925537847269,20.1969898290545,20.9669780861243,20.2312339691788,19.5894917649736,21.2571905571215,19.4954500694804
11,11,11,18.0350720325019,17.3378647681878,17.4981865662601,16.9014222462535,17.8138330184479,16.9960686846123,15.8437561799684,17.442303556035,15.8374174834262,16.735933400469,15.9964947653906,18.4966362470863,13.935629748263,13.6934682820397,14.0505141440433,11.6384094335085,15.3272735985795,13.3086923418374,13.2213352486266,13.442221873563,13.14906606741
12,12,12,18.664213713138,19.9510233822466,17.59811505008,19.2739551191635,19.0997365001302,19.1182754338619,16.6833891732084,17.5402576438835,15.2031053331198,17.4033842293678,16.3244555785336,18.0785123911145,15.1073255149114,17.3768113402039,16.2847413555677,15.1034782128995,18.9422826573983,16.894193271104,16.1225462405256,18.0430100056394,15.9136264183336
13,13,13,13.0832519473748,13.0612500507715,15.223975155725,13.7112850101872,13.8034425184099,14.6143305140497,18.9666776453965,19.8075928599961,18.7145901874716,19.468697072161,19.5228998736882,19.4545104960946,14.0932961022042,16.5301167504825,16.1039181394515,16.1176344023212,17.3918612957933,16.4020783065287,15.5654412847782,18.1554268478001,15.1245629591232
14,14,14,18.3213115920205,18.0393021292512,15.3148802864396,17.779684921337,18.45352499165,17.7650941045124,19.6506018284128,21.8365263489335,17.9204995811499,22.1993779845488,19.0810641275231,22.1109011711095,17.0686338324757,20.3728434274541,18.1267552588719,19.2737043273297,20.0793606330209,17.3159101267102,17.4940474905504,19.8453388112616,18.1889086404597
15,15,15,19.6733115581349,17.3558975605846,18.5619420391487,19.4913340264297,18.2343266168745,18.0567313186766,20.1284344294387,20.5305441514503,18.3575706768025,19.0178057235318,19.6070361040271,20.6535719428881,18.6091066750009,19.3051451716271,17.8169787459643,18.2903348113381,20.3483729587498,17.447417224668,18.504414852388,20.0805954430483,18.1515746599891
16,16,16,19.3896599296906,20.601407054834,20.4208189377419,20.0373784217398,20.6895964243689,19.4845120497787,15.6896638157637,13.8669485495432,14.9522228681368,14.7681892034147,15.7565104310944,14.9068508320669,18.8771757531656,19.110410810783,18.3393659388203,17.9741137740981,17.0431690393732,17.4070765314586,18.3610251726673,16.9087971531879,18.4462300281546
17,17,17,17.6540100845065,18.0431064065337,17.9149599118492,18.1546735367363,17.0962426368583,18.2491292158122,19.4502347175602,16.4009900254673,17.1985956364319,16.1759951704512,18.0573302404593,16.9033164667934,16.0093493749935,17.1049793127166,18.8393463830379,18.8020778761782,15.8392714679583,18.2401785586818,18.8993743297764,16.4239001239988,18.6776849821042
18,18,18,17.6354604339638,17.8644972005862,17.5019264603682,18.2240146597332,17.8180159019778,18.1200069773153,14.2964645049341,12.8284844171789,13.9932932298312,11.6604446063427,13.0293927430306,11.6404430418444,16.6514507021362,17.4470988193188,17.3287171970424,17.9907824839841,15.4864115113959,16.3711223539579,17.9754371682512,16.3623821083116,18.278804633748
