protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.9002686220401,5.54146478787174,6.58478584527422,6.53781329659765,6.12063223471649,7.13307108998569,6.5697200284684,8.51275339961446,7.23953560178778,8.65148277732332,6.03500259407163,9.48493650131503,6.15393118861221,10.2500771041725,6.31863243948859,6.61055172976485,9.0396495596451,5.79886343594486,5.85797087404361,8.63908222942259,6.45478849526333
2,6.34430499213475,5.43126342136966,5.90822270665836,5.87248837169774,6.24978725403138,6.56970813276733,5.47598418973676,8.81081361559785,5.99068232152334,6.94460575864533,6.22941488295291,8.01554403420171,5.93897691905108,7.88588080850514,6.49633996263957,6.5492425685246,7.22714443928659,5.30258999632882,5.93583467340228,7.18398076430782,6.56143612403637
3,6.98773366547361,6.97177246888646,7.22078181716777,6.88739078950958,7.67271633756838,7.45474123468162,7.07001574491697,8.38368504917946,6.90036290965319,8.32968827621075,8.0296455544949,8.25316506400109,7.43486521112165,8.13581516676293,7.6759304435517,7.07092200413055,8.71881457529604,7.52764441557109,7.47464786251895,8.660230200999,6.11178811877247
4,5.80351501653204,5.61426795508095,6.19750743082919,5.55185695021779,6.16714269115392,6.17205297750113,5.81211355496724,8.09117585760846,6.09456761454841,6.9334453068814,5.82340887089479,7.16452824802331,5.56061093271584,7.91574259394505,6.50123117687322,5.91101720347656,7.1269784412481,5.71533386527122,5.29364136325123,7.31479136001534,6.36545682128231
5,6.29125075675429,6.1450530550868,6.47868792931717,6.75071482526757,7.17547390448394,7.19701452260085,6.67438671323916,8.35189247228076,6.64912841695582,7.7994934955206,7.46797291617706,8.15850314809577,6.25714767673242,8.35680776461781,6.26331815024233,6.85430784059915,7.48749378247381,5.89385087902999,7.78676619904974,8.97179995925078,7.35484684650599
6,6.83335413762027,5.97929777162567,6.34727772639342,6.75607291192486,6.47717258474372,6.60394982057633,6.27997396317652,8.06853043755563,7.25128714101034,8.07965051157886,6.49702116283168,7.72320780277384,6.56506410742078,7.78260069834044,6.8907341827427,6.80133458182434,8.00934466341338,5.97376372320694,6.25639218277079,8.19524555608633,6.37571490837854
7,6.31236997283102,5.74153013739857,6.64452570571439,6.02255461272914,6.20824356821751,6.67328628554614,6.5574225139136,7.64658405077358,6.76109859936614,6.69981530436845,6.09050941364363,7.43207034946529,6.4798145936872,7.52543697718642,6.51973402014552,6.15156295612774,7.04668987668092,5.39573139349421,6.22283109638117,7.65892027868101,6.57564199899749
8,5.8423197036195,5.94251626603542,6.80396837291474,6.83224899764617,6.01906601108581,6.40389581548026,6.31926425568863,6.62624250477757,6.75440815286996,6.90560735711197,6.6152373073297,7.38778771371068,6.40682195353685,7.61875002238395,5.7922614882558,6.56871534127461,7.27709809042477,5.32201688919643,6.24334816475402,7.01615001465959,6.74393670525471
9,7.68349687348536,7.58456062567718,9.03659308288488,7.76299880462755,9.66239019834794,8.25381678528763,7.79075002643868,10.0202925082474,8.21832109224189,10.1435505384008,8.16798341897059,10.6518276932276,7.79190346599924,9.62141186330019,8.57373807779186,8.46828535575632,9.47602672374031,7.30926051857735,7.92753159552593,9.84765044390216,9.83102192320766
10,7.47815363516774,6.54981272767017,6.13374884137776,7.05756137187828,6.14688191302813,6.95129553998784,7.16070851109064,7.58644396842539,6.71022924945879,8.31211157595046,6.49238235969101,8.71594421409964,6.34928075045357,8.35860396738529,6.64743094981629,6.96228190169777,8.73194655149078,6.41871368005636,6.90141883190183,7.72728406291506,7.08770923111413
11,6.11461979640572,4.44150979584128,5.39167442482569,5.59426600208763,5.67089739054031,5.59466113324203,5.28365701032222,7.17229762605909,5.24684284836849,5.55944239821952,5.95210890291212,6.56288444176679,5.93422999417342,6.3476803041184,6.32301642929335,4.72950607711185,7.23062743394514,4.81121358721933,5.54677030807354,5.65983613282779,5.98875830260964
12,5.79881620928155,5.57830687974883,5.60277487414705,6.86955635363612,6.53641200390055,6.77243357856922,6.29039322752412,8.7492683005378,5.91889584130925,7.88719581721729,6.20375287647893,6.68512024083571,5.89636241333244,7.62243534318872,6.46749158762444,6.94293153786401,7.81777721925169,5.44718448307911,5.7453328013293,7.71699775864835,6.22654988835045
13,5.20325434701536,4.27386485182353,4.69239812044538,5.71928478618893,4.62620464683329,4.9496258939255,4.55304836723195,5.87175434206787,4.76260331425299,6.13834476272382,5.61406955119996,6.16190770798081,4.56297378875373,6.3458680951507,4.56958698819241,4.25246470227813,6.72859766916907,5.70803325606932,4.71425378510753,6.53971765546767,5.13527241611265
14,5.61787162950539,4.76134432246083,5.50497821234061,5.4127209721624,4.98248344106051,4.43127386108973,5.47887935588397,7.78082179721368,5.33515700441193,6.87772506436863,5.66180499213406,6.7989128449974,4.87111039355181,7.50564450589109,4.91045499740919,6.07041312551843,7.51457507240077,4.53588585652619,5.04922326171892,6.85656873573423,4.96425940079595
