protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,19.1263434029496,19.2283111190185,19.6416025019034,19.9162423000257,19.2164712364101,20.3039160260617,21.6603490018166,23.0990675465519,21.6408624111331,23.3206648358494,20.406962736063,24.431823088285,19.2446475485488,23.8134151143304,19.3262727406619,19.8188606579712,22.5253527795337,19.3448218612066,19.2740873603731,22.2268450705629,19.3292896283197
2,20.3770522071428,19.9909629590855,19.7359106874988,20.0255985425724,20.1388097852505,20.4380194631556,20.4931698145644,23.6427530593214,20.4157179259124,21.5084140828068,20.6694034074115,23.0589279208433,18.4796757955715,20.8184074681021,18.9628234464886,19.1997771042152,20.1402418840323,18.2966303527464,18.822364545667,20.2252625962646,18.8878797566249
3,20.6916633282018,21.1510782107318,20.6877336629032,20.6837934362612,21.1899301842772,20.9639360040956,19.7851698983201,20.5809813612871,18.9371543291786,20.6132977928545,19.9658473426898,20.8196737950193,21.8455078803794,22.8593180213424,22.0692193899055,21.5070669480525,23.545465771424,22.470748315283,22.2378448324575,23.6070409316664,20.1029900027812
4,19.3832452518156,19.6750223453488,19.5610558170937,19.2237153750878,19.6060663597048,19.600838705219,20.3969515332665,22.1773711695325,19.9928769086639,21.0925538816521,19.6894137700162,21.6037502934948,18.7568184010702,21.567291032865,19.6776118323722,19.2272250304499,20.7081518603048,19.3896058673476,18.8098078318311,21.0441311938763,19.3860217669789
5,18.7885456413199,19.1285961182064,18.7498566919777,19.3388076367332,19.5136839350205,19.5244457670839,20.7696278538443,21.8815868293102,20.0597779653878,21.5079654292785,20.7065953258412,22.0827995624293,20.4308471459512,23.0539810670469,20.3904646244862,21.2250297345327,22.0293012318366,20.5266488036094,22.5911083749727,23.919741077564,21.5425505213386
6,20.1069509948748,19.7068216832876,19.3741303102459,20.1326776830949,19.586132734022,19.7184002957693,21.3358230049868,22.6456763092512,21.6794513622143,22.7404339458358,20.8476348500629,22.6396129330761,19.672387443408,21.2601952857359,19.9296715246893,20.0084884993139,21.5067551978091,19.532976689226,19.6914451555761,21.8335108186272,19.241649223458
7,20.0214602774498,19.9354627487064,20.1325830949049,19.8310666371817,19.7687180945164,20.2321268863223,20.7531007915481,21.3376391171983,20.2679465910983,20.4731385606712,19.5669275385183,21.4840229796207,19.8862139984081,21.3205106221007,19.8577195932881,19.6090048774543,20.7973814368413,19.1888396268367,19.947910583793,21.6044679875182,19.7769661159919
8,20.2888477659494,20.9172356368019,21.1518872723205,21.5350295062588,20.3408193019141,20.7959929085488,20.1923091473268,20.0512985449799,19.8872922590678,20.3807370385176,19.7345354252522,21.0843104973818,19.4799490143143,21.1102352528682,18.732502018693,19.7425483823939,20.7437250768715,18.7936105457124,19.6474594873554,20.5887594461765,19.6287315938274
9,22.7306667579759,23.121479864511,24.0606404012244,22.9386720194376,24.8551728212919,23.2473058983465,23.2347706926312,24.8478129140834,22.8962298203112,25.0317698821809,22.825016619941,25.7264618111755,19.415128801473,21.6477039189994,20.1964407751823,20.24952804795,21.4932417850897,19.3715212375707,19.9111761312198,22.0343782154729,21.4452199594377
10,20.5889851967864,19.9407686742455,18.7525891100502,20.162133206722,18.8442996086665,19.7797119814015,22.1619079247937,22.1338865524015,21.0433368652301,22.9088514691382,20.8056314104289,23.5720772528627,19.7024714701178,22.1007735990135,19.9082739510378,20.4131644166165,22.4877381237547,20.2495654850634,20.6112023633098,21.5935967352965,20.2144403148123
11,18.9681987261397,17.7726032619225,18.0169468702521,18.5449596553607,18.3738951006917,18.2904062548549,19.0791513563168,20.4006958516306,18.3556123256252,18.9693094238675,18.9878351749091,20.1895619199497,20.2247240394301,20.9568218661208,20.5786549085964,18.9440400483092,21.9648111737297,19.4381745456492,20.1311679729922,20.3128809694484,20.0568979748684
12,20.2284595774804,20.4699880962418,19.7948461581566,21.4647238901557,20.8703728038911,21.1057913519641,21.3228649778774,23.3759308653363,20.2167221518549,22.4908119590174,20.5066422855985,21.4190673834682,18.2451925103414,20.3518851393927,18.7261950308629,19.3918374102898,20.5563049963729,18.2664646598904,18.4380687468009,20.5840373231541,18.3393902169213
13,19.0179613005495,18.3999251776266,18.208388636686,19.6698177886336,18.2084354621544,18.5322295696028,17.8357948170645,18.6557841564046,17.3505285924784,18.9978717579638,18.148279299016,19.2988901768068,18.5291757658047,20.7023922129999,18.4284902055043,18.2912491020995,21.1079414457588,20.1901085052707,19.0328889858378,21.0408509586411,18.8758072012513
14,19.4177432645516,19.0324581813538,19.0750173071179,19.3313574993382,18.6002253863649,18.041887433872,19.8484893518786,21.6226279648511,19.0229151103904,20.8472193088278,19.3034194011951,21.0504255153222,18.0431841921708,21.1408012630442,18.0484096577857,19.4536763536335,21.1570933971682,18.2091194441424,18.5858614720362,20.5602141673828,17.9652406986943
