protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.63751055935325,3.29087736688546,4.24004826963235,4.2178605070795,3.87636747276192,4.84726792310997,4.03320603960921,6.18487038698488,4.70099019049127,6.13053004635969,3.75093666296344,7.04406600388672,3.71778323967099,8.12029681459701,4.08509823272829,4.20625110615851,6.52002700994757,3.52815333954544,3.40680410167098,6.1633085246693,4.05821014053181
2,3.03223183916523,2.37418648465095,2.92191786837101,2.71326327001721,3.27148561596177,3.4693688313866,3.23057037807732,5.10339836329709,3.13108368244381,4.48810630161369,2.98988020844546,4.78456280195136,2.98861545722426,4.65628638725314,3.55080208843508,3.48885277422196,4.30562649687163,2.56053787482155,2.89537467594268,4.15657544307865,2.99123125845978
3,3.86367736677166,3.48674604015663,3.51915195498097,4.59962433535093,3.95743171727219,4.12174598247519,4.06851790227107,5.16325118253847,3.6953347887262,5.72527940685296,4.03332155866566,4.9306009381527,4.15535222198368,4.95310198310443,4.29120129939391,3.8883220425049,5.40711334545731,3.97449120696695,4.02242337585688,5.4005792967517,3.50760944550431
4,3.14623488435162,3.11830724104771,3.48504439448002,3.48705370005411,3.19714543148892,3.53972289512496,3.1631908342069,5.38453079499868,3.27337568287603,4.67023925173495,3.19778087446135,4.50723669247609,3.05441366859324,5.31150842095304,3.96289136422198,3.47738414960879,4.48627922942062,3.13320412396382,2.68048069680602,4.88111334503253,3.79406016109186
5,3.91335124058846,3.72383145817282,4.12926213956546,4.28089934167066,4.83539509234576,4.73238811531346,3.9598000728369,5.61522131307176,4.38426871961086,5.13914019961892,5.01495857197951,5.77259386276992,3.83756819760093,5.71265955128976,3.68928247479269,4.67600484851449,5.09023353566472,3.70057282407912,5.22278861864333,6.38919448816968,4.83931074626526
6,3.26217221701725,3.34165452829216,3.88783394313505,3.66516385173233,3.34221586586757,3.94578476282937,3.61748516831541,5.34160718150511,4.22861555664993,4.83705392158787,3.52734111759418,4.92487167673401,3.50884653266179,4.87045865515983,3.71773106505302,4.15465082205769,5.11217949111942,3.12901490038755,3.26144677098162,5.4945449995894,3.53125982604242
7,3.62629718185816,3.13490171547743,3.67936057052609,3.32568210905815,3.63142358666183,4.00074396608244,3.85899418541368,4.93747034382398,4.10470261000185,4.21204091944505,3.39246959940247,4.77291533908807,3.95063230373763,5.12197231364975,3.73485675783998,3.36100160233495,4.59039183789381,2.95699958909285,3.22806069449701,5.04515708819501,4.03704365333269
8,2.80451090663154,2.59647703928082,3.38251198686981,3.27743731755833,2.86844800584774,3.2479117883396,3.11107005974399,3.41294447301017,3.86106840285365,3.98964513069735,3.4720035387836,4.098725579259,3.83941929214688,4.16660602667988,2.6029265602861,3.35405859227659,4.0731488754515,1.90676459067723,2.7419722309231,4.43154092875749,3.38321564883346
9,4.61550453480669,4.12007568931869,4.57358510910252,4.48752947924996,4.06445543376824,4.3378167653561,3.91506361811222,5.88299821232465,4.03259866950847,5.76027461893941,4.7780010556922,6.0114226817973,4.30540164334784,5.892089323593,4.731003872412,4.5830867836347,5.31399637932029,3.14617020954002,4.21936141887908,5.77713840240149,5.77084971434171
10,3.97409367951721,3.258073130861,3.21585821676731,3.79179581235901,3.32036688310784,3.9457707706277,3.8288262977184,4.4906222606994,3.7073254356989,4.56375294275286,3.88664312372614,5.29212452551576,3.15125552865283,5.16291093191929,3.39296929902589,3.92205221692334,5.42820785393296,3.11571138476615,3.6314853771948,4.61990085648286,3.79895281344811
11,3.2844096256295,1.86068212149857,2.2524652517029,2.1638706481111,2.33355951001468,2.62002218733216,2.42976063602783,4.44987060019836,2.2681473436548,2.78117363750028,3.08997169029615,3.86573385687146,2.91995535290075,3.54023088696487,3.41417995825329,2.2135611461287,4.45772051605508,1.77281795996962,2.8517147682533,3.14136372672605,2.34749292733622
12,3.46506469390327,2.53608536483913,2.79787282704363,3.32094433247908,3.10404321861796,3.11830109959321,3.18185797926201,4.8893950401082,2.76580813174897,4.85212731969644,3.20902884249042,3.8900917856816,2.90494996121756,4.32360377241862,3.28536427925016,3.70038292079398,4.51687978264731,2.4978046260037,2.60324650953344,4.52258021967725,2.99569382633815
13,2.52980421381324,1.77664092976552,2.1377970956002,2.94457811872521,1.7988339303058,2.09960601089381,1.95951698032734,3.38681367384904,1.63547448529857,3.93187722416867,2.87921842949193,4.28614223066395,2.05513957172089,3.73169660370409,1.94862491270782,1.77945458089063,4.04185129038309,3.102109502258,2.07004813915278,3.95747343772952,2.53449195279922
14,2.28745006896396,1.70461294376991,2.18330539805222,2.3327294644323,2.68746414844283,2.30901058461186,2.31373493634062,4.60802611161437,2.85961844555936,4.14339942586218,2.26529153037774,4.1024735666757,2.09201953238996,4.66918065935235,2.1983609749369,2.85889755450609,4.60695123340992,1.89250787034463,2.1077019254265,3.93177090356973,2.02128616862304
15,3.43755469129751,3.03654937999523,3.12411978488855,4.11298398178525,2.87767266885675,4.09309614183155,3.47984277513146,4.71210420344674,3.23740076613904,4.37482204044996,3.40558748985342,5.11922403359175,3.24315104562268,4.61905041177902,4.07822814886316,3.99946741711269,5.03909629145052,2.96722854945153,2.73380183171214,4.90506302424645,3.10812145599641
16,2.91123149433934,2.68205928211435,3.12500757331806,2.81800987251384,2.71523912347088,2.59019655362306,2.58591979980887,1.51031561450386,3.3053460766242,0.867971326356258,3.49823784259097,0.86293335603178,2.70170507643927,1.3475674180961,3.01447171963244,3.45380240358464,1.33352033988189,1.81159491844762,2.76514377621594,1.52901857675002,2.54877093452635
17,3.58847739990183,3.45611325050567,4.05835391432869,3.3375997548846,3.58224152746806,4.10017862003523,3.98067180674701,1.84014753934946,4.30907701385269,1.3285952310759,3.49390456281756,1.7158891773105,3.33200459483205,2.05478348866784,3.79489670396152,4.24054999510282,1.99984141274814,3.43641350805639,3.16843247999763,2.02379949056484,3.68574523828377
18,2.87087811078815,1.98533116492578,2.09253211317624,3.13301389096909,3.22922014840077,2.41576378204024,1.92710965793451,0.60478359027764,2.86215225776515,0.294362294531391,2.22236815149786,-0.054701749302675,2.67135906380684,0.725935223416137,2.02215572866015,3.69120770148711,-0.105985259557109,2.54500612403256,2.26732279744123,-0.744451338978948,3.28832310341963
19,3.07807496656269,3.15658200751392,2.93351021112977,2.68804076374184,2.87398394749332,3.25880458785485,3.26086734073061,1.08824082515145,3.21423706297224,0.883849726309091,3.18363559629552,1.18427456730109,2.87727905448804,1.51141655141449,3.27364648668324,3.18229453676412,1.25940202984038,2.7914548223396,2.98489746346597,1.15264843814149,2.59420308903133
20,4.78800234190722,4.16018629225636,4.50336260661714,4.69662768282133,4.48339628195507,5.12758615280287,4.27558833127803,2.75850102629422,4.97737763988765,3.00669947118699,4.59686000873528,3.61006663603239,4.36277760420871,3.86868765699221,5.26855355812273,4.52927010761403,3.62806589378269,3.6990763307842,4.07197384323022,3.38086798714041,5.22586167888577
21,3.52405149396579,2.60736038958178,4.060166354242,3.47310829445568,4.06626454895223,3.86597800297353,3.65888810470614,2.87445422219764,4.03425361421102,2.66379674530346,3.71261853344342,3.15594624807776,3.72434977118425,2.71786270225625,3.50891117278121,4.49904212308947,3.39187767946081,3.06784217372444,3.14639855810182,2.96361511080553,4.01859405156347
22,3.87444921137432,3.39690878911351,3.42597652025277,3.87687076939301,3.36282407685354,3.5929526020211,3.73091444532444,1.30153482472793,3.51263882657551,1.95851052201953,3.80864771941427,1.83600004311248,3.02595283953976,2.14276514758172,4.32339545725662,3.3741905717215,1.89758496753179,3.08805302964247,3.34058658794266,2.13510171098784,3.77750646112155
23,3.77450464327001,3.14708724905168,4.40545689378697,3.75534841871225,3.68510221600845,3.72900927169162,3.78417495961117,2.42639406113163,4.19845802126031,1.96052570855509,4.09307011626423,2.66730696346372,4.2679631488653,2.82399646232779,3.86959103405817,4.13256654399262,2.45993688353171,3.15155365825906,3.46680457563605,2.07952342478166,3.64511914797355
24,2.52523897331191,2.07497449314364,2.30798503297949,2.79068796029313,2.33521138767753,2.66867632513433,2.41912573306355,0.817917780499869,2.90446501024694,0.282814305361488,2.86208254998192,0.810957591674475,2.45079498754078,1.08978713469116,2.31589404499083,2.84496101437903,0.650770970742551,1.94588142945449,2.65956966357744,1.14601435106121,2.52351434976366
25,2.95097563784619,3.0383833564764,3.82550348748061,3.37342978564163,3.51858226388444,3.39328461216892,3.48815030355965,1.93513167189956,3.34689480972529,1.25388004493301,3.97975170129329,1.53015271908234,3.55169889768838,2.13737527650023,3.45018713895201,3.51506261741054,1.76151896280411,3.06828300791732,3.11349825920918,1.55248195001673,3.22721874880703
26,6.33836210270384,5.77886670181932,6.7706510592425,5.86603497045194,5.7603544508171,6.39274921964945,6.25961348934118,4.83608847064566,6.47631991953353,4.01114342888612,6.71317899475125,4.57193380268105,6.3116565287233,4.5697106809059,5.56568454111547,6.86240630142219,4.97165842473753,5.75616609142026,5.90539432541651,5.23482791847492,6.11032282398498
27,3.66251033224234,3.51909511111592,3.29767033069138,3.13729050494768,3.23788273270228,3.5526914586726,3.90222461975257,2.72797292005306,3.08160963467317,1.88548104698756,3.61665506921083,1.58760949737659,4.0932171889967,2.43687051327872,3.44016152177111,3.70853176547366,1.82608338676622,2.64343416654566,3.28179575285542,2.48035369116533,3.39754428340492
28,3.0640903428335,2.49728165413512,3.57370305453623,3.6165106975923,2.94188274446751,2.80045687935387,2.85067863702228,2.96567988684741,3.0701415602313,2.10809825655295,3.49245774479391,1.53317217689817,2.75676094713912,1.79490786981022,3.78449913121918,3.45047377893387,2.21586290142163,1.9854579272878,3.90809303202314,2.06344826152286,3.3800549001787
29,2.71187880495106,1.95178439313442,2.63920388394243,2.62377147008855,2.22420361685991,2.57842850860618,2.57367721377925,0.742007796850417,2.54029698052456,0.675319692167998,2.72303724695902,0.668156584498502,2.23013275134453,1.36220549827667,2.70318581674276,2.94188742157727,0.869091554197367,1.94640180797,2.42467092182797,0.578468427452861,2.44707944667831
30,5.20553363961037,4.73592461328101,5.730078431286,4.59106877601743,4.26297795158966,4.19487970113931,4.5002825211832,1.9756463167862,5.30199034819434,2.60021664446111,4.73863028464967,2.73613677881264,6.46182418623072,2.03979835177216,4.64335661411962,5.12677494239222,1.79123177716073,3.91697610932835,5.21236463452606,1.85191433731501,4.26405603459972
31,4.695572767275,6.95589164889489,5.37479162138037,7.51510528791302,4.0905312059189,6.56266214814887,4.78885566010741,3.8805681192015,4.95962837981863,4.5453408975716,4.6833369022081,4.17891984121778,5.03907692198444,4.03812436202438,7.3781614380428,5.21134589845893,5.05297212643841,6.57894654753236,3.81283787093144,4.29976210094878,6.90300758302448
32,4.42314651694915,5.80332958041818,4.48377920001319,6.1312696099184,4.43137521262458,6.41169199834772,4.24972500180854,4.50671737544083,4.63444969315575,4.32119668342176,4.69992068806869,4.68506679113298,4.68897010914273,4.56393399957533,6.3993647642768,4.84009705734343,4.52706208962913,6.05514088525855,3.70973690143609,4.64898290043229,6.15412051464856
33,3.80592941422396,4.53189411201304,3.90519734613561,5.30658006167655,3.14914627043495,5.23109866213363,3.25411244857108,3.23027773433777,3.68361107891139,3.56167280770042,3.22012597984894,3.90432083495341,3.63557200737336,2.97525310361839,5.52116665194681,3.91562815687867,3.78583658154209,4.57103245097985,3.46005343874352,3.25840329569584,5.02370116107069
34,3.57026933690715,4.70535363207799,3.49673721729262,5.00154221916603,3.66590042485497,5.09382194458907,3.42425276999943,3.53141681004956,3.37213126830135,2.98625575289172,3.4086601915925,3.24994114764742,3.20553574937853,3.35497801787969,5.3872487519479,3.40863659536818,3.16349423393855,4.60673378163729,3.49800977406387,3.36019075158664,5.1640404098563
