protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1.29843782629765,2.11922448984939,2.65275824391079,2.67380207935271,1.29841542849658,2.02278100259395,1.99336196707794,4.79470147702033,2.08698459400757,4.21674693944384,1.84434045540204,5.22156881873281,1.93543893017601,5.32391623834993,1.46346068922959,2.15870601013802,4.86468157671699,1.92759519665903,1.99626747948268,4.43952777965173,1.91004761700613
2,2.32263501697505,1.4259298135713,1.68472215521411,1.84272139890373,2.22209080597159,2.34922806933225,2.96239826916483,4.05306591289469,1.90439602045718,3.80900062744932,1.43956883983795,3.57463986215986,2.18813851001918,3.41992058140166,2.27523623706725,2.96232501472526,3.48250622565446,2.31388582825636,1.81038583274709,3.08681627433008,0.989362892281876
3,4.6756778704227,4.28264642249838,4.34363583086286,6.00572526685144,4.47602193835502,5.33579832866812,5.118121053236,5.33470820463569,4.57247053861436,6.92762793199797,4.97847804510273,5.89201109527078,4.95919900158588,5.89029455110556,5.68943233237402,4.98246706604564,6.51034238338296,4.90628304337708,5.01678729151765,6.36054464767473,3.44469758790831
4,1.53521311576429,1.66725296246626,1.69640199114105,1.98073881044833,1.59639088076251,1.54621337508073,1.52013747333302,3.8356535866977,1.27872950140252,3.36062925718562,1.41489208171752,2.82932591051657,1.56042484397767,3.55602535704605,2.1191883886155,1.42136883091466,3.04799387437907,2.07401210809413,1.28141058907884,3.14235149831051,1.77053466296245
5,3.18714267023696,3.22327880447874,3.66789414444653,3.50150369712323,3.75451333214888,3.38808527258825,3.30211388576959,4.91395709429653,3.16367287928688,4.51637232301806,3.86526942413743,4.74891158302551,3.00943309458085,4.16295213660719,2.67139234408371,4.34541359673425,4.47917557599367,3.37042316836384,4.13218692509723,5.19123011665051,3.92220478628844
6,2.21221948833772,2.42943807313359,2.30626900668035,2.66696046268769,2.1926936727097,2.26756312701418,2.74636940376762,4.1920329487358,2.54720535286864,3.54474295547504,1.80812545068659,3.8007573689845,2.41717064821005,3.52457169628968,2.47582860026316,2.59777856847875,3.88692294998235,2.25633754645503,2.06355394143802,4.10241681534425,2.1710415658432
7,1.88986281363306,1.91062323644614,1.8295503794363,1.68921241791096,2.05559920277753,2.07279842425565,2.1378097223872,3.25924288527016,2.34143924609012,2.72935623097961,1.47167802840096,3.07240079998471,2.39592852328698,3.34193267766854,1.88816445345244,1.42316815583634,2.97449789819146,1.80262774127954,1.70473977676725,3.28059116474795,2.2227274680809
8,0.529101739858901,0.973583063033187,0.901369551905392,1.01141226621554,0.741056070944819,0.763226273161989,0.78706469893114,1.30515785315898,1.34932338881825,1.98283633170725,0.993999676906042,2.19354423512191,1.61039215764593,1.91801084419523,0.232687876530785,0.88682557648865,1.96939051512126,0.384865586408607,0.934437579746036,2.14891531051462,1.02007851656401
9,2.24811339396748,2.88631272339943,3.11965407981138,2.96097822406512,2.8594672174174,2.13129785433205,2.60610251692921,5.18963228203554,3.01971790095667,4.69671055488849,2.65030777480332,4.06298663477655,2.71736931698393,4.69202068481191,2.93625909167568,2.72159348641517,4.63423018950396,2.3331145657866,2.9316617695747,4.3622322560485,2.83803857847455
10,2.69082181371355,2.30938354845256,1.87916043837708,2.56325574202504,2.05818222892142,2.48738860379387,2.5292875298512,3.05723331451881,2.24394058684901,3.4588789284105,2.46114589395713,4.0347274573282,1.86316401002757,3.6890018947707,1.95481344764428,2.44299215034872,4.00998537039657,2.28542658259127,2.56739657759786,3.28327442238579,2.47328369299971
11,1.59380764259637,0.669516879451015,1.39539594096872,0.741531205646699,0.860629727074261,1.31642603275885,1.28781919394872,2.72550945862703,1.18196771725702,1.74922417775416,1.40172348254845,1.91077019491192,1.09009944091971,2.45671681204433,1.0889132646243,0.889185148394266,2.44114710452259,1.49790927504031,1.44774717770559,2.08966455061895,0.880775754772478
12,1.95250537486393,1.69795127016818,1.23107960877448,2.28066621714426,2.00702900684595,2.10540644807507,1.81847826291118,3.61535453254219,1.63679373676911,3.74189387894595,1.64204596713033,2.76669853669335,1.95371279494815,2.89496587797572,2.00966662239644,2.21415311506786,3.46614169671204,1.77843986989384,1.61712920158838,3.3144193052394,1.68624554357814
13,3.54474555166466,1.81528530085254,3.0232020043048,3.96292169603003,2.45653079224628,2.45965331436847,2.73568234021633,4.1204180503913,1.56747805895855,4.63793655506527,4.27925544822641,5.41490237341899,2.67777157275571,4.58137046336197,2.53556362160299,2.36719684802155,5.06384305452283,3.76917235495343,2.64900133816348,4.66423345083831,3.10126366504871
14,3.15441357477015,1.80570214171429,3.11249320775981,2.75168036890148,2.10924686972811,1.07120924628005,2.42199527668861,4.69449267360767,2.74291663571078,4.5239353327572,2.71012468024021,4.34347838409,1.843937562405,5.18408362796572,1.89555826113293,3.05492480954964,4.40718922278113,2.44589795310727,2.30859889935947,4.34640213309897,2.14558974235165
15,1.77378092706594,1.49213695249225,1.42930784618907,1.78171950431987,1.38401679189063,1.81121477027123,1.53762537371013,2.71450632014623,1.77345300866248,3.22212180693157,1.37592305477824,3.23105587487284,1.31008692041847,2.88769312483392,1.99828398118751,1.66962745019389,3.26255201409669,1.65745000952061,1.53880236994769,2.98807490994977,1.15784715824019
