protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,40.9011737808611,41.0668282686202,41.3865248227186,41.783044417156,40.9984619206424,41.3047109713332,41.7673793073379,42.1079843352154,40.5853689768967,42.4960521543322,39.5453491818083,43.5241119145498,38.9268952411058,44.3152221431474,40.6405658335033,40.4915803489595,42.8456702453807,40.7442346781428,40.5802553145285,42.7118538856513,41.3642766626003
2,39.0093934074642,38.6341809222824,38.4695011737586,38.719309482382,38.7282104602585,38.9816935245837,38.776959670025,39.9760548625892,37.8251013682145,39.5517458509857,37.7004136351166,40.3124077773269,37.5483961404934,39.6977670193707,38.4538772041726,38.3216937565348,39.5562481879072,38.0384045704564,38.4807494246375,39.493060743431,37.8601354572656
3,40.6878708900771,41.1242229003735,40.2712627534003,41.8510127322146,40.6516845870797,41.2464586317099,40.80727858927,41.4356258392019,39.7945151420444,42.1025563551523,39.8664456244052,40.6391861669137,41.0668104638697,41.5692906875115,40.9134024634515,40.2008474782206,41.7750638816645,40.5087138590031,40.5096233968705,42.0867630715235,40.2968517119809
4,39.0029187068457,39.4859232165762,39.2092793745938,39.7361173929138,39.1333601859295,39.2579002887515,39.4581059302714,40.4828870162714,38.3256716338273,40.2460950916797,38.3623364032039,40.3321186752974,38.2304728785727,40.7545360848628,39.3427434160557,38.7350328623368,40.2051139139435,39.2801818221943,38.6302698871468,40.5186776262051,39.4177605062716
5,40.8847197877038,41.7064190586166,41.1276350955511,41.5850406647686,41.663321393101,41.5736387176756,41.4552287294338,42.1966389891585,40.9644983693458,41.8163265999413,40.9775343740813,42.2228583276589,40.3885661271755,42.8075864198128,40.5929476975333,41.626464756904,42.0338657498062,40.8266229526909,41.5958296531018,42.5914433346488,41.4858759507088
6,39.5650934968977,40.4926912507624,40.2773149242328,40.3804907013668,39.963261267855,39.8585971062017,40.7066438501113,41.0606964698833,39.9084151648279,40.6996869630746,39.3532375911821,41.6539183565929,39.0673563181545,41.2024806859963,39.743471471228,40.1160346948627,41.1542786406733,39.7388725464844,39.6817431612396,41.6905479991934,40.0627845395517
7,40.5971150244736,40.8404457218509,40.6786946105628,40.7659588662096,40.6883362477997,40.7329563323238,41.0708102828509,41.1068618480974,40.5561177937961,40.9846937463943,39.7756521951321,41.7572212258424,39.9074041997535,41.8566918627962,40.4185743806987,40.2139572377756,41.6443534813571,40.2720470177727,40.3211255562316,41.6903771154439,40.4893014437473
8,39.1180772011647,39.0937594911101,39.1798652673813,39.5701670308355,38.6327152706188,39.7489749184236,38.9458254935238,38.8643007194946,39.2223677112943,39.5712083008871,38.6253371700585,39.0414243355349,39.5051296982565,39.8048401575482,38.318482173296,38.9322065566968,40.1706774536523,38.006417579758,38.8091589110448,40.2340888232978,38.7379621954176
9,41.8313676454282,41.7969962027724,41.6847851562179,42.1348596381767,41.3193285203115,41.5355733649168,42.0668355118321,42.3971943462928,40.7693963114406,42.7193378962949,41.0734956291375,43.8290133654658,40.2918287025694,42.831526635848,41.4465305914438,41.7792493577157,42.1397855188085,41.1576001789227,41.48976504282,42.5663876692171,41.9712027681929
10,40.8475047853326,40.9980951258604,40.12191369705,41.3402622141797,40.2370919436731,41.1838878526746,41.2116758676588,40.8550839319653,40.4206354823208,41.0933982582291,40.1771604233434,41.9846713788867,39.7062342492707,42.1767169321474,40.0412986242055,40.4468639858534,41.8883216170235,40.1931679303305,40.515988612082,41.5134737126236,40.446668462322
11,39.557784978614,38.0123791455343,37.4402446766243,38.2154504930963,38.1500612633832,38.4359187469497,37.3229101072737,39.0824348745706,37.2029666029345,38.1054524840552,37.6633384398374,38.921786928755,37.2558114781412,38.7076894905385,38.0897502032301,37.4795941839994,39.3166693600262,37.1601567922673,37.9837863573019,39.0577154451642,36.2942747769097
