protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.04607592457887,2.126186840604,3.2182369421454,3.28688735835617,3.35277839825043,4.25462484603657,3.42108564430532,5.36978967835386,4.06395213419756,5.37395384947155,2.89708997701006,6.2118261675791,2.94586131141706,7.51454007810072,3.4408039115363,3.33761209751356,5.6006264036627,2.85322364258093,2.63126117252907,5.30398996697488,3.4028633074559
2,2.40762875743879,1.84287433892785,2.44920781919604,2.08694634655042,2.64682093253798,2.71707487894781,2.78729682429266,4.53161069199028,2.48652758646503,3.91943863899016,2.44354597912055,4.13787662885022,2.45519770678244,4.01157342452916,2.88952006502841,2.88602819726809,3.71545099663139,1.9134503407431,2.26396949541813,3.50391773273452,2.43352260405762
3,3.15410284744828,2.97934616931774,2.98526155323659,4.12234521295698,3.26673995235542,3.50253325779606,3.52813036641249,4.02376203827357,3.15852079513353,5.13275002796889,3.58963929265451,4.25265108879715,3.54446194065962,4.31316370081335,3.64785136820121,3.20924848476787,4.82902793238863,3.35035057672072,3.37841891049282,4.73367838507765,2.87139495944054
4,2.30918012634414,2.57371634493421,2.9125098711271,2.82721653538758,2.63942609891472,2.96432279420776,2.64959524579181,4.67741205924474,2.64388217053816,4.04564283788044,2.59217105856203,3.87134477780852,2.43318321235834,4.7771670953593,3.34526603775863,2.77930268318952,3.96974157754035,2.45591017870267,2.02995151988768,4.12757473709718,3.23555327991753
5,3.35147129313864,2.88310395233786,3.75047453545459,3.64479819364545,4.34551191957985,4.2195773465807,3.4846418103804,5.04994082487497,3.87455740694396,4.5857294371414,4.48079082691847,5.14225975442325,3.27763854885709,5.16120502933974,3.12485596150609,4.08681435478773,4.54764397711069,3.06404696540261,4.65491593161716,5.83539797613019,4.30032642194103
6,2.46087845962484,2.66340188624204,3.28943066863087,2.8469561112985,2.91348083583841,3.33117820307306,3.01755997007254,4.75417201310615,3.58276737992827,4.25262440145323,2.92754662296623,4.28118757287108,2.88790681737636,4.3341678646054,2.78891597878289,3.55552348905283,4.52748420815345,2.53133029014343,2.60804461066205,4.90502122643113,2.88622829526426
7,2.98501625426184,2.48532513729622,3.12189507239636,2.70991197722836,2.98652613227209,3.36328794349113,3.29306639689895,4.31853574449392,3.48592652062504,3.60541920249308,2.78236138049645,4.04314102642519,3.5121015361646,4.62387779641146,3.07140284184997,2.84225843578601,3.84243896158072,2.29995459044578,2.56552911014073,4.44461977633398,3.46111481764692
8,2.207420255131,1.9852014716625,2.91642303848685,2.75998119476393,2.30577467911206,2.62716554258683,2.67844912383796,2.74733597775102,3.37428048645888,3.54481736989474,2.9610134908652,3.41573078163644,3.3337084816034,3.55612355215518,2.02504295597042,2.76263735119563,3.56422185311913,1.33149295518704,2.10825889899327,3.85045888745597,2.85956301841051
9,4.07071821296156,3.59970784792058,4.13859488330209,4.00857415967453,3.53675893156556,3.78290681065895,3.48353257289625,5.33729218642051,3.54960927353637,5.26944934696311,4.26603119647097,5.38957935560821,3.81057433264271,5.3672720910748,4.22759750308107,4.05358115035165,4.84147242201489,2.60673948034444,3.68724469331021,5.24774215815347,5.27626309360475
10,3.48009080102956,2.67972338997322,2.54399673140327,2.8393853606853,2.57169971323366,2.89751864419719,3.07700204384197,3.78977900264372,2.95595715874387,3.76407925502173,3.16295385165025,4.40129577273951,2.35199627113326,4.33386197061404,2.67744722298033,3.0071990251525,4.63698030319551,2.37211601033809,2.87789765040765,3.84095506850898,3.12163510189792
