protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,-0.12223648210053,-0.172080979054566,0.837634543231644,0.152505852375644,0.0419981907137419,0.536685486193183,-1.11189888672892,1.59325241955365,-1.07547106777722,0.93979452351139,-0.881345397319824,2.12701270126898,-0.337237923425529,3.37048949488471,-0.129546151786695,-0.0780348985721909,2.74773743718569,-0.546919753432581,-0.329240192669353,2.64922823420311,-0.146164519512829
2,0.269822995307368,-0.382705195808677,0.60411157032856,-0.208445702836928,0.284979475261107,0.367227643822284,-0.374473395214715,1.54665599993344,-0.611832492235171,0.635263011035478,-0.655886601287118,1.14712051185284,-0.363969116513343,1.07484556865232,-0.0404715420267337,0.0743995931466086,0.965482477408092,-0.789640886456729,-0.453700175833915,0.828253032718559,-0.120073945312861
3,0.32001666685386,-0.0807369527243029,0.782220250835025,0.124208682422512,-0.0434250235561043,0.613863673915426,-0.283520898636361,1.09884850079289,0.00320572923481335,1.05052196704341,-0.328774669939017,0.940979999308001,-0.16111415475316,1.0345074431625,0.23880030597096,-0.0300739433315138,1.42214824510554,-1.11595177327864,-0.54459765059391,0.738658066296554,-0.0596640440954189
4,0.138785046334691,-0.371610754272214,0.263327628480356,-0.390161471445081,0.422940117191355,0.445130593066324,-0.569998495749964,1.50693314286869,-0.545754130019849,0.692271294546991,-0.334677992266209,0.518419582915986,0.0131974181392376,2.07947909916009,0.102488884124118,-0.0136497188547288,1.42760729790278,-0.823546190410597,-0.580010690615498,1.35595865174185,0.357755277508407
5,-0.228269221694135,0.104358293148665,0.196631977228708,0.303147651045581,0.346918133497657,0.331765319945754,-0.354229532947286,0.895601054557357,-0.831546035322717,0.21739456398703,-0.25466200343907,0.757876439405018,-0.655070747966161,0.859300719553248,-0.413356844751295,0.464925553962274,0.830176418098906,-0.88331888255495,0.22317289244143,1.73084011577969,0.0166234790698264
6,0.222167265260679,-0.272677495010378,0.352480155398771,0.25815192723967,0.345879046046526,0.409155409095162,-0.527342815853492,0.736869872128944,-0.152433698808692,0.724507925280653,-0.412630212643144,0.963634484243034,0.00789108421988572,1.28002187947223,0.114994944865731,0.000556889279033787,1.40494223777182,-1.01256868117779,-0.527499182524531,1.39415447856704,0.0322405746915383
7,0.092103660128483,-0.15030979298237,0.424210688960714,0.208341587844464,0.142978634846535,0.318063014949622,-0.558915948208655,0.817871020304497,-0.194494535556044,0.473556817984222,-0.258555914667453,0.673656212260906,-0.228629813948688,1.36536163368311,0.135371470551909,-0.113960261944838,1.13968358902025,-0.601965169422674,-0.345478952702087,1.50165148629341,0.285377047381933
8,-0.0606214479417696,-0.150230687518442,0.634961251362242,0.126502091910098,0.189449021774586,-0.102156520442694,-0.141216210080916,0.352580173353481,0.0718546720039273,0.117866572557343,0.213934450199295,0.885090455374366,-0.232351061968254,0.901540950321086,0.0325266408412379,0.444964346460726,1.01618180434935,-0.649902730235977,-0.480469689212334,0.97872759881647,0.0964992828187362
9,-0.187333327962433,0.155401407219421,0.597957477895492,0.24673421552028,0.523478734447456,0.0329060882267356,-0.353751329797911,1.41686919642168,-0.455370568806578,0.689894170971233,-0.381649051550408,1.12601043480702,-0.39772996927204,1.34534987693712,0.302965118657656,0.027695713185159,1.39676610605966,-1.07871214399114,-0.427823786226127,1.16834610842265,0.42193170387792
10,0.421212093156516,-0.220067227242276,0.164853345058525,0.299680066744144,-0.168963595653512,0.362846622792502,-0.276256325902373,0.580249417394604,-0.201237707057507,0.66007081416259,-0.386722109039817,0.574952429188074,-0.293485151111722,1.05805096474438,-0.258890411432127,0.0240694393030505,1.24958303953234,-0.840990112722276,-0.393369488428341,1.07977946696859,0.290257958459316
