protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,42.2625485650411,42.0148114177065,42.388069474526,42.7218809156693,42.1837186645154,42.4657662520025,42.8048243834129,42.9821099906566,41.8405433663338,43.6691012593769,40.4099054671954,44.7837697200782,39.553864207626,45.4816879482628,41.609326672408,41.6556969624242,43.8054311963115,41.9361730493372,41.4856716778066,43.5167903850566,42.3053673088557
2,39.0243190936773,38.7878983210976,38.6253241601675,38.6448519739194,38.9106863262865,39.2247923462748,38.7135822897996,40.3411555116114,37.7499067516643,39.7931096998807,37.7526207935744,40.4976379122904,37.6434752879929,39.7331802415615,38.466784981825,38.5464001806904,39.5361458402092,38.1341064697849,38.5096767173039,39.5044241321256,37.9806241924868
3,40.9744795739678,42.2096038884456,41.1386331206534,42.6469859176915,41.5750570004727,41.6732092861819,42.1401732862214,42.1631062742384,40.6614170743889,43.3964248529164,40.5789127749198,41.6792162793584,41.9599574777502,42.3615474770556,41.8541973138171,41.3008212753107,42.3331966363229,41.9658301654133,41.1667340070582,43.1541631488144,41.4705843218775
4,39.5864717742223,40.8216207553028,39.9555057048243,40.7155803309012,40.0760342402154,40.3675581885869,40.2123813992339,41.4304160560472,39.3865608840195,41.1900857339135,39.2347849679423,41.4026004801218,39.1291347829084,41.6228632988554,40.2587814042334,39.6749022314586,41.2187861541698,40.2154789958046,39.4729760037925,41.3017184867011,40.3482193499697
5,41.2692919151091,41.8331901964262,41.6698044577509,41.7107400971236,42.1176832801333,41.6069939296966,41.7284900166052,42.5683958447221,41.2499499784847,42.1187291774484,41.298833377497,42.6377464747687,40.7088701136495,42.8721975502447,40.8768547736061,42.0251236475675,42.2410199910801,41.1863890346598,41.8832399446788,42.8839105639685,41.8092308330255
6,40.1160926951315,41.7026284828835,41.0885572323401,41.1691240016022,41.0007529555627,40.5702561128426,41.6672207948404,42.175458949531,40.7271567963972,41.4238066769979,40.2499224525086,42.5119649223739,39.8963161003202,42.1867353546819,40.4661329462806,41.0235733650729,42.1911814061157,40.6622923367065,40.444855898733,42.6342610277582,41.0126489746156
7,40.7958141168925,41.3978653936359,41.2636346536106,41.2896600868606,41.2519915279021,40.9219437520899,42.0171137418396,41.6340629028415,41.14494558556,41.6101206718511,40.1923238886932,42.4978941468745,40.4182134416308,42.51756037664,40.4921421315029,41.4355874350516,41.7714808562522,40.7576065551586,40.9259296066822,42.1588332370652,41.4137799542457
8,39.2666006763762,39.4890022207953,40.367102256972,39.628078105703,39.6851555337745,39.4879472223349,40.5034482721116,39.3260257078672,39.9133496631653,40.5239149361295,39.0103021810971,39.8264729208915,40.0453797219257,40.268085464246,39.0441652349959,39.7008644961745,40.4211816251094,39.0623153103857,39.0733981122751,40.9147985357992,39.9451275732013
9,42.545749333059,42.4793416438628,42.2826700182199,42.6352474999662,41.9223873539966,42.0672492719456,42.4751099848399,43.0000204965558,41.4048450669425,43.3206310276868,41.625462162349,44.5934950309298,40.6971268879157,43.4312745563916,41.9465529950242,42.4311400473735,42.6785534673235,41.7436567444165,41.9958207874395,43.097270664156,42.3620399565373
10,40.9162128566711,41.3552070676039,40.5978624421259,40.7133693281977,41.3085665903201,40.5136508291173,41.546917731485,41.2179049391423,40.5237686442874,41.2701207165113,40.5014108920103,42.1252026885677,39.7213573445099,42.4493920455675,40.3565624349147,40.6839369619553,41.9983362346703,40.680038081644,40.6214051119843,41.71075129418,40.9221831257454
11,39.4684840930077,38.5997177311203,38.3532201116585,38.3353650170469,39.2167566191487,38.3568100347329,38.1634633509022,40.1139591316661,37.6930994094606,38.6934097779359,38.4085102924861,39.7137925988352,37.859430519892,38.9813483279331,39.1057215711147,38.0063656143098,39.7751459371257,38.1260804780758,38.3728988892096,39.6612421217861,37.5507064550637
12,38.7962319830703,38.8257099548553,38.3545209745052,39.1636681126768,38.7032946137833,38.4069612099647,39.2279724507682,39.7061526924411,37.4504896802563,40.0444479154419,37.7490096003102,39.6873016792596,37.5763339838096,39.8266574887178,38.38573154312,38.6732398601067,39.4519128380521,38.3124991583979,38.2104171543161,39.6817880356802,38.3415369042461
13,38.11323467487,37.8366427538944,37.7722368791065,38.7581906717958,37.5407062172086,37.671202594561,37.9656790229169,38.9026462289389,36.3412919765576,39.3342434714443,37.3048055678494,38.5353908010106,37.2554615529854,39.3302564272644,37.5270609560444,37.235662303489,39.0689067011934,38.2116128497255,37.1554369115941,38.9035847433694,38.040612683055
14,38.0778339115561,37.7667660342414,37.7239654298504,37.8088559925375,38.2244254762447,37.6812536326959,37.5351654897955,39.0816601728169,36.7040177576395,38.8394733341459,36.6747621387441,38.976389870145,36.4266695410517,39.3969832615368,37.223933701184,37.5020196241161,39.0993787952665,37.1765408709952,37.2344593203023,38.9395273507665,37.2723666599919
15,39.3305344548149,39.9562540022472,39.3618431992551,40.6140315521388,39.1421648215504,40.2467398275454,39.8068784422399,40.7706052463549,38.6258176733075,40.9605665338245,38.013304158814,41.4083582676794,39.0230617768657,40.4417037418907,39.7800909827533,39.5939033833272,40.6022161142744,39.6122439942535,38.8656634367091,41.1464562606123,39.5320134295156
16,36.6185252083804,37.0025659646293,36.9439145983707,37.0542610174386,37.0061638650719,35.9242006857414,38.3748308148941,36.2504176663761,37.850789450193,35.6928981817123,38.1877548586121,36.4038350041196,37.3011739891099,36.2836306509688,36.9398879973134,37.8619674628649,36.0593564688937,36.9581289201372,37.4543114635087,36.5959907665472,37.170750507991
17,38.2639014672653,38.4723476970136,38.7378913303017,38.1692553984433,38.5505661462078,38.4965046199956,39.4484201397279,37.2457395642739,39.9620063782766,37.1637434668729,39.1585354751219,37.9048109252888,39.2700138600345,37.6631802833291,38.4997485601767,39.3493800230396,37.6355303310997,38.5789102511001,39.1431077040728,37.8052039386433,38.9744857251657
18,36.5320780862508,36.8209518013838,36.5690612220312,37.6019545261591,37.3317626997991,37.5465178633926,36.7323095985359,36.1848578727076,37.9448598459588,36.4148546169803,37.5478242602037,34.5468503127009,39.9054419706277,36.4688943426726,36.415069112507,38.6698844403264,35.2985472163587,37.847237820139,37.882227981618,35.1293698076973,38.7511846596721
19,37.4346105249095,37.7060648330915,37.2984204200562,36.9942103862466,37.5782222983465,36.9145472677872,38.7120281740519,36.2072662290034,38.5490160722918,36.1001350923151,38.3452943460134,37.110123497274,37.8021525138704,36.772786622417,37.6863981844676,37.8498687182241,36.6350613972056,37.627904955509,38.0906964088157,36.7302510627725,37.396890753813
20,40.0371407538771,40.9547601867607,40.5741897624105,41.0228631078178,40.6197938997609,41.2020508644222,41.4448164026676,39.5420414827038,41.7582562836228,40.4809707347359,40.6609985007098,40.3674761042861,41.9757684805219,40.6408317218505,41.2128426291532,40.8249845967263,40.4022715558793,40.9701603957495,40.4432461212392,40.6741508294953,41.7866988271381
21,38.6481985853882,38.8124460078026,39.5664584721058,39.1267444972942,39.2331951404803,39.5577342463352,39.5237565528207,38.2828360335213,40.0290276161224,38.4215934435629,39.5937732751361,38.5886024011172,40.5090039655797,39.0239006476943,38.8729740115762,39.8667984547648,38.9785429312035,39.0653339166382,39.0128661201755,39.0676305464643,40.4507427770498
22,39.4899507980026,39.5215535595203,38.957680562847,39.864170157226,39.1148377663812,38.6202817901279,41.1900163151014,37.6980992360634,40.1091502860829,38.8925916319591,40.1298329422908,39.1079823063062,39.406612343993,38.8124731768768,40.1746322973492,39.4466689487529,38.4216867439805,39.8972030408936,39.5507581900781,38.8156155056004,39.7038708081481
23,39.6534201657438,39.0295033828146,39.7175932289439,39.4755832110624,38.8983908073899,39.0965423872285,39.9772880694868,38.548567018296,40.3376937332901,38.3194906989368,39.7609685448673,39.6448364770523,40.2464906721506,38.7645443867586,39.3368429813985,39.7595706860571,38.4935148882595,39.4702664033424,39.6726786192351,38.7400660371959,39.6823440462329
24,35.5293718776229,35.9449252894276,35.704726410928,36.1191808460173,35.827378053663,35.1738023514864,37.2083801477535,34.8886097841104,37.1219084513627,34.6322145825258,36.8646431701931,35.3556381413278,36.8938391951813,35.3472801807657,35.7817890302234,36.6459442404407,34.8928236452204,36.2292960673272,36.400654295727,35.4668085881121,36.6493508686249
25,38.1761843587809,38.3524232574326,38.5686526764435,38.1603407383008,38.6776891928334,37.8820248070828,39.3173679361625,37.6122567602167,39.2006772894526,37.1672665223352,39.5958876825476,37.5933365344397,38.9597751825808,37.8445010545219,38.3065287669329,39.0872188500519,37.6707677190642,38.5428093378598,38.9721293155327,37.5419171440805,38.6452315431587
26,43.8557661201519,44.3765109861106,44.6346899936423,44.0587955042862,44.0986543446896,44.0310100485654,45.1411760909605,43.7028194496437,45.3403939996013,42.9529230085433,45.3277807858278,44.2587170283955,44.7875564977923,42.9939950556287,44.0289374109092,45.3030862781194,43.8949739436877,44.2698729969526,44.6339063479582,44.2811320621415,44.7110020801742
27,38.7671294915075,39.0989269563706,39.0473291898248,38.8649534018846,39.0475506539423,39.1602610230362,39.257697760753,38.8309582737017,38.8343275239196,38.4915995230005,39.9186170981206,37.1452587264637,41.3190562569838,38.0726809337277,39.2490622376679,39.4137582285853,38.2422332498194,39.1852145432202,39.366730967632,38.7533111709416,39.3366480047506
28,36.420079128776,36.4528884908782,36.2640626605398,36.5510226763729,36.2955709949832,35.8675957099314,37.3653460444012,35.6869706974548,36.7213581478046,36.054046169499,36.9071450756986,36.0615450134778,36.6547959236477,35.974332887399,36.6648679536402,36.7854145125315,35.8769804071659,36.4846932390497,36.4996901345551,36.0847752630164,36.6275041087779
29,36.0757055938109,36.6146221327064,36.5919765691964,36.5647453547889,36.3180286288316,36.2062816219322,37.7013419199933,35.4275895664704,37.6355098448451,35.2856400426005,37.5047700700156,35.860618349625,36.8715136345694,36.6541021573542,36.3411634588918,37.4502762185293,35.5548039719027,36.8523481474256,37.0526895329966,35.5022369843447,37.2758180792217
