protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,6.59802741106421,6.89380315058672,7.25096504203616,6.39055169415529,6.68054181731525,7.09971601116777,7.17913235289854,9.69352880368288,6.82441686657425,9.01465815582024,7.02474185380129,10.1556304952484,6.9947515203363,10.0091680046506,6.28263521373396,6.75534892426497,9.64955676024199,6.95535390333683,7.18735508608615,9.35619019551485,6.75326547414299
2,6.62497009220656,6.07402578320705,6.30534121936204,6.12877639067026,6.63295857747712,6.40260620915144,6.63998744676322,7.83675631318378,6.48134817622295,7.53557409034394,6.27346832239502,7.86220820603094,6.59395905445025,7.62144004233193,6.1554974118386,6.80764521918328,7.5805904074189,5.98212314293495,6.69592229974616,7.38873438273823,5.90137260890665
3,7.6606230752002,7.43300775379194,7.81397932138167,7.18171093979348,7.81638541221745,7.65163702861141,7.70561411279757,9.06559156285819,7.5971666501593,8.80707873185675,7.41456853767128,8.90000841816631,7.47885007098544,8.65211583797585,7.80061159956819,7.92689056182273,8.96510795096746,7.26213485681689,7.83177497702646,8.54929918083731,7.66966560591157
4,7.13562758987967,6.80923639307281,6.92305927592985,6.31415830441067,6.98100851506054,6.86365548012224,7.02934386178837,8.77722913808342,7.00650282111766,8.31256026145915,6.86653057751227,8.03413403316097,6.88958369935895,8.51825079712301,6.75567723518386,6.98056328881263,8.23285661860587,6.71747013770541,6.72335639304172,8.36609911416987,6.96298302147471
5,6.69701171585138,7.03032314261212,6.95329805520019,6.93598753242177,7.14084097592568,6.60683287007677,7.24933481375986,8.08916931263476,6.7269058394455,7.87660916562489,6.86809451880541,8.56672740574145,6.78470966438399,7.85034261127581,6.47802031031289,7.26252502161985,7.68988597458968,6.49439142024619,7.67897629329138,8.76684332115944,6.97594269463763
6,7.65578520842466,7.47497314216697,7.55079900391063,7.39768090107371,7.6475094678169,7.38220724362864,7.49404259469162,8.82759325256904,7.64456851259053,8.90050172354819,7.57163052134971,9.10784156796438,7.62265397536831,8.6429908644226,7.37224706806681,7.68298320273328,8.85564455792832,7.23202183384334,7.70122732677931,8.7804027365138,7.569312229031
7,7.22231405178046,7.04151454874954,7.40678529515504,7.14774219786999,7.41713614749452,7.09596116872394,7.23154434704412,8.5977256957723,7.41926944209191,8.421005253027,7.21964746804558,8.43485539103104,7.41715652855418,8.64057387530937,7.20089420122205,7.18759948509377,8.33450447549693,7.09882041552258,7.45761038395579,8.2806687831789,7.0001816106178
8,6.39772599895277,6.61729192531155,6.59907554285721,6.4739442072035,6.78569697772193,5.71353559668745,6.62035197385704,6.77438488543349,6.81855468933617,6.88407964856689,6.76683015919044,7.42039408123876,6.15302710209279,7.1050542654408,6.29659359367571,6.73437945273296,7.39391892879342,6.04643626106413,6.53264448008867,7.19897523096494,6.38666728762516
9,8.98258382249081,9.38492250762988,9.33374114323415,9.22254007556706,8.96946159213709,8.83173836157193,9.50071881577504,10.557247470344,9.08171772113026,10.1461288348063,9.08670360399968,10.3830040537598,8.84101534814308,10.2877353660185,9.18203522094751,9.41638577853305,10.3168116881999,8.47888128667614,9.5353921609182,10.4164911116487,9.10673939328681
10,8.70992189282634,8.36044032791481,8.51842468492902,8.15181759838805,8.21401991663582,8.32274994046498,8.42577399433838,9.29420061754443,8.66623780093367,9.61229575508934,8.63059211546974,9.45950139096039,8.53120122665606,9.39095333414001,8.06089280525099,8.63718820842587,9.6141130850083,7.94364841051188,8.67071405454822,9.52425709802991,8.32314509676526
