protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,7.09934860605732,7.43898171140515,7.81087554038642,6.89057256938911,7.18926718285981,7.66337151447114,6.767835950388,9.25202929474933,6.35025488350959,8.45284363656312,6.58608310391097,9.79602842873086,6.86661426039255,9.85974304543037,6.1880267673984,6.64267379860997,9.52335777034725,6.81729702792039,7.04677826931644,9.24893867441985,6.62826074804185
2,7.22032450337379,6.65954347814302,6.87077893192019,6.71941864587379,7.22906069677239,7.01887845227432,6.44185128015505,7.64930223801608,6.26539041859774,7.31428509915087,6.03415726944142,7.67761340538831,6.61190376628467,7.64024758659148,6.17335621879362,6.82310512199108,7.59987296390816,6.0019979996838,6.71268135132686,7.41024790061206,5.92218645792067
3,7.87891095010266,7.65047026751989,8.03645995722506,7.39230299670896,8.03893183060266,7.87507686838138,7.35385318127354,8.71598953255907,7.24442477594153,8.45513836862997,7.06017500393121,8.5489086342818,7.38775495360043,8.56588321237704,7.75809892864907,7.87772033439014,8.90816321376602,7.16923482439036,7.77370441467572,8.45344560105252,7.61489980946913
4,7.50567718063771,7.16718117012354,7.26880105599961,6.6154894487355,7.33337696073321,7.22782323952273,6.75996469494086,8.57459890910809,6.73253689344575,8.01661882874559,6.56445650832754,7.68228120241373,6.84019581974803,8.44623689559854,6.69709467971448,6.92151906564774,8.19113373347982,6.66294278694367,6.69161145936502,8.31023420751042,6.88239755408663
5,6.92070839984398,7.23236282719501,7.16850648884998,7.14115162963457,7.34983795380617,6.8228986297917,6.705426684868,7.54654995140083,6.18570445772999,7.33509109586983,6.32616162701298,8.02163377703077,6.65472674218179,7.7171795610459,6.34996246308484,7.1987620870302,7.53448538776158,6.36860242997422,7.67292895455628,8.76069725507688,6.91689144927509
6,8.09180250490003,7.90925178425196,7.99547158399983,7.83833167815402,8.08420903376193,7.82413370158865,7.35766434968887,8.70691207143401,7.53335757023906,8.7920105332173,7.44822465253004,9.03401673070364,7.61517070934161,8.62037061603981,7.36141620776185,7.67966354734112,8.84770056545709,7.21151335454764,7.69916678628409,8.7672659434468,7.5720817849045
7,7.58612765709539,7.40339273033821,7.76417781344639,7.50592280054698,7.77416837264518,7.45594416882741,6.94290315095763,8.31290345212516,7.13356620629642,8.13341727556436,6.9308200818385,8.14748417284329,7.38999153026637,8.62622313013158,7.17627803737162,7.13138258031028,8.28141869762096,7.0612861637185,7.43556507882486,8.22076975542056,6.95016398956597
8,6.56525294082715,6.91239646678458,6.81259229795906,6.73630700685515,7.04183953056455,5.80221511255288,6.57624183301862,6.71565949369275,6.78245814399241,6.82978935983425,6.72864232331749,7.38778768775948,6.20157261228743,7.12089858342154,6.30898870906198,6.73937296753104,7.38812295844522,6.07757190615896,6.55275096482702,7.20778346239052,6.39231453470073
9,9.3505111793446,9.79231130463432,9.7267176752343,9.61834561418229,9.33645289831779,9.19966676363582,9.40694795850958,10.4655931645864,8.99665120609367,10.0630151208184,9.00153351207185,10.2949694863477,8.80185739246553,10.2728824393636,9.18434404290858,9.42573306471285,10.3044099720439,8.42191238103197,9.55477199839932,10.4124926332804,9.10270057877123
10,9.0411447869606,8.69098733151483,8.8061812249509,8.43501106854979,8.4326821570728,8.64474191735982,8.15834090505782,9.02700723353996,8.39792620697251,9.34394024996915,8.3624107485975,9.19170410109079,8.50425241442937,9.36726828668258,8.03938332594872,8.60558287670438,9.58062355295266,7.92729004317301,8.63763577064487,9.49471537303607,8.29011360893327
