protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,20.3868037316411,20.9499814704813,20.2440522559779,20.976040870127,20.4943222137169,21.1591593072693,23.4056210448183,22.3873433016991,22.6577146677208,25.6529165459063,24.6813841947399,26.4906477809911,21.5701027763144,21.6928234510468,21.843510455822,25.3257790161192,24.9588750335343,24.7582459605643,21.2698124836394,21.7766333070468,21.6037320690345
2,22.7399326407686,22.2420378738261,22.5159987817015,22.4287556486759,22.5553213020126,22.7468192568835,21.8637262155054,21.0865686777073,20.8898786741713,22.8342793300931,22.3269154982477,23.1563225985686,20.2991494294755,20.8570119216969,20.4931706851014,22.0900407045493,22.0191473743642,21.9033123340255,20.2388990823036,19.9450914260792,19.8814149261823
3,22.3345690001638,22.3437688117973,22.2619198281981,22.3557323507191,22.1642555655141,22.5390675856569,22.5535196529747,21.8433945714019,21.6936879450119,23.6787581609869,23.2455603040776,23.8054093638129,22.3611591677741,23.1977856850788,22.8403522994331,24.3018348813177,24.6135961752049,24.2326685854488,23.1098003431419,22.3984868017686,22.8602868287136
4,21.8267815201105,21.4415561999835,21.4218112477403,21.7378895427344,21.2528883069523,21.7572602462099,22.5308488112065,21.9027243334706,21.7691870939727,24.1085851821004,23.3782584087577,23.5099995765093,21.3769360999456,21.8049204823603,21.3215954101463,23.7455246305631,23.4599027609426,23.6527932579306,21.6121321602312,21.4555308303458,21.691120639355
5,21.6623303103452,21.7617792038623,21.8587898118417,22.2235887708343,22.1990680588798,21.7728532075073,21.1698220557238,20.049403152345,20.2244034672483,21.7740474789833,21.3902419304721,22.5428634057165,22.0774381967608,22.9681346781242,23.188884079719,23.9024384703919,23.6892255896058,24.9892274798785,22.150971117983,22.0471616477578,22.6115857089249
6,22.7813113853439,22.5366312689548,22.5410478617401,22.8483646978339,22.8441350773419,22.7219752492469,23.4138306468528,22.9888271911622,22.9382374190735,24.5261805253246,24.4389322941277,25.1470172856975,21.4982242676698,21.9093782421843,21.675464015196,23.265971629135,23.4627828710505,23.4561382719976,21.6227669664092,21.3504146760804,21.7271181483035
7,22.4866923263076,22.5163932871697,22.4420629893917,22.5535614326885,22.7227819885032,22.564841505254,22.1925004124592,21.7824667915572,21.6142638127196,23.3256028703534,22.9737700008124,23.4539156921748,21.8685583354886,21.9566105220475,22.0073755546308,23.8673373901208,23.4920142501084,23.5051553308654,22.033142042913,21.7957007321453,21.700713599859
8,21.1276439797611,21.2266341414041,21.3715605170328,21.7243915388566,21.6149925645331,20.5729388187012,22.5262801535878,22.1317997883208,22.1125271132662,22.4287999709886,22.3705831441499,23.3946602661586,20.3178719887203,21.2023334804789,20.7622940118436,21.9997454146214,22.2364510821433,22.129901609046,20.803585285814,20.4497190457964,20.7805967162044
9,23.9653724435782,24.193229743979,23.7186441100857,24.656776602006,24.5495013971599,24.0228606950838,25.4641860313853,24.4531926027286,24.4926180543271,26.2859333941888,25.7110086574406,26.4090418170534,22.7584867912922,23.7290236000545,23.6046450678097,24.9920592929573,24.9930681181358,25.1749408023297,23.5192706420544,22.6343895430632,23.3313127826687
10,23.7555711601432,23.3722584026446,22.9144384777897,23.6550177378355,23.4657319604764,23.5675009577568,23.541020032623,23.1799086582969,23.1789363455422,24.1727885178318,24.3173748412808,24.6312174864859,23.0358756496176,23.4838672484076,23.2625026764168,24.6614389766378,24.8442755354061,24.8321573784469,22.9493037614561,22.7147610415658,23.0937196491923
