protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,5.71110610842018,6.12343055852739,5.58568589656228,5.32020590354258,5.52776766467876,5.87106312023763,5.86827876678951,5.79439911031586,5.96140645293969,8.27479125666693,8.05863357402402,8.97243016872782,5.65371812078255,5.82622988663027,5.73691598294567,8.9090737102314,8.57098673489833,8.30953211973246,5.36784284900751,5.533087491831,5.73028748366095
2,4.49698618099003,4.14914755569395,4.37315734241254,3.83544429174023,3.74965639251334,4.15179720773124,4.31314291153847,4.15133605953838,4.3104013318827,5.88235573295543,5.4188255079965,5.782086572642,4.18427062626995,4.60257739449685,4.50142242917672,5.56102738003032,5.39728420214472,5.35793373242632,4.00712586715835,3.77617524493965,3.93261649600637
3,6.82073680174007,6.71057478701885,6.43598082490804,6.24144405007342,6.17498625870476,6.56910747537306,6.33358605794696,6.70431982585985,6.61087731872851,7.78915206538672,7.64046446389333,7.77774531043825,6.34999342165723,6.86068821611172,6.60181562443867,7.69118453347358,7.96589277492129,7.44457706441017,6.6943705092762,5.92041183440131,6.73839333463741
4,5.7439584595435,5.50345668488034,5.6094287750174,5.37409945788808,4.89504016525602,5.59928184661866,5.50318749805936,5.57658511211799,5.82857841251063,7.42182271759484,6.89229568994182,6.63748455614814,5.3633212588663,5.67716579472011,5.31114692680884,7.18266257489199,6.88233595549683,6.95180580261374,5.44331327936906,5.19776951534351,5.60485031900744
5,5.47133378781161,5.56518145565726,5.61716438862393,5.56859554887571,5.75220216891104,5.38371002172824,5.67116882949318,5.40103260405162,6.02995017024175,6.96092478226021,6.50831347604211,6.99348855696494,5.321017974507,6.04953604615815,6.16968313445209,6.4976579009361,6.47265518191554,7.41584309854081,5.20375620764609,5.13893599908401,5.77715082898621
6,6.17346515032732,6.06034997448046,5.98262695664897,5.80816165888916,6.02468884361453,5.86195095668103,5.86799028719281,6.15756945454764,6.1970678586918,7.24445582760587,7.22601098482439,7.28961387785033,5.99731879113869,6.21409967180719,6.02981363065467,7.30559805159561,7.40768918518011,7.26750142075068,5.90566298397568,5.46599595245186,5.9785485970545
7,6.33508504185018,6.44085245390317,6.31311780514219,5.96758578455596,6.20473663507056,6.1478686292211,6.28016276698229,6.48608876311218,6.4810047305121,7.42266123223576,7.34695343005421,7.44272389842632,6.08936495253567,6.31560583665722,6.39367460131546,7.67955992670583,7.33168690763301,7.48753063817681,6.2968576591082,5.93330766347251,6.04949274569841
8,4.75418987006124,5.04210354125856,4.90915715825101,4.53757074467867,4.65686415228721,4.30504108400616,4.85812804370215,5.20445879482725,5.19327202129933,5.12516636949638,5.20586094773116,5.63299009504917,4.3543814783354,5.21418282206074,4.63335204009014,5.55236419266372,5.59466830893037,5.41191302437839,4.43600430464463,4.2985401099658,4.77246983064892
9,5.79682936146575,6.09016289725215,5.87643523735423,5.99785218587157,6.01793076657281,5.67717612673592,6.00427173262912,5.95230872485858,6.06139101004173,7.55651320329086,7.09008779080628,7.42733910882503,5.61910842013853,6.16175956890838,6.15606117078176,7.43393509550396,7.3790649835656,7.24892046908741,5.89093402009264,5.24892280723575,6.07485481119291
10,7.06033369026082,6.44669024027796,6.4241261673933,6.44948765903438,6.60923035192407,6.5054238577431,6.75717196842305,6.80626824675987,6.71025878844326,7.47313711296423,7.70426017307886,7.59405724065405,6.45135035315832,6.74714277143569,6.72661413961198,7.73389430965207,7.79713572544001,7.58202865271237,6.23007312336098,6.1740292284834,6.77411872968772
11,5.29807469278049,4.95621182920094,4.6221285652312,4.10770999459767,4.2403518157941,4.51195803399438,4.89414906276828,4.31812058607768,5.18652777777326,5.80654435627959,5.01391141673858,5.50438251917065,4.76677990239172,4.8528245326729,4.83309147780477,5.44534576318425,5.76504249027588,4.92049919032457,4.98553976956537,4.28376801481268,4.36420995867998
12,4.38893177535307,3.9552799717183,4.52689462994128,4.03072925220365,4.5278248920946,4.19143240325084,4.40482713646782,4.11989230543042,4.34375933356089,5.57152696763193,6.0669899848603,5.18797546146046,4.0321316093558,4.59048891367663,4.23644844810168,5.47463714258287,5.75378390305546,5.67102997017456,4.24282650287777,4.2334009775384,4.21707177772138
13,4.09541927406423,3.58072446668307,3.68204493377263,3.20505122213866,4.10058727968009,3.88164568125164,3.65387977024689,3.89392265919569,4.06012106193389,5.0118115381402,4.99563681840486,4.83909473462853,3.3806148435052,3.80550397112421,3.7421895161443,5.15326499419555,4.88989285726692,5.55395165695403,3.95347848569024,3.84082372773205,3.7204279835497
14,4.07603344006168,3.82178264220054,4.33514287881138,3.48099408292016,3.9042163794159,3.44444377100504,3.87549649185174,4.18100545476224,4.02731783420469,6.07714762980096,5.87135193894697,5.62878965797998,3.87458775317752,4.16851746931652,3.72992629591441,6.03846951320325,5.92438896437273,5.592603582232,3.59961246972337,3.57806730877946,3.98775277587294
15,5.13895350117926,4.79035448824829,4.87449126419972,4.15232940041003,4.58453948701005,4.5413858875159,5.00654107900805,5.09771658004153,5.01341238507956,6.12319124560756,5.98828616162648,5.84522556668186,4.75156164582886,4.79669209440687,4.74154590417579,6.17395435702038,6.32371895658548,6.32790763286736,4.74967524018612,4.52523715760283,4.43462301777671
16,4.29570782909189,4.18380656222865,4.05428263060344,4.23927152033855,3.68213670705581,3.98000891636696,3.98703902528323,4.44272113669177,4.61146019497693,2.60713117593854,2.23506152917181,2.15436270834643,4.03568341071561,4.55223593256462,4.42822616510459,2.1350571102277,2.47397736588885,2.5506378322966,3.93648727440312,3.5939413389595,3.88054664074388
17,6.1640030194346,6.09762754296696,5.58582413827911,5.68408147396862,5.92999522035567,5.78265101081584,6.19982446611196,5.92805643663933,5.89246626081857,3.8747300647803,3.69867797399119,3.73005326658051,5.61763903455957,6.11042417666015,5.85147506037778,3.76146257900185,3.85053803420004,4.03731890521073,5.83535409192302,5.86099979555303,6.10386502572168
18,4.58985569408905,4.77733009517665,5.28180172981373,4.79066508621704,4.92178273081073,4.69550099920888,4.60883774134186,5.08549356990373,4.7280023130332,2.6546949238624,2.41658319748101,2.15709898090477,4.48341337936193,5.24518391457141,5.09144566395147,2.08305192020607,2.16941643252143,2.2335019239408,4.72856818788901,4.43392936287352,5.09666285773714
19,4.90259980623627,4.46914492343339,4.33410043284653,4.54354971100913,4.61441307113585,4.80158745204086,5.08557016302312,4.76250425048196,4.7628686992436,2.19289524644939,2.66924742156444,2.38489307096378,4.28261983311694,4.58125069143672,4.94929531312223,2.92340465578839,2.77450725057982,2.62408922685345,4.65388912889041,4.34687140501045,4.28850601619985
20,7.16650844031072,6.73177653019856,6.93678333619745,6.30176694358086,6.3158853975751,6.56712098690322,6.78698080037949,7.00066737484991,6.86809347081569,5.00360677287847,5.20220399529634,5.11086216452687,6.61425228036572,6.83928079360211,6.43662265298185,5.33254238315736,5.18420810653249,5.42289475527675,6.53757410736068,6.1914597214077,6.84956701082692
21,6.20443025221568,6.27252823670574,6.31847456966627,5.70124235031825,5.97548283185745,6.03414370629604,6.27616306738541,6.28346369221294,6.21200964498163,5.20976122967932,5.05448102257506,5.25470131517005,6.31472555004386,6.46009814151223,6.0962613312792,4.99302846185399,5.38346629382497,4.94949171944969,5.86583429861782,5.84163564809524,5.9863206663267
22,5.81269494880568,5.69511229138405,5.57182511360911,5.74927598545636,5.56984123739563,5.62560301846285,5.45606155913424,5.98699933941492,5.85517013053401,3.76273848809101,3.74316653590962,3.74718950364082,5.4846120817613,5.68824251860374,5.60115267440091,3.68485476719966,3.96636084186056,4.02021231872965,5.74496693579006,5.29712720885712,5.70439451504702
23,5.9884649094538,5.92141107461652,5.77077385045811,5.50439230179529,5.5198818540571,5.7980233276102,5.78749759361081,5.98219648144454,6.11966298240714,4.2150144984144,4.13835773931872,4.45739819682406,6.20073800932739,5.93452293013425,5.8162549687571,4.27137214785866,4.41914726286893,4.25961456050407,5.53550589425811,5.45542287050947,5.7616116690707
24,4.22864886178126,3.87336699534669,4.12054897024739,3.74674073233565,4.11083766644329,4.09844140969713,4.05777253796685,4.3046563513694,4.33983527219581,2.35624747506687,1.74347714088841,2.07821114944504,3.91604477307453,4.20596431498558,4.06551054294573,2.2933228383918,1.99684466768225,2.48100839011398,3.9039249869017,3.6628834808704,4.11128345320973
25,5.76113177623512,5.93491750615678,6.1298955696656,5.51099696716936,5.6431410324912,5.68164034937901,6.16365707019571,5.97498521876288,6.11385344278479,3.99477212760692,3.9330379447136,3.95483995718581,5.62418700041256,5.8041772492472,5.96718505799174,4.38717563493865,4.23333140143383,4.03747327490246,5.67794152659727,5.46186761134086,5.67296175455018
26,9.17385838097604,8.76377518664312,8.34274053833679,8.43614019789949,8.7176529623933,8.704315232622,9.02816004932301,8.62772132799837,8.44506890640666,6.53386192542848,6.4652683261833,6.52059695179146,8.52499973118555,9.31189437119289,8.69176008474592,6.32188966534662,6.53716315901136,6.3647156630002,8.48540843210693,8.64600997939234,8.66971009768125
27,5.64223293380197,5.2951075897966,5.4583614232542,5.49636793796368,5.34771431996416,5.55199129554283,5.84431827878363,5.50694092744836,5.45186407941358,3.89807632091756,4.01327427580298,3.6260869813259,5.6008063435667,5.59745402564766,5.29073227262424,4.2733439983005,3.73807422269578,4.1043892262225,5.44006439643901,5.35837619033302,5.49902383287067
28,5.70944493331612,5.5550297291024,5.76221399768835,5.52751170776852,5.33380932492275,5.36026503393298,5.61996948762306,5.73781688721117,6.12222438847567,4.31716289745203,4.70931064267071,3.99806738553029,5.50200033069684,5.98012288216275,5.36685537414945,4.27209061834557,4.39109014718632,4.68321240970966,5.38429006977157,5.00775623820264,5.75711425391007
29,4.73586825674165,4.48396786660389,4.37811242421277,3.96796769042278,4.42327936237037,3.90246267014935,4.30556281973999,4.35600502878444,4.61657779423539,2.5184201096746,2.50687086822,2.32566342788794,4.34030740522723,4.5164447885447,4.48843246764484,2.73853098589458,2.23566654227665,2.21000079060248,4.32175656030818,4.0301439239185,4.36466679937198
30,6.9540658571991,7.28253819790687,7.17432464686513,6.87059999523366,6.99386479238798,7.27530913994799,6.87361503917583,7.27073848129649,7.17275696850561,4.35270113209858,4.55994907870005,4.3823292654516,7.04289938607943,7.08630671364167,7.33939804149127,4.38696936797586,4.39393371543051,4.28655880160994,6.87907219878762,6.89645225443194,7.13308497813612
31,6.8150304101384,6.41265054278499,6.33176339064132,8.40173895344542,8.73067799640664,8.58622679049119,6.40294496073038,6.66735801695036,6.70282154981349,6.19530138266148,5.86140239617962,6.28593438235242,6.14853433778962,6.87736187249166,6.27166240004696,6.19784059384139,6.35217235538457,6.27044695502323,8.62938397971433,8.36193906965162,8.68649395918661
32,6.17005090833307,6.21070628894515,6.50122025099546,7.89811674040209,8.09545096936532,7.90447505108124,5.97576450801868,6.43457612972968,6.58773108657318,6.13511914234759,6.01045011355914,5.94515682094043,6.47364670567676,6.65332462965044,6.01885058947789,6.26938384133416,5.98336811058301,5.93843401461309,8.03226584157699,7.74537790171634,7.7843839400538
33,5.20379508640756,5.05929989129008,5.27847914554726,6.35112074906993,6.53442369017847,6.69087505850167,5.06863555753051,5.12744589570617,5.25661841475021,4.82702789489556,5.07825825880798,4.92560967015456,5.30019488505871,5.07162043535919,5.41128156992338,4.76366006275168,5.10570615989682,4.78627123485695,6.58868247815081,6.29339935230665,6.53555150216539
34,4.84386740842306,5.11558716600866,5.18323399387257,6.55914006657264,6.72279730182346,6.60543441017361,5.47942527214591,5.20520833210444,5.19652783087986,5.05133326996248,4.48427018029834,4.6594764453907,4.96031680280526,5.12489001083589,5.2522145568809,5.36595837264153,4.95216275284001,4.85626243059529,6.39980061734692,6.21014857026189,6.69274599724176
35,5.1143568130639,4.86253897091308,4.84442043334414,5.88768547437849,5.77523864292854,6.23396584688831,4.82345660909845,4.87925502052818,5.05238578471351,4.58696356272316,4.58068641563258,4.5093314067921,4.60835787232853,5.248535447971,4.76190205209484,4.43110117526539,4.59385508687404,4.51265793146148,6.19547704840316,6.03304838326028,5.99392798086887
36,6.02246029363052,5.71291387557005,5.64722962805442,7.52844293576601,7.46607487798704,7.07003476258158,6.09559302734153,5.68578674176477,5.59685507876188,5.20345678743218,5.04878469724979,5.50811843945252,5.68285131021375,5.64485400690575,5.72605232873902,5.67149474647161,5.12864664464659,5.53652465393599,7.80597977073517,7.30855843261314,7.4327867181176
37,5.57046471431371,5.03545602605246,5.03935326173504,4.31480717376132,3.96262303482085,3.42254380442307,4.81846917813055,5.00792947127372,5.53530869182444,4.62997476489978,5.37494785460367,4.79197871244255,4.74160367386438,5.03703039382165,5.21243558051713,4.97721739010444,4.58223786032312,5.28518662994438,4.12481163482916,3.81953203208855,4.17081754862809
38,5.5042324062225,5.53308900727747,5.71778736644144,2.99733556967942,3.34292527316054,2.9810494880778,5.50455403514295,5.82392983954656,5.77905094983806,4.9962954205381,4.80523939375041,5.2072896820704,5.35062631191524,5.69963140385262,5.60814122665374,5.25071071992747,4.92676678119642,5.4960545041883,3.16979333157033,2.92428548914592,3.23380927032184
39,5.92206141781564,5.6508190971935,5.46700131670294,4.48631997786015,4.07101221379551,4.28740613799409,5.50805676636516,5.80414577835884,5.93645983104613,5.23811074299407,5.19777439571142,5.55527830914377,5.29212014740626,5.86824821869486,5.70183881977122,5.57808008158611,5.73822443298665,5.28811704808519,4.22600508528652,4.06940950434342,4.35390276764807
40,6.63064180397639,6.09774468087971,6.26528117701953,4.60725828244248,4.89211178880383,4.97235343564963,6.23443052073167,6.56133099543324,6.42613057231715,5.82665235266356,5.83003341740348,6.2562938694117,6.14240176574366,6.10386072508018,6.4528089524222,5.91581596881016,6.35802347481933,6.14776995606338,5.06913479986487,4.72202961393593,5.05937451825114
41,4.80327619061539,4.45500758687389,4.8002656043683,2.19972677835632,2.41864116553066,2.79688120327363,4.77842745320432,4.65342822912516,4.62674413698489,4.23117522975531,4.24936722460441,4.55482878473927,4.49197318361924,4.88042527441392,4.74621378806615,4.56581651408694,4.36699179971024,4.41142316066064,2.43055606990486,2.2727111326872,2.56734344541338
42,3.80850085181227,4.31844450043962,4.12356969911954,1.59223539823175,1.73674397962814,1.49806430043459,3.92146489731154,3.96249889582551,4.06397996240882,3.71386009272901,3.75057175298439,3.93338000332844,3.91718584768771,4.16593752375915,4.40123743372136,3.42797921240537,3.83135415964127,3.7973602792856,1.51662653689704,1.21867026613157,2.26331069746181
43,7.94586925484803,7.67947476751307,7.27622220527964,4.38109730385603,4.60964544328516,4.40496342504895,7.90690118617294,7.19738639385966,7.81234913015506,7.30310585773881,7.34354126299707,7.03631612033957,7.48545520783249,7.59644990819689,8.02833942485302,7.22596969728377,7.19043723966415,7.27240345191086,4.52259019944977,4.25881085022667,4.72280257183054
44,6.09646067614352,5.93647584846064,5.82183077095795,4.48549607580151,4.83367409895418,4.76354352284056,6.16750146709626,5.93441179203359,6.06079522284364,5.90415444797858,5.29413154169048,5.7447356506,5.87124110546936,6.38960107934281,5.64678493107182,5.71025401368025,5.70696371063084,5.83916992827177,4.23424680431876,4.68501028186935,4.98223206407678
45,6.59312706161857,6.68362180901884,5.93573251838635,4.07690901223604,4.62856343743562,4.09540331201537,6.3683045248449,6.91352983501716,6.07220605863156,6.31231675421688,6.51656231890318,6.21244069518748,6.0843537287982,6.52993876663424,6.54404081526441,6.29455336190221,6.19381034841501,6.50671869803317,4.36992212857326,4.28778307408719,4.45357141107961
46,5.11193503025971,4.89322412339076,4.76743975127202,2.62695506691928,2.74414515554389,2.70482207873073,4.65093834674622,5.10848160280636,4.99666002165485,4.69979336594141,4.37478273303499,4.40226960247567,4.69100257593241,4.70309732907644,4.93799531925743,4.63949116014989,4.67310118786929,4.18250966777833,2.69115449803078,2.89270476304429,2.78380517468732
47,7.67513079131164,7.61220970059873,7.36517238537703,5.0196720123355,5.64568273235903,5.62888079745329,7.68760135888602,7.57316861210288,7.46859163822816,7.29380103798969,6.88048447295386,7.18276583329367,7.48708517471054,7.66064962980596,7.58221796279069,7.31446159366374,7.01216500308362,7.27636726258799,5.37224596820757,5.07713738248812,5.70565459989469
