protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,4.28560272624089,4.84300277189098,4.37305148935006,4.24315372682914,4.29640550444637,4.62161721600515,4.62623736356982,4.30967948163199,4.50944254245104,7.10413429962915,6.84373865276294,7.81667633823015,4.5098967438165,4.53934805766605,4.54556789281908,7.64929797444054,7.35179371769247,7.10115296288057,4.02715531173029,4.4651911420872,4.36858921211797
2,5.64888183215692,5.33261677361848,5.58569577499578,5.14058572985092,4.99259459775086,5.36727381994353,5.56549846861974,5.39150305351733,5.42243325722533,7.12823145792121,6.66981820325978,7.08541704929463,5.45610632474035,5.72991634858612,5.76300906369051,6.7429912750229,6.58910211463229,6.64914604503129,5.27425348154798,5.1009306054608,5.07409122451279
3,5.29772748079301,5.45104541108981,5.18202846068366,5.14538545961479,4.94252835716243,5.2656097093731,5.13448994407919,5.32248583614272,5.02125378239816,6.68938756601348,6.54811631394612,6.71327862045819,5.26831248079466,5.36728608998839,5.3677915916951,6.30047638087981,6.74254203690122,6.28975275315877,5.40206888218754,5.00262361309042,5.31484059823016
4,4.50356399467564,4.45738156360666,4.60896596734069,4.47571986448466,3.8769431065074,4.53343858430365,4.51395625129535,4.40868645571277,4.40842549797213,6.52901689253445,5.92830063847148,5.66593766167024,4.49508920225037,4.46360359302912,4.30641926979556,6.05544915323095,5.82996565289583,6.03079914835973,4.3877113522795,4.40686974277446,4.45915884766076
5,4.16908721586102,4.33959639226989,4.42161103527811,4.35277752359971,4.47562565763992,4.07510103604478,4.49330277705232,4.16742276061608,4.62344960250718,5.74031891373838,5.28455603535499,5.87628112555746,4.08344327881052,4.86312026794328,4.92064411472949,5.20653316375514,5.20475578974163,6.18073156955645,3.85780808270513,3.91566612285585,4.4412817804877
6,5.91321456201856,5.92867825387498,5.92943387268119,5.87287454540553,5.98998778751691,5.73814367299562,5.81162947021349,5.99296612135478,5.86242740801527,7.21778529521964,7.23868751849773,7.31810823380043,6.07560668146653,5.98730610383504,5.97163486955763,7.17982820988026,7.40296795220957,7.25318233324956,5.80579969187893,5.59605739827854,5.86470023525172
7,6.35275551718303,6.56682761632915,6.44438338602407,6.19983385575523,6.38028149738206,6.24539624029661,6.44897996650109,6.543065595934,6.44047695559393,7.62084418273819,7.48488567248539,7.65530650021867,6.35862464105723,6.32542359908481,6.5352460449526,7.78245347432006,7.48786282486003,7.70053347737067,6.43828398695748,6.20350956814793,6.1135866131612
8,3.28902109581535,3.77524534633023,3.71967087642584,3.51132299675005,3.4859795111586,3.01687815849714,3.64653766903854,3.81047887334932,3.64138645048765,3.97581016172523,4.09003901411531,4.45042899745861,3.18350325462939,3.77636009840972,3.47376629160016,4.24210738097658,4.41460414121226,4.31670181914646,3.2162835603184,3.3401351912498,3.48433620031441
9,4.63082753500953,5.09001413306485,4.9333272866072,5.19365357668468,5.12650122366881,4.69020429388212,5.04465292487524,4.90814913464092,4.82678526425553,6.71483800748649,6.23122491745538,6.53514095142285,4.82604818270597,5.07868041568559,5.23260899266494,6.51215436182719,6.44653674704552,6.39635970466391,4.97114632413618,4.55360581589503,5.06978435105938
10,5.94813726348768,5.49191781102538,5.51930386800449,5.67869476567959,5.71863694607591,5.58120190102888,5.89058670212356,5.79911977771169,5.5161531596933,6.61692288801814,6.94394088881824,6.80800602953327,5.6774288498918,5.62312291094227,5.80747418782165,6.73307517792359,6.90056867893992,6.77162995355437,5.29076655580883,5.53902203462782,5.73055945113842
11,3.28868835176231,3.04350238186255,2.78422883105974,2.29366606162157,2.4120425620954,2.56316498997004,3.01910473899476,2.37297856717081,3.04746768348262,4.03614144866877,3.18527178747241,3.76669632628142,3.07039590263938,2.70477106371604,2.96699470793429,3.47402108286721,3.88936015641612,3.09856141308928,3.08940667194095,2.59733509285315,2.28309734172076
12,4.71752106929653,4.22542666321668,4.82608582380551,4.34316625517805,4.8753828860695,4.49164264132178,4.74164152060682,4.32130770231441,4.56801866007033,5.8823137480996,6.48687379502427,5.46974347562359,4.44023725265338,4.91934786830952,4.58163207385228,5.77256633374888,6.12410972582787,6.04888259570187,4.60385440651801,4.66605130734874,4.47089435152393
13,4.45522435010559,4.11975838715158,4.26950958349568,3.80072736283881,4.72625296327447,4.355124732412,4.2504821201154,4.2525356054756,4.35432316677774,5.66116027354987,5.66918712523605,5.57486520986395,4.02814668832617,4.11491177468254,4.24625260048196,5.63781289067069,5.4684993725969,6.19749734216872,4.47629975330711,4.65123316246662,4.1162999751582
