protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,43.5992294004789,44.1787843594461,43.7852662323156,43.8450876928227,44.0041253375158,43.7283116783604,44.0718713213926,42.6345106015039,42.4259529246905,45.2445010577158,45.2209034204953,46.1245353238975,41.8085583760923,43.2047925379607,43.1914844535096,46.2921778542075,45.7435062450774,45.6829841393644,43.1552124208702,43.2571958609767,43.7150343707011
2,41.0287271150385,40.4894395970571,40.7043083741812,40.6392659944255,40.5426591123251,40.6608311371646,40.106313574608,39.5847199700524,39.6233984947291,41.5857228556388,41.2678552654547,41.7481598725194,39.4770482177978,40.4116832504849,40.4916967908039,41.5925563590081,41.4865524081275,41.4217098737963,40.2170629172995,39.9574357929211,39.6396315118012
3,45.2214175862389,45.1394557435713,44.9339721969456,45.0436384393681,45.0413676216712,45.2903273173755,44.8968528372504,44.4125547939528,44.1884473302991,45.7286686958727,45.7360029903393,45.9798290117039,44.1176366657316,44.7641856695451,44.8154036035976,46.0711844021702,46.0611629642653,45.9180673113361,44.8429670719646,44.5281091200269,44.7313076336636
4,43.0771990469843,43.1587357754128,43.163369729671,43.1559797686046,42.9900551663303,43.1765978553042,43.0434554531297,42.1738203938651,42.424056242463,44.2508283175379,43.8602092450336,43.9516797159809,42.0408799593489,42.7046596098885,42.5470195928459,44.5125624175064,44.1469157587403,44.3449515361642,42.7679801457728,42.680378723462,42.901910667744
5,42.5651551512179,42.6419269021974,42.9781037594396,43.2615758347687,43.2081412778242,43.2517380895011,42.6806529605871,42.1765020246854,42.3918026793429,43.7350611320953,43.4715858230583,43.7089552677658,42.2851931949439,43.0121134670633,42.814074726706,43.855327229189,43.6295628722169,44.1319967853868,42.3629292301009,42.3269865561487,42.7153068982213
6,43.8998765787936,43.7194886717683,43.6685507650775,43.9122285838941,43.9905877269722,43.7374361702164,43.8941254824801,43.1508799585454,42.8930309281315,44.509015328409,44.5332975947392,45.1191860482293,42.4370987129033,43.4628682117954,43.4456117576815,44.8466197096678,44.8233384137034,44.8439440472942,43.4754114980868,43.2151360834167,43.3457760026633
7,44.7373614585113,44.6769820294145,44.6566907668938,44.7481621513282,44.8631821692118,44.8382429725855,44.5898432048229,44.0858895551991,43.9645865282042,45.3851899076539,45.3560574839316,45.5227252342224,43.800887045128,44.2988308315075,44.4424879463712,45.8110289932496,45.679476400649,45.7374396282499,44.5388459782039,44.2477217794228,44.2359147992598
8,41.4610071143228,41.6928244870889,41.7691220760906,41.8466759457638,41.7843112298832,40.9998371298733,42.1883905615726,41.5517678312127,41.2596512714751,41.8665248143812,41.9019326609087,42.6534499781344,40.485320502886,41.6058995639467,41.4127442512176,42.5088050618293,42.4633052714989,42.3823987740772,41.3052417794995,41.2024971707981,41.5310576876471
9,44.1139201583081,43.7860056445979,43.8434572533289,44.2015053263163,44.2152155179436,43.8047059134542,44.0822374508892,43.1449166130599,43.1669693504047,44.8621888133084,44.6900736388038,45.2257645540801,42.5070746586112,43.723368722001,43.6659306511936,45.1949053859833,45.0168369935463,45.0127479485967,43.6282694259386,43.3493170401939,43.2697325262525
10,45.0775973325513,44.7424431352978,44.7339320524916,45.1289582692637,45.4062662341747,45.1936778860117,44.998976985681,44.4476398244694,44.30487079714,45.4481598980566,45.7242523321816,45.6564076070476,44.2644021835465,44.728834583872,44.7300627179412,46.0978753972225,45.9513496426439,45.8278704100148,44.5701834609408,44.5064953174784,44.7356549633845
