protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,4.8193059410005,5.62907985707669,4.77602954698203,4.50482382148964,4.99437546624039,5.3185664902455,5.15396458634282,5.05445008415904,5.29081858180806,7.74989445437704,7.39406143553527,8.38787813589266,5.03218843903959,5.19660854039368,4.87952098001906,8.35352011299968,8.05609428655617,7.76137373204927,4.95140504410806,4.71441738365288,5.14902834737645
2,3.58925470337394,3.582650264738,3.59857422670178,2.89476937790152,3.10368873511227,3.62025502088298,3.62701655892588,3.4001266911849,3.55155934552013,5.27475302317553,4.71882593823661,5.11241303839086,3.45721090054398,3.89959741149853,3.48409985447168,4.94891965740411,4.85016094377325,4.7441389285335,3.52848866990593,2.84492741541214,3.32111365468597
3,6.05863205435728,6.30282901625949,5.79601848189757,5.47373252745638,5.66443465646202,6.18819999500918,5.83712285998441,6.08159293132705,6.04482758375328,7.31124707421673,7.06320637474918,7.23670811375072,5.81532146903028,6.24088577147259,5.74624415069066,7.24988116800475,7.60047389220487,7.01658602199016,6.38928741855515,5.13372263554961,6.24690590373192
4,4.84913750609864,5.01609206277864,4.89777588808661,4.4183480896833,4.23601370976493,5.12269913681061,4.84917508976828,4.87284448529913,5.08803610914696,6.86373769895433,6.23586609243286,5.85689891462367,4.66065597578449,5.03176574397117,4.29743838572336,6.54150224721102,6.32869467059162,6.34245794926356,5.00135636011336,4.24160392292737,5.0971692813909
5,4.68986412954836,5.11999083068676,4.96925595620221,4.75299429870067,5.19976057386106,4.98525649976425,5.10210479142265,4.7669423273595,5.39133986586726,6.4823302849692,5.91809154111351,6.44968253779684,4.72030700771591,5.46889377432415,5.26992882423902,6.00507919185979,6.05156162568297,6.91562451970997,4.83889866056578,4.3190461818394,5.29712656116187
6,5.36228489013718,5.61923096269023,5.32487768883139,5.02880797538424,5.49233328341242,5.52502323787867,5.2946291982071,5.57613073233342,5.51737427298641,6.7135995320394,6.62169798040597,6.71602479088833,5.41708242035814,5.62693253044618,5.1405651495272,6.81603935410039,6.98637501727264,6.77094380436888,5.57769803862295,4.66502188679303,5.50181392549748
7,5.36481854819737,5.84564487872703,5.50683894718719,5.11095332861283,5.45550252200035,5.63649696070682,5.55720023789406,5.7933068030773,5.720663398914,6.78975959706746,6.56477759676883,6.75328405032604,5.43618207179355,5.59691527187358,5.31863775936158,7.02274652483253,6.76249185393671,6.88657959922452,5.72225499384488,5.00628996135725,5.50991750972624
8,3.98003437516414,4.61810612174859,4.29518126134101,3.75545476849737,4.13837605014161,3.90799540339579,4.32423392748377,4.59842648095491,4.57452634730356,4.6630173186755,4.67966364640609,5.11579052099373,3.77787190467556,4.65830184974742,3.7637854123161,5.07990556978929,5.17828311523263,4.94742936435275,4.0823802455399,3.50611808644196,4.311492963601
9,5.02490077989657,5.68727586568653,5.23497052263989,5.21396093528036,5.51263547097226,5.29816249825994,5.46789371967139,5.35482674294529,5.43298800160589,7.1009975960108,6.52909457998773,6.90720262809919,5.04748289619613,5.62132876209161,5.29119570774765,6.96542756539914,6.9719174313602,6.78009959428884,5.56122556020591,4.46887053320998,5.60866859677035
10,5.9597138126612,5.75462213711953,5.52527975085117,5.33162191215887,5.87239103392744,5.89941019327941,5.91271920009109,5.87973512690931,5.77070539742595,6.78421291056243,6.90520786234983,6.80380722420074,5.6130464027949,5.93181749243465,5.57234625401484,6.9831531766603,7.09648995790347,6.84678312170951,5.64355662962619,5.12002513376673,6.01809844729253
