protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,5.56873003611577,6.36304629265454,5.49576678177806,5.25298421520502,5.76298176795173,6.11399233101817,4.93554540641813,4.79857217384722,5.13137965145768,7.45959132894321,7.13582475125064,8.1456619212492,4.99133121176703,5.1305702624573,4.88191771022642,8.30985220271091,8.02465731535365,7.67380921070047,4.96414611255528,4.69397641828001,5.0965623357532
2,4.29523497332921,4.33055784312766,4.31577305016264,3.66124008035821,3.87196966064047,4.41692930690533,3.53264086118425,3.24637889813262,3.52879638917675,5.16197804802057,4.72382071298384,5.01857272276989,3.54401698357167,4.05893565650636,3.54942828966886,5.03580292939549,4.91714930013421,4.82752942355482,3.5876323937664,2.88085758476494,3.45242011731879
3,6.10617788352605,6.22659195904585,5.83910412391425,5.38562953214654,5.64563272355944,6.19804613698158,5.25839228500958,5.45110796664008,5.35154794324987,6.72092313839788,6.44297882794327,6.61202632135655,5.3914409086621,5.8788163529023,5.36131857276437,6.81387112026535,7.22005390738946,6.58438544149546,6.0054827699631,4.6813171172391,5.85236116518006
4,5.26961331872271,5.3982878933591,5.24970378797811,4.83150322685381,4.59680524123565,5.51553897374989,4.66169568829163,4.68869515583125,4.83072750300539,6.67260472053875,5.9058886556445,5.54830967079967,4.58079661282738,4.94842149103927,4.19335161741373,6.45810860453668,6.19735051654637,6.25810177206775,4.87898151708537,4.10198702685402,5.03517072644557
5,5.02687525118456,5.46070482992925,5.32216577891993,5.09806708030946,5.53804843459106,5.30671872350641,4.71559539038236,4.33470649733699,4.87039292138957,6.02564634551748,5.47868528689695,6.0732067193508,4.63368764857008,5.46839123337698,5.27040776292523,5.9100108826995,5.96274340107996,6.93736641753254,4.77690558177198,4.1939471980808,5.2367495177112
6,5.74715742592777,5.99694776317812,5.72620024251722,5.4047113537667,5.75685983786357,5.95816215661692,5.16001046262654,5.44102200098198,5.347917085707,6.57045330831861,6.49075020899517,6.61427190029531,5.22541596058661,5.50394705886743,4.95952085931786,6.69190371842069,6.83174187786409,6.64118812795319,5.46435347180688,4.47068301573839,5.43167431602593
7,5.92093405398803,6.42696972127505,6.09570358404395,5.60649370844961,6.06122990076457,6.16904826255385,5.464663376984,5.68609925540126,5.6186440515717,6.66654376729232,6.43336148473335,6.68784572085134,5.46037872173981,5.68528807781351,5.37567126932969,7.15241092197211,6.79928439369181,6.97833189768481,5.78274181785778,5.05601878432857,5.52138392210427
8,4.27447844509578,4.92673790863494,4.64448639426991,4.12494832410171,4.53058146660299,4.28148259357019,4.39821997751878,4.67824041626624,4.66024969987758,4.79047672077441,4.68612770474069,5.28923255165451,3.86454579941428,4.81058750144475,3.86747802938597,5.19767323245873,5.3361381162378,5.12786258772816,4.19570330494074,3.57734505023389,4.49424028055088
9,5.72462530229353,6.35713139590214,5.84264993192958,5.95971880006992,6.23423694938198,5.96002491077921,5.57368160898618,5.46897855308764,5.48176768128987,7.30974863140918,6.59958371085814,6.94186409059645,5.11261534054959,5.73806413468547,5.37261464167648,7.00004723197869,7.0758778327571,6.86102487133325,5.65925602550371,4.45227398027262,5.71250605321722
10,6.13586356065846,5.90449260769988,5.66535478611244,5.52867640450273,6.02468488789625,6.12822570420719,5.53084319574304,5.55635232275351,5.40758631154883,6.43835392299196,6.48241423331261,6.42406178469283,5.39021608833958,5.69738060090103,5.29819388642876,6.73785945219447,6.85834931521901,6.62971547423155,5.39628914323164,4.86486050854192,5.7603505422104
11,4.65717340305629,4.68702134187833,4.06213554167637,3.41327845352493,3.79961657676679,4.2373322137388,3.96020601684795,3.39808563564063,4.24029060632916,5.02689084509513,4.08498386215223,4.66472263665744,3.95099875189503,4.11518597395855,3.75225363711146,4.74633131553385,5.21033605482819,4.19711908872077,4.53270964220486,3.20875560013613,3.68988004710509
12,3.92088961837792,3.79492131692514,4.24320010908986,3.52435256103248,4.36498399440623,4.26740817614238,3.47039054245735,3.14165831415178,3.35357653201861,4.746183493197,5.17934830621761,4.21690569842551,3.1133006230831,3.6770658519473,3.01845350376248,4.63186350975878,5.01608891417725,4.85603721341044,3.61674724440335,3.0884813400023,3.4450522412957
13,3.62906984807503,3.48181471030522,3.32527326466323,2.66136431689377,3.94536824828184,3.78846902435333,2.66378572063838,2.90151051601904,2.99230066247866,4.15406518926068,4.04900068352012,3.90416266502046,2.72815996463761,3.12329216575699,2.71489762083621,4.63172987012843,4.39279856230353,5.00668588533054,3.52361254654737,2.90729708278825,3.17288215249706
14,3.74127183073187,3.79229347601767,4.17445824427271,3.04293719917736,3.82721048549052,3.46308821798977,2.86452689348121,3.20384131743198,3.05731530465591,5.21063990963657,4.94149528604595,4.71723824466435,3.12792979053788,3.45576782138442,2.64904036698899,5.42220350287172,5.33261007193315,4.93948931436719,3.07129044840758,2.58212021851947,3.38116135334692
15,4.57848594484345,4.59807443767707,4.42680477767698,3.58764669009718,4.29977198105488,4.37124478957845,4.0504847022105,4.05980383653823,3.83953027809274,5.19188784505486,5.02106914244674,4.91773796860091,4.03683293907403,4.08279744142402,3.8438440893975,5.61356745564505,5.82073128050951,5.82012193565201,4.31776723231129,3.58431780813541,3.90890565040569
