protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,44.5612724200526,44.886018498005,44.4716718476714,44.6496942030102,44.7143137542135,44.425878554675,44.7884404487109,43.3144442497074,43.1486284532685,45.886490670536,45.8835631222136,46.8434463321661,42.3280719151415,43.9830513165366,43.7664382838613,46.9209914324966,46.4306853924682,46.2778260084968,43.8117690831062,43.9949613800671,44.1894317108442
2,40.2637180866885,39.8570122171207,40.0405981911889,39.7705710196137,39.6862574067637,39.6513571950826,39.8749466607801,38.8993600969601,38.8375983459681,40.756715843875,40.546476065316,41.137356216326,38.6927021666939,39.7281009019696,39.7000429396739,40.7732693890676,40.6436042950601,40.6683961986107,39.3874607303718,39.2616270872116,39.0318721292175
3,45.0880203227743,45.1064559083889,45.0296016482515,44.9516265199449,44.9202877226463,45.1206616257096,44.8545490958366,44.3162065944894,44.1354895011893,45.6845533000383,45.711056251171,45.8526849014133,44.0641534209994,44.7429510438932,44.6386450923785,45.9303160331967,45.9135574844534,45.8153903741542,44.7899300463962,44.5749754372722,44.6656503697079
4,43.1410550333559,43.2545427850107,43.2495708932214,43.2148000433678,43.0206067365898,43.1780366803143,43.1132810157018,42.2423472062175,42.4679772679406,44.265241690834,43.9218002934865,44.0086607295617,42.1080642787114,42.7919518811158,42.6078704037771,44.4490539490055,44.2838359642645,44.247344142869,42.7742734394331,42.6766616835182,42.9413295060592
5,42.3536527861628,42.8029417866323,43.1420314319929,43.2205617353999,43.0370894777758,42.795800783594,42.9282298600981,42.1686495398679,42.35232743598,43.7853735296925,43.5436521105477,43.8658667310666,42.1850794889932,43.0963334533369,42.8097752116967,43.7661728619794,43.5083244451278,44.1096603232229,42.3462962740893,42.4631174077918,42.8836234961222
6,44.2985310691792,44.2895877873238,44.2590088708847,44.3649313246502,44.3529073400648,44.0148788435404,44.460769864916,43.6956536378853,43.3108458098053,44.9054054349856,45.0434554444907,45.6758341066445,42.8912201844054,43.9838234732901,43.8016757101534,45.2655214977354,45.1713288783593,45.2846004288814,43.9613832380406,43.8417269015872,43.8612414364511
7,44.6695857781311,44.8733131182574,44.860118904528,44.8760627078237,44.798217259276,44.6821451240673,44.8068872869522,44.2305495100361,44.0086059387281,45.4267448822562,45.4113042634964,45.6074033770357,43.8023043112168,44.4296953851204,44.4246927981614,45.8551347801327,45.6940755183446,45.7436901718299,44.5334502220495,44.4231134776183,44.4858124753905
8,41.6827933223463,41.9821200562747,42.0395196979291,41.9439034580673,41.8527141167075,41.119486439961,42.6057948094316,41.7209388798199,41.4580184424168,41.987726369574,42.1124489708458,42.9318723706083,40.6308397509451,41.8378902853033,41.5326492769331,42.6842002284066,42.5548887625949,42.5585880290462,41.4353549323493,41.4745318481689,41.7958631321941
9,44.212026460733,44.2340415245724,44.324623852661,44.5398169062597,44.410252522409,43.8482203161735,44.4399655407858,43.4505998080458,43.4541820534951,45.2243392832615,45.0641835089351,45.7102447609973,42.779596916822,44.0704216620217,43.894393649049,45.4359798209933,45.2453682438319,45.2849160664344,43.9563029444921,43.8419212122756,43.8247656715736
10,44.4941914930996,44.5027021238841,44.5031025691946,44.5840229710766,44.6998585713137,44.3607020510856,44.7703793504531,43.9265986737363,43.6915989234256,45.0065047926351,45.3992839488052,45.4322175272477,43.6038715566324,44.347191464352,44.1093635232266,45.533506603909,45.3172439585205,45.3625647629371,44.0965796102679,44.2484841398443,44.4079470302174
11,41.8155661406022,41.4627013411808,41.4134373101762,40.9590385723165,41.1020974589278,41.0658065637757,41.4448226775489,40.4472880987508,41.0299164536871,42.0487808593129,41.5581938456994,42.088491282945,40.2985251204835,41.0509149519144,41.079962270739,41.9096047812309,42.0695346259505,41.8064897698631,41.1992902016033,40.8944701484232,40.542951208955
12,39.8842841993988,39.4427624340935,39.8811200336739,39.9079234521195,40.0885221279547,39.6142030621572,39.9491365873654,38.6232815011699,38.8432360906523,40.6416965264915,40.9947584983748,40.8264527941366,38.6015678495933,39.4337345566116,39.251146606488,40.8066694240401,40.745975584372,40.8117806023833,39.6525669303404,39.5158230736141,39.3441666855979
13,39.4243892201048,39.5617024327456,39.4689446460084,39.3648386415833,39.8911648269227,39.6013174265938,39.5572050670644,38.9369791708411,38.7852474730815,40.3254627183397,40.398417346861,40.1133131523495,38.8687739703063,39.1871781885177,39.0435276576349,40.6439622496946,40.4375748243199,40.7618488650595,39.4287240891031,39.3333175438422,39.5085235683473
14,39.5823565143394,39.4506448329009,39.7444519731272,39.436173433809,39.7109775195374,39.0042756652567,39.5127245504647,38.4653828166128,38.3458425878704,40.6012334782458,40.5900566548129,40.8349018144734,37.9964864249165,39.061107594639,38.7852599397925,41.1618474154636,40.8047358583467,40.7362856107912,38.8950241643015,39.0183223382081,39.1401551570024
15,41.5802711312955,41.8124570983197,41.8335938050405,41.5580096856714,41.7370690845441,41.4865254701207,41.9854016347889,41.0478382278354,40.8172258473814,42.3457824499171,42.4909893149196,42.0622725961255,41.1665640707929,41.258105939793,41.1548768483136,42.8118799890295,42.7544521392653,43.0185590738211,41.4859277339459,41.3283073392695,41.4518411109236
16,38.3798423867294,38.4997702102601,38.6224181935645,38.7283820528288,38.354548849935,38.2849609012336,39.2580299095165,39.2863873840217,39.4238139845093,37.7751123663445,37.6062581682261,37.974505505454,39.0636799131213,39.1662786610765,39.0831372992394,37.5843277408251,37.8329182328064,38.0871027882963,38.7397202602373,38.6390395167189,38.6369061117937
17,40.8802247244537,40.9221273885675,40.5989084615817,40.8390106140144,41.1289205258861,40.8763450727988,41.8385370146198,41.6877269409393,41.6771381452911,39.9121485667012,40.0421429133403,40.1121030526918,41.6879943525575,41.44008490211,41.3123837681499,40.0546475371072,40.0373344916796,40.22906705918,41.2424499327393,41.3366007426871,41.4122951967042
18,39.2838893441701,39.3008051117118,39.7448554286859,39.8015770192974,39.583439115949,39.5216656754193,40.0982838722792,40.6892386037016,40.4562656930306,38.4752922867954,38.4037123236097,38.8047000334388,40.3752600824954,40.4547507296286,40.417447142827,38.2242893763851,38.2313568900763,38.3646975844765,39.832699577738,39.8788196279998,40.0265403929655
19,39.284143062429,39.1702632641993,39.1820713861719,39.3159605750935,39.5108685206701,38.9535570415245,40.6880045537754,40.2681822497351,40.2217462875479,37.9773948446059,38.4724721624018,38.8394390406076,39.5998583729777,39.7683035681454,39.7777339674521,38.5997111689816,38.3841084088636,38.6678947765418,39.6778901606375,39.7696849258244,39.5755381316813
20,43.2630453967797,43.340920456511,43.4423716568707,43.276976740003,43.2366545666803,43.18536576345,43.8958285676175,44.0344627527635,43.9182780451034,42.4472779549072,42.6388868564431,42.495602198854,44.0519559649756,43.7355252373278,43.5218561970782,42.9168475795138,42.8524602761183,42.9642896480525,43.436678329638,43.5195945878693,43.6770313742015
21,42.2760839319111,42.3075391613673,42.4513407451638,42.2950268337807,42.2970150138436,42.0913225590986,42.920890703164,42.7699660780901,42.5647561593445,41.8748222180988,41.9510953932308,42.303703501183,42.5290002286913,42.6583059450498,42.5641217992911,41.9184230618776,42.0489419487907,42.1163119438188,42.3175120617739,42.4057628936963,42.319073282672
22,41.8383177818326,41.8539432476458,41.7709679943511,42.0655019336399,41.9276183190304,41.5433921481674,42.7270715155166,42.8130342973812,42.6343876079635,40.9802517144815,41.0088104097159,41.6586621542593,42.22458083026,42.247802448708,42.1978415081035,40.9714252831981,41.2035971962781,41.3832483227578,42.3597678106915,42.1507137728845,42.1341008946614
23,41.5141493641731,41.7458544577657,41.6113796236113,41.6982137518597,41.7101830602982,41.4850213168185,42.4495032771674,42.4521355153061,42.3527663227547,40.906909664661,40.9264604923928,41.1937308928172,42.365129040799,42.1719014699665,42.0026332234805,41.035916023828,41.1000413667099,41.288812754718,41.7979839248275,41.9109064108565,42.0211305580864
24,37.3520562117975,37.4045765654326,37.5708525212396,37.5609768562839,37.7278184912475,37.1145086768467,38.6608220215143,38.5580937385694,38.501308134416,36.7493121016593,36.3990733310437,37.0794542401263,38.1439265854321,38.2070346998603,38.0344695082969,36.7653487151969,36.6252675042474,37.0564899444492,37.8203201468994,37.8391588873392,38.0128573898347
25,41.1257256168464,41.2546222564251,41.3012611626028,41.0635438175107,41.00963396187,40.9870854084696,42.019940603862,41.925160049952,41.9767824462559,40.1811980854976,40.2099523654454,40.6271777898453,41.5901789079714,41.5369020824093,41.6221978870245,40.6398653890596,40.5245030645663,40.4625276714437,41.302294079598,41.3409538014576,41.2476576941762
26,46.9099216704489,46.8838675979426,46.5769568024793,46.7864270833338,47.2686236644539,46.7692890952951,48.075266946687,47.8158609549948,47.633170902636,45.8387416286949,46.1591757613462,46.3014072099017,47.8619064517117,47.8048395827808,47.5206319647522,45.9194681226927,45.7079923302004,46.0171534698587,47.0671642118543,47.4609265470892,47.3970107340742
27,41.2107303086096,41.4034067555323,41.4672082198167,41.8232798699861,41.8277089973543,41.3456931621285,42.6686025186666,42.1844211815125,42.141354265672,40.8158405245828,41.1403660088701,41.1578226672573,42.1490370489477,42.031687673664,41.7558323232301,41.2545570203936,40.9702923415372,41.2242432220193,41.791004343733,41.9714875974979,42.1480550473361
28,38.0079245359467,37.9054620602935,38.0816352068624,38.1495996054042,37.971033590907,37.3970835749898,38.961807888146,38.4311834302905,38.5856195895559,37.3624070864694,37.661878021675,37.7798165657101,38.0163672639469,38.5755526390393,38.1729966014431,37.5494423500828,37.5901642826372,37.8759149008449,37.9833501229458,37.9795523071091,38.0474681447156
29,39.3140217050574,39.2717991482368,39.2285004372649,39.09989048552,39.4096814483731,38.9470629808842,39.9886094110611,39.9539160677181,40.0980223325313,38.4152263248256,38.447939736853,38.4036653218364,40.0989809565434,39.8249788526329,39.793573907736,38.6284325273241,38.300801977364,38.4528317161348,39.5078923814515,39.6061621292261,39.5925599309649
30,44.5467968364815,44.6857296070817,44.5729243173709,44.7546380365063,44.6679004529846,44.9196228779871,45.2088497559184,45.8678112211181,45.729921766964,43.3408424134395,43.5670576526524,43.6273554751213,46.0747963301677,45.4089144257492,45.5542530381035,43.3636798085743,43.2657808633252,43.4352211616158,45.0266674926888,45.18416234218,45.1794700069335
31,44.5114700377283,44.601337300256,44.4562815222575,46.8287166584583,47.0166976603103,46.4921149460543,45.8297213926676,45.9094268543332,45.7282939919629,45.5895967716767,45.5529054855666,45.9952100756774,45.2753211101852,45.2897747715135,44.9293781533181,45.538650509383,45.2842852219845,45.5042668727601,46.9706982232723,46.9353145909695,47.1781042133058
32,43.6589788042581,43.9572792963497,44.1046438380927,46.0315497549895,45.8776697241533,45.5949391060435,44.723177175339,45.0136138031182,44.8936663278918,44.9258912766645,44.8838828469607,44.8005011172379,44.9558679180658,44.6530710712623,44.302616777659,44.7531470120319,44.5335606639323,44.720767012265,45.8198385841422,45.8414177285745,46.1677453174995
33,41.6959487946649,41.6919625731312,41.7707574980011,43.2877786205862,43.2750486432219,43.2871065483796,42.280482615161,42.4354487204482,42.262489829717,42.3051295573137,42.6134338202732,42.4727938895352,42.5815447067804,42.0541207283427,41.9480663279477,42.2685880371936,42.2603375735909,42.3485445314501,43.2945646269581,43.262909729114,43.3010811087826
