protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.278982961081,4.90199025024458,5.94680454664421,5.95483492765195,5.5403838394639,6.58840800027999,5.95993915018514,7.9067386036826,6.62686243465005,8.05562391603347,5.41667864805571,8.85294084021558,5.52980812265319,9.69456756010183,5.73740020602315,6.02911035222264,8.44590384528193,5.18331423468821,5.21892767022465,8.03364138360071,5.80370465493915
2,4.77695544660167,4.71935410374236,5.26943895604024,4.73736644238506,5.68282887192623,6.08234196753697,4.47384266803585,8.44351751514227,4.6090194038148,6.26338897806977,5.62010012560887,7.53440859593252,5.10053205360471,7.35702966398216,6.02254930616239,5.69597464072837,6.31239455967127,3.90176873367344,5.32652592452732,6.55004677798287,6.06324276986795
3,6.79058230605386,5.26518555479467,6.50506204187321,6.70789030353598,7.56459605833886,7.20351603293649,7.29618452747816,7.90828670518619,6.39377105295444,7.99528446570008,6.87336200214725,7.96385995254484,6.9603890454157,7.62299482056947,7.27360011939135,6.55859724483252,8.28297521454544,7.1179752873279,7.02184041414789,8.23102754626289,5.36331139678693
4,5.24043415755047,5.30700646967026,5.57347211589368,5.6927094565531,5.10741861155471,5.78672488064093,5.31739731127395,7.50208866850355,5.44854703923616,6.57180413786806,4.93354077914854,6.92077678165336,5.15445470926773,7.19448520904865,6.18979578846394,5.46799796579201,6.7806821485941,5.45782304167456,4.69631140207232,6.94828805689957,5.76513997661231
5,5.47405483107281,5.29976149339966,5.62264042854632,5.85863591717987,6.41312624209778,6.39570183657831,5.8462843003511,7.52445646702871,5.82654346153699,6.99034470829033,6.63669586536549,7.30921525058038,5.38072425983732,7.52311949765393,5.4140605111658,6.00875647175913,6.63004711979406,5.03882993690869,6.95568570349346,8.14895064442178,6.47049740285885
6,5.60907687632587,5.98486741828687,6.30938203022115,5.87411676869001,5.79864838520092,6.60890760630282,5.85064834553596,7.69655682183998,6.84739461253465,7.61890499038205,6.08280547397607,7.28484956533138,6.06937490494218,7.44685590098114,6.34988608586094,6.57573449022852,7.67459872093411,5.52666817899275,5.80956500135943,8.01624155009311,5.73439383857793
7,6.33233992000309,5.842735732694,6.15366371830979,5.90044213786802,6.3195151946894,6.8239578858369,6.69832167259159,7.61989198536903,6.84905037963905,6.68144589459725,5.8297355996512,7.49589156709136,6.37950472723095,7.66077785648632,6.80453215368579,6.27767817459065,7.01556067496384,5.29427807927803,6.39916002721112,7.57843969031795,5.98289710131278
8,5.09251508310513,5.18445072880049,6.07208802837279,6.07967317971727,5.28388119490587,5.69441350773811,5.60796715037956,6.13222590377872,6.21177083061656,6.42234140856565,5.68522888407039,6.54239610867579,5.78344719117831,6.97282349678206,4.80818397458867,5.90866846142686,6.63990139817046,4.56466990903689,5.61735301815906,6.32686018986349,6.05136353404539
9,7.27324696084821,7.11100300898913,8.76129891879299,7.30322889397289,9.46040993258242,7.97205825459329,7.30045372792597,9.57033586097874,7.72039397645457,9.6946851249725,7.69464753924637,10.1539884514155,7.64624899763548,9.00801074710209,8.48141416405686,8.33459473071409,8.09960896530372,6.28781063059827,7.61820363717252,9.58010376438528,9.88006274152855
10,7.0595915166233,6.40783807594028,6.20607110246195,6.88181699952313,6.14714898915064,7.27689339577203,7.24929280358501,7.30227477554317,6.74171862287099,8.25684603367743,6.41464535992764,8.8813528238429,6.29223839108306,8.37351114244121,6.5220810154668,7.00336561412753,8.92721194545474,6.27138276497965,6.89172520380053,7.66016882708592,6.94429604764543
